<page title>,camera body only,camera type,depth,effective megapixels,environmental protection,flash,gps enabled,height,image sensor,image stabilization,interface connection,lcd screen size,lens mount,maximum video capture resolution,memory card support,total pixels,url,warranty information,weight,width,wifi,brand name,builtin flash,camera modes,exposure control,maximum diopter adjustment,minimum diopter adjustment,number of batteries support,parent retsku,pictbridge,product model,viewfinder type,digital zoom,focal length,focal length 35mm equivalent,optical zoom,analog video out,autofocus points,battery builtin,battery include,battery model supported,battery rechargeable,gps,hd movie mode,iso sensitivity,language support,longest shutter speed,maximum frame rate,parent product type,product line,self timer,shortest shutter speed,white balance modes,installed memory,max aperture,green compliance,lens construction,normalizeddigital zoom,normalizedheight,normalizedoptical zoom,normalizedweight,product series,wide angle,software included,you are reviewing,product type,maximum image resolution,bulb setting,continuous shooting speed,exposure settings,focus features,frequency band,general features,image format,image sensor quantity,image sensor size,included components,iso equivalencies,max focal length,max horizontal image resolution,max vertical image resolution,max zoom,maximum shutter speed,metering characteristics,min aperture,min focal length,min focus distance,minimum shutter speed,normalizedinstalled memory,normalizednumber of image sensor pixels,number of resolution modes,number of scene modes,power source,video capture format,white balance,exposure compensation range,color,removable flash memory included,focal length conversion factor slr,shutter lag
"Olympus OM-D E-M10 Black Digital Camera (16.1 MP, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body Only,Mirrorless Interchangeable Lens Camera,1.8 in,16100000 pixels,Water Resistant,Built-in Flash|Accessory Shoe,Yes,3.2 in,CMOS,Sensor Shift,USB|HDMI,3 in,Micro Four Thirds,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC),17200000 pixels,http://www.getolympus.com/us/en/digitalcameras/omd/e-m10.html,1 year(s),14 oz,4.7 in,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Polaroid Is426 16 Megapixel Compact Camera - Red - 2.4"" Lcd - 4x Optical Zoom - Pictbridge IS426RED Price Comparison at Buy.net",,,,,,,,,,,,,,,,,,,,,,Polaroid,Yes,Scene Modes: Portrait Night,Auto,No,No,1.0,B00DJGZIU4,Yes,iS426,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon IXUS 310 HS 12.1 Megapixel Compact Camera - Pink (3.2"" Touchscreen LCD - 4.4x Optical Zoom - Optical IS - 4000 X 3000 Image - 1920 X 1080 Video - HDMI - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,1 in,12.1 Megapixel,,Auto Flash|Flash OFF|Flash ON|Red-eye Reduction|Slow Sync|Flash Exposure Compensation,,2.2 in,BSI CMOS,Optical,,3.2 in,,1920 x 1080,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|MMCplus|MultiMediaCard (MMC)|HC MMCplus,,http://www.usa.canon.com,,6.53 oz,4 in,,,,,,,,,,,,,4x,4.30 mm to 18.80 mm,24 mm to 105 mm,4.4 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon EOS 7D Mark II Black SLR Digital Camera Body Only (20.2 MP, CF/SD Card Slot) Price Comparison at Buy.net",,,,,,,,,,,,,,,,,,,,,,Canon,Yes,,Program AE Aperture Priority Shutter Priority Manual,1,-3,1.0,,Yes,7D Mark II,SLR,,,,,Yes,65.0,No,Yes,LP-E6N / LP-E6,Yes,Yes,Yes,ISO 51200,Japanese,30 Second,60 fps,Digital Camera,EOS,10 Second,1/8000 Second,"Auto (AWB) Daylight Shade Cloudy, Twilight, Sunset Tungsten Light White Fluorescent Light Flash Custom (Custom WB) Color temperature",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datamax-O'Neil SDR Label Ribbon (24) Price Comparison at Buy.net,,Bridge Camera,3.9 in,12 Megapixel,,Auto Flash|Flash OFF|Flash ON|Red-eye Reduction,,3.5 in,CCD,Electronic|Optical,1 x Proprietary|1 x HDMI|1 x DC Power In,2.7 in,Fixed,640 x 480,xD-Picture Card|microSD Card,12700000,http://www.olympusamerica.com,1 Year,15.30 oz,4.3 in,,,,,,,,,,,,,5x,4.60 mm to 119.60 mm,,26 X,,,,,,,,,,,,,,,,,,22 MB,2.8 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vivitar ViviCam X020 Red Digital Camera (10.1 MP, 3x Opt) Price Comparison at Buy.net",,Point & Shoot Digital Camera,,10100000 pixels,,Built-in Flash,,,,,USB,2 in,,,,,http://www.vivitar.com/products/1/digital-cameras/1034/vivicam-x020,1 year(s),0.67 lbs,,,,,,,,,,,,,,4 X,36 mm to 108 mm,,3 X,,,,,,,,,,,,,,,,,,,2.8 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coleman 2V7WPO Orange Digital Camera (14 MP, SDHC/microSD Card Slot) Price Comparison at Buy.net",Body Only,Point & Shoot Digital Camera,1.1 in,14 pixels,Water Proof|Shock Resistant|Freeze Proof,,,2.5 in,CMOS,,USB,2.7 in,,640 x 480 (VGA),Secure Digital High Capacity (SDHC) Card|microSD Card,,http://www.coleman.com/Home,1 year(s),6.4 oz,3.8 in,,,,,,,,,,,,,8 X,,,,,,,,,,,,,,,,,,,,,,2.8 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fujifilm FinePix T400 16 Megapixel Compact Camera - Blue (3"" LCD - 10x Optical Zoom - Optical IS - 4608 X 3440 Image - 1280 X 720 Video - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,1.1 in,16 Megapixel,,Auto Flash|Flash ON|Flash OFF|Slow Sync|Red-eye Reduction,,2.3 in,CCD,Optical,,3 in,,1280 x 720,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC),,http://www.fujifilm.com,1 Year Limited,5.00 oz,4.1 in,,Fujifilm,Yes,Shooting Modes:SR AutoAutoNatural Light & with FlashNatural LightPortraitBabySmile & ShootLandscapeMotion PanoramaSportNightNight (Tripod)FireworksSunsetSnowBeachPartyFlowerText,Programmed AE,No,No,1.0,,Yes,T400,No,7.2x,5 mm to 50 mm,28 mm to 280 mm 28 mm to 280 mm,10 X,Yes,,No,Yes,NP-45A / NP-45B,Yes,No,Yes,ISO 3200,,8 Second,30 fps,,FinePix,,1/2000 Second,Automatic Scene RecognitionFineShadeFluorescent Light (Daylight)Fluorescent Light (Warm White)Fluorescent Light (Cool White)Incandescent Light,,,RoHS|REACH,10 Elements in 8 Groups,7.2,58.42,10.0,5.0,T,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon Coolpix S800c White Digital Camera (16 Megapixel - 3.5"" Touchscreen OLED - 10x Optical Zoom - Optical, Electronic IS - 4608 X 3456 Image - 1920 X 1080 Video - HDMI - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,1.1 in,16 Megapixel,,Auto Flash|Pre-flash,,2.4 in,CMOS,Optical|Electronic,,3.5 in,,1920 x 1080,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card,16800000,http://www.nikon.com,1 Year,6.50 oz,4.4 in,,,,,,,,,,,,,4x,4.50 mm to 45 mm,25 mm to 250 mm,10 X,,,,,,,,,,,,,,,,,,,,RoHS|WEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kodak ZxD Digital Camcorder - 2"" LCD - CMOS - HD (16:9 - QuickTime MOV, MPEG-4 - 2x Digital Zoom - 128 MB Flash Memory - Microphone, Speaker - HDMI - USB - Flash Memory, Memory Card) Price Comparison at Buy.net",,Digital Camcorder,0.8 in,,,,,4.2 in,CMOS,,,2 in,,1280 x 720,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card,,http://www.kodak.com,1 Year,3.17 oz,2.0 in,,Kodak,,,,,,,B003P2V4OQ,,ZxD,,2x,4.10 mm,,,,,,Yes,,Yes,,,,,,60 fps,,,,,Auto,,,,,2.0,0.0042,,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
