3d mode,<page title>,age filter code,age range maximum,age range minimum,alaska hawaii 1 day upcharge or override,alaska hawaii 2 day upcharge or override,alaska hawaii ground upcharge or override,alaska hawaii upcharge or override,anti shake mode,aperture,assembled dimension width,assembled dimension width uom,bpp bucket,bpp eligible,bubble control,builtin memory,camera color,camera pixel count,camera style,can be giftwrapped,chamber in,channel availability,choke,color,compatible battery,continuous advance fps,corp national status,customer purchase limit,date 1st available online,depth inches,digital zoom,effective megapixel count,electronic flash,exposure modes,fits,flash,focus modes,freight class,fulfillment option,gauge,hazmat warning,hdmi mini,height inches,image format,interest,keyfeatures,lcd display size inches,lcd viewer,length in,lens,lower 48 1 day upcharge or override,lower 48 ground upcharge or override,lower 48 upcharge or override,lower48 2 day upcharge or override,manufacturer age range,manufacturer part number,manufacturers age range maximum,manufacturers age range minimum,megapixels,model,movie mode,notify me when available,optical zoom,outlet,payrunnercarteligible,play_type,power supply type,preschool,product demo url,registerable,removable memory type,scene modes,self timer,sensitivity,sensor,shutter speed,sku,skuprice,sound,specification,still image resolution max,still picture capture,storage media type,style,taxable,trackinglinkbaseurl,trackinglinkuri,tru age range,tru skn,type,usb port,video movie capture,voltage,weight pounds,white balance,width inches,camera type,interchangeable lens camera format,display screen,focus mode,internal memory,memory type,pictbridge,pixel count,resolution,select camera style,select media,standard warranty,compatible with macintosh,compatible with windows pc,manufacturers warranty hardware,optical viewfinder,screen size,analog audio video mini,card slot,digital slr,filterwide angle capability,hdmi,image stabilization,kit,lens mount,batteries,batteries required,battery quantity 1,battery type 1,etoys shoprunner eligible,faos shoprunner eligible,iship eligible,payrunnerpdeligible,primary_category,skills,trus shoprunner eligible,upceanisbn,accessory shoe,battery charger,viewfinder,microphone,speakers,text attribute 1,text attribute 2,text attribute 3,text attribute 4,text attribute 5,waterresistant,promo financing available,lcd size in,touch screen,ac adapter,batteries needed,35mm equivalent zoom ratio,exposure compensation,external flash,flash modes,macro focus,maximum aperture,records video,sgpmoviemode,sgpopticalzoom,sgpresolution,still image file formats,wifi mode,country of origin,countryornowool,focus distance,metering,print modes,storage media,tru age filter,video output,touch panel lcd,aspect ratio,boy girl,brand name,camera resolution,dimensions,effective resolution,image formats,interfacesports,lens type,manufacturer,manufacturer website address,product type,total resolution,viewfinder type,finish,weight,image stabilizer,shooting modes,shutter speed range,charger,face detection,espn shoprunner eligible,fog shoprunner eligible,team shoprunner eligible,tsa shoprunner eligible,hd video,wifi networking,hdmi version,price range,aperture range,battery life,battery type,depth,focal length,height,interface,width,waterproof,body only,safety warnings,remote control,aa batteries,copyright,display resolution,display screen type,product details,toddler,brand,select,batteries included,content complete,manual controls,35mm digital slr lenses fits,fits camera made by,lens coverage,lens series,battery,camera flash,dimensions wxdxh,display,expansion slots,exposure metering,focus adjustment,integrated memory,lens aperture,lens system,light sensitivity,maximum shutter speed,memory,min focus range,minimum shutter speed,optical sensor resolution,optical zoom measurement,product description,red eye reduction,sensor resolution,supported battery,supported flash memory,technology,timer,unique features,imaginarium,product dimensions,product weight,lamp life,lamp power,laptop accessory type
Stills only,(not Provided) | Nikon Coolpix S3300 Digital Camera - Black Reviews - Buzzillions.com,"050,060 050 070 050,060,070,080 040,050 080",120 60 168 84 300,84 36 144 60 180,99.99,79.99,59.44 40.9 70.77 77.86 73.6 69.99,F,Yes,f/3.3-6.5 f/3.5-5.9,0,IN,3781960,Yes,New,26MB 42MB,Pink Purple Red,16 Megapixel,Point & Shoot with Zoom Lens,Yes,3.0,Online Only,"Fixed Choke, Improved Cylinder Fully Rifled Rem Choke 2",Black White Blue,EN-EL19 EN-EL12,1.3 6.9,X A,4,26-JUN-11 13-MAY-12 27-JUL-11 25-MAY-10 10-MAY-11 27-JUN-11 27-SEP-12 28-JUL-11 29-AUG-11 30-AUG-11,0.8 1.3,4,16,Built-in,Program Auto,Nikon,Built-in,Auto Center AF Face Priority Focus lock Manual Subject tracking,ANY TRU_SHPG,"SP SP,ISP",12 20,N,Side Output,2.3 2.5,JPEG,Outdoors,"12 Ga. 3"" Chamber 21"" Cantilever Barrel Matte Finish Polished Blue Finish",2.7 3.0,2.7 Inch 3 Inch,18.5 20 21 23 28,Zoom Lens,39.99,18 24 24.96 12 15.99 31.12,F,29.99,7 years and up 5 years and up 5 - 7 years 12 years and up 15 years and up 5 - 12 years 5 - 15 years 3 - 12 years,CPS3300SLVTRU 98201 26611 26601 26311 26301 26201 24311 24301 23581 23461 23312 23311 22031 22021,84 300 180 144,84 60 36 180 144,16,Wingmaster&reg; Standard Contour Special Purpose Deer Special Purpose Premier Deer Express&reg; Deer Express Deer Cantilever w/Scope Cantilever,MPEG4 MOV AVI Motion JPEG 960 x 540 320 x 240 1920 x 1080 1280 x 720 640 x 480,Yes,6x 6 18x 18,Yes,Yes,Outdoor,Camera Batteries,Yes,http://www.youtube.com/watch?v=_6zaK3pzVys,Yes,Secure Digital SDXC SDHC,Party/Indoor Pet Portrait Scene Auto Selector Sports Sunset Landscape Food Fireworks Dusk/Dawn Copy Close-up Night Landscape Beach/Snow Back Light 3D Photo Museum Night portrait Panorama Assist,10 Seconds 2 Seconds,ISO 125-3200 ISO 80-3200,CCD CMOS,1/2000-1 sec.,182155 211170 211178 211179 211180 211186 211187 211188 211189 211191 211192 211193 211194 238935 238936 238951 250793 211195,109.9900 114.9900 129.9900 139.9900 159.9900 175.9900 189.9900 199.9900 349.9900 44.9900 59.9900 74.9900 99.9900,Yes,Description,4608 x 3456,Yes,SD - SDHC - SDXC,018208263158 22031 23241 23251 23311 23312 23461 23581 24301 24311 26201 26211 26301 26311 26681 26691 26770 26851,Y,http://www.beachaudio.com http://www.gandermountain.com http://www.meijer.com,/catalog/ /modperl/track.cgi?VPWRREV_401175+/modperl/product/details.cgi?r=view&i=401175&aID=503AH /modperl/track.cgi?VPWRREV_401216+/modperl/product/details.cgi?r=view&i=401216&aID=503AH /modperl/track.cgi?VPWRREV_402873+/modperl/product/details.cgi?r=view&i=402873&aID=503AH /modperl/track.cgi?VPWRREV_402876+/modperl/product/details.cgi?r=view&i=402876&aID=510J1I /modperl/track.cgi?VPWRREV_402877+/modperl/product/details.cgi?r=view&i=402877&aID=510J1I /modperl/track.cgi?VPWRREV_402879+/modperl/product/details.cgi?r=view&i=402879&aID=510J1I /modperl/track.cgi?VPWRREV_402880+/modperl/product/details.cgi?r=view&i=402880&aID=510J1I /modperl/track.cgi?VPWRREV_402884+/modperl/product/details.cgi?r=view&i=402884&aID=510J1I /modperl/track.cgi?VPWRREV_402885+/modperl/product/details.cgi?r=view&i=402885&aID=503AH /modperl/track.cgi?VPWRREV_402888+/modperl/product/details.cgi?r=view&i=402888&aID=510J1I /modperl/track.cgi?VPWRREV_402890+/modperl/product/details.cgi?r=view&i=402890&aID=510J1I /product_info.php?products_id=156015&src=pwr,12 - 14 years 15 years and up 3 - 5 years 5 - 10 years 5 - 7 years 7 years and up,173269 183382 183390 183420 183428 183536 217104 741364 741429 742061 742069 752238 769272 769780 840450,2 - 7 x 32 scope Cantilever Scope Mount Rifle Sight Ventilated Rib,Mini-B,1280x720 1920x1080,3.7 V DC,0.47,Flash Fluorescent Incandescent Manual Auto Cloudy Daylight,3.8 4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(not Provided) | Panasonic Lumix DMC-GX7 Mirrorless Micro Four Thirds Digital Camera with 14-42mm f/3.5-5.6 Lens (Black) Reviews - Buzzillions.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 Megapixels,Panasonic DMC-GX7,,,,,,,,,,,,,,,,,,,,Description,,,,,,,,,,,,,,,,,Compact System / Mirrorless Cameras,Micro Four Thirds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Kodak M893 IS Digital Camera, 8.1 Megapixel, 3x Optical, 5x Digital Zoom, 2.7"" LCD Screen, Purple Reviews | Buzzillions.com",,,,,,,,Yes,,,,,,,32MB,Silver Red Purple Black Blue,,,,,,,Pink Silver,,,,,,,5x,,,,,,,,,,,,,,,,,2.7 Inch,,Zoom Lens,,,,,,,,,8.1,0004177111217,,,3x,,,,,,,,,,,,,,147330 PINK 144881 SILVER 8.1 Megapixels,179.9500 159.9900,Yes,Description,,,Secure Digital (SD),M893IS,Y,http://www.meijer.com http://www.beachaudio.com,/product_info.php?products_id=145378&src=pwr /product_info.php?products_id=147344&src=pwr /catalog/,,,,,VGA - Up to 640x480,,,,,,,"2.7"" Color LCD 230 Kilopixels","Auto Focus Auto Focus - Multi-zone AF (5 point), Center zone",32MB,Secure Digital Memory,Compatible,8 Megapixel,8.1 Megapixels,Point & Shoot with Zoom Lens,"Internal Memory,Secure Digital Cards(SD),Secure Di",1 Year 1 Year(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(not Provided) | Canon PowerShot ELPH 110 HS Digital Camera - Blue Reviews - Buzzillions.com,,,,,,,,Yes,f/2.7 - 5.9,,,,,,,Silver / Gray Pink Green,16 Megapixel,Point & Shoot with Zoom Lens,,,,,Black,NB-11L,,,,,0.8,4 4x,16.1,Built-in,,,Auto Built-in Off On Slow Synchro,,,,,,Side Output,2.2,JPEG,,,3.0,3 Inch,,Zoom Lens,,,,,,,,,16,,640 x 480 1920 x 1080 1280 x 720 320 x 240,,5x,,,,,,,,Secure Digital SDHC SDXC,,Yes,ISO 100-3200,CMOS,,250529 240328 Black,249.9900,Yes,Description,4608 x 3456,Yes,SD - SDHC - SDXC,013803145649 CANPS110HS,Y,http://www.meijer.com,/catalog/,,,,Mini-B,1920x1080,,,Daylight Fluorescent Custom Cloudy Auto Tungsten Bulb,3.7,,,,,,,Compatible,,,,,,Yes,Yes,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pentax K2000 Slr Digital Camera Review | Pentax K2000 10.2 Mega Pixel Digital SLR Camera (Body Only) Reviews - Buzzillions.com,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Built-in,,,,,,,,,,,,,,,2.7 Inch,,Not Included,,,,,,,,,10.2,17311,,,,,,,,,,,,,Yes,,,30 to 1/4000 Second,155017,499.9500,,Description,,Yes,Secure Digital (SD),17311,Y,http://www.meijer.com http://www.beachaudio.com,/catalog/ /product_info.php?products_id=264383&src=pwr,,,,,,,,,,,,,,,,Compatible,10 Megapixel,,Interchangeable Lens SLR's,,,Yes,Yes,1 Year,Yes,"2.7""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"26""(L) x 18""(W) x 14""(H)- Staples Corrugated Shipping Boxes, 10/Bundle Reviews | Buzzillions.com",,,,,,,,Yes,f/3.2-6.5,,,,,,45MB,Pink Black Yellow Purple Silver / Gray,14 Megapixel,Point & Shoot with Zoom Lens,,,,,Silver,EN-EL19,3,,,,0.8,4,14,Built-in,,,,Manual 9 point AF Subject tracking Center AF Face Priority,,,,,,2.3,JPEG,,,2.7,2.7 Inch,,Zoom Lens,,,,,,,,,14,,AVI Motion JPEG 1280 x 720,,5x 5,,,,,,,,SDXC Secure Digital SDHC,Night portrait Scene Auto Selector Backlight Night Landscape Party/Indoor Pet Portrait Panorama Assist Black and White Copy Food Beach/Snow Fireworks Landscape Dusk/Dawn Close-up Museum Sunset Sports,Yes 2 Seconds 10 Seconds,ISO 80-3200,,1/2000-1 sec.,215642 Silver,139.9900,,Description,4320 x 3240,Yes,SD - SDHC - SDXC,26262,Y,http://www.meijer.com,/catalog/,,,,Mini-B,1280x720 720p,,0.3,Manual Auto,3.7,,,,,,,Compatible,,,,,,Yes,Yes,1 Year,,,Side Output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exilim Ex-z800 | Casio Exilim EX-Z800 Digital Camera (Pink) Reviews - Buzzillions.com,,,,,,,,Yes,,,,,,,,Black Silver Yellow Vivid Pink,14 Megapixel,Point & Shoot with Zoom Lens,,,,,,,,,,,,6x,,Built-in,,,,,,,,,,,,,,,2.7 Inch,,Zoom Lens,,,,,,,,,14,0007976749411,,,4x,,,,,,,,,,,,,,202608,153.9900,Yes,Description,,Yes,SD - SDHC,EXZ800YW,Y,http://www.meijer.com,/catalog/,,,,,1280x720,,,,,,,"2""7""",Auto,"14""50 MB",Secure Digital (SD) Card,,,"14""1 Megapixel",,,1 Year Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sony Dslr A390l 18-55mm Kit | Sony DSLR-A390L Kit 14-megapixel Digital SLR with 18-55mm f/3.5-5.6 Zoom Lens Reviews - Buzzillions.com,,,,,,,,Yes,,,,,,,,Black,14 Megapixel,Interchangeable Lens DSLR's,,,,,,NP-FH50,2.5,,,,3.28,,14.2,Built-in,Program AE Auto Flash Off Aperture-Priority AE Shutter-Priority AE Manual Auto,,Auto Built-in with Red Eye Reducer Fill Slow Synchro Rear sync.,Manual Focus lock Automatic AF 9 point AF Single-shot AF Continuous AF AF (Auto Focus) Illuminator,,,,,,3.82,RAW JPEG,,,2.7,2.7 Inch,,Zoom Lens,,,,,,,,,14,0002724279828,,,3x 3.1x,,,,,,,,Secure Digital Memory Stick Pro Duo SDHC,Sports Portrait Night portrait Sunset Night View Macro Landscape,Yes,ISO 100-3200,,,,,,Description,4592 X 3056,Yes,Memory Stick Pro Duo / SDHC,,,,,,,,Mini-B,,,1.09,Daylight Cloudy Tungsten Bulb Shade Fluorescent Flash Custom Auto,5.04,,,"2.7""",Auto,,Memory Stick PRO Duo,Compatible,,14.2 Megapixel,,,1 Year Limited,Yes,Yes,1 Year,Yes,,,Secure Digital SDHC Memory Stick Pro Duo,Body With Lens,55mm,Side Output,SteadyShot INSIDE,Yes,Minolta Sony Alpha Mount Konica Minolta AF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fox One Fine Day (DVD) Reviews | Buzzillions.com,,,,,,,,Yes,,,,,,,,Black,12 Megapixel,Point & Shoot with Zoom Lens,,,,,,,,,,,,,,Built-in,,,,,,,,,,,,,,,2.7 Inch,,Zoom Lens,,,,,,,,,12.1,,,,4x,,,,,,,,,,,,,,114739,5.7200,,Description,,Yes,Memory Stick Pro Duo / SDHC,FOX2005763DD,Y,http://www.meijer.com,/catalog/,,,,,VGA - Up to 640x480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fujifilm FinePix JV200 14MP Digital Camera (Black) Reviews | Buzzillions.com,,,,,,,,Yes,,,,,,,,Black,14 Megapixel,Point & Shoot with Zoom Lens,,,,,,,,,,,,,,Built-in,,,,,,,,,,,,,,,2.7 Inch,,Zoom Lens,,,,,,,,,14,0007410100760,,,3x,,,,,,,,,,,,,,215125,109.9900,,Description,,Yes,SD - SDHC,16113550,Y,http://www.meijer.com,/catalog/,,,,,1280x720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"VTech Kidizoom Camera, Pink Reviews | Buzzillions.com","040,050",60,36,,,,,,,0,IN,3781960,Yes,,,,,,Yes,,,,,,,A X,4,31-JUL-10 14-JUL-11,,,,,,,,,ANY,"SP,ISP",,N,,,,Gadgets & Technology,,,,,,,,,,3 years and up,80-106950 80-122750 80-122700 80-106900,300,36,,10532772,,Yes,,,Yes,Indoor,,Yes,,Yes,,,,,,,229308 230324,39.9900,,Description,,,,3417761227008 122750,Y,http://www.meijer.com,/catalog/,3 - 5 years,354357 709230 354331 709219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,batteries are required (not included) 4 AA batteries are required (not included) 4 batteries are required (not included),Yes,4,AA,Yes,Yes,Yes,Yes,Learning & More,Early Academics,Yes,3417761227008 3417761069509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
