<page title>,brand,date added,manuf no,our price,part no,rating,rrp,ship weight,usually ships,you save,ac power supply,ae lock,af assist beam,af lock,af modes,af system points,batteries,battery life,builtin flash range,closest focusing distance,continuous shooting,dimensions wxhxd,drive modes,exposure compensation,external flash,flash exposure compensation,flash exposure lock,iso sensitivity,metering modes,modes,modes in movie,movie length,movies,operating environment,redeye reduction,slow sync speed,still image type,type,weight,zoom,focal length,image stabilisation,,battery batteries,battery life shots per charge,charging time,exposure control,exposure metering,exposure modes,incamera image editing,power sources,scene modes,battery charger,exposure bracketing,flash sync speed,focus modes,image sensor type,lens mount,metering range,shooting modes,continuous shooting options,selftimer,shutter,shutter speed,top continuous shooting speed at full resolution,aeb,af microadjustment,af point selection,af working range,aspect ratio,battery grip,battery indicator,body materials,brightness adjustment,builtin flash coverage,builtin flash gn iso 100 meters,builtin flash recycle time,case,coating,colour filter type,coverage,coverage verticalhorizontal,custom functions,depth of field preview,dioptre correction,display formats,display options,effective pixels,external flash compatibility,external flash control,eyepiece shutter,eyepoint,file numbering,firmware update,flash,flash exposure bracketing,focusing,focusing screen,folders,frame rate,highlight alert,histogram,hotshoe pc terminal,image eraseprotection,image size,intelligent orientation sensor,lcd panel illumination,lenses,lowpass filter,magnification,manual focus,menu categories,menu languages,metadata tag,metering,mirror,movie size,movie type,other,playback zoom,power saving,power supply battery chargers,predictive af,rawjpeg simultaneous recording,remote controller switch,second curtain synchronisation,selected af point display,sensor cleaning,slide show,sound memo,speed,total pixels,viewfinder,viewfinder information,viewing angle horizontallyvertically,water dust resistance,weight body only,wireless file transmitter,xsync,exposure lock,f,file size kb,large l1,medium 1 m1,medium 2 m2,medium m,small s,current displayed product preselected for you,afarea mode,autofocus system,builtin flash,bulb shutter setting,card slot,date time and daylight savings time settings,dustreduction system,exposure metering system,fastest shutter speed,file format,file system,flash compensation,flash control,flash mode,flashready indicator,focus lock,frame advance rate,guide number,image area pixels,image sensor format,metering method,movie,movie audio recording device,movie audio recording format,movie file format,movie metering,movie metering method,movie video compression,picture angle,picture control,remote control modes,sensor size,shutter release modes,shutter type,slowest shutter speed,storage media,supported languages,world time setting,compensation,iso equivalent,media,metering system,mode,recording,ac adapter,accessory shoe,active dlighting,advanced scene modes,approx dimensions,approx weight,autoarea af mode,autofocus sensitivity,compatible lenses,dlighting bracketing,dynamic af mode,exposure meter coupling,flash sync modes,focus point,gps,high iso noise reduction,highest expanded iso sensitivity,highest standard iso sensitivity,image comment,interface,lens aperture,lens compatibility at a glance,lens servo,live view afarea mode,live view lens servo,live view scene auto selector,live view shooting,long exposure noise reduction,lowest standard iso sensitivity,maximum autofocus areaspoints,mirror lock up,monitor adjustments,monitor angle of view,monitor resolution,monitor size,monitor type,movie audio,movie maximum recording time,my menu,nikon creative lighting system cls,playback functions,recent settings,reflex mirror,singlepoint af mode,supplied accessories,supplied software,total custom settings,tripod socket,viewfinder diopter adjustment,viewfinder eyepoint,viewfinder frame coverage,viewfinder magnification,white balance,white balance bracketing,wifi functionality,large l,medium 1m1,medium 2m2,effective pixel,total pixel,afassist lamp,angle of view coverage,bracket,capacity 2gb,color filter,color space,compression,continuous,editing,filed of view,focusing point,format,macintosh,movie editing,multimotion recording,quality,raw format,remote controller,resolution,sensor type,size,smart filter,smart mode,sound,sync speed,synchro flash attachment,user display,windows,wireless
Nikon Coolpix L29 Digital Camera - Red (VNA682AA) | Camerafarm Australia,Nikon Web Site,5/6/2014,VNA682AA,87.55,318687.0,Not Rated,$89.00,"2 KG
Details","Order In
More info",$1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony DSC-W810/B Digital Camera - Black (DSCW810B) | Camerafarm Australia,Sony Web Site,2/7/2014,DSCW810B,141.55,365824.0,Not Rated,$149.00,"2 KG
Details","1-3 Days
More info",$7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon IXUS145R Digital Camera - Red | Camerafarm Australia,Canon Web Site,1/4/2014,IXUS145R,98.7,316041.0,Not Rated,$129.00,"2 KG
Details","1-3 Days
More info",$30.30,"Optional, AC Adapter Kit ACK-DC90",Yes,Yes,Yes,"Single, Continuous (Auto mode only), Servo AF/AE, Tracking AF Some settings limit availability.","AiAF (Face Detection / 9-point), 1-point AF (fixed to centre)",Rechargeable Li-ion Battery NB-11L (battery and charger supplied),"Approx. 230 shots
Eco Mode: Approx. 310 shots
Approx. 240min. playback",50cm 3.0 m (W) / 1.3 1.5 m (T),1 cm (W) from front of lens in macro,"Approx. 0.8 shots/sec. (until memory card becomes full) Under conditions where the flash does not fire.
Depending on memory card speed / capacity / compression setting.",95.2 x 54.3 x 22.1 mm,"Single, Continuous, Self-Timer","+/- 2 EV in 1/3 stop increments.
Enhanced i-Contrast for automatic dynamic range correction","Canon High Power Flash HF-DC1
Canon High Power Flash HF-DC2","Face Detection FE, Smart Flash Exposure",Yes,"AUTO, 100, 200, 400, 800, 1600","Evaluative (linked to Face Detection AF frame), Centre-weighted average, Spot (centre)","Auto, Manual Flash On / Off, Slow Synchro Smart Auto (32 scenes detected), P, Portrait, Live View Control, Digital IS, FaceSelf-Timer, Low Light (4.0 MP), Fish-eye Effect, Miniature Effect, Toy Camera Effect, Monochrome, Super Vivid, Poster Effect, Snow, Fireworks, Long Shutter","Smart Auto (21 scenes detected), P, Portrait, Miniature Effect, Monochrome, Super Vivid, Poster Effect, Snow, Fireworks","The following Speed Class memory cards are required for maximum record time: (HD) 1280 x 720 Speed Class 4 or above. (Full HD) 1920 x 1080 Speed Class 6 or above. (iFrame) 1280 x 720 Speed Class 6 or above.
Depending on memory card speed / capacity / compression setting.",MOV [H.264 + Linear PCM (monaural) ],"0 40 C, 10 90% humidity",Yes,Yes. Fastest speed 1/2000 sec.,"JPEG compression, (Exif 2.3 [Exif Print] compliant) / Design rule for Camera File system, Digital Print Order Format [DPOF] Version 1.1 compliant",TTL,Approx. 127 g (including battery/batteries and memory card),Depending on the image size selected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon IXUS155S Digital Camera - Silver | Camerafarm Australia,Canon Web Site,27/2/2014,IXUS155S,153.1,314270.0,Not Rated,$199.00,"2 KG
Details","1-3 Days
More info",$45.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon IXUS145PR Digital Camera - Purple | Camerafarm Australia,Canon Web Site,1/4/2014,IXUS145PR,98.7,316042.0,Not Rated,$129.00,"2 KG
Details","Order In
More info",$30.30,"Optional, AC Adapter Kit ACK-DC90",Yes,Yes,Yes,"Single, Continuous (Auto mode only), Servo AF/AE, Tracking AF Some settings limit availability.","AiAF (Face Detection / 9-point), 1-point AF (fixed to centre)",Rechargeable Li-ion Battery NB-11L (battery and charger supplied),"Approx. 230 shots
Eco Mode: Approx. 310 shots
Approx. 240min. playback",50cm 3.0 m (W) / 1.3 1.5 m (T),1 cm (W) from front of lens in macro,"Under conditions where the flash does not fire.
Depending on memory card speed / capacity / compression setting. Approx. 0.8 shots/sec. (until memory card becomes full)",95.2 x 54.3 x 22.1 mm,"Single, Continuous, Self-Timer","+/- 2 EV in 1/3 stop increments.
Enhanced i-Contrast for automatic dynamic range correction","Canon High Power Flash HF-DC1
Canon High Power Flash HF-DC2","Face Detection FE, Smart Flash Exposure",Yes,"AUTO, 100, 200, 400, 800, 1600","Evaluative (linked to Face Detection AF frame), Centre-weighted average, Spot (centre)","Smart Auto (32 scenes detected), P, Portrait, Live View Control, Digital IS, FaceSelf-Timer, Low Light (4.0 MP), Fish-eye Effect, Miniature Effect, Toy Camera Effect, Monochrome, Super Vivid, Poster Effect, Snow, Fireworks, Long Shutter Auto, Manual Flash On / Off, Slow Synchro","Smart Auto (21 scenes detected), P, Portrait, Miniature Effect, Monochrome, Super Vivid, Poster Effect, Snow, Fireworks","The following Speed Class memory cards are required for maximum record time: (HD) 1280 x 720 Speed Class 4 or above. (Full HD) 1920 x 1080 Speed Class 6 or above. (iFrame) 1280 x 720 Speed Class 6 or above.
Depending on memory card speed / capacity / compression setting.",MOV [H.264 + Linear PCM (monaural) ],"0 40 C, 10 90% humidity",Yes,Yes. Fastest speed 1/2000 sec.,"JPEG compression, (Exif 2.3 [Exif Print] compliant) / Design rule for Camera File system, Digital Print Order Format [DPOF] Version 1.1 compliant",TTL,Approx. 127 g (including battery/batteries and memory card),Depending on the image size selected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony DSCTX30B Digital Camera - Black | Camerafarm Australia,Sony Web Site,9/4/2013,DSCTX30B,331.55,219165.0,Not Rated,$349.00,"2 KG
Details","Order In
More info",$17.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon IXUS150GY Digital Camera - Grey | Camerafarm Australia,Canon Web Site,27/2/2014,IXUS150GY,116.85,314271.0,Not Rated,$149.00,"1 KG
Details","1-3 Days
More info",$32.15,"Optional, AC Adapter Kit ACK-DC90",Yes,Yes,Yes,"Single, Continuous (Auto mode only), Servo AF/AE, Tracking AF Some settings limit availability.","AiAF (Face Detection / 9-point), 1-point AF (fixed to centre)",Rechargeable Li-ion Battery NB-11L (battery and charger supplied),"Approx. 210 shots
Eco Mode: Approx. 280 shots
Approx. 240min. playback",50cm 3.0 m (W) / 1.3 1.5 m (T),1 cm (W) from front of lens in macro,"Under conditions where the flash does not fire.
Depending on memory card speed / capacity / compression setting. Approx. 0.8 shots/sec. (until memory card becomes full)",95.2 x 54.3 x 22.1 mm,"Single, Continuous, Self-Timer","+/- 2 EV in 1/3 stop increments.
Enhanced i-Contrast for automatic dynamic range correction","Canon High Power Flash HF-DC1
Canon High Power Flash HF-DC2","Face Detection FE, Smart Flash Exposure",Yes,"AUTO, 100, 200, 400, 800, 1600","Evaluative (linked to Face Detection AF frame), Centre-weighted average, Spot (centre)","Smart Auto (32 scenes detected), P, Portrait, Live View Control, FaceSelf-Timer, Low Light (4.0 MP), Fish-eye Effect, Miniature Effect, Toy Camera Effect, Monochrome, Super Vivid, Poster Effect, Snow, Fireworks, Long Shutter Auto, Manual Flash On / Off, Slow Synchro","Smart Auto (21 scenes detected), P, Portrait, Miniature Effect, Monochrome, Super Vivid, Poster Effect, Snow, Fireworks","The following Speed Class memory cards are required for maximum record time: (HD) 1280 x 720 Speed Class 4 or above. (Full HD) 1920 x 1080 Speed Class 6 or above. (iFrame) 1280 x 720 Speed Class 6 or above.
Depending on memory card speed / capacity / compression setting.",MOV [H.264 + Linear PCM (monaural) ],"0 40 C, 10 90% humidity",Yes,Yes. Fastest speed 1/2000 sec.,"JPEG compression, (Exif 2.3 [Exif Print] compliant) / Design rule for Camera File system, Digital Print Order Format [DPOF] Version 1.1 compliant",TTL,Approx. 130 g (including battery/batteries and memory card),"Depending on the image size selected. Optical 8x
ZoomPlus 16x
Digital Approx. 4x
Combined Approx. 32x",5.0 40.0 mm (35 mm equivalent: 28 224 mm),"Values at maximum optical focal length. Cameras whose focal length exceeds 350mm (35mm equivalent) are measured at 350mm. Yes (lens shift-type), approx. 2.5-stop. Intelligent IS plus Enhanced Dynamic IS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon D7000 Digital SLR Camera - 16.2MP Black (791122) | Camerafarm Australia,Nikon Web Site,17/11/2010,791122,2280.0,159102.0,Not Rated,"$2,899.00","3 KG
Details","Order In
More info",$619.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Based on CIPA Guidelines.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon EOS 60D Digital SLR Camera - 18MP (60DKIS) | Camerafarm Australia,Canon Web Site,21/9/2010,60DKIS,1109.65,153201.0,Not Rated,"$1,149.01","3 KG
Details","1-3 Days
More info",$39.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon Coolpix S3600 Digital Camera - Pink (VNA554AA) | Camerafarm Australia,,,,,,,,,,,,,,,,,,,,,,,,2 EV in steps of 1/3,,,,,,,,,,,,,,,,,,,,Rechargeable Li-ion Battery EN-EL19,"Still pictures*: Approx. 230 shots Movies (actual battery life for recording)*: Approx. 45 min *Based on Camera and Imaging Products Association (CIPA) standards for measuring the life of camera batteries. Measured at 23(-/+2)C (73(-/+4)F); zoom adjusted with each shot, flash fired with every other shot, image quality set to Normal, image size set to 5152 3864 (20.1MP). Battery life may vary depending on shooting interval and length of time menus and images are displayed.",2 hours and 50 minutes (when using Charging AC Adapter EH-70P and when no charge remains) (Approx.),Programmed auto exposure Exposure compensation (-2.0 to +2.0 EV in steps of 1/3 EV),Matrix Center-weighted (digital zoom less than 2x) Spot (digital zoom 2X or more),Auto Scene Scene Auto Selector Smart Portrait,Copy Crop D-Lighting Filter Effects Glamour Retouch Print Order Protect Quick Retouch Red eye correction Rotate Image Slide Show Small Picture Voice Memo,One Rechargeable Li-ion Battery EN-EL19 (supplied) AC Adapter EH-62G (available separately),Back Light Beach Black and White Copy Close Up Dusk/Dawn Fireworks Show Food Landscape Museum Night Landscape Night Portrait Panorama Assist Party/Indoor Pet Portrait Portrait Snow Sports Sunset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
