<page title>,diameter x length,diaphragm blades,filter size,focal length,groupselements,maximum aperture,maximum magnification,minimum aperture,object distance,optical construction,weight,dimensions diameter,focusing distance,lens construction,number of diaphragm,aspect ratio,battery,dimensions w x h x d,effective pixels,focal length equiv,gps,hdmi,image stabilisation,iso sensitivity,lcd screen size inch,max aperture,max resolution,max shutter speed,movie size,optical zoom,sensor size,sensor type,storage type,total pixels,usb,weight inc batteries,wireless,continuous shooting fps,focal length fmm,image processor,lens mount,microphone,shutter speed,viewfinder,dimensions weight,exposure control,flash,others,picture size,power supply,shooting range focusing range,shutter,closest focusing distance,dimensions approx,maximum reproduction ratio,weight approx,auto power off time,film,film feeding out,film size,lens,shutter release,accessory,angle of view,diaphragm blade number,filter diameter,lens construction groupselements,macro mag ratio,minimum focus,model,type of zooming,aperture,autofocus,camera mount type,dimensions dxl,elementsgroups,filter thread,format compatibility,image stabilization,magnification,minimum focus distance,tripod collar,closest marked focusing distance m,dimensions dia x length extension from lens mount mm,filter attachment size mm,lens construction elements groups,weight g,angle of view for sd1,dimensions,minimum focusing distance,number of diaphragm blades,continuous shooting,lcd type,capacity,card type,class rating,read speed,speed rating,write speed,corresponding mounts,filter size mm,maximum magnifications,mininum aperture,operating temperature range,receptor head,type,flash synchronization,filterattachment size,focusing,no of diaphragm blades,iris blades,mount,builtin flash,digital zoom,file format,flash range,lcd monitor,self timer,shooting modes,manual focus,diameter x length extension from lens mount,picture angle,angle of view 35mm equivalent,dimensions diameter x length,maximum magnification ratio,35mm film equivalent focal length,af actuator,angle of view horzntl vertl diagnl,closest focusing distance m,distance information,filter diameter mm,image size,image stabilizer,lens construction elementsgroups,max diameter x length mm,maximum magnification x,the figures when used on apsc sized digital camera,diameter x llength,macro magn ratio,model no,mounts available,supplied accessories,audio recording,burst rate,color spaces,connectivity,exposure metering,exposure modes,external flash connection,file formats,flash modes,focus range,maximum effective flash range,memory card type,pixels,resolution,screen,sensor,software system requirements,video clip length,video recording,viewfinder type,white balance modes,wifi,zoom,battery type,operating temperature,power consumption,power source,flash duration,flashready indicator,construction,effect,filter factor,front filter thread size,front lens cap size,grade,multicoated,size,ac power adapter,bit depth,dimensions wxhxd,operatingstorage temperature,remote control,screen coverage,closest focussing distance m,dustmoisture resistance,autofocus points,camera format,dedicated flash system,diopter adjustment,display screen,dust reduction system,flash compensation,focus mode,focus type,interval recording,max sync speed,metering method,sensor type size,viewfinder coverage,viewfinder eye point,viewfinder magnification,viewfinder pixel count,wifi capable,available capacities,card dimension,compatibility,form factor,performancespeed,security,storage temperature,support,35mm equivalent focal length,accessory shoe,recording media,scene modes,video format,accessories,coating,compatible mount,aperture range,weightinclbattery,card dimensions,weightinc batteries,iso,measuring modes,measuring range,magnification extension tube ef12 ii,magnification extension tube ef25 ii,continuous shooting flash,continuous shooting jpeg,continuous shooting raw,full zoom focus shutter response,shot to shot with flash,shot to shot without flash,shutter response,switch on time to taking a photo,wide focus shutter response,sdhc card dimension,builtin memory,waterproofing,diagonal angle of view,hard case,horizontal angle of view,lens hood,magnification with extension tube ef12,bounce head,coverage,guide no,recycle time,ttl dedication,closest focus distance,focus modes,rotating,item no,mount type,applications,interface,aperture type,optical image stabilizer,overall length,standard accessories,focus method,apertureshutter priority,brightness difference,cine speeds,display readout,ev range iso100,exposure calibration,exposure memory,flash to ambient ratio,fstop display range,iso range,measuring system,multiple flash,shadowhighlight calculation,shutter speed ambient,shutter speed flash,format,maximum magn ratio,model no,supplied accessory,maxdiameter,aperture blades,min aperture,lens type,stabilisation,focus adjustment,bus interface speed,durability,swivel head,specialties,startup time,viewfinder size,depth mm,height mm,width mm,tiltshift,focal length maximum aperture,max diameter x length weight,audio format,image sensor,nfc,application,color temperature,macro magnification ratio,angle of view diagonal,compatible mounts,diameter,entire length 9,length 8,standard accessory,weight 10,working distance,package style,recording capacity gb,speed class,usable capacity gb,file size,focus,frame rate,minimum illumination,recording format,speaker,screen size,weight oz
Tamron AF 18-270mm f/3.5-6.3 Di II VC PZD Lenses - Canon Mount,[mm]: 74.4 x 96.4,: 7,[mm]: 62,[mm]: 18-270,: 13-16Angle of view: 75-6,: 3.5-6.3,"Ratio: 1:3,8",: 22-40Minimum,[m]: 0.49,: Rotation,[g]: 450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigma 10-20mm f/4-5.6 EX DC HSM Lenses - Nikon Mount,,,,,,,,F22 Minimum,,,470g,83.5mm X Length 81mm,24cm Maximum Magnification 01:06.7 Filter Size 77mm,14 Elements in 10 Groups Angle of View (SD Format) 102.4 - 63.8 degrees,Blades 6 Blades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon PowerShot S120 Digital Camera - Silver,,,,,,,,,,,,,,,,"1:1, 5:4, 4:3, 3:2, 16:9",NB-6LH,100.2 x 59.0 x 29.0 mm,12.1M,24 – 120 mm,GPS via mobile (linked to compatible smartphone),HDMI Micro,YES,"AUTO, 80, 100, 125, 160, 200, 250, 320, 400, 500, 640, 800, 1000, 1250, 1600, 2000, 2500, 3200, 4000, 5000, 6400, 8000, 10000, 12800",3,f/1.8-f/5.7,4000 x 3000,1/2500 sec,1920 x 1080,5x,"1/1.7""",BSI-CMOS,"SD, SDHC, SDXC (UHS Speed Class 1 compatible)",13M,2.0,217 g,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon D5200 Body Only Digital SLR Camera - Red,,,,,,,,,,,,,,,,3:2 (Horizontal; Vertical),EN-EL14,125 x 98 x 78 mm,Approx. 24.1 megapixels,,Optional,HDMI mini,No,"ISO 100-6400, expandable to Hi1 (ISO 12800) and Hi2 (ISO 25600)",3.0,,6000 x 4000,,"1920 x 1080
1280 x 720
640 x 424",,23.6 x 15.7,CMOS,SD/SDHC/SDXC (Compatible with UHS-I),Approx. 24.7 megapixels,2.0,555g,Optional,5,1.5x,Expeed 3,F mount,Built-in Stereo microphone or external stereo microphone,"30-1/4000 sec, bulb","Optical, 95% coverage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujifilm instax 210 Camera - Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"178.5 x 117.5 x 94.5mm(W x H x D)/610g (without batteries, strap and film pack and Close-up lens)","Automatic, Exposure compensation, Exposure compensation (Lighten-Darken Control): ± 2/3EV","Built-in, Automatic electronic flash",Strap and Close-up lens,62 x 99mm,"LR6/AA-size 1.5V alkaline batteries x4, Capacity: 10 film pack*",0.9m - ∞,Shutter speed: 1/64 - 1/200 sec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon AF-S Teleconverter TC-20E III,,,,,,,,,,,,,,7 elements in 5 groups (with one aspherical lens element),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Same as that of a prime lens,66 mm/2.6 in. (dia.) x 48 mm/1.9 in. (extension from camera’s lens mounting flange),Double that of a prime lens,330 g/11.6 oz.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon D5300 Kit with 18-55mm VR II Lens Digital SLR Camera - Black,,,,,,,,,,,,,,,,3:2 (Horizontal; Vertical),Lithium-Ion EN-EL14a or EN-EL14 rechargeable battery & charger,125 x 98 x 76 mm (4.92 x 3.86 x 2.99″),24 megapixels,1.5×,BuiltIn,Yes (Mini Type C),No,"Auto, 100 - 12800 (25600 with boost)",3.2″,N/A,6000 x 4000,1/4000 sec,N/A,No,APS-C (23.5 x 15.6 mm),CMOS,SD/SDHC/SDXC,24 megapixels,USB 2.0 (480 Mbit/sec),480 g (1.06 lb / 16.93 oz),Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon D610 Kit with AF-S 24-85mm VR Lens Digital SLR Camera,,,,,,,,,,,,,,,,3:2 (Horizontal; Vertical),EN-EL15,141 x 113 x 82mm,Approx. 24.26 megapixels,,Optional,HDMI mini,No,"ISO 100-6400, expandable to Lo-1 (ISO 50), Hi1 (ISO 12800) and Hi2 (ISO 25600)",3.2,,6016 x 4016,,"1920 x 1080
1280 x 720
640 x 424",,35.9 x 24.0mm,CMOS,SD / SDHC / SDXC,Approx. 24.7 megapixels,2.0,850g,Optional,6,1x,Expeed 3,F mount,Built-in monaural or external stereo microphone,"30-1/4000 sec, bulb","Optical, 100% coverage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujifilm Instax mini 8 Instant Film Camera - Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Real image finder, 0.37x, with target spot",116mm x 118.3mm x 68.2mm / 307g,Manual switching system (LED indicator in exposure meter),Constant firing flash (Automatic light adjustment),"Exposure counter (number of unexposed films), film pack confirmation window",62mm x 46mm,Two LR6/AA-size 1.5V alkaline batteries,0.6m - ∞,,,,,,5 min.,"Fujifilm Instant Color Film ""instax mini""",Automatic,86mm x 54mm,"2 components, 2 elements, f-60mm, 1:12.7",1/60 sec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamron SP AF 28-75mm f/2.8 XR Di LD Aspherical IF Macro Lenses -Sony Mount,73mmx 92mm,,,,,,,F/32,,,510g (18.0oz.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lens hood,75-32 Degrees,7,67mm,14/16,1:3.9 (at 75mm),"0.33m (13"") (entire zoom range)",AF09,Rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
