<page title>,camera type,deal first added on,ean13,last updated,lcd screen size,manufacturer,megapixels,optical zoom,product name,product number mpn,retail price,upc,dimensions,ean14,weight,manufactured in,megapixel range,redeye reduction,feature
Nikon Coolpix S9100 12.1 MP CMOS Digital on sale for $234.36,Point-and-Shoot,25-July-2011,0018208262472,09-October-2014,3 inches,Nikon,12.1 MP,18 x,Nikon Coolpix S9100 12.1 MP CMOS Digital Camera with 18x Zoom and Full HD Video (Silver),S9100 Silver,$329.00,018208262472,,,,,,,
Fujifilm FinePix S1 16MP Weather on sale for $365.90,Underwater,15-March-2014,0074101023961,09-October-2014,,Fuji Photo Film,,,Fujifilm FinePix S1 16MP Weather Resistant Digital Camera,FinePix S1,$499.95,074101023961,,,,,,,
Nikon D300 DX Digital SLR Camera on sale for $1699.99,SLR,11-October-2007,0018208254323,09-October-2014,,Nikon,,,Nikon D300 DX Digital SLR Camera (Body Only),,$2117.99,018208254323,8.3 x 8 x 6.3 in.,00018208254323,7 lbs.,,,,
Sony Cybershot DSC-WX150 18.2MP Digital on sale for $174.95,Point-and-Shoot,23-November-2012,0027242844124,09-October-2014,,Sony,,,Sony Cybershot DSC-WX150 18.2MP Digital Camera with 10x Optical Zoom (Black),DSCWX150/B,$249.00,027242844124,,,,Made in USA,,,
Sony Cybershot DSC-M2 5.1MP Digital on sale for $505.98,,5-January-2006,0027242679160,09-October-2014,,Sony,,,Sony Cybershot DSC-M2 5.1MP Digital Camera with 3x Optical Wide Zoom,DSC-M2,$549.99,027242679160,2 x 5 x 0.25 in.,00027242679160,1 lbs.,,,,
Canon PowerShot SX280 HS 12.1 MP CMOS on sale for $249.00,,1-November-2013,0845251035902,09-October-2014,,Canon,,,"Canon PowerShot SX280 HS 12.1 MP CMOS Digital Camera with 20x IS Zoom Bundle with 16 GB SDHC Memory Card, BP-6L Battery Pack, Carrying Case, SD USB Card Reader",E3CNPS280,$399.00,845251035902,,,,,,,
Replacement Battery For Sony Alpha NEX-3 on sale for $19.90,,2-June-2011,0628586165151,09-October-2014,,ButterflyPhoto,,,Replacement Battery For Sony Alpha NEX-3 Nex-5 SLR NP-FW50 Batteries 1500 mAH + Lens Cleaning Kit,,$49.95,628586165151,,,,,,,
Canon EOS 6D Digital SLR Camera on sale for $2313.05,,30-December-2013,0616316805750,09-October-2014,,GID,,,"Canon EOS 6D Digital SLR Camera with IS 24-105mm, 24 GB and More",EOS 6D,,616316805750,,,,,,,
Nikon D5300 24.2MP Digital SLR Camera on sale for $847.82,SLR,24-November-2013,0018208133031,09-October-2014,,Nikon,,,Nikon D5300 24.2MP Digital SLR Camera with 18-140mm f/3.5-5.6G ED VR AF-S DX Zoom Lens,,$1399.95,018208133031,,,,,,,
Canon EF-S 55-250mm f/4.0-5.6 IS on sale for $140.67,SLR,6-April-2008,0662425809073 0013803079371,09-October-2014,,Canon,,,Canon EF-S 55-250mm f/4.0-5.6 IS Telephoto Zoom Lens for Canon Digital SLR Cameras (2044B002),2044B002,$400.00,662425809073 013803079371,4.3 x 2.5 x 2.5 in.,00013803079371,1 lbs.,,,,
Sony Cyber-Shot DSC-W530 14.1MP Digital on sale for $99.00,2300810,5-May-2011,0027242808560,09-October-2014,2.7 inches,Sony,14.1 MP,4 x,Sony Cyber-Shot DSC-W530 14.1MP Digital Camera with 4x Zoom Lens (Black),DSCW530/B,$129.99,027242808560,,,,,,,
Canon EOS 60D Digital SLR Battery Kit on sale for $34.90,,22-October-2010,,09-October-2014,,ButterflyPhoto,,,Canon EOS 60D Digital SLR Battery Kit Includes Extended Replacement LP-E6 (2600 mAH) Battery + Ac/Dc Rapid Travel Battery Charger + LCD Screen Protectors,,,,,,,,,,
Sony Cyber-shot DSC-HX300 Digital Camera on sale for $484.84,,1-November-2013,0175825127093,09-October-2014,,Sony,,,"Sony Cyber-shot DSC-HX300 Digital Camera With CS Starters Kit: Includes 8GB SDHC Memory Card, SD Card Reader, Sony NP-BX1 Replacement Battery, Rapid Charger, Case, 3 Year Extended Warranty, Cleaning Kit, Lens Pen and More...",,,175825127093,,,,,,,
Casio Exilim EX-FH25 10.1MP Digital on sale for $1260.99,Point-and-Shoot,19-November-2010,0079767493264,09-October-2014,3 inches,Casio,10.1 MP,20 x,Casio Exilim EX-FH25 10.1MP Digital Camera with 20x IS Zoom,FH25 Black,$449.99,079767493264,,,,,,,
Sony Alpha SLT-A77 Translucent Mirror on sale for $618.74,SLR,10-December-2013,0027242833067,09-October-2014,,Sony,,,Sony Alpha SLT-A77 Translucent Mirror Digital SLR Camera (Body Only),SLTA77V,$1399.00,027242833067,,,,Made in USA,,,
Canon EOS 6D Digital SLR Camera on sale for $2387.94,,30-December-2013,0616316805385,09-October-2014,,GID,,,"Canon EOS 6D Digital SLR Camera with 24-105mm IS, 24 GB and More",EOS 6D,,616316805385,,,,,,,
Fujifilm X100 12.3 MP APS-C CMOS EXR on sale for $849.89,,20-July-2012,0662425801244,09-October-2014,,Fuji,,,Fujifilm X100 12.3 MP APS-C CMOS EXR Digital Camera with 23mm Fujinon Lens and 2.8-Inch LCD 8GB SDHC Super Accessory Saver Kit,FINEPIX X100 16,,662425801244,,,,,,,
