<page title>,ac power adapter,additional zoom,approx resolution,aspect ratio,battery,builtin flash,builtin memory,burst rate,camera type,canon pixma pro1 pro10 or pro100 printer,colour,connectivity,digital point and shoot camera,digital zoom,display screen type,effective pixels,exposure modes,external flash connection,file formats,flash modes,focus range,image stabilization,iso sensitivity,lens,memory card type,metering method,operatingstorage temperature,optical zoom,remote control,screen size,self timer,sensor typesize,shutter,viewfinder type,warranty,white balance modes,1 star,2 star,3 star,4 star,5 star,dustproof,shockproof,waterproofing,aperture,dimensions,exposure compensation,exposure control,flash,lcd monitor,shooting modes,shutter speed,weight,dimensions wxhxd,angle of view,aperture max min,audio recording,autofocus,camera mount type,diaphragm blades,dimensions dxl,file size,filter thread,focal length,format compatibility,groupselements,maximum closeup magnification,minimum focus distance,tripod collar,video recording,video resolution,maximum aperture
SIGMA DP1 MERRILL 19MM F2.8 CAMERA DP1M,N/A,None,46MP,3:2,Rechargeable Lithium Ion Battery Pack,No,N/A,N/A,Advanced,.,Black,USB 2.0,.,None,LCD Rear Screen,46MP,"Modes: Aperture Priority, Manual, Program, Program Shift, Shutter Priority
Compensation: -3 EV to +3 EV (in .33 EV steps)",Hot Shoe,"JPEG, RAW",None,"Auto: 7.87"" (20 cm) - Infinity",None,N/A,"9 elements in 8 groups
EFL: 19 mm (35 mm equivalent: 28 mm)
Aperture: f/2.8",SD/SDHC,"Center-weighted, Evaluative, Spot",N/A,None,N/A,"3.0""","2 Sec, 10 Sec",23.5x15.7mm CMOS,N/A,LCD Display,10 year warranty,"Auto, Cloudy, Custom, Daylight, Flash, Fluorescent, Incandescent, Overcast, Shade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OLYMPUS TG-850IHS SILVER 16MP 5X 3"" CMOS V104150SU000",NA,2x Super Resolution Zoom,16MP,NA,LI-50B,Yes,37MB,Up to 7 fps,Waterproof,.,Silver,"USB Connector, DC Jack, AV Output, HDMI Type D",.,4x,LCD Rear Screen,16.0MP,"Intelligent Auto, Program Auto, Super Macro, Scene Modes (18), Art Filters (11), Panorama, Hand-Held Starlight, e-Portrait",No,Still: JPEG; Video: MOV/H.264,"Auto, Red Eye Reduction, Fill-in, Off, LED",NA,Yes,125-6400,3.74 - 18.7mm (35mm equivalent: 21 - 105mm),"SD, SDHC, SDXC",NA,NA,5x,NA,"3.0""","2 sec, 12 sec, Custom","1/2.3"" BSI CMOS",4-1/2000 sec,LCD Display,,NA,(0),(1),(0),(0),(0),Yes,2.1 m (7 ft .),10 m (33 ft.),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HASSELBLAD STELLAR SLV, OLIVE WOOD GRIP 3012618","3.6 V AC Adaptor AC-UD10/UD11, 5V",N/A,20MP,16:9; 4:3,NP-BX1,Yes,No,N/A,Advanced,.,Silver w/ Olive Wood Grip,"HDMI micro jack, Micro USB (USB2.0)",.,N/A,TFT LCD,20.2MP,"Automatic exposure, Aperture priority, Shutter priority, Manual exposure, Scene Selection (13 modes)",No,"Still: RAW, JPEG; Video: AVCHD, MPEG-4 AVC/H.264",N/A,N/A,Yes,N/A,Carl Zeiss Vario-Sonnar T*,"Memory Stick Duo media, Memory Stick Micro media, SD cards, microSD memory cards",N/A,Operating: 0 C to 40 C (32 F to 104 F); Storage: -20 C to 60 C (-4 F to 140 F),3.6x,N/A,"3.0""",N/A,13.2 x 8.8 mm CMOS Sensor,N/A,N/A,Canadian Warranty: Two Years Parts & Labour,"Automatic, Daylight, Shade, Cloudy,Incandescent, Fluorescent (Warm White/ Cool White/Day White/Daylight), Flash, Color temperature/Color filter, Custom",,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FUJIFILM XF1 BROWN 12MP EXR 4X WIDE ANGLE 3"" 600012396",AC-5VX (Optional),None,12MP,"1:1, 3:2, 4:3, 16:9",NP-50A,Yes,25MB,"Up to 7 fps at 12 MP
Up to 10 fps at 8 MP",Advanced,.,Brown,"HDMI C, USB 2.0",.,Intelligent digital zoom approx. 2x (up to 8 x when combined with optical zoom),LCD Rear Screen,12.0 million pixels,"Modes: Aperture Priority, Manual, Programmed Auto, Shutter Priority
Compensation: -2 EV to +2 EV (in 1/3 EV steps)",None,"JPEG, RAW","Auto
Auto/Red-eye Reduction
Flash On
Flash On w/ Red-eye Reduction
Forced On
Off
Slow Sync
Slow Sync./Red-eye Reduction","Wide: 1.64' (50 cm) - Infinity
Telephoto: 2.62' (80 cm) - Infinity
Wide Macro: 1.18"" (3 cm) - 9.84' (3 m)
Tele Macro: 1.64' (50 cm) - 9.84' (3 m)",Yes,100-12800,"Fujinon 4x optical zoom lens focal length: f=6.4 - 25.6 mm, equivalent to 25 - 100 mm on a 35 mm format Full-aperture F1.8 (Wide) - F4.9 (Telephoto) Construction: 6 groups 7 lenses (4 aspherical glass molded lenses included)",SD/SDHC/SDXC,"Center-weighted, Multi, Spot, TTL 256-zones","0 to 40C (32 to 104F)
Humidity: 10-80%",4x,N/A,"3.0""","2 Sec, 10 Sec","2/3"" CMOS",30-1/2000 sec,LCD Display,2 year warranty,"Auto, Custom, Fluorescent (Day White), Fluorescent (Natural White), Fluorescent (White), Incandescent, Kelvin, Shade, Underwater",,,,,,,,,F1.8-F11 (Wide) F4.9-F11 (Telephoto) 1/3EV step (controlled 6-blade aperture diaphragm),107.9(W) x 61.5(H) x 33.0(D) mm / 4.2(W) x 2.4(H) x 1.2(D),-2.0EV - +2.0EV 1/3EV step,"TTL 256-zones metering, Multi / Spot / Average","Auto flash (super intelligent flash) Effective range: (ISO AUTO (800)), Wide: Approx. 50 cm - 7.4 m / 1.6 ft. - 24.2 ft. Telephoto: Approx. 80 cm - 2.7 m / 2.6 ft. - 8.8 ft. Flash modes: Red-eye removal OFF: Auto, Forced Flash, Suppressed Flash, Slow Synchro., Red-eye removal ON: Red-eye Reduction Auto, Red-eye Reduction & Forced Flash, Suppressed Flash, Red-eye Reduction & Slow Synchro.","3.0-inch, approx. 460,000 dots, colour LCD monitor, approx. 100% coverage","SP: Natural Light, Natural Light & Flash, Portrait, Portrait Enhancer, Landscape, Sport, Night, Night (Tripod), Fireworks, Sunset, Snow, Beach, Party, Flower, Text, Underwater MODE DIAL: EXR, AUTO, P, S, A, M, C1, C2, Movie, SP, Adv.","Auto mode: 1/4 sec. to 1/2000* sec. All other modes: 30 sec. to 1/2000* sec.* 1/2000 sec. at small aperture, 1/1000 sec. at full aperture","Approx. 225 g / 7.9 oz. (including battery and memory card), Approx. 204 g / 7.1 oz. (excluding battery and memory card)",,,,,,,,,,,,,,,,,,,
"SONY DSC-W830B BLACK 20.1MP 8X 2.7"" DSCW830B",NA,NA,20MP,"4:3, 16:9",NP-BN,Yes,None,Up to 1 fps at 16.1 MP for up to 100 frames,Small & Easy,.,Black,"AV Output, USB 2.0",.,32x,LCD Rear Screen,20.1MP,"iAuto, Program Auto",None,JPEG,Auto / Flash On / Slow Synchro / Flash Off / Advanced Flash,Wide: 5 cm - Infinity; Telephoto: 150 cm - Infinity,Yes,80-3200,"Carl Zeiss Vario-Tessar, 8 elements in 7 groups
5 Aspheric
35 mm equivalent: 25-200 mm
Aperture: f/3.3 - 6.3","Memory Stick Duo, Memory Stick Pro Duo, Memory Stick PRO HG-Duo, SD/SDHC/SDXC","Center-weighted, Multi, Spot",NA,8x,NA,"2.7 ""","2 Sec, 10 Sec","1/2.3"" HAD CCD","2"" - 1/1,600",LCD Display,,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, One Push",,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OLYMPUS STYLUS 1 BLACK 12MP 10.7X 3"" 1080P V109010BU000",NA,None,12MP,4:03,BLS-5 Li-ion Battery,Yes,None,7fps Sequential shooting,Super Zoom,.,Black,"Micro HDMI D, Hot Shoe, USB 2.0, Video Out",.,2x,Tiltable Touchscreen,12MP,"i Auto, Programme, Aperture priority, Shutter priority, Manual, Custom, Photo Store, Scene Select, Art Filter",Yes,"JPEG, RAW","Auto, Red-eye reduction, Fill-in, Off, Red-eye reduction slow sync., Slow sync, Full","Wide (28mm): 10cm to infinity, Tele (300mm): 80cm to infinity, Super Macro Mode: 5cm to 60cm,Zoom position fixing",Yes,100 - 12800,Constant f2.8,SD/SDHC/SDXC,"Digital ESP metering , Center weighted average metering, Spot metering, Spot metering with highlight control, Spot metering with shadow control",0 to 40C (operation) / -20 to 60C (storage),10.7x,RM-UC1 (Sold Separately),3.0 inch,"2 Sec, 12 Sec , Custom",1/1.7 inch BSI CMOS Sensor,"Bulb, 1/2000 - 60 sec.",1.44 million pixel Eye-level Electronic,,"Auto WB, 6 Preset WBs, 2 Capture WBs, Custom WB(Kelvin setting)",,,,,,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUJIFILM X100T SILVER 16MP 23MMF2 APS-C 600013937,NA,No,16MP,"1:1, 3:2, 16:9",NP-95,Yes,55MB,3 to 6 fps,Advanced,.,Silver,"HDMI D, USB 2.0",.,No,LCD Screen,16.3MP,"Programmed AE, Shutter priority AE, Aperture priority AE, Manual exposure",Yes,"JPEG, RAW, RAW","Auto
Auto/Red-eye Reduction
Flash On w/ Red-eye Reduction
Forced On
Off
Slow Sync
Slow Sync./Red-eye Reduction",Normal: 50cm (1.6 ft.) to infinity; Macro: 10cm - 2.0m (3.9 in.- 6.6 ft.),NA,"100 to 51,200",8 elements in 6 groups (1 Aspheric),SD/SDHC/SDXC,"TTL 256-zone metering, Multi / Spot / Average","0 to 40C (32 to 104F)
Humidity: 10-80%",No,RR-90 (Sold Separately),"3.0""","2 Sec, 10 Sec",23.6 x 15.6 in. CMOS,"Mechanical: Bulb (max. 60min.) to 1/4000 sec.; Electronic: 1 to 1/32,000 sec.","Optical, Electronic, LCD Display",,"Automatic, Fine, Shade, Fluorescent light (Daylight), Fluorescent light (Warm White), Fluorescent light (Cool White), Incandescent light, Underwater, Custom, Colour temperature selection",,,,,,NA,No,No,,,,,,,,,440g (15.5 oz.),"126.5 x 74.4 x 52.4mm ( 5.0 x 2.9 x 2.1 in. ), Minimum Depth : 31.0mm (1.2 in.)",,,,,,,,,,,,,,,,,,
"FUJIFILM JX660 BLACK 16MP 5X 2.7""LCD 600013332",NA,None,16MP,"3:2, 4:3, 16:9",NP-45A,Yes,No,1.1 fps (max. 3 frames),Small & Easy,.,Black,"USB 1.1, Video Output",.,7.2x,LCD Screen,16.0MP,Programmed AE,No,JPEG,"Face detection OFF: Auto, Forced Flash, Suppressed Flash, Slow Synchro.; Face detection ON; Red-eye Reduction Auto, Red-eye Reduction & Forced Flash, Suppressed Flash, Red-eye Reduction & Slow Synchro","Normal: Wide : approx. 50cm to infinity / 1.6ft. to infinity, elephoto: approx. 90cm to infinity / 2.9ft. to infinity; Macro: Wide : approx. 10cm - 80cm / 0.3ft. - 2.6ft., Telephoto : approx. 80cm - 1.3m / 2.6ft. - 4.2ft.",No,100-3200,"4.6mm - 23mm, equivalent to 26 - 130mm on a 35mm format",SD/SDHC/SDXC,TTL 256-zone metering,0 to 40C (32 to 104F),5x,No,"3.0""","2 Sec, 10 Sec","1/2.3"" CCD",8 sec-1/1400 sec,LCD Display,,"Auto Scene Recognition, Fine, Shade, Fluorescent, Incandescent",,,,,,No,No,No,,,,,,,,,104g / 3.6oz.,95.1 x 57.1 x 21.4mm (3.7 x 2.2 x 0.8 in.),,,,,,,,,,,,,,,,,,
"PANASONIC DMC-LF1 12.1MP 7.1X 3"" BLACK DMCLF1K",N/A,14.3x,12MP,"1:1, 3:2, 4:3, 16:9",Rechargeable Lithium Ion Battery Pack,Yes,87MB,"Up to 10 fps at 12.1 MP for up to 12 frames
Up to 40 fps
Up to 60 fps",Wi-Fi,.,Black,"AV Output, HDMI D, USB 2.0",.,4x,LCD Rear Screen,12.1MP,"Modes: Aperture Priority, Manual, Programmed Auto, Shutter Priority
Compensation: -2 EV to +2 EV (in 1/3 EV steps)",N/A,"JPEG, MPO, RAW","Auto
Auto/Red-eye Reduction
Flash On
Off
Red-eye Reduction
Slow Sync./Red-eye Reduction","Wide: 19.69"" (50 cm) - Infinity
Telephoto: 31.50"" (80 cm) - Infinity
Wide Macro: 1.18"" (3 cm) - Infinity
Tele Macro: 31.50"" (80 cm) - Infinity",Yes,80-12800,"Leica DC Vario-Summicron, 10 elements in 8 groups
4 Aspheric, 1 ED
EFL: 6-42.8 mm (35 mm equivalent: 28-200 mm)
Aperture: f/2 (W) - 5.9 (T) to f/8",SD/SDHC/SDXC,"Center-weighted, Multi, Spot",N/A,7.1x,N/A,"3.0""","2 Sec, 10 Sec","1/1.7"" MOS",250-1/4000 sec,"Electronic, LCD Display",1 year warranty,"Auto, Cloudy, Custom, Daylight, Incandescent, Shade, White Set",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HASSELBLAD STELLAR SLV, WENGE WOOD GRIP 3012627","3.6 V AC Adaptor AC-UD10/UD11, 5V",N/A,20MP,16:9; 4:3,NP-BX1,Yes,No,N/A,Advanced,.,Silver w/ Wenge Wood Grip,"HDMI micro jack, Micro USB (USB2.0)",.,N/A,TFT LCD,20.2MP,"Automatic exposure, Aperture priority, Shutter priority, Manual exposure, Scene Selection (13 modes)",No,"Still: RAW, JPEG; Video: AVCHD, MPEG-4 AVC/H.264",N/A,N/A,Yes,N/A,Carl Zeiss Vario-Sonnar T*,"Memory Stick Duo media, Memory Stick Micro media, SD cards, microSD memory cards",N/A,Operating: 0 C to 40 C (32 F to 104 F); Storage: -20 C to 60 C (-4 F to 140 F),3.6x,N/A,"3.0""",N/A,13.2 x 8.8 mm CMOS Sensor,N/A,N/A,Canadian Warranty: Two Years Parts & Labour,"Automatic, Daylight, Shade, Cloudy,Incandescent, Fluorescent (Warm White/ Cool White/Day White/Daylight), Flash, Color temperature/Color filter, Custom",,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
