<page title>,aperture range,audio formats,auto focus,camera resolution,digital zoom,focal length,image format,image stablizer,iso rating,lens type,manual focus,maximum shutter speed,minimum shutter speed,optical zoom,other focus features,self timer,video format,white balancing,color filter,conitnous shots,delete function,dust reduction,face detection,hdmi,image ratio wh,macro mode,max resolution,microphone,operating system,pictbridge,processor,sensor size,sensor type,shooting modes,tv out,usb cable,video resolution,built in flash,external flash,flash modes,metering,sync terminal,view finder,red eye reduction,supported languages,wifi,battery type,dimensions,flash range,memory card type,power supply,type,upgradable memory,weight,picture angle,internal memory
"Fujifilm Finepix Z70 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F4.0 (W) - F4.8 (T),WAV,"Yes, Contrast Detect, Tracking, Single, Live View",12 MP,6.3x,6.4 - 32 mm (35 mm Equivalent to 36 - 180 mm),JPEG ( Fine & Normal JPEG Quality ),Yes,100 - 1600,Fujinon 5x optical zoom lens,No,1/2000 sec,4 Sec,5x,"Normal Focus Range (80 cm), Macro Focus Range (9 cm)","Yes, 2 or 10 sec, Couple, Group",AVI,"White Balance Presets (6), Custom White Balance, Auto, Fine, Shade, Fluorescent light (Daylight), Fluorescent light (Warm White), Fluorescent light (Cool White), Incandescent light",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon EOS 1DX (Body Only) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,Linear PCM,"Yes, TTL Secondary Image-registration, Phase Detection",18.1 MP,,,"JPEG, RAW, RAW JPEG, DCF",,100 - 51200,Canon EF Mount,Yes,1/8000 sec,30 sec,,"Focusing Brightness Rage: EV -2 8, AF Area Selection Modes: Single-point Spot AF (Manual Selection), Single-point AF (Manual Selection), AF Point Expansion (Manual Selection: Up, Down, Left and Right), AF Point Expansion (Manual Selection: Surround), Zone AF (Manual Selection), AF Point Automatic Selection Conditions, Case 1 6 AF Configuration Tool, AI Servo Characteristics: Tracking Sensitivity, Acceleration / Deceleration Tracking, AF Point Auto Switching, AF Micro Adjustment, AF-assist Beam","Yes, 2 and 10 sec",MOV,"Auto, Preset (Daylight, Shade, Cloudy, Tungsten Light, White Fluorescent Light, Flash), Custom, Color Temperature Setting (2500 10000 K), Personal White Balance (5 Settings), White Balance Correction, White Balance Bracketing Possible","Yes, Primary (RGB) Color Filter","Yes, 14 fps (Super High-speed Continuous Shooting), 12 fps (High-speed Continuous Shooting), 3 fps (Low-speed Continuous Shooting)",Yes,"Yes, Auto, Manual, Dust Delete Data Appending",Yes,"Yes, Type C, Mini HDMI Out",3:2,No,5184 x 3456 Pixels,"Yes, Built-in Monaural","Windows XP (SP2, SP3), Windows Vista (Including Starter Edition), Windows 7 (Excluding Starter Edition), MAC OS X 10.6, MAC OS X 10.7",Yes,Dual DIGIC 5 Imaging,36 x 24 mm,CMOS,"Live Mode, Face Detection Live Mode (Contrast Detection), Quick Mode (Phase Difference Detection), Manual Focusing (5x, 10x Magnification Possible)","Yes, Audio / Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels at 30 fps,,,,,,,,,,,,,,,,,,,
"Fujifilm X E2 (18-55 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,Linear PCM,"Yes, Contrast Detect, Phase Detect, Multi-Area, Center, Selective Single Point, Tracking, Single, Continuous, Face Detection, Live View",17.0 MP,,,"JPEG ( Fine, Normal Quality )",No,200 - 6400,Fujifilm X,Yes,1/4000 sec,30 Sec,,Focal Length Multiplier (1.5x),"Yes, 2 or 10 sec","MPEG-4, H.264, MOV","White Balance Presets (7), Custom White Balance (1), Automatic scene recognition, Custom / Color temperature selection (K), Preset : Fine / Shade / Fluorescent light (Daylight) / Fluorescent light (Warm White) / Fluorescent light (Cool White) / Incandescent light / Underwater","Yes, Primary (RGB) Color filter","Yes, Approx. 7.0 fps (JPEG: max. approx. 28 frames, RAW / RAW+JPEG: max. approx. 8 frames) Approx. 3.0 fps (JPEG:up to the capacity of the card, RAW / RAW+JPEG: max. approx. 8 frames)",,,Yes,,,,4896 x 3264 Pixels,,,,EXR Processor II,APS-C (23.6 x 15.6 mm),CMOS,,,,,"Yes, Pop-Up","Yes, Hot-shoe","Red Eye Removal Off ( Auto, Forced Flash, Slow Synchro, Suppressed Flash, Rear-curtain Synchro, Commander ), Red Eye Removal ON ( Red-eye Reduction Auto, Red-eye Reduction & Forced Flash, Red-eye Reduction & Slow Synchro, Suppressed Flash, Red-eye Reduction & Rear-curtain Synchro, Commander )","Yes, Multi-Pattern, Center-Weighted, Spot","Yes, 1/180 sec","Yes, Built-in Eye Sensor, Diopter Adjustment, Eye Point (23mm), Live View, Fixed Articulated LCD, Electronic Viewfinder Type, Resolution (2,360,000), Coverage (100%), Live View",,,,,,,,,,,,,
"Canon EOS 700D (18-55 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.5 - F/5.6,Linear PCM,"Yes, TTL",18 MP,,18 - 55 mm,"JPEG, RAW, DCF 2.0, RAW JPEG, DPOF 1.1, EXIF 2.3",,100 - 12800,Canon EF Lens (Including EF-S Lens),Yes,1/4000 sec,30 sec,3x,,"Yes, 2 and 10 sec","MOV, H.264 / MPEG-4 AVC","Auto, Daylight, Shade, Cloudy, Tungsten, White Fluorescent Light, Flash, Custom","Yes, Primary (RGB) Color Filter","Yes, 5 fps",Yes,,Yes,"Yes, Mini HDMI Output","16:9, 3:2, 4:3, 1:1",Yes,5184 x 3456 Pixels,"Yes, Stereo","Windows 8, Windows 7, Windows Vista, Windows XP Professional / Home Edition",Yes,,22.3 x 14.9 mm,CMOS,"Scene Intelligent Auto, No Flash, Creative Auto, Portrait, Landscape, Close-up, Sports, Night Portrait, Handheld Night Scene, HDR Backlight Control, Program AE, Shutter Priority AE, Aperture Priority AE, Manual (Stills and Movie)","Yes, Audio / Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels at 30 fps,,,,,"Yes, 1/200 sec",,Yes,25,,,,,,,,,,,
"Nikon D5200 (Body Only) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,Linear PCM,"Yes, Contrast Detect, Phase Detect, Multi-Area, Selective Single Point, Tracking, Single, Continuous, Face Detection, Live View",24.7 MP,,,"JPEG, NEF (RAW), NEF (RAW) JPEG, EXIF 2.3, DCF 2.0, DPOF ( Fine, Normal, & Basic Quality )",No,100 - 25600,Nikon F mount (with AF contacts),Yes,1/4000 sec,30 sec,3x,"Focal Length Multiplier (1.5x), No. Of Focus Points (39), Eye Point (17.9 mm)","Yes, 2, 5, 10 or 20 sec","MOV, MPEG-4 / H.264","Auto, incandescent, fluorescent (7 types), direct sunlight, flash, cloudy, shade, preset manual, all except preset manual with fine-tuning","Yes, Primary (RGB) Color Filter","Yes, 3 fps",Yes,"Yes, Image sensor cleaning, Image Dust Off reference data (optional Capture NX 2 software required)",Yes,"Yes, HDMI Mini Type C",,,6000 x 4000 Pixels,"Yes, Built-in Stereo",,"Yes, PictBridge 1.0",Expeed 3,23.5 x 15.6 mm,CMOS,Auto modes (auto; auto (flash off)); programmed auto with flexible program (P); shutter-priority auto (S); aperture-priority auto (A); manual (M); scene modes (portrait; landscape; child; sports; close up; night portrait; night landscape; party/indoor; beach/snow; sunset; dusk/dawn; pet portrait; candlelight; blossom; autumn colors; food); special effects modes (night vision; color sketch; miniature effect; selective color; silhouette; high key; low key),"Yes, Analog Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels at 30 fps,"Yes, Pop-Up","Yes, Hot-Shoe","Auto, auto with red-eye reduction, auto slow sync, auto slow sync with red-eye reduction, fill-flash, red-eye reduction, slow sync, slow sync with red-eye reduction, rear-curtain with slow sync, rear-curtain sync, off","Yes, Multi-Pattern, Center-Weighted, Spot","Yes, 1/200 sec",,Yes,26,Yes,,,,,,,,,,
"Sony CyberShot DSC RX100 II Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/1.8 (W) - F/4.9 (T),,,20.2 MP,14x,10.4 - 37.1 mm (35 mm Equivalent to 30 - 108 mm),,,100 - 25600,Carl Zeiss Vario Sonnar T,Yes,,,3.6x,,"Yes, 2 and 10 sec","AVCHD, AVC MP4","Auto, Daylight, Shade, Cloudy, Incandescent, Fluorescene (Warm White, Cool White, Day White, Daylight), Flash, Color Temperature, Filter, Custom",,,,,Yes,,"4:3, 3:2, 16:9, 1:1",,5472 x 3648 Pixels,,,,,13.2 x 8.8 mm,Exmor R COMS,"Superior Auto, Intelligent Auto, Program Auto, Movie Mode, Panorama, Scene Selection, Picture Effect, Intelligent Sweep Panorama, Manual Exposure",,,1920 x 1080 pixels,Yes,,"Auto, Flash On, Slow Sync, Rear Sync, Flash Off",,,,,,,Li-ion Rechargeable Battery,101.6 (W) x 58.1 (H) x 38.3 (D) mm,"0.3 - 15.0 m (W), 0.55 - 5.7 m (T), 30.0 (W) m - 11.3 (T) m",Memory Stick Duo / Memory Stick PRO Duo / Memory Stick PRO Duo High Speed / Memory Stick PRO HG Duo / SD / SDHC / SDXC / Memory Stick Micro / Memory Stick Micro (Mark 2) / Micro SD / Micro SDHC,"Maximum Voltage: 4.2 V, Nominal Voltage: 3.6 V, Capacity for Shooting: 4.5 Wh (1240 mAh), AC 100 240 V, 50 / 60 Hz, 70 mA, Output Voltage: DC 5 V, 0.5 A",Advance Point and shoot,Yes,"254 g (Body Only), 281 g (with Battery and Memory Stick)",,
"Nikon D7100 (AF-S 18-140 mm VR) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),Linear PCM,Yes,25 MP,,18 - 140 mm (35 mm Equivalent to 27 - 210 mm),"JPEG, DCF 2.0, EXIF 2.3, DPOF",No,100 - 25600,Nikon F mount (with AF coupling and AF contacts),Yes,1/8000 sec,30 sec,,"Focal Length Multiplier (1.5x), No. of Focus Points (51)","Yes, 2 s, 5 s, 10 s, 20 s","MPEG-4, AVC / H.264",,"Yes, Primary (RGB) Color Filter","Yes, 6 fps",Yes,"Yes, Image sensor cleaning, Image Dust Off reference data (optional Capture NX 2 software required)",Yes,"Yes, Type C, Mini HDMI",,No,,"Yes, Stereo",,"Yes, PictBridge 1.0",,,,"Auto, Programmed Auto with Flexible Program (P), Shutter-priority (S), Aperture-priority (A), Manual (M)","Yes, Audio Output",Yes,1920 x 1080 pixels at 30 fps,"Yes, Auto, portrait, child, close up, night portrait, party/indoor, pet portrait, color sketch: Auto flash with auto pop-up P, S, A, M, food: Manual pop-up with button release","Yes, Hot-shoe, Wireless","Auto, auto with red-eye reduction, auto slow sync, auto slow sync with red-eye reduction, fill-flash, red-eye reduction, slow sync, slow sync with red-eye reduction, rear-curtain with slow sync, rear-curtain sync, off; Auto FP High-Speed Sync supported","Yes, Multi-Pattern, Center-Weighted, Average, Spot","Yes, 1/250 sec",,Yes,30,Yes,,,12.00 m (at ISO 100),,,,,,"80 mm, 170 Degrees Wide Viewing Angle",
"Panasonic Lumix DMC FH1 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F2.8 F6.9,,"Yes, Contrast Detect (sensor), Single, Live View",12.1 MP,4x,f=5-25 mm (28-140 mm in 35 mm equiv.),JPEG,,80 - 1600,Lumix DC Vario,No,,"Still: approx. 8 1/1600 sec, Starry Sky Mode : 15, 30, 60sec.",5x,,"Yes, 2 and 10 sec",QuickTime Motion JPEG,"Auto / Daylight / Cloudy / Shade / Halogen / White Set (Selectable at Portrait, Soft Skin, Transform, Self-Portrait, Sports, Baby, Pet, High Sensitivity, Highspeed Burst, Photo Frame)","Yes, Primary (RGB) Color Filter","Yes, High-speed Burst mode: 5.5 fps.",Yes,No,"Yes, Photo",No,,"Yes, Wide 5 cm infinity / Tele 100cm infinity",,"Yes, Mono","PHOTOfunSTUDIO 5.0 Edition, QuickTime, Adobe Reader","Yes, Single / Multi / All / Favorites / DPOF",,,,"Hi-Speed Burst, Flash Burst, Starry Sky, Fireworks, Beach, Snow, Aerial photo, Film Grain, Photo Frame","Yes, Audio / Video Output",Yes,1280 x 720 pixels,Yes,No,"Auto, Auto/Red-eye Reduction, Forced On, Slow Sync./Red-eye Reduction, Forced Off",,Yes,,Yes,5,,,98.4 (W) x 55.2 (H) x 23.4 (D) mm,6.8 m,,,Point & Shoot,,"145 g (with Battery and SD Memory Card), 123 g (without Battery and SD Memory Card)",28 mm Wide angle,
"Olympus VH520 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.3 - F/6.1,PCM,"Yes, Contrast Detect AF",14 MP,2x,4.7 - 47 mm (35 mm Equivalent to 26 - 260 mm),"JPEG, DCF, EXIF 2.3, PIM III, DPOF",,80 - 3200,,,1/2000 sec,1/4 sec,10x,,"Yes, 2 and 12 sec",MOV / H.264,"Auto, Preset (Overcast, Sunlight, Tungsten, Flourescent 1), One-touch White Balance","Yes, Primary (RGB) Color Filter","Yes, 50 Frames at 15 fps (3 MP Mode), 12 Frames at 2.5 fps (Full Image Size)",Yes,,Yes,,"16:9, 4:3",,4288 x 3216 Pixels,,"Windows XP SP1, Windows Vista, Windows 7, Windows 8, Mac OS X v10.3",,,1/2.3 inch,CMOS,"P Mode, iAuto, Beauty Mode, SCN, Magic Mode, Panorama",,,1920 x 1080 pixels,,,,,,,Yes,40,,,,,,,,,,26 mm Wide-angle,
"Sony HDR PJ340E Camcorder Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F1.8 (W) - F4.0 (T),"Dolby Digital 2ch Stereo, Dolby Digital Stereo Creator; MPEG-4 AAC-LC 2ch",,9.2 MP,350x,1.9 - 57.0 mm (35 mm Equivalent to 26.8 - 804.0 mm),JPEG,"Yes, Optical SteadyShot Image Stabilization with Intelligent Active mode (Wide to Tele)",,G Lens,,1/10000 sec,1 sec,30x,"Filter Diameter (37 mm), Focal length Multiplier (14.1x)",,MPEG4-AVC/H.264,"Auto, Indoor 1, Onepush, Outdoors",,,,,Yes,"Yes, Micro HDMI","4:3, 16:9",,4032 x 2272 Pixels,"Yes, Built-in Zoom microphone",,,BIONZ X Image Processor,1/5.8 inch,Back Illuminated Exmor R CMOS Sensor,"Intelligent Auto (Portrait, Baby, Walk, Tripod, Backlight, Landscape, Spotlight, Twilight, Macro, Low light), Scene Selection (Auto, Night Scene, Sunrise & Sunset, Fireworks, Landscape, Portrait, Spotlight, Beach, Snow)","Yes, Analog Video Output (NTSC)",Yes,1920 x 1080 pixels at 60 fps,,,,,,,,,Yes,,,,Internal Flash Memory; Memory Stick Micro (Mark 2); Micro SD/SDHC/SDXC Memory Card(Class 4 or Higher),,,"Yes, 16 GB",,,
