<page title>,camera type,color,display size,flash type,megapixels,optical sensor size,optical sensor type,returns policy,shooting modes,warranty labor,warranty parts,35mm equivalent focal length max,35mm equivalent focal length min,optical viewfinder type,contents,portsconnectors,power notes,actual weight,memory notes,physical dimensions,warranty details,audio input type,battery technology,digital video format,display form factor,display technology,flash memory form factor,light sensitivity,red eye reduction,shutter speed,still image format,video input type,battery run time max,digital zoom,optical zoom,focal length max,focal length min,special effects,compatibility notes,lens aperture,storage capacity,weight
"Buy Fujifilm FinePix S1 Camera, 16MP, 50X Zoom, Black Cameras - Digital - Point & Shoot 16408967 today at PC Connection",Compact,Black,3 in,Pop-up flash,16.4 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Party/Indoor Zoom bracketing Flower Natural Light Night (tripod) Landscape Sunset Snow Fireworks Show Sports Beach Portrait Text,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Pentax Q-Mount Telephoto Zoom Lens, 15-45mm, f 2.8 Cameras - Digital - Point & Shoot 22157 today at PC Connection",,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon COOLPIX A Digital Camera, 16.2MP, Silver Cameras - Digital - Point & Shoot 26424 today at PC Connection",Compact,Silver,3 in,Pop-up flash,16.2 megapixel(s),15.6 x 23.6mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Dawn/Dusk Night landscape Landscape Party/Indoor Close-up Night Portrait Sunset High key Candle Sports Portrait Children Autumn color Silhouette Pet portrait Blossom Beach/snow Low key Food,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon D5100 DX Digital SLR Camera, 16.2MP, Black Cameras - Digital - SLR 25478 today at PC Connection",SLR camera,,3 in,Pop-up flash,16.2 megapixel(s),15.6 x 23.6mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Portrait Candle Close-up Landscape Blossom Night Portrait Dawn/Dusk Party/Indoor Night landscape Autumn color Children Food Pet portrait Sunset Beach/snow Sports,1 Year,1 Year,82.50 mm,27.00 mm,Eye-level pentamirror,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon Nikon 1 V3 Mirrorless Digital Camera, Black with 10-30mm Cameras - Digital - SLR 27695 today at PC Connection",Mirrorless system,Black,3 in,Pop-up flash,18.4 megapixel(s),13.2 x 8.8mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Night Portrait Landscape Portrait Night landscape Close-up,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Pentax Q7 Compact Mirrorless Camera, 12.4MP, Silver with 5-15mm Cameras - Digital - Point & Shoot 11520 today at PC Connection",Mirrorless system,Silver,3 in,Pop-up flash,12.4 megapixel(s),"1/1.7""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Night scene HDR Multiple exposure Moving object Stage Dynamic Range (HDR) Blue sky Surf & Snow Quick macro Pet Candle Night scene Museum Macro Night Portrait Portrait Backlight silhouette Sunset Food Landscape Night snapshot Children,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Nikon Nikon D7100 Camera Cameras - Digital - Point & Shoot 1513 today at PC Connection,SLR camera,,3.2 in,Pop-up flash,24.1 megapixel(s),15.6 x 23.5mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Blossom Sunset Sports Portrait Pet Party/Indoor Night Portrait Landscape Night landscape Food Dawn/Dusk Close-up Children Candle Beach/snow Autumn color,Call for Warranty,Call for Warranty,,,Eye-Level Penta Prism,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon D5200 DX-format Digital SLR Kit with 18-55mm VR Lens, Cameras - Digital - Point & Shoot 1511 today at PC Connection",,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon D800 Digital SLR Body, 36.3MP (Body Only) Cameras - Digital - SLR 25480 today at PC Connection",SLR camera,,3.2 in,Pop-up flash,36.3 megapixel(s),24 x 35.9mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,Eye-Level Penta Prism,"Camera, documentation","SD card slot
Type C mini-pin HDMI connector
Super Speed USB 3.0","EN-EL15 Lithium-ion Battery
Battery Life (shots per charge): 900 shots (CIPA)",,,,,,,,,,,,,,,,,,,,,,,,,
Buy Nikon D7100 DSLR Camera Kit w  18-105mm f 3.5-5.6G ED VR DX Cameras - Digital - SLR 1515 today at PC Connection,SLR camera,,3.2 in,Pop-up flash,24.1 megapixel(s),15.6 x 23.5mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Landscape Portrait Blossom Dawn/Dusk Children Night Portrait Close-up Party/Indoor Night landscape Pet Sunset Sports Autumn color Food Candle Beach/snow,1 Year,1 Year,,,Eye-Level Penta Prism,"Camera, battery, battery charger, eyepiece shield, rubber eyecup, strap, body cap, hot-shoe cover, lens, lens cap, lens hood, lans case, USB cable, CD, documentation","1/8"" Microphone
HDMI C (Mini)
USB 2.0
SD, SDHC, SDXC card slot",1x EN-EL15 Rechargeable Lithium-Ion Battery Pack,1.49 lb(s),"Card type:
SD
SDHC
SDXC","4.2""h x 5.3""w x 3.0""d",Limited,,,,,,,,,,,,,,,,,,,,,
