<page title>,additional features,brand,connectivity system req,dimension,display,flash,general features,images video,lens,media software,optical sensor resolution in megapixel,other features,other sellers,pixels,power source,see full specifications,sensor,sensor type,shopping experience,shutter speed,site usability,zoom,aperture range,audio video interface ntscpal,bangalore,bluetooth,color,continuous shots,digital zoom,external memory,face detection,gps,hdmi,image format,image stabilizer,iso rating,metering,optical sensor resolution in megapixel,optical zoom,red eye reduction,screen size,self timer,shooting modes,usb,video display resolution,video format,auto focus,built in flash,display type,flash modes,flash range,focal length,image display resolution,lens type,maximum shutter speed,memory card type,microphone,minimum shutter speed,sensor size,sensor type,white balancing,color filter,gadgetsguru,macro mode exposure mode,supplied battery,sync terminal,announced,brand,dimensions,status,viewfinder,weight,ac adaptor,dust reduction,other resolution,other zoom type,amazon,manual focus,audio formats,delete function,exposure compensation,inbuilt memory,supported aspect ratio,supported languages,upgradeable memory,usb charge,additional display features,flipkart,external flash,infibeam,pictbridge,picture angle,kaunsa,ebay,snapdeal,indiatimes,shopclues,wifi,maniacstore,seventymm,bitfang,naaptol
"Canon EOS 5D SLR Mark III Kit EF-S24-105mm IS Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Black",Canon,"USB
USB Hi-Speed
HDMI
Yes
GPS
No
Bluetooth
No","Dimensions
152 x 116.4 x 76.4 mm
Weight
860 gms","Display Type
Liquid Crystal TFT
Screen Size
3.2 Inches
Image Display Resolution
1040000 dots
Video Display Resolution
1920 x 1080 pixels (Full HD) @ 30 fps
ViewFinder
Eye-level Pentaprism","External Flash
E-TTL II Auto Flash, Metered Manual","Brand
Canon
Status
Available","Image Format
JPEG (RAW, DCF)
Video Format
AVC, H.264, MOV, MPEG-4","Auto Focus
TTL Phase Detection
Focal Length
24 - 105 mm
Color Filter
Primary (RGB) Color Filter
Manual Focus
Yes","Memory Card Type
Compact Flash (Type I, UDMA Mode 7-Compatible), SD, SDHC, SDXC",22.3 MP,"ISO Rating
Auto ISO 100-12800 / 100-25600 (in 1/3-s-p or Whole S-p Increments), Expandable L: ISO 50, H1: ISO 51200, H2: ISO 102400
Self Timer
2 sec, 10 sec
Face Detection
Yes
Shooting Modes
Aperture Priority Ae, Auto+, Custom (X3), Manual, Program Ae, Shutter Priority Ae
Metering
63 Zone TTL Full-Aperture, Center-Weighted Average , Evaluative, Partial, Spot
Continuous Shots
Up to 6 fps (High Speed), 3 fps (Low Speed), 3 fps (Silent Mode)
White Balancing
Auto, Bracketing, Cloudy, Color Temperature, Custom, Daylight, Flash, Shade, Tungsten Light, White Balance Correction, White Fluorescent
Supported Languages
25 Languages
Microphone
Monaural Microphone
Dust Reduction
Auto, Manual, Dust Delete Data Appending
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)
Additional Features
10sec Self-timer / Remote Control, 10x Magnification), 16:9, 1:1, 2secs Self-timer, 4:3, AE Lock, Auto Switch Card, Canon EF Lens Mount, Closest Focusi, Compatible Speedlites: EX-series Speedlites, DIGIC 5+ Image Processor, Depth-of-field Preview, Drive Modes: Single shooting, External Speedlite Control, Eye-Fi card, Face Detection Live Mode (Contrast Detection), Flash Exposure Compensation: 3 EV in Increments of 1/3 EV or 1/2 EV, Flash Metering: E-TTL II Autoflash, Focusing Brightness Range: 1 EV - 18 EV, Focusing Modes: Live Mode, HDR Shooting, High-speed continuous shooting, Humidity: 85%, Low-speed continuous shooting, Manual focusing (5x, Metering Modes: Evaluative Metering with the Image Sensor, Metering Range: 0 EV - 20 EV, Mode 2, PC Terminal, Quick Mode (Phase-difference Detection), Quick-return Mirror Type, Recording Function: Standard, Remote Control, Shooting Modes: 3:2, Silent Continuous Shooting, Silent Shooting: Mode 1, Silent single shooting, Temperature Range: 5C - 40C",(4 ),"Optical Sensor Resolution (in MegaPixel)
22.3 MP","Supplied Battery
Li-ion Battery
AC Adaptor
AC Adaptor Kit ACK-E6",»,"Sensor Type
CMOS Sensor
Sensor Size
36 x 24 mm",CMOS Sensor,(4.6 ) (3.2 ) (5 ) (2 ) (5 ) (4.6 ) (3.2 ) (2.2 ),"Maximum Shutter Speed
1/8000 sec
Minimum Shutter Speed
1/60 sec",(4.2 ) (4.8 ) (3.2 ) (3 ) (5 ) (4.6 ) (3.4 ) (3 ),"Optical Zoom
No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon DF DSLR AF-S 50mm Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","External Memory
Yes",Nikon,"USB
USB Hi-Speed
HDMI
Yes; HDMI Mini Connector (Type C)","Dimensions
5.65 x 4.33 x 2.62 Inches
Weight
765 gms","Screen Size
3.2 Inches
ViewFinder
Eye-level Pentaprism Single-Lens Reflex View Finder","Flash Modes
Auto, Front Curtain Sync, Rear Curtain Sync, Slow Sync Flash
Built in Flash
Yes","Brand
Nikon","Image Format
NEF (RAW), TIFF (RGB), JPEG","Auto Focus
Contrast Detection AF","Inbuilt Memory
Yes
Memory Card Type
SD, SDXC memory cards, UHS-I compliant SDHC",16 MP,"Metering
Center-Weighted, Multi, Spot
Red Eye Reduction
Yes
Supported Languages
Arabic, Chinese, Czech, Danish, Dutch, English, Finnish, French, German, Greek, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (Portugal and Brazil), Romanian, Russian, Spanish, Swedish
Dust Reduction
Image Sensor Cleaning, Image Dust Off Reference Data",,"Optical Sensor Resolution (in MegaPixel)
16 MP","Supplied Battery
Rechargeable Li-ion Battery (EN-EL14A)",»,"Sensor Type
CMOS Sensor
Sensor Size
36 x 23.9 mm",CMOS Sensor,,"Maximum Shutter Speed
1/4000 - 4 sec in steps of 1 EV, 1/4000 - 30 s in steps of 1/3 EV with main command dial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon Coolpix S9300 Point & Shoot Digital Camera Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Black",Nikon,"USB
USB Hi-Speed
HDMI
No
Bluetooth
No
GPS
No","Dimensions
4.28 x 2.45 x 1.2 Inches
Weight
215 gms","Display Type
TFT LCD
Screen Size
3 Inches
Image Display Resolution
921000 dots
Supported Aspect Ratio
16:9, 4:3
Additional Display Features
Anti-reflection Coating, Wide Viewing Angle","Flash Modes
Auto, Slow Sync Flash
Flash Range
Wide : 0.5 - 5.1m, Telephoto : 1.5 - 3.0m
Built in Flash
Yes","Brand
Nikon
Status
Available","Image Format
JPEG (3D) (EXIF 2.3, DCF, DPOF, MPF)
Audio Formats
AAC, WAV
Video Format
AVC, H.264, MOV, MPEG-4","Lens Type
Nikkor Lens
Auto Focus
Contrast Detection AF
Focal Length
4.5 - 81 mm (35 mm Equivalent to 25 - 450 mm)
Manual Focus
Yes","Upgradeable Memory
Yes
Inbuilt Memory
26 MB
Memory Card Type
SD, SDHC, SDXC",16 MP,"ISO Rating
Auto / 125 / 200 / 400 / 800 / 1600 / 3200 (Auto Gain from ISO 125-1600), Fixed Range Auto (ISO 125-400 / 125-800)
Self Timer
2 sec, 10 sec
Face Detection
Yes
Shooting Modes
Auto, Scene (Portrait, Close-Up, Landscape, Food, Sports, Museum, Night Portrait, Fireworks Show, Party/Indoor, Black and White Copy, Beach, Easy Panorama, Snow, Pet Portrait, Sunset, 3D Photography, Dusk/Dawn, Night Landscape, Backlighting), Smart Portrait, Continuous Shooting, Special Effects
Image Stabilizer
Optical
Metering
256-Segment Matrix, Center-Weighted, Multi, Spot
Macro Mode (Exposure Mode)
4 cm
Red Eye Reduction
Yes
Picture Angle
25 mm Wide Angle to 450 mm Super Telephoto Coverage
Continuous Shots
Up to 6.9 fps
White Balancing
Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Manual
Supported Languages
29 Languages
Aperture Range
f/3.5 - f/5.9
Microphone
Stereo Microphone
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)",(5 ),"Optical Sensor Resolution (in MegaPixel)
16 MP
Other Resolution
16 MP","Supplied Battery
Li-ion Battery",»,"Sensor Type
CMOS Sensor
Sensor Size
1/2.3 Inches",CMOS Sensor,(4.2 ) (2 ) (3.2 ) (5 ) (0 ),"Maximum Shutter Speed
1/2000 sec
Minimum Shutter Speed
1 sec",(4.8 ) (3 ) (3.4 ) (5 ) (0 ),"Optical Zoom
18x
Digital Zoom
4x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kodak SLICE Touchscreen Camera Price in India with Offers & Full Specifications | PriceDekho.com,,Kodak,"USB
USB 2.0 Hi-Speed
Bluetooth
No","Weight
158 gms","Screen Size
3.5 Inches
Video Display Resolution
720 @ 30 fps (HD), 848 x 480 @ 30 fps (WVGA) pixels","Flash Modes
Auto, Fill-in Flash
Flash Range
0.62m
Built in Flash
Yes","Brand
Kodak","Image Format
JPEG (EXIF 2.21)
Video Format
H.264","Focal Length
35 - 175 mm
Manual Focus",,14 MP,"ISO Rating
64 / 100 / 200 / 400 / 800 / 1000 / 1600 / 3200
Face Detection
Yes
Shooting Modes
Program, Scene, Smart Capture, Video
Metering
Center-Spot, Center-Weighted, Multi-Pattern
Red Eye Reduction
Yes
White Balancing
Auto, Daylight, Fluorescent, Open Shade, Tungsten
Microphone
Dust Reduction",,"Optical Sensor Resolution (in MegaPixel)
14 MP","Supplied Battery
Rechargeable Li-ion Battery (KLIC-7000)
AC Adaptor
AC Adaptor Supported",»,"Sensor Type
CCD Sensor",CCD Sensor,,"Maximum Shutter Speed
Auto : 81/2000 sec",,"Optical Zoom
5x
Digital Zoom
5x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony Cyber-shot DSC-W730 Point & Shoot Digital Camera Green Price in India with Offers & Full Specifications | PriceDekho.com,"Color
Green",Sony,"USB
USB Hi-Speed","Weight
122 gms","Screen Size
2.7 Inches
Video Display Resolution
1920 x 1080 pixels (Full HD)","Built in Flash
Yes","Brand
Sony",,"Focal Length
4.5 - 36 mm (35 mm Equivalent to 28 - 224 mm)",,16.1 MP,"Face Detection
Yes
Metering
Center-Weighted, Multi, Spot",,"Optical Sensor Resolution (in MegaPixel)
16.1 MP",,»,"Sensor Type
CCD Sensor",CCD Sensor,,,,"Optical Zoom
8x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon Coolpix L820 Point & Shoot Digital Camera Plum Price in India with Offers & Full Specifications | PriceDekho.com,"Color
Plum",Nikon,"USB
USB Hi-Speed
HDMI
Yes; HDMI Micro Connector (Type D)","Dimensions
110 x 76.3 x 84.5 mm
Weight
470 gms","Display Type
TFT LCD with Anti-Reflection Coating
Screen Size
3 Inches
Image Display Resolution
921000 dots
Video Display Resolution
1920 x 1080 pixels (Full HD) @ 30 fps
Supported Aspect Ratio
16:9, 4:3","Flash Range
Wide : 0.5 - 6.0m, Telephoto : 1.5 - 6m
Built in Flash
Yes","Brand
Nikon
Announced
2013, August
Status
Available","Image Format
JPEG (MPO, DCF, EXIF 2.3, DPOF, MPF)
Audio Formats
AAC
Video Format
H.264, MOV, MPEG-4 AVC","Lens Type
Nikkor Lens
Auto Focus
Contrast Detection AF
Focal Length
4 - 120 mm (35 mm Equivalent to 22.5 - 675 mm)
Manual Focus
Yes","Upgradeable Memory
Yes
Inbuilt Memory
35 MB
Memory Card Type
SD, SDHC, SDXC",16 MP,"ISO Rating
ISO 125-1600 / ISO 3200 (Auto Mode)
Self Timer
10 sec
Face Detection
Yes
Shooting Modes
Auto, Beach, Beach, Discreet, Fireworks, Fireworks, Fish-Eye Effect, Foliage, Foliage, Kids & Pets, Landscape, Long Shutter, Long Shutter, Low Light, Miniature Effect, Monochrome, Movie, Portrait, Poster Effect, Program, Smart Shutter 4, Snow, Snow, Super Vivid, Toy Camera Effect
Delete Function
Yes
Metering
Matrix, Spot, Center-Weighted
Macro Mode (Exposure Mode)
1 cm
Continuous Shots
Yes
White Balancing
Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, One Push Set
Supported Languages
32 Languages
Aperture Range
f/3.0 - f/5.8
Microphone
Yes",(4 ),"Optical Sensor Resolution (in MegaPixel)
16 MP","AC Adaptor
AC Adapter EH-67",»,"Sensor Type
CMOS Sensor
Sensor Size
1/2.3 Inches",CMOS Sensor,(4.2 ) (3.2 ) (0 ) (2.2 ),"Maximum Shutter Speed
1/1500 sec
Minimum Shutter Speed
4 sec",(4.8 ) (3.4 ) (0 ) (3 ),"Optical Zoom
30x
Digital Zoom
4x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon CoolPix S9700 Point & Shoot Price in India with Offers & Full Specifications | PriceDekho.com,"Color
Red",Nikon,"USB
USB 2.0
HDMI
Yes
GPS
Yes","Dimensions
4.33 x 2.52 x 1.38 Inches
Weight
232 gms","Display Type
OLED with Anti-reflection Coating
Screen Size
3 Inches",,"Brand
Nikon
Announced
2014, February
Status
Available","Video Format
AVC, H.264, MPEG-4","Lens Type
Nikkor Lens
Auto Focus
Yes
Focal Length
4.5 - 135 mm (35 mm (135) Equivalent 25 - 750 mm)
Manual Focus
Yes","Memory Card Type
SD, SDHC, SDXC",16 MP,"ISO Rating
ISO 125-3200
Self Timer
2 sec, 10 sec
Image Stabilizer
Optical
Metering
Center-Weighted, Matrix, Spot
Continuous Shots
Up to 2.2 fps
White Balancing
Auto, Cloudy, Daylight, Flash, Incandescent, Shade",,"Optical Sensor Resolution (in MegaPixel)
16 MP","AC Adaptor
AC Adaptor EH-62F",»,"Sensor Type
BSI CMOS Sensor
Sensor Size
1/2.3 Inches",BSI CMOS Sensor,,"Maximum Shutter Speed
1/2000 sec
Minimum Shutter Speed
8 sec",,"Optical Zoom
30x
Digital Zoom
4x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Smart WB200F Point & Shoot Digital Camera White Price in India with Offers & Full Specifications | PriceDekho.com,"External Memory
Yes
Color
Black",Samsung,"USB
USB 2.0
HDMI
No
GPS
No","Dimensions
4.19 x 2.43 x 0.85 Inches
Weight
184 gms","Display Type
TFT LCD C-Type Touchscreen
Screen Size
3 Inches
Image Display Resolution
460000 dots
Video Display Resolution
1280 x 720 pixels (HD) @ 30 fps
Supported Aspect Ratio
01:01","Flash Modes
Auto, Fill-in, Slow Sync Flash
Flash Range
(ISO Auto) : Wide : 0.3 - 3.08m, Telephoto : 0.5 - 1.7m
Built in Flash
Yes","Brand
Samsung
Status
Available","Image Format
JPEG (DCF, EXIF 2.21)
Audio Formats
AAC
Video Format
AVC, H.264, MPEG-4","Lens Type
Samsung Lens
Auto Focus
TTL Auto Focus
Focal Length
4 - 72 mm (35 mm Equivalent to 24 - 432 mm)
Color Filter
Primary (RGB) Color Filter
Manual Focus
Yes","Upgradeable Memory
Yes
Inbuilt Memory
9.5 MB
Memory Card Type
SD, SDHC, SDXC",14.2 MP,"ISO Rating
Auto / 80 / 100 / 200 / 400 / 800 / 1600 / 3200
Self Timer
2 sec, 10 sec
Face Detection
Yes
Shooting Modes
Aperture Priority, Auto, Best Face, Magic Plus, Manual, Program, Shutter Priority, Smart
Delete Function
Yes
Metering
Center-Weighted, Face Detection AE, Multi, Spot
Macro Mode (Exposure Mode)
5 - 80 cm (W), 180 - 350 cm (T)
Red Eye Reduction
Yes
Picture Angle
24 mm Wide Angle
White Balancing
Auto, Cloudy, Custom, Daylight, Fluorescent-H, Fluorescent-L, Tungsten
Aperture Range
f/3.2 (W) - f/5.8 (T)
Microphone
Monaural Microphone
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)
Additional Features
16.4 Total MP, 4 sec Recharging Time, AEB, Action, Action Freeze, Advanced Slide Show, All Share Play, Aperture Priority AE, Backlight, Backlight Portrait, Blue Sky, Blue Sky, Continuous, Date, Date Imprinting (Date and Time, Drive: Single, Exposure Compensation: 2 EV in increments of 1/3 EV, Exposure Control (Program AE, Face Detection AF, Fireworks, Fireworks, Focusing Type: Centre AF, Image Play (Single Image, Landscape, Landscape, Lowlight, Macro, Macro, Macro Color, Macro Text, Magic Plus1: My Magic Frame, Manual Exposure), Motion Capture), Motion Photo, Movie Clip, Movie Filter, Movie Recording (Smart Movie: Landscape, Multi AF, Natural Gr, Natural Green, Night, Night, Night Portrait, Off (User Selectable)), Photo Editor, Photo Filter, Shutter Priority AE, Silhouette, Smart Album), Smart: Beauty Face, Split Shot, Spotlight, Spotlight Macro, Spotlight Portrait, Still Image Mode: Settings Wi-Fi Auto: Portrait, Sunset, Sunset, Thumbnails, Touch AF, Tracking AF, Tripod, White",(4 ),"Optical Sensor Resolution (in MegaPixel)
14.2 MP","Supplied Battery
Rechargeable Li-ion Battery",»,"Sensor Type
CCD Sensor
Sensor Size
1/2.3 Inches",CCD Sensor,(4.2 ) (5 ) (3 ) (2.2 ),"Maximum Shutter Speed
1/2000 sec
Minimum Shutter Speed
1/8 sec",(4.8 ) (5 ) (3 ) (3 ),"Optical Zoom
18x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon EOS 6D Body Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Black",Canon,"USB
Yes
HDMI
No
GPS
Yes","Weight
755 gms","Screen Size
3 Inches","Built in Flash
Yes","Brand
Canon
Status
Available","Image Format
JPEG (RAW : 14-bit, Canon Original)",,,20.2 MP,"Face Detection
Yes
Red Eye Reduction
Yes
Audio Video Interface (NTSC/PAL)
Yes",(7 ),"Optical Sensor Resolution (in MegaPixel)
20.2 MP
Other Resolution
20.2 MP","Supplied Battery
LP-E6 Battery",»,,,(4.2 ) (5 ) (2.2 ) (3.2 ) (4.6 ) (3.2 ) (5 ),,(4.8 ) (4.8 ) (5 ) (3 ) (3.4 ) (4.6 ) (3.2 ),"Optical Zoom
No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic Lumix DMC-FP1 Point & Shoot Digital Camera Black Price in India with Offers & Full Specifications | PriceDekho.com,"Color
Black
External Memory
Yes",Panasonic,"USB
Yes
Bluetooth
No","Weight
141 gms","Screen Size
2.7 Inches
Image Display Resolution
230000 dots
Video Display Resolution
848 x 480 pixels @ 30 fps","Flash Modes
Auto, Forced, Slow Sync Flash
Flash Range
0.3 - 4.9m
Built in Flash
Yes","Brand
Panasonic","Image Format
JPEG","Lens Type
Lumix DC Vario
Focal Length
6.3 - 25.2 mm
Color Filter
Primary Color",,12.1 MP,"ISO Rating
80 / 100 / 200 / 400 / 800 / 1600, High Sensitivity Mode (ISO 1600-6400)
Self Timer
2 sec, 10 sec
Face Detection
Yes; Photo
Delete Function
Single, Multi, All, All Except Favorites
Red Eye Reduction
Yes
White Balancing
Auto, Cloudy, Daylight, Halogen, Shade, White Set
Microphone
Monaural Microphone
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)",,"Optical Sensor Resolution (in MegaPixel)
12.1 MP","Supplied Battery
3.7v, Minimum : 695 mAh Battery
AC Adaptor
AC Adaptor (Input : 110 - 240v AC) (Optional)",»,"Sensor Type
CCD Sensor
Sensor Size
1/2.33 Inches",CCD Sensor,,"Maximum Shutter Speed
1/1600 sec
Minimum Shutter Speed
8 sec",,"Optical Zoom
4x
Digital Zoom
4x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
