<page title>,image stabilizer,light sensitivity,max image resolution,optical sensor,resolution,shutter speed,still image format,3d support,digital zoom,focus adjustment,lens aperture,max focal length,min focal length,optical zoom,colour,internal memory,storage media
Olympus OM D E-M10 + 25/1.8  New Zealand Prices - PriceMe,Built-in,"100 - 25,600 ISO",4608x3456,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",60-1/4000s,"JPEG, RAW",,,,,,,,,,
Canon PowerShot SX60 HS  New Zealand Prices - PriceMe,Optical,100 ISO,4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,
Sony Alpha STL-A99V + 50/1.4  New Zealand Prices - PriceMe,Built-in,"100 - 25,600 ISO",6000x4000,CMOS,,30-1/8000s,"JPEG, RAW",,,,,,,,,,
Canon EOS 700D + 18-135/3.5-5.6 IS STM  New Zealand Prices - PriceMe,,"100 - 12,800 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,
Canon EOS M + 22/2.0 + 18-55/3.5-5.6 IS  New Zealand Prices - PriceMe,,"100 - 12,800 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,
Panasonic Lumix DMC-GX7  New Zealand Prices - PriceMe,,"200 - 25,600 ISO",4592x3448,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,,,,,,,,,,,
Fujifilm FinePix S2950HD  New Zealand Prices - PriceMe,With Image Stabilizer,"ISO 1600, ISO manual 1600",4288x3216,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",8-1/2000s,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.1-5.6,90mm,5mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Sony CyberShot DSC-HX7V  New Zealand Prices - PriceMe,With Image Stabilizer,ISO 3200,4608x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/1600s,JPEG,Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.5-5.5,280mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Canon EOS M + 18-55/3.5-5.6 IS  New Zealand Prices - PriceMe,,"100 - 12,800 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,
Sony Alpha SLT-A99  New Zealand Prices - PriceMe,Built-in,"100 - 25,600 ISO",6000x4000,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, RAW",,,,,,,,,,
Sony Alpha A5100 + 16-50/3.5-5.6 OSS + 55-210/4.5-6.3 OSS  New Zealand Prices - PriceMe,Lens based only,"100 - 25,600 ISO",6000x4000,CMOS,,30-1/4000s,"JPEG, RAW",,,,,,,,,,
Fujifilm FinePix JX300  New Zealand Prices - PriceMe,Without Image Stabilizer,ISO 3200,4288x3216,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2.6-6.2,140mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Sony Cybershot DSC-W810  New Zealand Prices - PriceMe,ISO anti-shake,100 ISO,,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.5-6.5,156mm,26mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon Coolpix S3100  New Zealand Prices - PriceMe,Without Image Stabilizer,ISO 3200,4320x3240,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.2-6.5,130mm,26mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.","Black, Blue, Pink, Purple, Red, Silver, Yellow",,
Canon EOS 650D  New Zealand Prices - PriceMe,Lens based only,"100 - 12,800 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Sony Cybershot DSC-W320  New Zealand Prices - PriceMe,Without Image Stabilizer,"ISO 100, ISO 1600, ISO 200, ISO 3200, ISO 400, ISO 80, ISO 800, Auto ISO",4320x3240,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/2.7-5.7,105mm,26mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon D700  New Zealand Prices - PriceMe,Without Image Stabilizer,"ISO 200, ISO 6400",4256x2832,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, NEF (RAW), TIFF",,,,,,,,,,
Leica X Vario  New Zealand Prices - PriceMe,,"100 - 12,500 ISO",,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",,,,,,,,,,
Nikon D3200 + 18-55/3.5-5.6 VR + 55-200/4.0-5.6 VR  New Zealand Prices - PriceMe,,"100 - 6,400 ISO",6000x4000,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, NEF (RAW), RAW",,,,,,,,,,
Panasonic Lumix DMC-GH4 + 12-35/2.8 OIS  New Zealand Prices - PriceMe,Lens based only,"200 - 25,600 ISO",4608x3456,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",60-1/8000s,"JPEG, RAW",,,,,,,,,,
Fujifilm FinePix S8200  New Zealand Prices - PriceMe,Optical,"100 - 2,800 ISO",,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,
Fujifilm FinePix HS50 EXR  New Zealand Prices - PriceMe,,"100 - 3,200 ISO",4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,
Nikon D7000 + Tamron 18-270/3.5-6.3 Di II VC PZD  New Zealand Prices - PriceMe,Lens based only,"100 - 6,400 ISO",4928x3264,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, NEF (RAW), RAW",,,,,,,,,,
Nikon Coolpix P530  New Zealand Prices - PriceMe,Optical,100 ISO,4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,
Pentax Q + 8.5/1.9 + 5-15/2.8-4.5  New Zealand Prices - PriceMe,,"125 - 6,400 ISO",4000x3000,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",,,,,,,,,,
Fujifilm X100T  New Zealand Prices - PriceMe,,"200 - 5,600 ISO",4896x3264,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",,,,,,,,,,
