<page title>,camerastorecomau,product name,the bad,the good,camera type,digital camera warehouse,digital camera warehouse nsw vic qld,dimensions,lcd size,optical image stabilization,sensor resolution,sensor resolution mpx,shop,vic,video resolution,weight,zoom,modtech computers,tech4ucomau,warehouse1,camerastorecomau sa,nsw,qld,dimensions mm,weight g,pc meal,nsw vic qld sa,graysonline,itspotcomau,mega buy,nsw vic qld,discount digital photographics,istorecomau,appliances now
Olympus Tough TG-2 iHS - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,"Lens could have been sharper, Expensive in its category","Waterproof till 50 feet, Fast lenses, GPS and digital compass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujifilm FinePix F550EXR - Price comparison & reviews - Digital Cameras - Australia,,» Show All Product Descriptions,"Pop up flash, Slow starting up, Weak on low lighted places","With GPS, Reliable features, Great Images, All-around, Affordable",Compact,"NSW, VIC, QLD","Fujifilm FinePix F550EXR Digital Camera - 16 Megapixel +BONUS 4GB SDHC memory card!
Continuing the excellence of Fujifilm's F-series compact digital cameras, the Fuji FinePix F550 EXR combines a high quality 15x optical zoom Fujinon lens with 24mm wide-angle and an all-new 16 Megapixel BSI EXR CMOS sensor delivering exceptional low-light performance. Also sporting a 3.0 inch high r...
Genuine Australian Warranties Fast Delivery!
$305.00
See Site
See offer",104 x 63 x 33 mm,"3 """,Yes,16 Mpx,16,Product Name» Show All Product Descriptions Price Availability,"Fujifilm FinePix F550EXR BLACK 16MP EXR ,15x Optical Zoom, ISO 12800, 3"" LCD, G (5-75515)
Cameras::Still Camera
Supplies, Service & Support - Aust Warranty
$525.29
Available
See offer",1920x1080 px,215 g,15 x,,,,,,,,,,,,,,,,,
Pentax Optio WG-2 - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,No complaints,"Waterproof, Dustproof, Crushproof, Shockproof, Cold-proof",Compact,,,122 x 61 x 30 mm,"3 """,No,16 Mpx,,,,1920x1080 px,192 g,5 x,,,,,,,,,,,,,,,,,
Canon PowerShot SX510 HS - Price Comparison - Buy Cheap in Australia,SA,» Show All Product Descriptions,Slow action shots; Viewfinder lacking,Impressive built-in Wi-Fi functionality; Affordable; High picture and movie quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olympus Stylus SH-1 - Price comparison & reviews - Digital Cameras - Australia,,» Show All Product Descriptions,,,,"NSW, VIC, QLD",,,,,,,,,,,,VIC,"NSW, VIC, QLD, SA, WA","NSW, QLD, VIC, WA, SA",,,,,,,,,,,,,,
Canon EOS 700D / 18-55mm & 55-250mm Kit - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,"Limited autofocus points; Doesnât reach the top level of the market in the category, as one would expect from a Canon camera",Lenses are very efficient; Good video capture; Useful and responsive touchscreen,,"NSW, VIC, QLD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon Coolpix S9400 - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,,,,,,,,,,,Product Name» Show All Product Descriptions Price Availability,,,,,,,,"Nikon Coolpix S9400 White (4609)
With the S9400, you can capture your travel memories in breathtaking clarity. This compact camera's 18x optical zoom allows you to take detailed panoramas and dramatic close-ups in 18.1 megapixels. Use its Glamour Retouch function to fine-tune your images. Browse your shots on its ultra-sharp OLED m...
$259.00
1 more offer
Available
See offer",,,,,,,,,,,,,
Olympus OM-D E-M10 - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,,,,"NSW, VIC, QLD",,,,,,,,,,,,VIC,,,,,,,,,,,,,,,,
Fujifilm FinePix X100 - Price comparison & reviews - Digital Cameras - Australia,,» Show All Product Descriptions,picture quality is okay could be better,"easy to use, easy on the eyes and hands",Compact,"NSW, VIC, QLD",,126 x 75 x 54 mm,"2,8 """,No,"12,3 Mpx","12,3",,,1280x720 px,445 g,1 x,,,,,,,,,,,,,,,,,
Canon EOS M - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,"No lens mount, no built-in flash, slow auto focus","Functional, compact, stylish look, high quality images, great video quality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
