3d,<page title>,af illuminator,aperture,battery,body type,brand,category,connector type,continuous shooting speed,depth,digital video format,digital zoom,display form factor,ean,exposure compensation,exposure modes,flash modes,flash range,flash type,focal length,gps,height,image format,image processor,image resolutions,image stabilizer,included accessories,installed memory,light sensitivity iso,max shutter speed,memory type,metering modes,microphone,min shutter speed,optical zoom,product name,product rating,recording functions,red eye reduction,resolution,screen resolution,screen size,screen type,self timer delay,sensor size,sensor type,special effects,touchscreen,user reviews,video resolution,weight,white balance,white balance presets,width,ae bracketing,autofocus,camera type,flash sync speed,focal length multiplier,image ratio,lens mount,lowest recommended price,manual focus,number of focus points,orientation sensor,remote control,sensor format,upc,viewfinder coverage,viewfinder magnification,viewfinder type,focal length equivalent to 35mm,live view,environmentally sealed,wireless,lowest price,isbn,isbn13
Yes,"Panasonic DMC-TZ20 digital camera prices, Shopping comparison for Panasonic DMC TZ 20, Buy online in India - ShopMania",Yes,F/3.3-5.9,Li-Ion,Compact,Panasonic,Digital Cameras Digital Cameras,Composite / USB / micro HDMI / mini HDMI,2.0,33 mm,AVCHD / MJPEG / MPEG / QuickTime / H.264,4x,Fixed,"5025232608768, 5025232608638, 5025232608614, 5025232608799, 5025232608751","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Backlight Compensation / Custom / Intelligent Auto / Manual / Program / Scene / Shutter Priority,Auto / Off / On / Red Eye Reduction / Slow Speed Sync,5 m,Built-in,4.3 - 68.8 mm,Yes,58 mm,DCF / DPOF / JPEG / MPO,Venus Engine FHD,640x480 / 1920x1080 / 2048x1360 / 2048x1536 / 2560x1440 / 2560x1712 / 2560x1920 / 3072x1728 / 3072x2048 / 3072x2304 / 3232x3232 / 3648x2056 / 3648x2432 / 3648x2736 / 4000x3000 / 4320x2432 / 4320x2880 / 4320x3240,Optical,AV cable / Carrying strap / Charger / Hand strap / Stylus / USB cable,18 MB,Auto / 80 / 100 / 200 / 400 / 800 / 1000 / 1600 / 3200 / 6400,1/4000,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,16s (more than 61%),16x (more than 92%),Panasonic DMC-TZ20 Panasonic DMC-TZ20,4 out of 5 4 out of 5,"Face Detection
/ Panorama",Yes,14 MP (more than 67%),460000 (more than 68%),"3"" (more than 62%)",LCD,2s / 10s,1/2.33,CMOS,Black & White / Neutral / Retro / Sepia / Soft / Vivid,Yes,Write a review Write a review,320x240 / 640x424 / 640x480 / 1280x720 / 1920x1080,197 g,Automatic / Custom / Presets,Cloudy / Daylight / Sunny / Fine / Flash / Fluorescent / Halogen / Incandescent / Indoor / Shade / Underwater,105 mm,,,,,,,,,,,,,,,,,,,,,,,,
,"Nikon D5200 kit 18-55mm digital camera prices, Shopping comparison for Nikon D 5200 kit 18 55mm, Buy online in India - ShopMania",Yes,F/3.5-5.6,Li-Ion,DSLR,Nikon,Digital Cameras,Composite / HDMI / USB / mini HDMI / Jack 3.5 mm,5.0,78 mm,MOV / MPEG-4 / H.264,,Rotating,"0018208927234, 0018208937271, 0018208927364, 0018208927302, 0018208995257, 8033737551806, 0018208015030, 0018208015115, 0018208937325, 0689466660098, 0689466659900, 0639767685221, 0846431092777, 0639767685313, 0639767685108, 0845251048551, 0639767685153, 0846431092906, 0689466660074, 0689466660265, 0689466650433, 0689466659863, 0689466660104, 0018208015078, 0704660931956, 0845251048568, 0704660932007, 0689466660289, 0689466660296, 0846431092944, 0689466650440, 0639767685115, 0846431091503, 0846431092951, 0846431091473, 0689466659887, 0639767685306, 0639767685276, 0689466660302, 0846431091442, 0845251048575, 0846431091459, 0846431092975, 0846431092807, 0846431092876, 0846431092883, 0689466650426, 0639767685375, 0689466659870, 0689466660272, 0639767685238, 0689466650457, 0689466660067, 0846431092784, 0689466650419, 0689466650402","-/+ 5 EV range, in 1/2 or 1/3 EV steps",Aperture Priority / Bulb / Close-up / Movie / Program / Scene / Shutter Priority / Sport / 3D,Auto / Off / On / Red Eye Reduction / Slow Speed Sync,12 m,,18 - 55 mm,Yes,98 mm,DCF / DPOF / JPEG / NEF / RAW / DCF 2.0,Expeed 3,2992x2000 / 4496x3000 / 6000x4000,,AV cable / Body cap / Carrying strap / Charger,,Auto / 20 / 25 / 50 / 60 / 100 / 200 / 400 / 2000 / 4000 / 6400 / 25600,1/4000,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,30s (more than 65%),3x,Nikon D5200 kit 18-55mm,0 out of 5,"Face Detection
/ HDR",Yes,24.1 MP (more than 98%),921000 (more than 84%),"3"" (more than 62%)",LCD,2s / 5s / 10s / 20s,23.5x15.6mm,CMOS,,,Write a review,640x424,555 g,,"Cloudy / Flash / Fluorescent / Incandescent / Shade / Sunlight / Sunny
/ Tungsten",129 mm,"-/+ 2 EV (3 frames in 1/3, 1/2 EV steps)","Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Phase Detect
/ Selective Single-point
/ Single
/ Tracking",Kit,1/200,1.5x,3:2,Nikon F,"Rs.33,611 - Shopclues.com Show all prices »",Yes,39.0,Yes,Yes,APS-C,"018208927234, 018208937271, 018208927364, 018208927302, 018208995257, 018208015030, 018208015115, 018208937325, 689466660098, 689466659900, 639767685221, 846431092777, 639767685313, 639767685108, 845251048551, 639767685153, 846431092906, 689466660074, 689466660265, 689466650433, 689466659863, 689466660104, 018208015078, 704660931956, 845251048568, 704660932007, 689466660289, 689466660296, 846431092944, 689466650440, 639767685115, 846431091503, 846431092951, 846431091473, 689466659887, 639767685306, 639767685276, 689466660302, 846431091442, 845251048575, 846431091459, 846431092975, 846431092807, 846431092876, 846431092883, 689466650426, 639767685375, 689466659870, 689466660272, 639767685238, 689466650457, 689466660067, 846431092784, 689466650419, 689466650402",95%,0.78x,Optical,,,,,,,
,"Fujifilm FinePix F550EXR digital camera prices, Shopping comparison for Fujifilm Fine Pix F 550EXR, Buy online in India - ShopMania",Yes,F/3.5-5.3,Li-Ion,Compact,Fujifilm,Digital Cameras Digital Cameras,Composite / USB / mini HDMI,8.0,33 mm,AVI / MOV / QuickTime / WAV / H.264,5x,Fixed,"4547410146776, 4547410146806, 0662425802166, 0074101007800, 0876544702089, 0876544702065, 0876544702034, 0876544702041, 0876544702027","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Custom / Manual / Night / Program / Scene / Shutter Priority,Auto / Fill-in / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,3.20 m,Built-in,4.4 - 66 mm,Yes,58 mm,DCF / DPOF / JPEG / RAW,EXR,640x480 / 1920x1080 / 2304x1536 / 2304x1728 / 3264x1840 / 3264x2176 / 3264x2448 / 4608x2592 / 4608x3072 / 4608x3456,Optical,AV cable / Charger / Hand strap / USB cable,39 MB,Auto / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400 / 12800,1/2000,SD / SDHC / SDXC,Average / Center-weighted / Multi / Spot,Yes,8s,15x (more than 91%),Fujifilm FinePix F550EXR Fujifilm FinePix F550EXR,4 out of 5 4 out of 5,"Face Detection
/ Panorama
/ Sweep Panorama",Yes,16 MP (more than 78%),460000 (more than 68%),"3"" (more than 62%)",LCD,2s / 10s,1/2,Exmor CMOS,Black & White / Sepia / Vivid,,Write a review Write a review,320x240 / 1280x720 / 1920x1080,215 g,Automatic / Custom / Manual / Presets,"Cloudy / Daylight / Sunny / Fine / Fluorescent / Incandescent / Indoor / Shade / Sunlight / Sunny
/ Tungsten / Underwater",104 mm,,"Center
/ Continuous
/ Contrast Detect
/ Live View
/ Multi-area
/ Single
/ Tracking",,,,3:2 / 4:3 / 16:9,,,,,Yes,,,"662425802166, 074101007800, 876544702089, 876544702065, 876544702034, 876544702041, 876544702027",,,Optical,24 - 360 mm,Yes,,,,,
,"Fujifilm X20 digital camera prices, Shopping comparison for Fujifilm X 20, Buy online in India - ShopMania",Yes,F/2.8 / F/2.0-2.8,Li-Ion,Compact,Fujifilm,Digital Cameras,USB / mini HDMI,12.0,57 mm,MOV / H.264,2x,Fixed,"0074101021615, 4547410241112, 4547410241082, 0074101021622","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Program / Shutter Priority,Auto / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,7 m,,7.1 - 28.4 mm,,70 mm,DCF / DPOF / JPEG / RAW,EXR II,1536x1536 / 1920x1080 / 2048x1360 / 2048x1536 / 2112x2112 / 2816x1584 / 2816x1864 / 2816x2112 / 2992x2992 / 4000x2248 / 4000x2664 / 4000x3000,Optical,AV cable / Carrying strap / Charger / USB cable,20 MB,100 / 200 / 250 / 320 / 400 / 500 / 640 / 800 / 1000 / 1250 / 1600 / 2000 / 2500 / 3200 / 4000 / 5000 / 12800,1/4000,SD / SDHC / SDXC,Average / Center-weighted / Multi / Spot,Yes,30s (more than 65%),4x (more than 51%),Fujifilm X20,0 out of 5,"Face Detection
/ Panorama
/ Sweep Panorama",,12 MP (more than 51%),460000 (more than 68%),"2.8"" (more than 61%)",LCD,2s / 10s,2/3,CMOS,,,Write a review,1920x1080,353 g,,Cloudy / Daylight / Sunny / Incandescent / Shade / Tungsten / Underwater,117 mm,,"Center
/ Continuous
/ Live View
/ Multi-area
/ Phase Detect
/ Single
/ Tracking",,,3.94x,1:1 / 3:2 / 4:3 / 16:9,,"Rs.34,680 - Homeshop18.com Show all prices »",Yes,,Yes,,,"074101021615, 074101021622",85%,,Optical,28 - 112 mm,Yes,,,,,
,"Nikon COOLPIX L27 digital camera prices, Shopping comparison for Nikon L 27, Buy online in India - ShopMania",,F/3.2 / F/3.2-5.6 / F/3.2-6.5,NiMH,Compact,Nikon,Digital Cameras,Composite / USB,1.2,29 mm,AVI / MJPEG,4x,,"0018208933945, 0018208934010, 8033737553039, 0018208934089, 0018208933976, 0018208934058, 8033737553046","-/+ 2 EV range, in 1/3 EV steps",Backlight Compensation / Beach / Landscape / Macro / Museum / Night Portrait / Panorama / Pet / Portrait / Program / Snow / Sport / Sunset / e-Portrait,Auto,3.60 m,,4.6 - 23 mm,,59 mm,DCF / DPOF / JPEG / DCF 2.0,Expeed C2,640x480 / 1600x1200 / 2272x1704 / 3264x2448 / 4608x2592 / 4608x3456,Digital,Carrying case / Carrying strap / USB cable,20 MB,Auto / 20 / 50 / 80 / 85 / 100 / 130 / 200 / 320 / 640 / 1200 / 1600 / 2000,,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,,5x (more than 61%),Nikon COOLPIX L27,0 out of 5,"Blink Detection
/ Face Detection
/ Panorama
/ Smile Detection
/ Sweep Panorama",Yes,16 MP (more than 78%),,"2.7""",LCD,10s,1/2.3,CCD,,,Write a review,1280x720,161 g,,,96 mm,,,,,,,,"Rs.4,545 - Shopclues.com Show all prices »",,,,,,"018208933945, 018208934010, 018208934089, 018208933976, 018208934058",,,,,,,,,,
,"Nikon D5100 body digital camera prices, Shopping comparison for Nikon D 5100 body, Buy online in India - ShopMania",Yes,F/2.8 / F/2.8-4.0 / F/2.8-4.5 / F/3.5-4.5 / F/3.5-5.6 / F/3.5-6.3 / F/3.8-5.6 / F/4.0-5.6 / F/4.5-5.6,Li-Ion,DSLR,Nikon,Digital Cameras,Composite / HDMI / Microphone / USB / mini HDMI,4.0,79 mm,AVI / MOV / MPEG / MPEG-4 / H.264,,Rotating,"0018208919796, 0018208885121, 0018208885138, 0182088845756, 0018208919758, 0018208885145, 0890552594573, 0689466444940, 0689466444933, 0689466440089, 0689466444858, 0689466444841, 0689466444865, 0689466444834, 0628586227064, 0876544749381, 0876544538480, 0876544749367, 0876544749343, 0689466444100, 0689466444124, 0018208254781, 0689466444063, 0689466444070, 0689466444148, 0689466444179, 0689466440034, 0689466440300, 0689466444216, 0689466444094, 0689466440041, 0689466444117, 0610563300839, 0689466444025, 0689466440058, 0610563300853, 0689466444186, 0689466444032, 0610563300884, 0610563300860, 0689466444162, 0689466440065, 0890552593422, 0689466444056, 0610563300877, 0689466444049, 0689466444131, 0610563300891, 0662425801473, 0012345832437, 0012345884870, 0689466444155, 0665309840773, 0012345099458, 0890552593439, 0662425801442, 0876544538497, 8431016851591, 0018208919765, 8431016851577, 8033737551158, 0018208254767, 0846431075374","-/+ 5 EV range, in 1/2 or 1/3 EV steps",Aperture Priority / Auto / Custom / Intelligent Auto / Manual / Movie / Program / Scene / Shutter Priority / 3D,Auto / Fill-in / Off / On / Red Eye Reduction / Slow Speed Sync,12 m,Built-in / External,16 - 85 mm / 17 - 50 mm / 17 - 70 mm / 18 - 50 mm / 18 - 55 mm / 24 - 85 mm / 18 - 105 mm / 18 - 125 mm / 18 - 200 mm / 18 - 250 mm / 18 - 270 mm / 18 - 300 mm / 50 - 200 mm / 55 - 200 mm / 55 - 300 mm / 70 - 300 mm,Yes,97 mm,DCF / DPOF / JPEG / NEF / RAW,Expeed 2,640x480 / 1920x1080 / 2464x1632 / 3264x2448 / 3696x2448 / 4000x2248 / 4928x3264,Optical,AV cable / Body cap / Carrying strap / Charger / Eyepiece cover / Neck strap / Tripod / Tungsten / USB cable,,Auto / 25 / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400 / 12800 / 25600,1/4000,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,30s (more than 65%),,Nikon D5100 body,5 out of 5,HDR,Yes,16.2 MP (more than 88%),921000 (more than 84%),"3"" (more than 62%)",LCD,2s / 5s / 10s / 20s,23.6x15.7mm,CMOS,Contrast / Fisheye / Monochrome / Neutral / Vivid,,Write a review,640x424 / 640x480 / 1280x720 / 1920x1080,560 g,Automatic / Custom / Manual / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Fine / Flash / Fluorescent / Incandescent / Indoor / Shade / Sunlight / Sunny
/ Tungsten",127 mm,"-/+ 2 EV (3 frames in 1/3, 1/2 EV steps)","Center
/ Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Phase Detect
/ Selective Single-point
/ Single
/ Tracking",Body,1/200,1.5x,3:2,Nikon F,"Rs.24,431 - Shopclues.com Show all prices »",Yes,11.0,Yes,Yes,APS-C,"018208919796, 018208885121, 018208885138, 182088845756, 018208919758, 018208885145, 890552594573, 689466444940, 689466444933, 689466440089, 689466444858, 689466444841, 689466444865, 689466444834, 628586227064, 876544749381, 876544538480, 876544749367, 876544749343, 689466444100, 689466444124, 018208254781, 689466444063, 689466444070, 689466444148, 689466444179, 689466440034, 689466440300, 689466444216, 689466444094, 689466440041, 689466444117, 610563300839, 689466444025, 689466440058, 610563300853, 689466444186, 689466444032, 610563300884, 610563300860, 689466444162, 689466440065, 890552593422, 689466444056, 610563300877, 689466444049, 689466444131, 610563300891, 662425801473, 012345832437, 012345884870, 689466444155, 665309840773, 012345099458, 890552593439, 662425801442, 876544538497, 018208919765, 018208254767, 846431075374",95%,0.78x,Optical,,,,,,,
,"Fujifilm FinePix HS10 digital camera prices, Shopping comparison for Fujifilm Fine Pix HS 10, Buy online in India - ShopMania",Yes,F/2.8-5.6,NiMH,Compact,Fujifilm,Digital Cameras Digital Cameras,Composite / USB / mini HDMI,10.0,126 mm,AVC / MOV / MPEG / WAV / H.264,2x,Folding,"0876544541268, 0876544541251, 0814733011314, 0074101003789, 0876544541275","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Custom / Manual / Program / Scene / Shutter Priority,Auto / Off / On / Red Eye Reduction,3.10 m,Built-in / External,4.2 - 126 mm,,91 mm,DCF / DPOF / JPEG / RAW,,640x480 / 1920x1080 / 2048x1360 / 2048x1536 / 2592x1440 / 2592x1728 / 2592x1944 / 3648x2056 / 3648x2432 / 3648x2736,Digital,AV cable / Carrying strap / Lens cap / USB cable,45 MB,Auto / 80 / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400,1/4000,SD / SDHC,Multi,Yes,30s (more than 65%),30x (more than 98%),Fujifilm FinePix HS10 Fujifilm FinePix HS10,4 out of 5 4 out of 5,"Face Detection
/ Panorama",Yes,10.3 MP (more than 51%),230000,"3"" (more than 62%)",LCD,2s / 10s,1/2.3,BSI CMOS,Chrome / Contrast / Saturation / Sepia,,Write a review Write a review,224x64 / 224x168 / 320x240 / 448x336 / 640x480 / 1280x720 / 1920x1080,666 g,Automatic / Custom / Presets,Daylight / Sunny / Fine / Flash / Fluorescent / Incandescent / Shade / Sunny,131 mm,,"Center
/ Continuous
/ Contrast Detect
/ Live View
/ Multi-area
/ Single
/ Tracking",,,,3:2 / 4:3 / 16:9,,,Yes,,Yes,,,"876544541268, 876544541251, 814733011314, 074101003789, 876544541275",97%,,Digital / Electronic,24 - 720 mm,Yes,,,,,
,"Nikon 1 V1 body digital camera prices, Shopping comparison for Nikon 1 V 1 body, Buy online in India - ShopMania",Yes,F/2.8 / F/3.5-5.6 / F/3.8-5.6 / F/4.5-5.6,Li-Ion,Mirrorless,Nikon,Digital Cameras,Composite / USB / mini HDMI / mini USB,10.0,44 mm,MOV / MPEG / MPEG-4 / H.264,,Fixed,"0018208921805, 0018208921881, 0018208921843, 0018208921966, 0018208921928, 0610696376701, 0018208922000, 0689466555615, 0689466555592, 0689466555608, 0661799194693, 0661799194792, 0661799194686, 0661799194709, 0661799194808, 0661799194846, 0661799194679, 0661799194648, 0661799194778, 0661799194655, 0661799194662, 0661799194839, 0018208923694, 0610696377456, 0018208275045","-/+ 3 EV range, in 1/3 EV steps",Aperture Priority / Custom / Program / Scene / Shutter Priority,Auto / Fill-in / Off / On / Red Eye Reduction / Slow Speed Sync,,External,10 - 30 mm / 10 - 100 mm / 30 - 110 mm,Yes,76 mm,DCF / DPOF / JPEG / RAW,Expeed,1280x720 / 1920x1080 / 1936x1296 / 2896x1944 / 3840x2160 / 3872x2592,,AV cable / Body cap / Carrying strap / Charger / USB cable,,Auto / 100 / 3200 / 6400,1/16000,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,30s (more than 65%),3x,Nikon 1 V1 body,4 out of 5,Face Detection,Yes,10.1 MP,921000 (more than 84%),"3"" (more than 62%)",LCD,2s / 5s / 10s,13.2x8.8mm,CMOS,Contrast / Custom Effect / Monochrome / Neutral / Vivid,,Write a review,320x240 / 1280x720 / 1920x1080,383 g,Custom / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Fine / Flash / Fluorescent / Incandescent / Shade / Sunlight / Sunny
/ Tungsten",113 mm,,"Contrast Detect
/ Multi-area
/ Phase Detect
/ Selective Single-point
/ Tracking",Body,1/250,2.7x,3:2 / 16:9,Nikon 1,"Rs.44,055 - Shopclues.com Show all prices »",Yes,135.0,,Yes,,"018208921805, 018208921881, 018208921843, 018208921966, 018208921928, 610696376701, 018208922000, 689466555615, 689466555592, 689466555608, 661799194693, 661799194792, 661799194686, 661799194709, 661799194808, 661799194846, 661799194679, 661799194648, 661799194778, 661799194655, 661799194662, 661799194839, 018208923694, 610696377456, 018208275045",100%,,Electronic / Optical,,Yes,,,,,
,"Panasonic Lumix DMC-TS25 digital camera prices, Shopping comparison for Panasonic DMC TS 25, Buy online in India - ShopMania",,F/3.9-5.7,,,Panasonic,Digital Cameras Digital Cameras,,,,MPEG-4,4x,Fixed,"0616932798795, 0616932798436, 0689466657265, 0616932798429, 0616932798443, 0689466657968, 0689466657999, 0617529207164, 0689466729269, 0689466657258, 0689466658064, 0689466657975, 0617529223812, 0689466657982, 0885170117013, 0885170117006, 0885170117020, 0885170117174, 0617529207157, 0689466729252, 0689466729245, 0689466729238",,,Auto / Off / On,4.40 m,,,,,,,640x480 / 2048x1536 / 2560x1920 / 3456x3456 / 3648x2736 / 4608x2592 / 4608x3072,Optical,,70 MB,100 / 200 / 400 / 800 / 1600,1/1300,SDXC,Multi,,8s,4x (more than 51%),Panasonic Lumix DMC-TS25 Panasonic Lumix DMC-TS25,0 out of 5 0 out of 5,,,16.1 MP (more than 84%),230000,"2.7""",,2s,1/2.33,CCD,,,Write a review Write a review,,144 g,,,,,"Center
/ Continuous
/ Contrast Detect
/ Live View
/ Multi-area
/ Single
/ Tracking",,,,1:1 / 3:2 / 4:3 / 16:9,,,,23.0,Yes,,,"616932798795, 616932798436, 689466657265, 616932798429, 616932798443, 689466657968, 689466657999, 617529207164, 689466729269, 689466657258, 689466658064, 689466657975, 617529223812, 689466657982, 885170117013, 885170117006, 885170117020, 885170117174, 617529207157, 689466729252, 689466729245, 689466729238",,,,25 - 100 mm,Yes,Dustproof / Shockproof / Waterproof,,,,
,"Sony DSC-S3000 digital camera prices, Shopping comparison for Sony DSC S 3000, Buy online in India - ShopMania",Yes,F/3.0-5.7,NiMH,Compact,Sony,Digital Cameras Digital Cameras,Composite / USB / mini USB,0.68,29 mm,AVCHD / AVI / MPEG,8x,Fixed,4905524767544,"-/+ 2 EV range, in 1/3 EV steps",Auto / Intelligent Auto / Manual / Program / Scene,Auto / Fill-in / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,6 m,Built-in,4 - 16 mm,,61 mm,DCF / DPOF / JPEG,Bionz,640x480 / 1920x1080 / 2048x1536 / 2592x1944 / 3072x2304 / 3264x2448 / 3456x2304 / 3456x2592 / 3648x2056 / 3648x2432 / 3648x2736 / 4000x2248 / 4000x3000 / 4320x2432 / 4320x3240 / 4608x3456,Optical,Carrying strap / USB cable,,Auto / 80 / 100 / 200 / 320 / 400 / 800 / 1600 / 3200,1/2000,Memory Stick Duo / Memory Stick PRO Duo / Memory Stick PRO Duo High Speed / Memory Stick PRO-HG Duo / SD / SDHC / SDXC,Center-weighted / Multi / Spot,,16s (more than 61%),4x (more than 51%),Sony DSC-S3000 Sony DSC-S3000,0 out of 5 0 out of 5,"Blink Detection
/ Face Detection
/ Panorama
/ Smile Detection
/ Sweep Panorama",Yes,10.1 MP,230400 (more than 63%),"2.7""",LCD,2s / 10s,1/2.3,CCD,Retro,,Write a review Write a review,320x240 / 1280x720 / 1440x1080,119 g,Automatic / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Flash / Fluorescent / Incandescent",99 mm,,,,,,,,,,,,,,,,,Optical,28 - 112 mm,,,,,,
