<page title>,brand,camera resolution,colour,hd video,lcd size,mpn,optical zoom range,variangle lcd,35mm equivalent,features,included lens,lens tele mm,lens wide mm,optical zoom,waterproof depth
Canon EOS 700D SLR Camera + 18-55mm IS STM Lens (Black) | UK Digital Cameras,Canon,18 Megapixels,Black,Full HD (1080P),"3.0""",8596B027AA,n/a,Yes,,,,,,,
Fuji Finepix S1 Digital Camera (Black) | UK Digital Cameras,Fuji,16.0 Megapixels,Black,Full HD (1080P),3.0'',P10NC12730A,18x and higher,18x and higher,24-1200mm,"Super-Zoom
Wide-Angle
Raw Shooting",18x and higher,1200,24,50x,
Canon Powershot D30 (Blue) | UK Digital Cameras,Canon,12 Megapixels,Blue,Full HD (1080P),"3.0""'",9337B012AA,4x to 7x,,28-140mm,Waterproof,,140,28,5,25m
Canon PowerShot G7 X Digital Camera | UK Digital Cameras,Canon,20 Megapixels,Black,Full HD (1080P),"3.0""",9546B009AA,4x to 7x,,24-100mm,Semi-Pro,,100,24,4,
Canon PowerShot G1X Mark II (Black) | UK Digital Cameras,Canon,12.8 Megapixels,Black,Full HD (1080P),"3.0""",9167B012AA,4x to 7x,Yes,24-120mm,Semi-Pro,,120,24,5,
Sony Cybershot HX60V Digital Camera (Black) | UK Digital Cameras,Sony,20 Megapixels,Black,Full HD (1080P),3.0'',DSCHX60V/B,18x and higher,,24-720mm,"Wide-Angle
GPS
3D Mode",,720,24,30,
Sony Cybershot TX30 Digital Camera (Blue) | UK Digital Cameras,Sony,18 Megapixels,Blue,Full HD (1080P),3.0'',DSCTX30L.CE3,4x to 7x,,26-130mm,"3D Mode
Slimline
Wide-Angle",,130,26,5,
Sony Cybershot HX400v Digital Camera (Black) | UK Digital Cameras,Sony,20.4 Megapixels,Black,Full HD (1080P),"3.0""",DSCHX400VB.CEH,18x and higher,Yes,24-1200mm,"Super-Zoom
Vari-Angle LCD",,1200,24,50,
Sony Cybershot DSC-RX100 II Digital Camera (Black) | UK Digital Cameras,Sony,20.2 Megapixels,Black,Full HD (1080P),3.0'',DSCRX100M2CDN.YG,4x or less,Yes,28-100mm,"Raw Shooting
Semi-Pro
Wide-Angle",,100,28,3.6,
Sony Cybershot DSC-RX1R Digital Camera (Black) | UK Digital Cameras,Sony,24.3 Megapixels,Black,Full HD (1080P),3.0'',DSCRX1R/B,,No,35mm,"Raw Shooting
Semi-Pro
Wide-Angle",,,35mm,n/a,
