<page title>,additional features,connector type,digital zoom,features,flash modes,focal length equivalent to 35mm camera,lens system mounting,magnification,model no,operating system support,optical zoom,product in inches l x w x h,self timer delay,shipping weight in pounds,software,store information not available,type,viewfinder color support,viewfinder diagonal size,walmart no,battery type,has mercury,has paper wood,lcd screen resolution,lcd screen size,multi pack indicator,primary color,resolution megapixels,transactionid,viewfinder frames,effective flash range,macro focus range,age,external microphone jack,stereo recording,tripod mount,viewfinder
"Sony Black 20.1MP Alpha a3000 Interchangeable Lens Camera, Includes 18-55mm Lens: Cameras & Camcorders : Walmart.com","USB 2.0 compatibility, built-in speaker, RGB primary color filter, DPOF support, display brightness control, sharpness control, digital image rotation, PRINT Image Matching, camera orientation detection, PictBridge support, histogram display, AE lock, AF lock, saturation control, Sweep Panorama technology, Dolby Digital AC-3 (2 channel) recording, shadow point display, highlight point display, contrast control, Auto HDR mode, 1080p Full HD movie recording, Manual Focus Check Live View, Dynamic Range Optimizer, face detection, USB charging, built-in help guide, 24p Cinema Mode, Exif Print support, peripheral illumination correction, Chromatic Aberration Compensation (CAC), Anti-motion Blur Mode, x.v.Color technology, digital level meter, Intelligent AUTO (iAUTO), Predictive Focus Control, Superior Auto mode, By Pixel Super Resolution technology, Clear Image Zoom, long exposure noise reduction, Lens Distortion Correction, high ISO speed noise reduction, BRAVIA Sync function, Auto Object Framing, Focus Peaking function, TRILUMINOS Color technology",1 x USB 2.0 Â¦ 1 x HDMI output,4X,"AF illuminator, flash +/- compensation, flash exposure bracketing","Fill-in mode, rear curtain sync, slow synchro, auto mode, flash OFF mode, red-eye reduction",27 - 82.5mm,Sony E-mount,0.70x,ILCE3000K/B,"MS Windows XP SP3, MS Windows Vista SP2, MS Windows 7 SP1, Windows 8, Apple Mac OS X 10.5 - 10.8",3X,4.875 x 3.33 x 3.625,"10 sec, 2 sec",2.4,"Sony PlayMemories Home, Sony Image Data Converter 4.0",Please visit your local store to see if this item is in stock.,"3"" LCD display 3 x zoom lens - 18 - 55 mm - f/3.5-5.6",Color,"0.2""",551695351.0,,,,,,,,,,,,,,,,,
Olympus Black OM-D E-M10 Digital SLR Camera with 16.1 Megapixels (Body Only): Cameras & Camcorders : Walmart.com,,,,,,,,,V207020BU000,,,5.9 x 9.3 x 3.9,,2.1,,Please visit your local store to see if this item is in stock.,,,,552481323.0,Lithium Ion,No,No,"1,037,000 Pixels","3""",No,Black,16.1 MP,900000000.20140321.140029.8472534,,,,,,,,
HP d3500 Digital Camera - Walmart.com,,,4X,,,,,,HPd3500,,36X,4.4 x 3.1 x 2.7,,1.7,,Please visit your local store to see if this item is in stock.,,,,550996924.0,Lithium Ion,No,No,,"3""",No,Black,14 MP,,,,,,,,,
Kodak AZ251 Black Digital Camera - Walmart.com,,,4X,,,,,,JK IMAGING AZ251-BK,,25X,4.53 x 2.93 x 2.74,,1.5,,Please visit your local store to see if this item is in stock.,,,,551827869.0,Alkaline,No,No,"230,000 Pixels","3""",No,Black,16.15 MP,900000000.20131002.120426.7232278,,,,,,,,
Panasonic Lumix DMC-GF3 Digital Camera - Walmart.com,"Audio recording, USB 2.0 compatibility, touch-screen control, built-in speaker, RGB primary color filter, date/time stamp, DPOF support, digital image rotation, PictBridge support, histogram display, color control, AE lock, AF lock, cropping an image, resizing an image, saturation control, Face Detection AF/AE, brightness control, in-camera movie editing, contrast control, Intelligent Resolution Technology, 1080i Full HD movie recording, digital tele-converter, Exif Print support, Full-time Live View, Face Recognition, Dolby Digital Stereo Creator, Intelligent D-range Control, 3D photo shooting, NR Slow Shutter, Intelligent Auto Plus (iA+), text stamp",1 x USB 2.0 Â¦ 1 x composite video/audio output Â¦ 1 x HDMI output,2X,"AF illuminator, flash +/- compensation","Fill-in mode, rear curtain sync, slow synchro, auto mode, flash OFF mode, red-eye reduction",28 - 84mm,Micro Four Thirds,,DMCGF3XT,,3X,7.5 x 5.7 x 4.3,"10 sec, 2 sec",2.1,"Drivers & Utilities, SILKYPIX Developer Studio 3.1 SE, Loilo Super Loiloscope, Panasonic PHOTOfunSTUDIO 6.2 HD Edition",Please visit your local store to see if this item is in stock.,"3 x zoom lens - 14 - 42 mm - f/3.5-5.6 X 3"" LCD display",,,,,,,,,,,,,,,,,,,,
"Nikon D7100 Digital SLR Camera with 24.1 Megapixels, Black - Walmart.com","Direct print, USB 2.0 compatibility, date/time stamp, DPOF support, display brightness control, depth-of-field preview button, digital image rotation, camera orientation detection, PictBridge support, histogram display, AE lock, AF lock, cropping an image, resizing an image, GPS ready, Wi-Fi ready, in-camera red-eye fix, interval shooting mode, highlight point display, in-camera movie editing, Active D-Lighting technology, 1080p Full HD movie recording, Dust Delete Data system, Scene Recognition System (SRS), Exif Print support, automatic display brightness adjustment, Chromatic Aberration Compensation (CAC), digital level meter, Eye-Fi Card Ready, High ISO NR, no anti-aliasing filter, long exposure noise reduction, Lens Distortion Correction",1 x USB 2.0 Â¦ 1 x HDMI output Â¦ 1 x remote control Â¦ 1 x microphone ( mini-phone stereo 3.5 mm ) Â¦ 1 x headphones ( mini-phone stereo 3.5 mm ),,"AF illuminator, flash +/- compensation, wireless off-camera control","Fill-in mode, FP flash (high-speed synchro), rear curtain sync, slow synchro, auto mode, flash OFF mode, red-eye reduction",27 - 210mm,Nikon F,0.94x,13302,"MS Windows 7, Apple Mac OS X 10.4.11, MS Windows XP SP3, Apple Mac OS X 10.5.8, MS Windows Vista SP2, Apple Mac OS X 10.6.4",,5.3 x 4.2 x 3.0,"10 sec, 2 sec, 5 sec, 20 sec",7.6,"Drivers & Utilities, Nikon ViewNX 2",Please visit your local store to see if this item is in stock.,"7.8 x zoom lens - 18 - 140 mm - f/3.5-5.6 G Nikon AF-S DX ED VR 3.2"" LCD display",,,551861766.0,,,,,,,,,,Autofocus frame,,,,,,,
HP d3500 Digital Camera - Walmart.com,,,4X,,,,,,HPd3500,,36X,4.4 x 3.1 x 2.7,,1.7,,Please visit your local store to see if this item is in stock.,,,,550996924.0,Lithium Ion,No,No,,"3""",No,Black,14 MP,,,,,,,,,
Kodak AZ251 Black Digital Camera - Walmart.com,,,,,,,,,JK IMAGING AZ251-BK,,,4.53 x 2.93 x 2.74,,1.5,,Please visit your local store to see if this item is in stock.,,,,551827869.0,,,,,,,,,,,,,,,,,
Canon EOS Rebel T3i Black 18MP DSLR Camera - Walmart.Com,"Direct print, USB 2.0 compatibility, RGB primary color filter, auto power save, digital noise reduction, DPOF support, display brightness control, depth-of-field preview button, PictBridge support, histogram display, AE lock, AF lock, FE lock, Scene Detection Technology, highlight tone priority, highlight point display, 1080p Full HD movie recording, Dust Delete Data system, Live Face detection AF mode, face detection, built-in help guide, Auto Lighting Optimizer, Exif Print support, Eye-Fi Card Ready, Picture Style Auto, Scene Intelligent Auto technology",1 x Hi-Speed USB Â¦ 1 x composite video/audio output Â¦ 1 x HDMI output Â¦ 1 x remote control,,"AF illuminator, flash +/- compensation","Fill-in mode, rear curtain sync, auto mode, flash OFF mode, red-eye reduction",29 - 88mm,Canon EF,0.85x,5169B003AA,,,5.2 x 3.9 x 3.1,"10 sec, 2 sec",4.1,Drivers & Utilities,Please visit your local store to see if this item is in stock.,"3"" LCD display 3 x zoom lens - 18 - 55 mm - f/3.5-5.6 II Canon EF-S",,,605474.0,,,,,,,,,,Autofocus frame,,,,,,,
GE X550 Digital Camera - Walmart.com,"Direct print, USB 2.0 compatibility, DPOF support, PictBridge support, histogram display, in-camera red-eye removal, Exif Print support, Auto Scene mode (ASCN), HDR image enhancement technology",1 x Hi-Speed USB Â¦ 1 x composite video/audio output,,AF illuminator,"Fill-in mode, slow synchro, auto mode, flash OFF mode, red-eye reduction",27 - 405mm,,,X550-WH,,15X,4.0 x 2.9 x 2.6,,1.7,Drivers & Utilities,Please visit your local store to see if this item is in stock.,"15 x zoom lens - 4.9 - 73.5 mm - f/3.0-5.2 2.7"" LCD display",Color,,551798547.0,,,,,,,,,,,1 ft - 23 ft : ISO 800 ( wide lens ) Â¦ 4 ft - 13 ft : ISO 800 ( tele lens ),2 in,,,,,
