<page title>,an,battery model,cant find a,card format,colour,connectivity,exposure control,exposure modes,face detection technology,file formats,flash metering,flash type,focal length tele,focal length wide,image stabilisation,iso max,iso min,max aperture tele,max aperture wide,megapixels,minimum focus distance,movie mode,needs additional,optical zoom x,pictbridge,please add,requires,resolution,screen resolution pixels,screen size inches,sensor size,sensor type,shutter speed max,shutter speed min,size,the description needs,the information is,viewfinder type,weight g,hd movie mode,manufacturers link
Fuji X30 Digital Camera - Silver (P10NC13280A) - Wex Photographic,image is incorrect,NP-95,related accessory,"SD, SDHC, SDXC",Silver,"USB2.0, HDMI MicroD",+/- 3.0EV,16 Scene Modes,Yes,"JPEG, RAW, RAW+JPEG","Auto, Forced Flash, Slow Synchro., Commander, Suppressed Flash",Pop-up,112.0,28.0,Yes,12800,100,2.8,2.0,12.0,1cm,1080p,specifications,4.0,Yes,more image angles,compatibility information,4000 x 3000,920000,3.0,2/3 inch,CMOS,1/4000 sec,30 sec,118.7 x 71.6 x 60.3 mm,further detail,incorrect,Electronic Viewfinder,383.0,,
Fuji FinePix S9200 Digital Camera - White (P10NC12720A) - Wex Photographic,image is incorrect,4 x AA Alkaline Batteries or 4 x AA Ni-MH Batteries EN-MH2 or 4 x AA Lithium Batteries,related accessory,"SD, SDHC, SDXC",White,Hi-Speed USB (USB2.0),Â±2.0EV 1/3EV step,"Programmed AE, Shutter Priority AE, Aperture Priority AE, Manual Exposure, 14 Scene Modes",Yes,"JPEG, MOV","Auto, Forced Flash, Suppressed Flash, Slow Synchro",Built-in (pop-up),1200.0,24.0,Yes,12800,100,6.5,2.9,16.2,7 cm,1080p,specifications,50.0,Yes,more image angles,compatibility information,4608 x 3456,460000,3.0,1/1.23 Inch,CMOS,1/1700 sec,8 sec,122 Ã 86 Ã 116 mm,further detail,incorrect,0.2 Inch Electronic Viewfinder,670.0,1080p,
Fuji FinePix XP70 Digital Camera - Orange (P10NC12620A) - Wex Photographic,image is incorrect,Li-ion battery NP-45S,related accessory,"SD, SDHC, SDXC",Orange,Hi-Speed USB (USB2.0),Â±2.0EV 1/3EV step,13 Scene Modes,Yes,"JPEG, MOV","Auto, Forced Flash, Suppressed Flash, Slow Synchro",Built in,140.0,28.0,Yes,6400,100,4.9,3.9,16.4,9 cm,1080p Full HD,specifications,5.0,Yes,more image angles,compatibility information,4608 x 3456,460000,2.7,,CMOS,,4 sec,104 x 67 x 26 mm,further detail,incorrect,,179.0,1080p,
Nikon Coolpix S3600 Digital Camera - Blue (VNA553E1) - Wex Photographic,image is incorrect,EN-EL19,related accessory,"25MB Internal, SD, SDHC, SDXC",Blue,Hi-Speed USB (USB2.0),Â±2.0EV 1/3EV step,18 Scene Modes,Yes,"JPEG, MOV, WAV",,Built in,200.0,25.0,Yes,3200,80,10.5,3.7,20.1,2 cm,720p HD,specifications,8.0,,more image angles,compatibility information,5152 x 3864,230000,2.7,1/1.23 Inch,CCD,1/1500 sec,4 sec,97 x 58 x 20 mm,further detail,incorrect,,125.0,720p,Click here
Olympus Stylus SP-100EE Digital Camera (V103070BE000) - Wex Photographic,image is incorrect,LI-92B,related accessory,"SD, SDHC, SDXC",Black,"Hi-Speed USB (USB2.0), HDMI",Â±2.0EV 1/3EV step,17 Scene Modes,Yes,,,Built-in (pop-up),1200.0,24.0,Yes,6400,125,6.5,2.9,16.0,1cm,1080p Full HD,specifications,50.0,Yes,more image angles,compatibility information,4608 x 3456,"460,000",3.0,,CMOS,1/1700 sec,30 sec,121 x 91 x 133 mm,further detail,incorrect,Electronic Viewfinder,589.0,1080p,Click here
Olympus Stylus SH-1 Digital Camera - Silver (V107080SE000) - Wex Photographic,image is incorrect,LI-92B,related accessory,"SD, SDHC, SDXC, 37MB Internal Memory",Silver,"WiFi, USB (2.0), AV Output, HDMI",,16 Scene Modes,Yes,,,Built-in,600.0,25.0,Yes,6400,0,8.7,3.0,16.0,3cm,1080p,specifications,24.0,,more image angles,compatibility information,,460000,3.0,,BSI CMOS,,1/4 Sec,109 x 63 x 42 mm,further detail,incorrect,3 Inch LCD,271.0,1080p,Click here
Canon PowerShot G1 X Mark II Digital Camera (9167B012AA) - Wex Photographic,image is incorrect,NB-12L,related accessory,"SD, SDHC and SDXC",Black,"Hi-Speed USB, HDMI Micro Connector, Wi-Fi",,,,"RAW, JPEG, MP4",,,120.0,24.0,,12800,100,3.9,2.0,12.8,,1080p,specifications,5.0,,more image angles,compatibility information,4352 x 2904,1040000,3.0,18.7 x 14.0 mm,CMOS,1/4000 sec,60 sec,116.3 x 74.0 x 66.2 mm,further detail,incorrect,sRGB PureColor II Touchscreen LCD,558.0,,Click here
Sigma DP2 Quattro Digital Camera - Wex Photographic,image is incorrect,Li-ion Battery Pack BP-51,related accessory,"SD, SDHC, SDXC",Black,USB 2.0,"1/3 EV step, +/-3 EV",,,"JPEG, Raw",,,45.0,45.0,,6400,100,2.8,2.8,29.0,28mm,None,specifications,0.0,,more image angles,compatibility information,7680 Ã 5120,920000,3.0,23.5 x 15.7mm,Foveon X3 Direct Image Sensor (CMOS,1/2000 sec,30 sec,161 x 67 x 82 mm,further detail,incorrect,3 Inch LCD,410.0,,Click here
Nikon Coolpix AW120 Digital Camera - Camouflage (VNA593E1) - Wex Photographic,image is incorrect,EN-EL12,related accessory,"SD, SDHC, SDXC",Camouflage,"Hi-Speed USB 2.0, HDMI, WiFi",,Scene Modes,,JPEG,,Built in,120.0,24.0,Yes,6400,125,4.9,2.8,16.0,1cm,1080p Full HD,specifications,5.0,,more image angles,compatibility information,4608 x 3456,921000,3.0,1 / 2.3 inch,CMOS,1/1500 sec,4 sec,110.0 x 66.0 x 25.8 mm,further detail,incorrect,3 Inch OLED Monitor,213.0,1080p,Click here
Olympus Stylus Tough TG-850 Digital Camera - White (V104150WE000) - Wex Photographic,image is incorrect,LI-50B,related accessory,"SD, SDHC, SDXC",White,Hi-Speed USB 2.0,Â±2.0EV 1/3EV step,18 Scene Modes,Yes,,,Built-in,105.0,21.0,Yes,6400,0,5.7,3.5,16.0,1cm,1080p Full HD,specifications,5.0,Yes,more image angles,compatibility information,4608 x 3456,460000,3.0,1/ 2.3 inch,CMOS,1/2000 sec,4 sec,109 x 64 x 27 mm,further detail,incorrect,3 Inch LCD,218.0,1080p,Click here
Canon PowerShot SX520 HS Digital Camera (9544B011AA) - Wex Photographic,image is incorrect,Rechargeable Li-ion Battery NB-6L,related accessory,"SD, SDHC, SDXC",Black,"Hi-Speed USB, HDMI Mini Connector, A/V output, PictBridge",+/- 2 EV in 1/3 stop increments.,"Smart Auto (32 scenes detected), Program AE, Shutter priority AE, Aperture priority AE, Manual, Hybrid Auto, Live View Control, Creative Shot, SCN (Portrait, Smart Shutter (Smile Wink Self-Timer, FaceSelf-Timer), High-speed Burst (4.0MP), Low Light, Snow, Fireworks), Creative Filters (Fish-eye Effect, Miniature Effect, Toy Camera Effect, Monochrome, Super Vivid, Poster Effect), Movie",Yes,"JPEG (Exif 2.3), DPOF, MOV",,"Auto, Manual Flash On / Off, Slow Synchro, External Canon High Power Flash HF-DC2",180.6,4.3,Yes,3200,100,6.0,3.4,16.8,4.3,1080p,specifications,42.0,Yes,more image angles,compatibility information,4608 Ã 3456,461000,3.0,1/2.3,1/2.3 type back-illuminated CMOS,1/2000,1,120 x 81.7 x 91.9 mm,further detail,incorrect,3.0 inch LCD,441.0,,Click here
Ricoh GR Digital Camera - Black (175749) - Wex Photographic,image is incorrect,DB-65,related accessory,"Internal memory (approx. 54 MB), SD/SDHC, SDXC memory card, Eye-Fi card",Black,"High-Speed USB, HDMI, Video output","4.0EV, 1/3EV step",8 Scene Modes,Yes,"JPEG, RAW, MPEG-4","Auto, Flash On, Slow Synchro, Manual, AUTO Red-Eye Flash, Flash On Red-Eye, Slow Synchro Red-Eye",Built-in,28.0,28.0,No,25600,100,16.0,2.8,16.2,10 cm,1080p,specifications,0.0,Yes,more image angles,compatibility information,4928 x 3264,1230000,3.0,,CMOS,1/4000 sec,30 sec,117 x 61 x 347 mm,further detail,incorrect,TFT LCD,245.0,,Click here
Nikon Coolpix P600 Digital Camera - Red (VNA481E1) - Wex Photographic,image is incorrect,EN-EL23,related accessory,"SD, SDHC, SDXC",Red,"USB, Micro HDMI","+/- 2.0EV, 1/3EV step",29 Scene Modes,Yes,"JPEG, WAV, MOV",TTL auto flash with monitor preflashes,Built-in,1440.0,24.0,Yes,12800,100,6.5,3.3,16.1,1cm,1080p,specifications,60.0,Yes,more image angles,compatibility information,4608 x 3456,921000,3.0,1/2.3 inch,CMOS,1/4000 sec,15 sec,25.0 x 85.0 x 106.5 mm,further detail,incorrect,TFT LCD,565.0,1080p,Click here
Ricoh WG-4 Digital Camera - Silver (08571) - Wex Photographic,image is incorrect,D-LI92,related accessory,"SD, SDHC, SDXC",Silver,"USB2.0(Hi-Speed): USB/AV terminal, HDMI terminal (Type D, Micro port)","+/- 2.0EV, 1/3EV step",29 Scene Modes,Yes,"JPEG, MPEG-4","Flash-on and Flash-off modes. ,Red-eye, compensation function employs a pre-discharge",Built-in,100.0,25.0,Yes,6400,125,4.9,2.0,16.0,1cm,1080p,specifications,4.0,Yes,more image angles,compatibility information,4608 x 3456,460000,3.0,1/2.3 inch,CMOS,1/4000 sec,4 sec,125.0 x 64.5 x 32.0 mm,further detail,incorrect,TFT colour LCD,209.0,1080p,
Nikon Coolpix S9700 Digital Camera - Red (VNA651E1) - Wex Photographic,image is incorrect,EN-EL12,related accessory,"SD, SDHC, SDXC, Internal Memory Approx 3.6GB",Red,"Hi-Speed USB 2.0, HDMI, WiFi",,Scene Modes,,JPEG,,,750.0,25.0,Yes,1600,125,6.4,3.7,16.0,1cm,1080p Full HD,specifications,30.0,,more image angles,compatibility information,4608 x 3456,921000,3.0,1 / 2.3 inch,CMOS,1/2000 sec,8 sec,109.6 x 63.5 x 34.5 mm,further detail,incorrect,3 Inch OLED Monitor,228.0,1080p,Click here
Canon PowerShot G7 X Digital Camera (9546B009AA) - Wex Photographic,image is incorrect,NB-13L,related accessory,"SD, SDHC, SDXC",Black,"USB, Wi-Fi, NFC","1/3 EV step, +/-3 EV",,Yes,"JPEG, RAW, RAW+JPEG",,Built-in,100.0,24.0,Yes,3200,125,2.8,1.8,20.2,5cm,1080p 60p,specifications,4.2,Yes,more image angles,compatibility information,1040000,1040000,3.0,1.0,CMOS,1/2000 sec,30 sec,103.0 x 60.4 x 40.4 mm,further detail,incorrect,LCD Screen,279.0,,
Fuji X30 Digital Camera - Black (P10NC13270A) - Wex Photographic,image is incorrect,NP-95,related accessory,"SD, SDHC, SDXC",Black,"USB2.0, HDMI MicroD",+/- 3.0EV,16 Scene Modes,Yes,"JPEG, RAW, RAW+JPEG","Auto, Forced Flash, Slow Synchro., Commander, Suppressed Flash",Pop-up,112.0,28.0,Yes,12800,100,2.8,2.0,12.0,1cm,1080p,specifications,4.0,Yes,more image angles,compatibility information,4000 x 3000,920000,3.0,2/3 inch,CMOS,1/4000 sec,30 sec,118.7 x 71.6 x 60.3 mm,further detail,incorrect,Electronic Viewfinder,383.0,,
Olympus Stylus SH-60 Digital Camera - Silver (V107070SE000) - Wex Photographic,image is incorrect,LI-90B,related accessory,"SD / SDHC / SDXC cards (UHS-I compatible) Eye-Fi card, FlashAir",Silver,"DC input, AV ouput, USB 2.0 Hi-Speed",+/- 2.0 EV (1/3 EV steps),17 Scene Modes,Yes,"DCF, EXIF 2.3, PIM III, DPOF, QuickTime Motion JPEGÂ®","Auto, Red-eye reduction, Fill-in, Off",Internal Flash,600.0,25.0,Yes,6400,125,6.9,3.0,16.0,4.5mm,1080i,specifications,24.0,Yes,more image angles,compatibility information,460000,460000,3.0,1/ 2.3 inch,CMOS,1/2000,1/4,112.1 x 63.5 x 42.4,further detail,incorrect,LCD Touch Panel,269.0,1080p,Click here
Nikon Coolpix A Digital Camera - Black (VNA230E1) - Wex Photographic,image is incorrect,EN-EL20,related accessory,SD/SDHC/SDXC memory cards,Black,"Hi-Speed USB, mini HDMI (Type C)","? 5.0EV, 1/3EV step",19 Scene Modes,Yes,"JPEG, RAW (NEF; a proprietary Nikon format) Movies: MOV (Video: H.264/MPEG-4 AVC, Audio: Linear stereo PCM)","Auto, On, Off, Red-Eye, Slow-sync",Built-in (pop-up),28.0,28.0,Yes,25600,100,2.8,2.8,16.2,10 cm,1080p,specifications,0.0,Yes,more image angles,compatibility information,4928 x 3264,921000,3.0,23.6 x 15.6 mm,CMOS,1/2000 sec,30 sec,111 x 64 x 40 mm,further detail,incorrect,TFT LCD,299.0,,Click here
Ricoh WG-4 Digital Camera - Lime Yellow (08596) - Wex Photographic,image is incorrect,D-LI92,related accessory,"SD, SDHC, SDXC",Yellow,"USB2.0(Hi-Speed): USB/AV terminal, HDMI terminal (Type D, Micro port)","+/- 2.0EV, 1/3EV step",29 Scene Modes,Yes,"JPEG, MPEG-4","Flash-on and Flash-off modes. ,Red-eye, compensation function employs a pre-discharge",Built-in,100.0,25.0,Yes,6400,125,4.9,2.0,16.0,1cm,1080p,specifications,4.0,Yes,more image angles,compatibility information,4608 x 3456,460000,3.0,1/2.3 inch,CMOS,1/4000 sec,4 sec,125.0 x 64.5 x 32.0 mm,further detail,incorrect,TFT colour LCD,209.0,1080p,
Olympus Stylus Tough TG-850 Digital Camera - Black (V104150BE000) - Wex Photographic,image is incorrect,LI-50B,related accessory,"SD, SDHC, SDXC",Black,Hi-Speed USB 2.0,Â±2.0EV 1/3EV step,18 Scene Modes,Yes,,,Built-in,105.0,21.0,Yes,6400,125,5.7,3.5,16.0,1cm,1080p Full HD,specifications,5.0,Yes,more image angles,compatibility information,4608 x 3456,460000,3.0,1/ 2.3 inch,CMOS,1/2000 sec,4 sec,109 x 64 x 27 mm,further detail,incorrect,3 Inch LCD,218.0,1080p,Click here
Olympus STYLUS 1 Digital Camera (V109010BE000) - Wex Photographic,image is incorrect,BLS-5,related accessory,"SD, SDHC, SDXC, UHS-I Memory Card",Black,"USB 2.0 High Speed, HDMI Micro Type D",+/- 3.0EV,12 Scene Modes,Yes,"RAW, JPEG","Auto, Red-eye reduction, Fill-in, Off, Slow synchronisation, Manual",Pop-up,300.0,28.0,Yes,12800,100,2.8,2.8,12.8,5cm,1080p,specifications,10.7,Yes,more image angles,compatibility information,3968 x 2976,1440000,3.0,1/1.7 inch,BSI CMOS,1/2000 sec,60 sec,116.2 x 87 x 56.5 mm,further detail,incorrect,Electronical Viewfinder,402.0,,Click here
Ricoh WG-20 Digital Camera - Red (08076) - Wex Photographic,image is incorrect,D-LI92,related accessory,"SD, SDHC, SDXC",Red,"USB2.0(Hi-Speed): PC/AV terminal, HDMI terminal (Type D, Micro port)","+/- 2.0EV, 1/3EV step",29 Scene Modes,Yes,"JPEG, AVI, WAV","Flash-on and Flash-off modes.,Red-eye, compensation function employs a pre-discharge.",Built-in,140.0,28.0,Yes,6400,80,5.5,3.5,14.0,1cm,720p,specifications,5.0,Yes,more image angles,compatibility information,4288 x 3216,230000,2.7,1/2.3 inch,CCD,1/1500 sec,4 sec,115.5 x 58.5 x 28.5 mm,further detail,incorrect,TFT colour LCD,143.0,720p,
Olympus Stylus SH-60 Digital Camera - Black (V107070BE000) - Wex Photographic,image is incorrect,LI-90B,related accessory,"SD / SDHC / SDXC cards (UHS-I compatible) Eye-Fi card, FlashAir",Black,"DC input, AV ouput, USB 2.0 Hi-Speed",+/- 2.0 EV (1/3 EV steps),17 Scene Modes,Yes,"DCF, EXIF 2.3, PIM III, DPOF, QuickTime Motion JPEGÂ®","Auto, Red-eye reduction, Fill-in, Off",Internal Flash,600.0,25.0,Yes,6400,125,6.9,3.0,16.0,4.5mm,1080i,specifications,24.0,Yes,more image angles,compatibility information,460000,460000,3.0,1/ 2.3 inch,CMOS,1/2000,1/4,112.1 x 63.5 x 42.4,further detail,incorrect,LCD Touch Panel,269.0,1080p,Click here
Fuji FinePix HS50 Black Digital Camera (P10NC09310A) - Wex Photographic,image is incorrect,NP-W126,related accessory,"SD, SDHC, SDXC",Black,"USB 2.0 Hi-Speed, HDMI Mini connector, 2.5mm external microphone",? 2.0EV,"Programmed AE, Aperture Priority AE, Shutter Priority AE, Manual",Yes,"JPEG, RAW, H.264","Red-eye Reduction Auto, Red-eye Reduction & Forced Flash, Suppressed Flash, Red-eye Reduction & Slow Synchro.",Built-in,1000.0,24.0,Yes,12800,100,5.6,2.8,16.0,1 cm,1080p,specifications,42.0,Yes,more image angles,compatibility information,4608 x 3456,920000,3.0,1/2 inch,CMOS,1/4000 sec,30 sec,135 x 101 x 146 mm,further detail,incorrect,,758.0,,Click here
Fuji FinePix XQ1 Digital Camera - Black (P10NC11760A) - Wex Photographic,image is incorrect,NP-48,related accessory,"66MB Internal, SD, SDHC, SDXC",Black,"USB 2.0, HDMI Micro connector",,14 Scene Modes,Yes,"JPEG, RAW, MOV, H.264","Auto, Forced Flash, Suppressed Flash, Slow Synchro.",Pop-up flash,100.0,25.0,Yes,12800,100,4.9,1.8,12.0,3 cm,1080p,specifications,4.0,Yes,more image angles,compatibility information,4000 x 3000,920000,3.0,2/3 inch,CMOS,1/4000 sec,30 sec,100 x 58.5 x 33.3 mm,further detail,incorrect,TFT colour LCD,206.0,,Click here
Nikon Coolpix S6700 Digital Camera - Red (VNA661E1) - Wex Photographic,image is incorrect,EN-EL19,related accessory,"25MB Internal, SD, SDHC, SDXC",Red,Hi-Speed USB (USB2.0),Â±2.0EV 1/3EV step,18 Scene Modes,Yes,"JPEG, AVI, WAV",,Built in,250.0,25.0,Yes,3200,80,6.5,3.5,20.1,5 cm,720p,specifications,10.0,,more image angles,compatibility information,5152 x 3864,230000,3.0,1/1.23 Inch,CCD,1/2000 sec,4 sec,95 x 58 x 21 mm,further detail,incorrect,3 Inch LCD,137.0,720p,Click here
