<page title>,aspect ratio,builtin speakers,contrast ratio,display colors,dvi,hdmi,ips,led,manufacturer,part,recommended resolution,refresh rate,screen size,viewing angle,widescreen,brightness,response time,vga,displayport,model,component,dvid duallink,svideo,minidisplay port
"Planar 997-7273-00 60Hz 32.0"" Monitor (997-7273-00) - PCPartPicker Canada",16:9,No,3000:1,16700000.0,1.0,1.0,No,No,Planar,997-7273-00,1920 x 1080,60Hz,"32""",178° H x 178° V,Yes,,,,,,,,,
"ViewSonic VX2270Smh-LED 22.0"" Monitor (VX2270Smh-LED) - PCPartPicker Canada",16:9,No,"DC 30,000,000:1",,1.0,1.0,No,Yes,ViewSonic,VX2270Smh-LED,1920 x 1080,,"22""",178° H x 178° V,Yes,250 cd/m²,7 ms,1.0,,,,,,
"Lenovo LT2252p 60Hz 22.0"" Monitor (2572MB6) - PCPartPicker Canada",16:10,No,1000:1,,1.0,,No,Yes,Lenovo,2572MB6,1680 x 1050,60Hz,"22""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,1.0,LT2252p,,,,
"Lenovo LT2252p 75Hz 22.0"" Monitor (2572MB1) - PCPartPicker Canada",16:10,No,1000:1,16700000.0,1.0,,No,Yes,Lenovo,2572MB1,1680 x 1050,75Hz,"22""",,Yes,250 cd/m²,5 ms,1.0,1.0,LT2252p,,,,
"Eizo S2202WH-BK 22.0"" Monitor (S2202WH-BK) - PCPartPicker Canada",16:10,Yes,1000:1,16700000.0,1.0,,No,No,Eizo,S2202WH-BK,1680 x 1050,,"22""",178° H x 178° V,Yes,300 cd/m²,5 ms,1.0,,,,,,
"Asus VX238H-W 23.0"" Monitor (VX238H-W) - PCPartPicker Canada",16:9,Yes,"80,000,000:1",16700000.0,1.0,2.0,No,Yes,Asus,VX238H-W,1920 x 1080,,"23""",170° H x 160° V,Yes,250 cd/m²,1 ms,1.0,,,,,,
"BenQ BL2710PT 60Hz 27.0"" Monitor (BL2710PT) - PCPartPicker Canada",16:9,Yes,1000:1,1070000000.0,1.0,1.0,No,No,BenQ,BL2710PT,2560 x 1440,60Hz,"27""",178° H x 178° V,Yes,350 cd/m²,12 ms,1.0,1.0,,,,,
"LG 22MP55HQ-P 60Hz 22.0"" Monitor (22MP55HQ-P) - PCPartPicker Canada",16:9,No,"DFC 5,000,000:1 (1000:1)",,,1.0,Yes,Yes,LG,22MP55HQ-P,1920 x 1080,60Hz,"22""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"LG 32WL30MS-B 60Hz 32.0"" Monitor (32WL30MS-B) - PCPartPicker Canada",16:9,No,1300:1,16700000.0,1.0,1.0,Yes,Yes,LG,32WL30MS-B,1920 x 1080,60Hz,"32""",178° H x 178° V,Yes,400 cd/m²,25 ms,1.0,,,1.0,,,
"Dell UP3214Q 60Hz 31.5"" Monitor (UP3214Q) - PCPartPicker Canada",16:9,No,"2,000,000:1",1070000000.0,,1.0,Yes,Yes,Dell,UP3214Q,3840 x 2160,60Hz,"31.5""",178° H x 178° V,Yes,300 cd/m²,8 ms,,1.0,,,,,
"Acer H236HLbid 60Hz 23.0"" Monitor (UM.VH6AA.003) - PCPartPicker Canada",16:9,No,"ACM 100,000,000:1 (1000:1)",16700000.0,1.0,1.0,Yes,Yes,Acer,"UM.VH6AA.003
(or) H236HLbid",1920 x 1080,60Hz,"23""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,,H236HLbid,,,,
"ViewSonic TD2240 22.0"" Monitor (TD2240) - PCPartPicker Canada",16:9,Yes,3000:1,16700000.0,,1.0,No,Yes,ViewSonic,TD2240,1920 x 1080,,"22""",178° H x 178° V,Yes,200 cd/m²,25 ms,1.0,,,,,,
