1920 x 1200 graphic mode,<page title>,aspect ratio,backlight,barcode,brightness,case colour,certifications,contrast ratio,digital in,dimensions,displayport in,environmental,hd support,hdmi ports,headphone ports,height adjustable,in the box,pixel pitch,plug and play,power consumption,power supply,resolution native,response time,scan frequency,screen dimensions,screen type,security locking mechanics,speakers,swivel,tilt forwardbackward,usb ports,user controls,vga in,view angle,voltagefrequency,wall mount,warranty,antiglare antistatic,audio features,audio line in ports,audio line out ports,digital out,language selection,model name,pixel clock speed,product type,resolution maximum,rj45 ports,scan frequency horizontal,scan frequency vertical,serial ports,synch input,display type,1920 x 1080 graphic mode,monitor,power adaptor type,remote control,svideo in,video component in,video composite in,power management features,product family,video component out,video composite out,description,audio capabilities,network interface,pivot,scart ports,backlight technology,brand name,builtin devices,colour,dvi,hdmi,horizontal viewing angle,manufacturer,manufacturer part number,manufacturer website address,maximum resolution,maximum response time,number of screens,product model,product name,screen mode,screen size,vertical viewing angle,vga,audiovisual port,lifetime,system requirements,webcam,ac power,bnc port,1024 x 768 graphic mode,1280 x 768 graphic mode,640 x 350 graphic mode,640 x 480 graphic mode,720 x 400 text graphic mode,800 x 600 graphic mode,factory presets,user programmable modes,video bandwidth,operating systems supported,power adaptor output voltage,1680 x 1050 graphic mode,dc power,microphone in port,adjustable display angle,colour support,depth,green compliance,green compliance certificateauthority,hdcp support,height,input voltage,marketing information,operating power consumption,package contents,platform support,standby power consumption,vesa mount compatible,vesa mount standard,weight approximate,width,mount type,offmode power consumption,product series,svideo,1440 x 900 graphic mode,1280 x 1024 graphic mode,1400 x 900 graphic mode,1152 x 864 mac graphic mode
60Hz,Cleverboxes - 60003158 | NEC Displays MultiSync EA243WM 24 inch LED Backlight LCD Display 1000:1 250cd/m2 1920x1200 5ms HDMI (Black),16:10,W-LED System,5028695108677,250cd/m2,Black,EPEAT Silver; EPEAT Gold; CE; ErP; TCO 5.2; TÜV Ergonomics; TÜV GS; GEEA/Energy Label; Energy Star 5.0; FCC Class B; PCT/Gost; UL/C-UL or CSA; CCC; ISO 9241-307 (pixel failure class I); MPR III; RoHS,"1,000:1 (Static) , 25,000:1 (Dynamic)",1 x DVI-D (with HDCP),55.62cm (W) x 23.0cm (D) x 40.89cm (H) - Weight 7.0kg,1 x DisplayPort,Operating Temperature 5 to 35°C - Humidity 20 to 80%,Yes,1 x HDMI,1 x Headphone Port,Yes,Monitor • Power Cable • Control Sync Cable • USB Cable • Audio Cable • CD-ROM • Sales Office List • User Manual • Signal Cable: VGA - VGA; DVI-D - DVI-D,0.270mm,VESA DDCi; VESA DDC2B,29W (Max) / 0.5W (Standby),Internal,1920 x 1200 Pixels WUXGA,5ms,31.5 to 83KHz (Horizontal) x 56 to 60Hz (Vertical),24in,W-LED TN TFT 16.77 million Colour,Kensington Lock Ready,2 x 1.0W,±170°,-5 to +30°,"1 x USB 2.0 (4 down, 1 up)",Audio Volume / Lock-Out; Auto Adjust; Brightness; Colour Temperature Control; Contrast; Control Sync; DV Mode; EcoMode ; Fine Adjust (analog); Human Sensing; Intelligent Power Management ; LED Brightness; Language Select; Monitor Information; NTAA (Non-Touch-Auto-Adjustment); On-Screen-Display (OSD) lock-out; One Touch Recovery; Power-Off Timer; sRGB,1 x Mini 15-pin D-sub,160° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC,"Yes , VESA Compliant - 100mm x 100mm",3 Years Including Backlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 42WL10 | LG Electronics LG 42WL10MS-B (42 inch) IPS Direct LED Full HD Capable Monitor 1000:1 400cd/m2 1920x1080 6ms HDMI/DVI-D,16:9,Direct LED,8806084194763,400cd/m2,Black,,"1,000:1 (Static) , 500,000:1 (Dynamic)",1 x DVI-D,96.26cm (W) x 7.62cm (D) x 55.88cm (H) - Weight 12.79kg,,Operating Temperature 0 to 40°C - Humidity 10 to 80%,Yes,1 x HDMI,,,,,,,,1920 x 1080 Pixels Full HD,6ms,,42in (Diagonal),IPS 1.06 Billion Colour,,2 x 10W,,,1 x USB,,1 x 15-pin D-Sub (RGB),178° (Horizontal - Max) x 178° (Vertical - Max),,"Yes , VESA Compliant - 200mm x 200mm",3 Year,Anti-Glare • Hard Coating 3H,Clear Voice II,1 x 3.5mm Stereo Jack,1 x Audio Out,1 x DVI-D,"English, French, German, Spanish, Italian, Korean , Chinese(Simplified), Chinese(Original), Portugues(Brazil), Swedish, Finnish, Norwegian, Danish, Japanese, Russian, Portugues(Europe), Dutch, Czech, Greek",42WL10MS-B,148.5MHz,Monitor,1920 x 1080 Pixels Full HD,1 x RJ-45,30KHz to 68KHz,56Hz to 75Hz,1 x 9-pin RS-232-C (input) • 1 x 9-pin RS-232-C (output),"Composite Sync, Separate Sync, Digital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 249C4QHSB/00 | Philips (23.6 inch) LCD Monitor with LCD Backlight 1920 x 1080 VGA HDMI (Black),16:9,LED,,250cd/m2,Black,,"5000:1 (Static) , 20,000,000:1 (Dynamic)",,56.9cm (W) x 1.8cm (D) x 43.4cm (H) - Weight 3.3kg,,,,1 x HDMI,,,,,,,,1920 x 1080 Pixels,6.0ms,,,LED Backlight LCD 16.7 Million Colour,,,,,,,1 x 15-pin D-Sub,,120 to 230VAC / 50 to 60Hz,,,,,,,,,,,Monitor,,,,,,,LED Backlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 60002612 | NEC Displays LCD8205 82 inch LCD Public Display 2000:1 600 cd/m² 1920 x 1080 8ms DVI-I (Black),16:9,,5028695106727,600cd/m2,Black,,"2,000:1 (Static)",1 x DVI-I,192.6cm (W) x 15.0cm (D) x 113.7cm (H) - Weight 145.0kg,,Operating Temperature 5 to 40°C - Humidity 20 to 80%,,1 x HDMI,,,Display • Power Cable • Remote Control (IR) • CD-ROM (User Guides/Manuals),,,,,1920 x 1080 Pixels,8ms,22 to 82KHz (Horizontal) x 50 to 85Hz (Vertical),,S-PVA LCD 16.77 million Colours,,2 x 7W,,,,,,178° (Horizontal - Max) x 178° (Vertical - Max),100 to 240VAC / 50 to 60Hz,,3 Year Warranty Including Backlight,,,3 x Audio Input,1 x S/PDIF out (coaxial),,,,,,,,,,,,,60Hz,82in,Internal,Included,1 x S-Video,1 x BNC,"1 x BNC, RCA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - L-W24 | AG Neovo L-W24 (24 inch) Full HD LED Monitor,,,4710739591842,250cd/m2,Black,,"20,000,000:1 (Dynamic)",1 x DVI-D,56.6cm (W) x 39.5cm (D) x 19.0cm (H) - Weight 4.3kg,,Operating Temperature 0 to 40°C - Humidity 10 to 85%,,1 x HDMI,,,L-W24 LED Monitor • CD ROM (user manual) • 15-Pin D-Sub Cable • Audio Cable • AC Power Cord,0.277mm,VESA: DCC 2B,33W (Max) / 0.5W (Standby) / 0.5W (Saving),,1920 x 1080 Pixels,3ms,30 to 83KHz (Horizontal) x 55 to 75Hz (Vertical),24in,16.7 Million Colour,,2 x 2W Integrated,,,,,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 60003486 | NEC Displays MultiSync E554 (55 inch) Edge LED Backlit LCD Display 4000:1 350cd/m2 1920x1080 HDMI,16:9,Edge LED,5028695109667,350cd/m2,Black,C-tick; CE; Energy Star 6.0; FCC Class B; PSB; UL/C-UL or CSA; RoHS,4000:1 (Static),,124.10cm (W) x 6.50cm (D) x 73.50cm (H) - Weight 20.0kg,,Operating Temperature 0 to 40°C - Humidity 10 to 80%,Yes,3 x HDMI,,,Display • Foot • Power Cable • VGA Cable • Remote Control,,,122W (Max) / 0.5W (Standby),,1920 x 1080 Pixels Full HD,,,"55in (Diagonal) , 121.0cm (W) x 68.0cm (H)",S-PVA,,2 x 10W,,,,,1 x 15-pin D-Sub,176° (Horizontal - Max) x 176° (Vertical - Max),,"Yes , VESA Compliant - 400mm x 400mm",3 Years Including Backlight,,,,1 x S/PDIF,,,E554,,Display,,,31KHz to 83KHz,50Hz to 75Hz,1 x 9-pin RS-232-C (D-sub),,,60Hz,,,Included,,,,VESA DPMS,MultiSync,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - CDP4635-T | Viewsonic CDP4635-T (46 inch) Full HD LCD Commercial Display with Intel OPS Compatibility 4000:1 400cd/m2 1920 x 1080 8ms 16:9 (Black),16:9,,,400cd/m2,Black,"FCC, ICES003, UL, cUL, CE, CB, C-Tick, BSM","4,000:1 (Static)",1 x DVI,109.1cm (W) x 32.8cm (D) x 68.1cm (H) - Weight 26.5kg,,Operating Temperature 5 to 40°C - Humidity 20 to 80%,,1 x HDMI,,,LCD display • Power cable • Remote control with batteries • User Guide CD,,,220W (Max),,,8ms,,46in,TFT Active Matrix Colour LCD,,2 x 10W,,,,,1,178° (Horizontal - Max) x 178° (Vertical - Max),100 to 240VAC / 50 to 60Hz,,"Three-year limited warranty on parts, labor and backlight",Anti-Glare • Hard Coating 3H,,1 x Audio Line In,,1 x DVI,,CDP4635-T,,Display,1920 x 1080 Pixels,1 x RJ-45,,,2 x RS-232-C,,,,,,,1 x S-Video,1 x Component,1 x Composite,,,1 x Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 60003403 | NEC Displays SpectraView 552 (55 inch) Large Format Display 4000:1 700cd/m2 1920x1080 8ms DisplayPort/HDMI/DVI-D,16:9,CCFL,,700cd/m2,Black,CE; TÜV GS; C-tick; FCC Class B; UL/C-UL or CSA; PSB; VCCI; RoHS,"4,000:1 (Static)",1 x DVI-D (with HDCP),125.02cm (W) x 12.54cm (D) x 72.1cm (H) - Weight 40kg,1 x DisplayPort (with HDCP),Operating Temperature 5 to 40°C - Humidity 20 to 80%,Yes,1 x HDMI 1.3 (with HDCP),,,Display • DVI-D cable • Interface cover • Power Cable • Signal Cable DisplayPort • Remote Control • CD-ROM (User Guides/Manuals) • CD-ROM with SpectraView Profiler PD software,,,255W (Max) / 0.5W (Standby),,1920 x 1080 Pixels 1080p,8ms,,55in Display Area - 120.96 x 68.04cm,S-PVA 16.77 million Colour,,2 x 10W,,,,,1 x 15-pin D-Sub,178° (Horizontal - Max) x 178° (Vertical - Max),,"Yes , VESA Compliant - 400mm x 400mm",3 Years including backlight,,,"2 x Cinch (RCA), 1 x Head-Jack 3.5mm, 1 x HDMI",1 x 3.5mm Mini Jack,1 x DVI-D (with HDCP),,552,,Display,,1 x RJ-45,31.5KHz to 91.1KHz,25.2Hz to 85Hz,1 x 9-pin RS-232 (input) • 1 x 9-pin RS-232 (output),,,60Hz,,,Included,1 x S-Video,1 x Component Video (BNC),1 x Composite (BNC),VESA DPMS,SpectraView,,1 x Composite (BNC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 234E5QHAW/00 | Philips 234E5QHAW/00 (23 inch) LCD Monitor with LED Backlight 1920x1080 (White),16:9,LED,,250cd/m2,White,,"1,000:1 (Static) , 20,000,000:1 (Dynamic)",,,,Operating Temperature 0 to 40°C - Humidity 20 to 80%,,1 x HDMI,1 x Headphone Port,,,0.265 x 0.265mm,,30W (Max) / 0.5W (Standby),,,5ms,,23in (Diagonal),TFT LCD 16.7 Million Colour,,,,-5 to +20°,,,1 x 15-pin D-sub,178° (Horizontal - Max) x 178° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",,,,1 x 3.5mm PC audio input,,,,,,Monitor,,,30KHz to 83KHz,56Hz to 75Hz,,"Separate sync, Sync on green",,,,,,,,,,,,,"SmartImage Lite is an exclusive, leading edge Philips technology that analyses the content displayed on your screen. Based on a scenario you select, SmartImage Lite dynamically enhances the contrast, colour saturation and sharpness of images and videos for ultimate display performance - all in real time with the press of a single button. An HDMI-ready device has all the required hardware to accept High-Definition Multimedia Interface (HDMI) input, high quality digital video and audio signals all transmitted over a single cable from a PC or any number of AV sources including set-top boxes, DVD players and A/V receivers and video cameras. The Full HD screen has the widescreen resolution of 1920 x 1080p. This is the highest resolution of HD sources for the best possible picture quality. It is fully future-proof as it supports 1080p signals from all sources, including the most recent sources such as Blu-ray and advanced HD game consoles. The signal processing is extensively upgraded to support this much higher signal quality and resolution. It produces brilliant flicker-free progressive scan pictures with superb brightness and colours.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 60003255 | NEC Displays MultiSync P462 PG 46 inch LCD Public Display 3500:1 500cd/m2 1920x1080 8ms HDMI/DisplayPort/DVI-D/VGA (Black) with Protection Glass,16:9,,5028695108493,500cd/m2,Black,CE; TÜV GS; C-tick; Energy Star 5.0; FCC Class B; UL/C-UL or CSA; CCC; PSB; VCCI; RoHS,"3,500:1 (Static)",1 x DVI-D (with HDCP),105.54cm (W) x 10.30cm (D) x 60.86cm (H) - Weight 26.0kg,1 x DisplayPort,Operating Temperature 5 to 40°C - Humidity 20 to 80%,Yes,1 x HDMI 1.3,,,Display • Power Cable • VGA cable • interface cover • CD-ROM (User Guides/Manuals),,,0.5W (Standby),,1920 x 1080 Pixels HD 1080p,8ms,31.5 to 91.1KHz (Horizontal) x 25.2 to 85Hz (Vertical),,S-PVA LCD,,2 x 10W,,,,,1 x 15-pin D-Sub,178° (Horizontal - Max) x 178° (Vertical - Max),,"Yes , VESA Compliant - 300mm x 300mm",3 years warranty including backlight,,,"1 x 3.5mm Stereo Mini-Jack, 2 x RCA (L/R)",1 x 3.5mm Mini Jack,1 x DVI-D (Loop-out),,,,,,1 x RJ-45,,,1 x 9-pin RS-232 (input) • 1 x 9-pin RS-232 (output),,,60Hz,46in Display Area - 101.8 x 57.3cm,,,1 x S-Video,,1 x RCA,VESA DPMS,,,1 x Composite Video,,Built-in speakers,10/100Mbps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
