<page title>,ac power in,altezza,altezza con supporto,altoparlante cuffia spinotto di uscita,altoparlanti incorporati,angolo di visualizzazione orizzontale,angolo di visualizzazione verticale,blocco cavo,cavi inclusi,certificazione,certificazione energy star,classe efficienza energetica,colore del prodotto,colori del display,compatibile con montaggio vesa,compatibilità 3d,connessione cuffia,consumi,consumi modalità spento,consumi modalità standby,dimensione visibile diagonale,dimensione visibile orizzontale,dimensione visibile verticale,dimensioni schermo,dot pitch,dot rate video,formato,fotocamera integrata,frequenza di ingresso,frequenza scansione orizzontale,frequenza scansione verticale,girevole,hdcp,inclinazione,inclinazione regolabile,interruttore integrato,larghezza,larghezza con supporto,lettore di schede integrato,luminosità schermo,mobile highdefinition link mhl,modalità video supportate,montabile a parete,numero di altoparlanti,peso,peso incluso imballo,plug play,porta dvi,potenza in uscita rms,profondità,profondità con supporto,quantità porte hdmi,quantità porte usb 20,quantità porte usb 30,quantità porte vga dsub,rapporto di contrasto,rapporto di contrasto dinamico,regolazione altezza,risoluzione,risoluzioni grafiche supportate,rotazione,sintonizzatore tv integrato,source datasheet,subwoofer incorporato,tecnologia display,tempo di risposta,thin client installato,tipologia di retroilluminazione,tipologia display,tipologia hd,uscita audio,voltaggio di ingresso,bluetooth,collegamento ethernet lan,connessione wlan,dcin jack,full hd,microfono incorporato,microfono spinotto dingresso,retroilluminazione a led,tipi schede di memoria,conformità epeat,on screen display osd,quantità porte dvid,altezza imballo,angolo di rotazione,area di visualizzazione effettiva,compatibilità elettromagnetica,guida rapida,indicatore led alimentazione,ingresso audio,intervallo temperatura di funzionamento,larghezza imballo,led standby,manuale dellutente,peso prodotto con supporto,pivot angle,profondità imballo,range di umidità di funzionamento,intervallo di scansione verticale,numero di lingue osd,range di scansione orizzontale,display surface,quantità displayports,colore piedi,guida utente su cdrom,sicurezza,colori display,dimensioni lxpxa con base,tipo di display,tipologia touch screen,alimentazione,altoparlanti,angolo di inclinazione,angolo di visione orizzontale,angolo di visione verticale,caratteristiche,certificato energy star,colore,connettori di ingresso,consumo energetico in standby,descrizione prodotto,dettagli dimensioni e peso,dimensioni lxpxh,interfacce,interfaccia di montaggio schermo piatto,luminosità,lunghezza diagonale,pixel pitch,potenza assorbita in esercizio,potenza di uscita canale,rapporto daspetto,regolazione posizione display,risoluzione nativa,standard ambientali,standard di conformità,supporto colore,tecnologia retroilluminazione,tipo,tipo di dispositivo,tipo di schermo,tipo schermo,indicatori led,mtbf,compatibilità sistema operativo mac,ingresso audio per pc,schermo srgb,sistema operativo windows supportato,lingue osd,controllo del volume,funzione risparmio,lunghezza cavo,numero di prodotti inclusi,pictureinpicture,posizionamento supportato,intervallo di temperatura,consumo energetico annuo,protezione per i bambini,consumo energetico max,quantità porte thunderbolt,composite sync,sync hv separato,syncongreen sog,dimensioni lxpxa,number of simultaneous touchpoints windows 7,tipo alimentazione,cavo alimentazione incluso,quantità,consumi modalità risparmio energetico,hdmi,risoluzione massima,regolazioni formato schermo,tecnologia touchscreen,comandi regolazioni,copertura schermo,tensione richiesta,velocità refresh orizzontale,velocità refresh verticale,adattatore acdc,caratteristiche sicurezza,porta rs232,tipo di prodotto,umidità,sistema operativo linux supportato,telecomando,interfaccia comune,conforme agli standard,megapixel,dimensioni imballo lxpxa,webcam girevole,common interface plus ci,porta usb
AOC 23.6 i2472Pwhut/BK,Si,379.37 mm,466 mm,1,Si,178 °,178 °,Kensington,"AC, Audio (3.5mm), HDMI, USB, VGA","CE, EuP, GOST, ISO 9241-307, NRTL, RoHS, TÜV-Bauart",Si,Non specificato,"Nero, Argento",16.77 M,75 x 75 mm,N,3.5 mm,50 W,0.5 W,5 W,599 mm,521.28 mm,293.22 mm,"59.9 cm 599.4 mm (23.6 "")",0.2715 x 0.2715 mm,170 MHz,16:9,Si,50/60 Hz,30 - 83 kHz,50 - 76 Hz,N,Si,15 - 57 °,Si,Si,606.73 mm,679 mm,N,250 cd/m²,Si,1080p,Si,2.0,6.4 kg,7.9 kg,Si,N,4 W,49.4 mm,146 mm,2.0,2.0,3.0,1.0,1000:1,50000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,N,.,N,IPS,5 ms,N,W-LED,LED,Full HD,Si,110 - 240 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC 23.6 A2472Pw4t/BK,,"37,937 cm",,,Si,,,Si,"AC, HDMI, USB",,Si,,Nero,,,,,,,,,,,"59,94 cm (23.6"")",,,16:9,Si,,,,,,15 - 57°,,,"60,673 cm",,Si,250 cd/m²,,,,,6 kg,"8,5 kg",,No,4W,"4,94 cm",,1.0,2.0,,1.0,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,Si,Si,Si,Si,Si,Si,Si,Si,SDHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC MONITOR LED 19 AOC e960Prdas,,432.2 mm,,,Si,170 °,160 °,,,"TCO 5.0, CE, FCC, GOST, TCO´03, TÜV-Bauart, TÜV-GS, Win7, ISO 9241-307, EuP, cTUVus",Si,Non specificato,Nero,16.77 M,Si,N,,23 W,,0.5 W,,,,"482.6 mm (19 "") 48.1 cm",0.294 x 0.294 mm,,5:4,N,50/60 Hz,,,Si,N,,,,409.2 mm,,,250 cd/m²,,,Si,,4.77 kg,,,,,210 mm,,,,,1.0,1000:1,60000:1,Si,1280 x 1024 Pixels,1280 x 1024 (SXGA),Si,N,.,,,5 ms,N,,LED,N,,90 - 240 V,,,,,,,,,,Argento,Si,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung LED 22 Samsung S22C450MW MONITOR LED,,329.8 mm,453.5 mm,,Si,170 °,160 °,,"Audio (3.5mm), DVI, VGA","TCO, UL, CSA, TUV, GB, IEC",Si,,Nero,16.77 M,100 x 100 mm,N,,24 W,,0.1 W,,,,"558.8 mm (22 "")",0.282 x 0.282 mm,,16:10,N,50/60 Hz,,,Si,N,-3 - 25 °,Si,,502.4 mm,502.4 mm,,250 cd/m²,,,Si,2.0,3.5 kg,6.4 kg,,,2 W,55.5 mm,210 mm,,,,1.0,1000:1,Contrasto Mega,100 mm,1680 x 1050 Pixels,1680 x 1050 (WSXGA+),Si,N,.,,TN+Film,5 ms,N,,LED,N,Si,100 - 240 V,,,,,,,,,,Oro,,1.0,188 mm,-45 - 45 °,473.7 x 296.1 mm,"FCC, ACE, KCC, CCC, GB",Si,Si,Si,10 - 40 °C,578 mm,Si,Si,5 kg,-1 - 95 °,416 mm,10 - 80 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus LED 21.5 VE228TL MONITOR LED,Si,"31,08 cm","48,436 cm",1,Si,170°,160°,Kensington,"AC, Audio (3.5mm), DVI, VGA",,Si,Non specificato,Nero,,100 x 100 mm,No,3.5 mm,33W,"0,5W","0,5W",,,,"54,6 cm 54,61 cm (21.5"")","0,248 x 0,248 mm",,16:9,No,50/60 Hz,31 - 83 kHz,56 - 76 Hz,Si,Si,-5 - 22°,Si,,"51,284 cm","51,284 cm",,250 cd/m²,,,Si,2.0,"5,94 kg","6,94 kg",,Si,2W,"5,69 cm","22,5 cm",,,,1.0,,80000000:1,Si,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,No,,,,5 ms,No,,LED,Full HD,,100 - 240V,,,,,,,,,,,,1.0,"37,2 cm",,,,Si,Si,,,"66,7 cm",Si,,,,"20,7 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC MONITOR LED 21.5 AOC e2250Swdak,,379.95 mm,,,Si,170 °,160 °,Kensington,"AC, VGA","CB, CE, FCC, GOST, ISO 9241-307, RoHS, TÜV-GS, Ukraine Safety, Win7",Si,,Nero,16.77 M,75 x 75 mm,N,,21 W,,0.5 W,,476.64 mm,268.11 mm,"54.6 cm 546.1 mm (21.5 "")",,,16:9,N,50/60 Hz,,,,N,-4 - 17 °,,,511.18 mm,,,250 cd/m²,,,Si,,3.28 kg,,,N,,190 mm,,,,,1.0,1000:1,20000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,N,.,,,5 ms,N,,LED,Full HD,,100 - 240 V,,,,,,,,,,,Si,1.0,,,,,,,,,,,,,,,,50 - 76 Hz,16.0,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer LED 24 B246HLymdprz Wide16:9 5ms VGA DVI DP Sp USB MONIT...,,"38,55 cm",,,Si,170°,160°,,"AC, Audio (3.5mm), DisplayPort, DVI, VGA",TCO '06 CE GS ISO 9241-307,Si,,Grigio,"16,77M",100 x 100 mm,No,,"20,9W",,"0,45W",,"53,1 cm","29,9 cm","60,96 cm (24"") 61 cm","0,276 x 0,276 mm",,16:9,No,50/60 Hz,,,Si,Si,-5 - 35°,Si,,"56,7 cm",,,250 cd/m²,,,Si,2.0,"3,44 kg",8 kg,,Si,4W,"22,12 cm",,,,,1.0,250:1,100000000:1,15 cm,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,No,,,TN+Film,5 ms,No,,LED,Full HD,,100 - 240V,,,,,,,,,,Oro,,,"42,5 cm",-60 - 60°,,,Si,,,,"62,5 cm",,,"6,1 kg",0 - 90°,"17,6 cm",,55 - 75 Hz,,30 - 80 kHz,Matt,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung 27 S27C450B MONITOR LED,,"37,81 cm","52,78 cm",,,170°,160°,,AC,TCO,Si,Non specificato,Nero,"16,77M",100 x 100 mm,No,,30W,,"0,1W",,,,"68,6 cm 68,58 cm (27"")","0,31125 x 0,31125 mm",,16:9,No,50/60 Hz,,,Si,,-3 - 25°,Si,,"63,9 cm","63,9 cm",,300 cd/m²,,,Si,,"4,55 kg",8 kg,,Si,,"5,67 cm","22,4 cm",,,,1.0,1000:1,Contrasto Mega,13 cm,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,,,,,5 ms,No,,LED,Full HD,,100 - 240V,,,,,,,,,,Oro,,,"46,1 cm",-45 - 45°,,,Si,,,,"72,2 cm",,Si,"6,2 kg",-1 - 95°,"18,7 cm",,,,,,,Nero,Si,"UL 60950-1CSA, EN60950-1NEMKO, EN60950-1 KC, IEC60950-1, EN55022PCBC, IEC60590-1, EN55022NOM, NOM-019-SCFI-1993IRAM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG 17 17MB15T-B Touch MONITOR LED,,"6,2 cm",,,,,,,"AC, VGA","UL(cUL) TUV-GS TUV-típus FCC-B, CE EPA",,,Nero,,75 x 75 mm,,,16W,,"0,5W",,,,"43,18 cm (17"")","0,264 x 0,264 mm",,,,50 Hz,30 - 83 kHz,56 - 75 Hz,,,15 - 68°,,,37 cm,,,,,,Si,,"2,9 kg","4,5 kg",Si,,,"31,5 cm",,,1.0,,1.0,1000:1,,,1280 x 1024 Pixels,,,,,,,,,,,,,100 - 240V,,,,,No,,,,,,,,"15,9 cm",,,,,,,,"42,9 cm",,,"3,3 kg",,"37,7 cm",,,,,,,,,,"16,7M",370 x 95 x 315 mm,LED,Multi utente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung 24 S24C650MW MONITOR LED,,,,,,,,,1 x cavo VGA ¦ 1 x cavo DVI ¦ 1 x Cavo audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,7 kg 5,7 kg",,,,,,,,,,,1000:1 1000:1,,130 mm,,,,,,,,5 ms 5 ms,,,,,,,,,,,,,,,,,,,,-1/+95,,,,,,,,,,,,,,,,,,,,,,,,,,Interna,Integrato,-3/+25,178.0,178.0,"Timer di spegnimento, MagicColor, MagicAngle, MagicBright 3, Mega Dynamic Contrast Ratio, Eco Saving",Sì,Nero opaco Nero opaco,"DVI-D, VGA","0,1 Watt","Samsung 6 Series S24C650MW - monitor a LED - 24""","Con supporto - larghezza: 55,48 cm - profondità: 22,4 cm - altezza: 38,2 cm - peso: 5,7 kg ¦ Senza supporto - larghezza: 55,48 cm - profondità: 5,42 cm - altezza: 35,94 cm","55,48 cm x 22,4 cm x 38,2 cm - con supporto 55,48 cm x 22,4 cm x 38,2 cm - con supporto",VGA ¦ DVI-D ( HDCP ) ¦ Ingresso/uscita audio,100 x 100 mm,250 cd/m2 250 cd/m2,"24""","0,27 mm 0,27 mm",30 Watt,1 Watt,Widescreen Widescreen,"Altezza, snodo (rotazione), piano girevole, inclinazione Altezza, snodo (rotazione), piano girevole, inclinazione",1920 x 1200 1920 x 1200,Certificato ENERGY STAR,"TUV GS, TCO Displays 5.25, ISO 9241-307 TUV GS, TCO Displays 5.25, ISO 9241-307","16,7 milioni di colori 16,7 milioni di colori",Retroilluminazione a LED,Altoparlanti - stereo - integrato,"Monitor LCD con retroilluminazione a LED - 24""",AD-PLS AD-PLS,Monitor LCD con retroilluminazione a LED / matrice attiva TFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
