<page title>,adjustable display angle,adjustable display height,adjustable display pivot,aspect ratio,backlight technology,brand name,brightness,colour,colour support,contrast ratio,dvi,green compliance certificateauthority,green compliant,hdcp supported,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,maximum adjustable height,maximum resolution,number of screens,offmode power consumption,operating power consumption,package contents,panel technology,product model,product name,product series,product type,response time,screen mode,screen size,standard refresh rate,standby power consumption,swivel angle,tilt angle,vertical viewing angle,vesa mount compatible,vga,certifications standards,depth,depth with stand,features,height,height with stand,mount type,platform supported,recycled,recycled content,vesa mount standard,weight approximate,weight with stand approximate,width,width with stand,builtin devices,displayport,product line,screen surface,usb,usb standard,speakers,webcam,hdmi,component video,composite video,svideo,display orientation,energy consumption per year,energy efficiency class,full product specifications,number of speakers,postconsumerwaste,headphone,3d type,packaged quantity,network rj45,horizontal frequency,sdi,sdi standard,environmentconscious and reliable,flexible viewing and connectivity options,impressive screen clarity,country of origin,additional information,superb performance,versatile connections,system requirements,thunderbolt
"ET.WS0HE.B01, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,Acer,200 cd/m²,Black,16.7 Million Colours,"100,000,000:1",Yes,MPR II,Yes,Yes,90°,110 V AC 220 V AC,3 Year,"Acer, Inc",ET.WS0HE.B01,No,1920 x 1080,1.0,530 mW,22 W,S220HQLBbd Widescreen LCD MonitorPower CordVGA Cable,Twisted Nematic Film (TN Film),S220HQLBbd,S220HQLBbd Widescreen LCD Monitor,S,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",60 Hz,600 mW,No,-5°to15°,50°,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LS19C45KBR/EN, Samsung, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,5:4,LED,Samsung,250 cd/m²,Matte Black,16.7 Million Colours,"1,000:1",Yes,ENERGY STAR Eco-label TCO EPEAT Gold,Yes,,170°,220 V AC 110 V AC,,Samsung,LS19C45KBR/EN,,1280 x 1024,1.0,,19 W,,,S19C450BR,S19C450BR LCD Monitor,450,LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",,100 mW,,,160°,Yes,Yes,"UL: UL 60950-1CSA: CSA C22.2 No. 60950-1TUV: EN60950-1NEMKO: EN60950-1KC: K60950-1CCC: GB 4943-2001PSB: IEC60950-1GOST: IEC60950-1, EN55022SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NOM-019-SCFI-1993IRAM:IEC60950-1SASO: IEC60950-1EMC:FCC Part 15, Subpart B ClassACE EN55022, EN55024VCCI V-3 (CISPR22)KCC :KN22, KN24C-Tick: AS/NZS3548 (CISPR22)CCC:GB 9254-2008, GB 17625.1-2003",55 mm,210 mm,Off Timer MagicBright3 MagicAngle Eco Saving MagicTune MagicRotation,336 mm,469 mm,Wall Mountable,PC,Yes,Plastic,100 x 100,2.95 kg,4.45 kg,407 mm,407 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E4U30AT#ABU, 943ACNZ, HP, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,5:4,LED,HP,250 cd/m²,Black,,"3,000,000:1",Yes,ENERGY STAR TCO Certified Displays IT Eco Declaration EPEAT Gold China Energy Label (CEL) TÜV,Yes,,178°,110 V AC 220 V AC,3 Year,Hewlett-Packard,E4U30AT#ABU,120 mm,1280 x 1024,1.0,,28 W,EliteDisplay E190i 18.89-inch 5:4 LED Backlit IPS Monitor VGA cable DVI cable DisplayPort cable USB cable AC Power cable Warranty card and CD Monitor driver (ICM/INF) Auto adjustment pattern utility software Adobe Acrobat Reader software HP Display Assistant software,In-plane Switching (IPS) Technology,E190i,EliteDisplay E190i 18.89-inch 5:4 LED Backlit IPS Monitor,,LCD Monitor,8 ms,SXGA,"48 cm (18.9"")",76 Hz,500 mW,180°,-5°to25°,178°,,Yes,"CECP eco label (China Energy Conservation Program) SEPA eco label (China) TGM eco label(Taiwan Green Mark) EuP lot6 Tier2 China MEPS, Korea MEPS (E-standby) ISO 9241-307 CSA 60950-1 UL 60950-1 EN55022 Class B EN60950 -1 CNS 13438 Class B IEC 60950-1 ""GS"" Mark VCCI KC KCC (Korean) CE Marking FCC Part 15 class B CCC IT ECO (EDS) EN55024 Class B CISPR SmartWay Energy logistics",47 mm,192 mm,Security Lock,347 mm,486 mm,,,,,,3 kg,4.90 kg,417 mm,417 mm,USB Hub,Yes,Elite,Anti-static Anti-glare,Yes,USB 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D9E49AT#ABU, 2862109, HP, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,HP,250 cd/m²,Black,,"1,000:1",Yes,EPEAT Gold TCO Certified Edge ENERGY STAR CECP China Energy Label (CEL) REACH WEEE,Yes,Yes,178°,220 V AC 110 V AC,3 Year,Hewlett-Packard,D9E49AT#ABU,,1920 x 1080,1.0,,42 W,"EliteDisplay E221c 54,6 cm (21.5'') Webcam LED Backlit Monitor VGA Cable DisplayPort Cable USB Cable AC power Cable Printed Documentation and CD HP DisplayAssistant Software",In-plane Switching (IPS) Technology,E221c,"EliteDisplay E221c 54,6 cm (21.5'') Webcam LED Backlit Monitor",Advantage,LCD Monitor,7 ms,Full HD,"54.6 cm (21.5"")",60 Hz,400 mW,,,178°,,Yes,VCCI BSMI NOM TUV S CB CCC PSB FCC KCC KC,51 mm,237 mm,Security Lock,309 mm,460 mm,,PC,,,,,5.40 kg,509 mm,509 mm,USB Hub Microphone Speaker Webcam,Yes,Business,Anti-glare,Yes,USB 2.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
"LS22C20KBS/EN, Samsung, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,Samsung,250 cd/m²,Matte Black,16.7 Million Colours,"1,000:1",Yes,TCO ENERGY STAR EPEAT Gold,Yes,,170°,220 V AC 110 V AC,,Samsung,LS22C20KBS/EN,,1920 x 1080,1.0,,24 W,,,S22C200B,S22C200B Widescreen LCD Monitor,200,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,100 mW,,,160°,Yes,Yes,,77.6 mm,185 mm,Eco Saving MagicAngle MagicTune MagicBright 3 Off Timer,301.9 mm,385.35 mm,Wall Mountable,PC,,,100 x 100,3.05 kg,3.40 kg,504.3 mm,504.30 mm,,No,,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,
"K9303000A, 2176456, Barco, LCD Monitor, IML Direct Italy",,,,16:9,,Barco,500 cd/m²,White,1 Billion Colors,"1,300:1",Yes,RoHS,Yes,,178°,220 V AC 110 V AC,3 Year,Barco,K9303000A,,1920 x 1080,1.0,,260 W,MD-4221 Medical Widescreen LCD MonitorUser ManualDVI-D CableVGA CableRemote Control,,MD-4221,MD-4221 Medical Widescreen LCD Monitor,,LCD Monitor,10 ms,Full HD,"106.7 cm (42"")",85 Hz,17 W,,,178°,Yes,Yes,UL 60601-1CAN/CSA-C22.2 No 601.1-M90: 2005EN 60601-1IEC 60601-1CEEN 60601-1-2FCC-BVCCIKCCIPX1,111 mm,,,617 mm,,,,,,600 x 200,30.40 kg,,1024 mm,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
"60003334, 3967978, NEC Display Solutions, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:10,LED,NEC Display,250 cd/m²,Black,16.7 Million Colours,"25,000:1",Yes,EPEAT Silver RoHS ENERGY STAR 5.0 TCO Certified Displays 6.0 TCO Certified Displays 5.2 ErP MPR III MPR II,Yes,Yes,178°,110 V AC 220 V AC,3 Year,NEC Display Solutions,60003334,,1680 x 1050,1.0,,25 W,E223W Widescreen LCD MonitorPower CableCD-ROMSales Office ListUser ManualVGA CableDVI Cable,,E223W,E223W Widescreen LCD Monitor,,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",60 Hz,400 mW,,,178°,Yes,Yes,CETÜV ErgonomicsTÜV GSGEEA/Energy LabelFCC Class BPCT/GostUL/C-ULCSAISO 9241-307,218 mm,,Eco Mode Auto Brightness Control (ABC) Touch Controls Carbon Footprint Meter Off Timer Cable Management Security Lock,384 mm,,,PC,,,100 x 100,5.60 kg,,503.5 mm,,,Yes,MultiSync,,,,,,,,,,Landscape/Portrait,,,,,,,,,,,,,,,,,,,,,
"UM.HX2EE.001, 8655P45, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,Acer,300 cd/m²,Black,16.7 Million Colours,"100,000,000:1",Yes,MPR II,Yes,,178°,110 V AC 220 V AC,2 Year,"Acer, Inc",UM.HX2EE.001,No,2560 x 1440,1.0,400 mW,33.60 W,K272HUL Widescreen LCD Monitor1 x DVI Cable1 x DisplayPort CablePower Cord,Advanced Hyper Viewing Angle (AHVA),K272HUL,K272HUL Widescreen LCD Monitor,K,LCD Monitor,6 ms,WQHD,"68.6 cm (27"")",60 Hz,450 mW,No,5°to25°,178°,,,,50 mm,192 mm,,267 mm,352 mm,,,,,,,,441 mm,441 mm,,Yes,,Anti-glare,,,Yes,,Yes,,,,,64 kWh,C,,,,,,,,,,,,,,,,,,,
"C9V75AA#AB5, HP, LCD Monitor, IML Direct Italy",,,,16:9,LED,HP,250 cd/m²,Black,,"5,000,000:1",Yes,ENERGY STAR TCO Certified Edge,Yes,,,,3 Year,Hewlett-Packard,C9V75AA#AB5,,1920 x 1080,1.0,,36 W,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD,,E231,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR),,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,,,,,,Yes,,51 mm,242.40 mm,,329 mm,469.90 mm,,,,,,3.90 kg,,544 mm,544 mm,USB Hub,Yes,Elite,,Yes,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"E2752VQ, 2421239, AOC, LCD Monitor, IML Direct Italy",,,,16:9,LED,AOC,300 cd/m²,Black,16.7 Million Colours,"2,000,000:1",Yes,J-Moss (Japanese RoHS) ENERGY STAR,Yes,Yes,170°,220 V AC 110 V AC,3 Year,AOC,E2752VQ,,1920 x 1080,1.0,1 W,50 W,,,e2752Vq,27 - Inch LED Monitor,52,LCD Monitor,2 ms,Full HD,"68.6 cm (27"")",60 Hz,,,,160°,Yes,Yes,cCSAUsFCCCECCCTUV-BauratTUV-GSGOSTBSMIVCCIKCE-standby,,,Ultra Slim Off Timer,,,Wall Mountable,,,,100 x 100,,,,,USB Hub,Yes,,,Yes,USB 2.0,Yes,,Yes,,,,,,,,2.0,,,,,,,,,,,,,,,,,
