<page title>,adjustable display angle,adjustable display height,adjustable display pivot,aspect ratio,backlight technology,brand name,brightness,builtin devices,certifications standards,colour,colour support,contrast ratio,depth,display orientation,displayport,dvi,features,green compliance certificateauthority,green compliant,hdcp supported,hdmi,headphone,height,horizontal viewing angle,limited warranty,manufacturer,manufacturer part number,maximum resolution,number of screens,number of speakers,operating power consumption,package contents,panel technology,platform supported,product line,product model,product name,product type,response time,screen mode,screen size,speakers,standard refresh rate,standby power consumption,usb,usb standard,vertical viewing angle,vesa mount compatible,vesa mount standard,vga,weight approximate,width,depth with stand,height with stand,input voltage,screen surface,width with stand,environmentconscious and reliable,flexible viewing and connectivity options,impressive screen clarity,horizontal frequency,maximum adjustable height,offmode power consumption,product series,webcam,swivel angle,tilt angle,weight with stand approximate,energy consumption per year,energy efficiency class,mount type,full product specifications,postconsumerwaste,3d type,recycled,recycled content,network rj45,packaged quantity,thunderbolt,component video,composite video,superb performance,versatile connections,full datasheet accessories features,mfr code,product,product code,stock,additional information,svideo
"60003588, 3968096, NEC Display Solutions, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,NEC Display,250 cd/mÂ²,Speaker USB Hub,CE TÃV Ergonomics TÃV GS FCC Class B PCT/Gost UL/C-UL CSA ISO 9241-307,Black,16.77 Million Colors,"1,000:1",218 mm,Landscape/Portrait,Yes,Yes,Security Lock Cable Management Eco Mode Carbon Footprint Meter Ambient Light Sensor Off Timer Intelligent Power Manager (IPM) System,MPR III EPEAT Gold ENERGY STAR 6.0 RoHS TCO Certified Displays 6.0 TCO Certified Edge,Yes,Yes,Yes,Yes,380.4 mm,178Â°,3 Year,NEC Display Solutions,60003588,1920 x 1080,1.0,2.0,27 W,"LCD 23"" Commercial Display Power Cable Control Sync Cable USB Cable Audio Cable CD-ROM Sales Office List User Manual VGA - VGA Cable DVI-D - DVI-D Cable",In-plane Switching (IPS) Technology,PC,MultiSync,EA234WMi,"LCD 23"" Commercial Display",LCD Monitor,6 ms,Full HD,"58.4 cm (23"")",Yes,60 Hz,500 mW,Yes,USB 2.0,178Â°,Yes,100 x 100,Yes,6.40 kg,543.8 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C9V73AT#ABU, HP, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,HP,250 cd/mÂ²,USB Hub,,Black,,"1,000:1",51 mm,,Yes,Yes,Security Lock,EPEAT Gold WEEE ENERGY STAR REACH TCO Certified Displays,Yes,Yes,,,289 mm,170Â°,3 Year,Hewlett-Packard,C9V73AT#ABU,1600 x 900,1.0,,30 W,Advantage E201 Widescreen LCD MonitorUSB CableVGA CableAC Power CablePrinted DocumentationCD-ROM,,,Advantage,E201,Advantage E201 Widescreen LCD Monitor,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",,,500 mW,Yes,USB 2.0,160Â°,,,Yes,5.20 kg,472.8 mm,228.90 mm,434.80 mm,220 V AC 110 V AC,Anti-glare,472.80 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"859-BBCT, 0912944, Dell, LCD Monitor, Itenergy Ltd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Built to comply with
the latest environmental and regulatory standards and protected by a
Premium Panel Guarantee and Advanced Exchange Service.","Fully adjustable stand and a comprehensive
set of analog and digital connectivity ports and cables.","Full HD 1920 x 1080 resolution
with an ultra-wide 178Â°/178Â° viewing angle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B2480HS-W1, 2633820, Iiyama, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,iiyama,300 cd/mÂ²,Speaker,CECUTUV-GS,White,16.7 Million Colours,"1,000:1",244.5 mm,,,Yes,Security Lock,TCO Displays 5.0 ENERGY STAR,Yes,Yes,Yes,,557 mm,170Â°,3 Year,"iiyama North America, Inc",B2480HS-W1,1920 x 1080,1.0,2.0,22 W,ProLite B2480HS-1Power CableVGA Cable (D-Sub)DVI CableAudio CableStand FootCable HolderQuick Start GuideSafety Guide,,Mac PC,ProLite,B2480HS,ProLite B2480HS-1,LCD Monitor,2 ms,Full HD,"61 cm (24"")",Yes,75 Hz,1 W,,,160Â°,Yes,100 x 100,Yes,6.10 kg,571.5 mm,,,110 V AC 220 V AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29UB65-P, 2975676, LG Electronics, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,21:9,LED,LG,300 cd/mÂ²,Speaker,,,16.7 Million Colours,"5,000,000:1",124.5 mm,,Yes,Yes,Mobile High-Definition Link (MHL),,,,Yes,Yes,419.1 mm,178Â°,,LG Electronics,29UB65-P,2560 x 1080,1.0,2.0,47 W,,In-plane Switching (IPS) Technology,PC,,29UB65-P,29UB65-P Widescreen LCD Monitor,LCD Monitor,5 ms,UW-UXGA,"73.7 cm (29"")",Yes,,,Yes,USB 3.0,178Â°,Yes,75 x 75,,5.08 kg,703.6 mm,223.52 mm,,,Anti-glare,,,,,90 kHz,110 mm,500 mW,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T28LNWL, S602WH2, Lenovo, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,Lenovo,250 cd/mÂ²,Microphone Speaker USB Hub,Microsoft Lync CertifiedTUV Green Mark UL Environment GoldFCC Class B certifiedTUVBSMIGOSTIEC950NEMKOISO 9241-307NOMSABSSASOTUV SCCCICPSBJEITAICEScULusTUV BauartE-StandbyKCKvalitetSONCAPKEBSEMI,Raven Black,16.7 Million Colours,"1,000:1",56.4 mm,,Yes,Yes,Ambient Light Sensor Security Lock,CECP TCO Certified Edge Displays 1.1 EPEAT ENERGY STAR 6.0 RoHS REACH EuP WEEE,Yes,,,,387.2 mm,,3 Year,Lenovo Group Limited,T28LNWL,1920 x 1080,1.0,2.0,,,Enhanced In-plane Switching (E-IPS) Technology,PC,ThinkVision,LT2323z,LT2323z Wide 23inch e-IPS Flat Panel Monitor,LCD Monitor,7 ms,Full HD,"58.4 cm (23"")",Yes,75 Hz,,Yes,USB 3.0,,,,Yes,6.16 kg,545.3 mm,,,,Anti-glare,,,,,,,,Wide,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.WB6EE.A01, 8654T98, Acer, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,Acer,250 cd/mÂ²,,,Dark Grey,16.7 Million Colours,"100,000,000:1",221 mm,,,Yes,,ENERGY STAR TCO '06,Yes,Yes,,,518.2 mm,178Â°,3 Year,"Acer, Inc",UM.WB6EE.A01,1920 x 1080,1.0,,19.50 W,B226HQL Widescreen LCD Monitor1 x VGA Cable1 x DVI CablePower Cord,Vertical Alignment (VA),,,B226HQL,B226HQL Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"54.6 cm (21.5"")",Yes,60 Hz,350 mW,,,178Â°,Yes,100 x 100,Yes,3.17 kg,508 mm,,,110 V AC 220 V AC,Anti-glare,,,,,,150 mm,250 mW,B,,60Â°,-5Â°to35Â°,5.81 kg,,,,,,,,,,,,,,,,,,,,,,
"UM.WG6EE.F01, 8655F68, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Acer,250 cd/mÂ²,,,Black,16.7 Million Colours,"100,000,000:1",33.9 mm,,,,,MPR II,Yes,,Yes,,364 mm,170Â°,2 Year,"Acer, Inc",UM.WG6EE.F01,1920 x 1080,1.0,,22 W,G226HQL Widescreen LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),,,G226HQL,G226HQL Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"54.6 cm (21.5"")",No,60 Hz,450 mW,,,160Â°,No,,Yes,1.90 kg,511 mm,168 mm,365 mm,220 V AC 110 V AC,Anti-glare,511 mm,,,,,No,400 mW,G,,No,-5Â°to15Â°,2 kg,32 kWh,B,,,,,,,,,,,,,,,,,,,,
"VX2858SML, B921660, ViewSonic, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Viewsonic,300 cd/mÂ²,Speaker,,,,"3,000:1",50.8 mm,,,,Mobile High-Definition Link (MHL),,,,Yes,Yes,411.5 mm,176Â°,,Viewsonic Corporation,VX2858SML,1920 x 1080,1.0,2.0,46 W,,,,,VX2858Sml,VX2858Sml Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"71.1 cm (28"")",Yes,,,,,176Â°,Yes,100 x 100,Yes,3.95 kg,660.4 mm,241.30 mm,510.54 mm,,Anti-glare,660.40 mm,,,,,,,,,,5Â°to20Â°,4.58 kg,,,,,,,,,,,,,,,,,,,,,,
"PLE2273HDS-B1, II-PLE2273HDS-B1, Iiyama, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,iiyama,250 cd/mÂ²,Speaker,CECBFCC-BTUV-BauartVCCI-BPSE,Black,16.7 Million Colours,"1,000:1",178 mm,,,Yes,,ENERGY STAR TCO Certified Displays 5.2,Yes,Yes,Yes,,390 mm,170Â°,3 Year,"iiyama North America, Inc",PLE2273HDS-B1,1920 x 1080,1.0,2.0,24 W,ProLite E2273HDS Widescreen LCD MonitorPower CableD-Sub CableDVI CableAudio CableStandCable GuideQuick Start GuideSafety Guide,,Mac PC,ProLite,E2273HDS,ProLite E2273HDS Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"55.9 cm (22"")",Yes,75 Hz,500 mW,,,160Â°,Yes,100 x 600,Yes,3.30 kg,560.5 mm,,,220 V AC 110 V AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
