<page title>,aspect ratio,backlight technology,brand name,brightness,builtin devices,colour,contrast ratio,depth,depth with stand,displayport,dvi,full product specifications,green compliance certificateauthority,green compliant,height,height with stand,limited warranty,manufacturer,manufacturer part number,maximum resolution,number of screens,operating power consumption,package contents,product line,product model,product name,product type,response time,screen mode,screen size,usb,vga,weight approximate,width,width with stand,adjustable display angle,features,hdmi,horizontal viewing angle,mount type,number of speakers,platform supported,product series,speakers,vertical viewing angle,vesa mount compatible,weight with stand approximate,adjustable display height,adjustable display pivot,colour support,hdcp supported,headphone,input voltage,maximum adjustable height,offmode power consumption,panel technology,standard refresh rate,standby power consumption,swivel angle,tilt angle,vesa mount standard,screen surface,certifications standards,component video,composite video,webcam,firewireilink,network rj45,thunderbolt,svideo,energy consumption per year,energy efficiency class,usb standard,recycled,recycled content,horizontal frequency,system requirements,sdi,sdi standard,display orientation,3d type,additional information,postconsumerwaste,packaged quantity,product code,3d technology,country of origin,package type
"C9V75AA#AB5, HP, LCD Monitor, JR Linton",16:9,LED,HP,250 cd/m²,USB Hub,Black,"5,000,000:1",51 mm,242.40 mm,Yes,Yes,Click to view,TCO Certified Edge ENERGY STAR,Yes,329 mm,469.90 mm,3 Year,Hewlett-Packard,C9V75AA#AB5,1920 x 1080,1,36 W,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD,Elite,E231,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR),LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",Yes,Yes,3.90 kg,544 mm,544 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VX2252MH, B921503, ViewSonic, LCD Monitor, JR Linton",,LED,Viewsonic,250 cd/m²,Speaker,,"1,000:1",53.3 mm,223.52 mm,,Yes,,,,327.7 mm,401.32 mm,,Viewsonic Corporation,VX2252MH,1920 x 1080,1,,,,VX2252mh,VX2252mh Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"55.9 cm (22"")",,Yes,2.90 kg,510.5 mm,510.54 mm,Yes,Security Lock ClearMotiv,Yes,170°,Wall Mountable,2.0,PC,VX,Yes,160°,Yes,3.29 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9H.LCSLB.QBE, 3197343, BenQ, LCD Monitor, JR Linton",16:9,LED,BenQ,300 cd/m²,,Black,"20,000,000:1",,230 mm,,Yes,,EPEAT Silver TCO Certified Displays 6.0 ENERGY STAR 6.0,Yes,,623 mm,,BenQ Corporation,9H.LCSLB.QBE,1920 x 1080,1,45 W,BL2700HT Widescreen LCD Monitor Signal Cable (VGA),,BL2700HT,BL2700HT Widescreen LCD Monitor,LCD Monitor,4 ms,Full HD,"68.6 cm (27"")",,Yes,6.30 kg,,519 mm,Yes,Low Blue Light Senseye 3 Advanced Motion Accelerator (AMA) Security Lock Smart Reminder Reading Mode CAD/CAM Mode Ultra Flexible Dual Monitor Support Flicker-free Eco Mode,Yes,178°,Wall Mountable,2.0,PC,,Yes,178°,Yes,,Yes,Yes,16.7 Million Colours,Yes,Yes,120 V AC 230 V AC,120 mm,300 mW,AMVA+,76 Hz,300 mW,360°,-5°to20°,100 x 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.EB6EE.005, 8654G74, Acer, LCD Monitor, JR Linton",16:10,LED,Acer,250 cd/m²,Speaker,Dark Grey,"100,000,000:1",221.2 mm,,,Yes,,EPEAT Gold TCO '06,Yes,505.7 mm,,3 Year,"Acer, Inc",UM.EB6EE.005,1680 x 1050,1,24.20 W,B226WL Widescreen LCD Monitor1 x VGA Cable1 x DVI Cable,,B226WL,B226WL Widescreen LCD Monitor,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",,Yes,3.09 kg,534.2 mm,,Yes,,,170°,,2.0,,B,Yes,160°,Yes,5.75 kg,Yes,Yes,16.7 Million Colours,Yes,,220 V AC 110 V AC,150 mm,450 mW,Twisted Nematic Film (TN Film),60 Hz,17.20 W,60°,-5°to35°,100 x 100,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,
"VE228HR, ASUNOT625, ASUSTeK COMPUTER, LCD Monitor, JR Linton",,LED,Asus,250 cd/m²,Speaker,Black,"80,000,000:1",201.8 mm,,,Yes,,J-Moss (Japanese RoHS) RoHS China Energy Label (CEL) WEEE ENERGY STAR ErP,Yes,386 mm,,,ASUS Computer International,VE228HR,1920 x 1080,1,35 W,VE228HR Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordQuick Start GuideWarranty Card,,VE228HR,VE228HR Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,Yes,4.10 kg,512.8 mm,,Yes,Security Lock Cable Management Splendid Video Intelligence Technology,Yes,170°,Wall Mountable,2.0,PC,VE,Yes,160°,Yes,,,,16 Million Colours,Yes,Yes,,,,,76 Hz,500 mW,,,100 x 100,,BSMICBCCCCEC-TickFCCGost-RPSBUL/cULVCCIWHQL,,,,,,,,,,,,,,,,,,,,,,,,,
"CDE4200-L, B921457, ViewSonic, LCD Monitor, JR Linton",16:9,LED,Viewsonic,350 cd/m²,Speaker,Black,"3,000:1",63.5 mm,208.28 mm,,,,,,624.8 mm,678.18 mm,,Viewsonic Corporation,CDE4200-L,1920 x 1080,1,59 W,,Professional,CDE4200-L,"42"" Full HD LED Professional Display",LCD Monitor,6.50 ms,Full HD,"106.7 cm (42"")",Yes,Yes,11.88 kg,975.4 mm,975.36 mm,Yes,Security Lock,Yes,170°,Wall Mountable,2.0,PC,,Yes,170°,Yes,12.61 kg,,,,,Yes,,,,,,,,,200 x 200,Anti-glare,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
"22M45HQ-B, 2998779, LG Electronics, LCD Monitor, JR Linton",,LED,LG,,,Black,,,,,,,,,,,,LG Electronics,22M45HQ-B,1920 x 1080,1,,,,22M45HQ-B,22M45HQ-B Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"55.9 cm (22"")",,Yes,14 kg,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C9F26AA#ABU, HP, LCD Monitor, JR Linton",16:9,LED,HP,250 cd/m²,,Black,"1,000:1",47.5 mm,151.10 mm,,Yes,,TCO Certified Displays EPEAT Gold ENERGY STAR,Yes,294.1 mm,359.20 mm,3 Year,Hewlett-Packard,C9F26AA#ABU,1600 x 900,1,22 W,,ProDisplay,P201,ProDisplay P201 20-inch LED Backlit Monitor,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",,Yes,3.50 kg,482 mm,482 mm,Yes,Security Lock,,170°,Arm-mountable,,,,No,160°,Yes,,,,16.77 Million Colors,Yes,,110 V AC 220 V AC,,,,,500 mW,,,100 x 100,Anti-glare,,,,No,,,,,,,,,,,,,,,,,,,,,,
"MX299Q, 2798280, ASUSTeK COMPUTER, LCD Monitor, JR Linton",21:9,LED,Asus,300 cd/m²,Speaker,Black Silver,"80,000,000:1",,215.10 mm,Yes,Yes,,WEEE RoHS J-Moss (Japanese RoHS) ErP ENERGY STAR 6.0,Yes,,391 mm,3 Year,ASUS Computer International,MX299Q,2560 x 1080,1,31.70 W,Designo MX299Q Widescreen LCD Monitor Dual-link DVI Cable Audio Cable Power Cord Power Adapter Quick Start Guide HDMI Cable Warranty Card MHL Cable,Designo,MX299Q,Designo MX299Q Widescreen LCD Monitor,LCD Monitor,5 ms,,"73.7 cm (29"")",No,No,5.50 kg,,700.20 mm,Yes,Splendid Video Intelligence Technology Trace Free Technology Security Lock,Yes,178°,,2.0,Mac PC,MX,Yes,178°,No,,No,No,16.7 Million Colours,Yes,Yes,220 V AC 110 V AC,,500 mW,Advanced High Performance In-plane Switching (AH-IPS) Technology,61 Hz,500 mW,,,,,BSMI CB CCC CE C-Tick CU FCC UL/cUL VCCI Gost-R PSE,,,No,No,No,No,,,,,,,,,,,,,,,,,,,
"60002717, NECLCDM461AV, NEC Display Solutions, LCD Monitor, JR Linton",16:9,,NEC Display,450 cd/m²,,Silver Black,,142.5 mm,,Yes,Yes,,RoHS,Yes,659.4 mm,,3 Year,NEC Display Solutions,60002717,1920 x 1080,1,200 W,MULTEOS M461 Widescreen LCD MonitorVGA Display CableCD-ROMInfrared Remote Control,MULTEOS,M461,MULTEOS M461 Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"116.8 cm (46"")",,Yes,29.80 kg,11125.8 mm,,,,Yes,,,,,,,,Yes,,,,16.7 Million Colours,Yes,,220 V AC 110 V AC,,,,50 Hz,,,,300 x 300,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,
"UM.VH6EE.003, 2658504, Acer, LCD Monitor, JR Linton",16:9,LED,Acer,250 cd/m²,Speaker,Black,"100,000,000:1",172.7 mm,,,Yes,,ENERGY STAR MPR II,Yes,403.9 mm,,2 Year,"Acer, Inc",UM.VH6EE.003,1920 x 1080,1,26 W,H236HL Widescreen LCD Monitor1 x VGA Cable,,H236HL,H236HL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,Yes,2.90 kg,530.9 mm,,Yes,Mobile High-Definition Link (MHL),Yes,178°,,2.0,,H,Yes,178°,No,3.60 kg,No,No,16.7 Million Colours,,,110 V AC 220 V AC,No,400 mW,In-plane Switching (IPS) Technology,60 Hz,450 mW,No,-5°to15°,,,,,,,,,,,34 kWh,A,,,,,,,,,,,,,,,,
"C9F26AA#ABB, HP, LCD Monitor, JR Linton",16:9,LED,HP,250 cd/m²,,Black,"1,000:1",47.5 mm,151.10 mm,,Yes,,ENERGY STAR EPEAT Gold TCO Certified Displays,Yes,294.1 mm,359.20 mm,3 Year,Hewlett-Packard,C9F26AA#ABB,1600 x 900,1,22 W,"ProDisplay P201 50,8 cm (20'') LED Backlit Monitor (C9F26AA)VGA CableDVI CableAC PowerPrinted Documentation and CD",Essential,P201,"ProDisplay P201 50,8 cm (20'') LED Backlit Monitor",LCD Monitor,5 ms,HD+,"50.8 cm (20"")",,Yes,3.50 kg,482 mm,482 mm,Yes,Security Lock,,170°,,,,,,160°,Yes,,,,,Yes,,220 V AC 110 V AC,,,,,500 mW,,,100 x 100,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,
"190SL1SB/00, 2568288, Philips, LCD Monitor, JR Linton",16:10,LED,Philips,250 cd/m²,,Black,"20,000,000:1",,,,Yes,,,,,,3 Year,Philips Electronics,190SL1SB/00,1440 x 900,1,,,,190SL1SB,190SL1SB Widescreen LCD Monitor,LCD Monitor,5 ms,WXGA+,"48.3 cm (19"")",,Yes,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
