<page title>,adjustable display angle,aspect ratio,backlight technology,brand name,brightness,builtin devices,colour support,contrast ratio,depth with stand,features,firewireilink,green compliance certificateauthority,green compliant,height,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,maximum resolution,network rj45,number of screens,operating power consumption,package contents,panel technology,platform supported,product name,product type,response time,screen mode,screen size,speakers,standby power consumption,system requirements,thunderbolt,usb,usb standard,vertical viewing angle,vesa mount compatible,webcam,weight approximate,width,adjustable display height,adjustable display pivot,depth,dvi,height with stand,mount type,product model,screen surface,standard refresh rate,vesa mount standard,vga,weight with stand approximate,certifications standards,colour,displayport,hdcp supported,hdmi,headphone,product line,maximum adjustable height,offmode power consumption,product series,swivel angle,tilt angle,number of speakers,recycled,recycled content,width with stand,sdi,sdi standard,svideo,postconsumerwaste,energy consumption per year,energy efficiency class,composite video,display orientation,country of origin,component video,horizontal frequency,packaged quantity,additional information,3d type,package type
"MC914HN/A, 4793R49, Apple, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Apple,375 cd/m²,Speaker USB Hub Microphone,16.7 Million Colours,"1,000:1",207 mm,Ambient Light Sensor Digital Daisy Chain Security Lock,Yes,ENERGY STAR 5.1,Yes,491 mm,178°,220 V AC 110 V AC,1 Year,"Apple, Inc",MC914HN/A,2560 x 1440,Yes,1.0,250 W,Thunderbolt DisplayAC Power LeadPrinted Documentation,In-plane Switching (IPS) Technology,PC Mac,Thunderbolt Display,LCD Monitor,12 ms,WQHD,"68.6 cm (27"")",Yes,2 W,"Thunderbolt-Enabled Mac computer, Including MacBook Air, MacBook Pro, Mac mini, and iMacOS X v10.6.8 or Later",Yes,Yes,USB 2.0,178°,Yes,Yes,10.80 kg,650 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VG2433-LED, B921449, ViewSonic, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Viewsonic,300 cd/m²,,,"1,000:1",204.22 mm,Eco Mode,,ENERGY STAR TCO Certified Displays 5.2,Yes,304.8 mm,170°,220 V AC 110 V AC,,Viewsonic Corporation,VG2433-LED,1920 x 1080,,1.0,22 W,,,Mac PC,VG2433-LED Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",,,,,,,160°,Yes,,3.22 kg,,Yes,Yes,56.4 mm,Yes,382.52 mm,Wall Mountable,VG2433-LED,Anti-glare,75 Hz,100 x 100,Yes,6.72 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E2470SWDA, 2866973, AOC, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,AOC,250 cd/m²,Speaker,16.7 Million Colours,"1,000:1",,i-Menu Screen+ Eco Mode e-Saver Security Lock,,RoHS ENERGY STAR 6.0 EPEAT Gold EuP,Yes,,170°,110 V AC 220 V AC,3 Year,AOC,E2470SWDA,1920 x 1080,,1.0,,"e2470Swda 61cm (24"") LED Monitor Power Cable D-Sub Cable DVI-D Cable Audio Cable Driver CD Warranty Card on CD-ROM",Twisted Nematic Film (TN Film),,"e2470Swda 61cm (24"") LED Monitor",LCD Monitor,5 ms,Full HD,"61 cm (24"")",Yes,,,,,,160°,Yes,No,,,No,No,,Yes,,Wall Mountable,e2470Swda,,60 Hz,100 x 100,Yes,,TÜV-GS ISO 9241-307 NRTL GOST FCC CE,Black,No,Yes,No,Yes,Value,,,,,,,,,,,,,,,,,,,,,,,,
"UM.WB6EE.A01, 8654T98, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Acer,250 cd/m²,,16.7 Million Colours,"100,000,000:1",,,,ENERGY STAR TCO '06,Yes,518.2 mm,178°,220 V AC 110 V AC,3 Year,"Acer, Inc",UM.WB6EE.A01,1920 x 1080,,1.0,19.50 W,B226HQL Widescreen LCD Monitor1 x VGA Cable1 x DVI CablePower Cord,Vertical Alignment (VA),,B226HQL Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"54.6 cm (21.5"")",Yes,350 mW,,,,,178°,Yes,,3.17 kg,508 mm,Yes,Yes,221 mm,Yes,,,B226HQL,Anti-glare,60 Hz,100 x 100,Yes,5.81 kg,,Dark Grey,,Yes,,,,150 mm,250 mW,B,60°,-5°to35°,,,,,,,,,,,,,,,,,,,
"LS22C45KMSV/EN, 2864335, Samsung, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Samsung,250 cd/m²,Speaker,16.7 Million Colours,"1,000:1",210 mm,MagicTune MagicAngle MagicRotation MultiScreen MagicBright3 Eco Saving Off Timer,,TCO ENERGY STAR EPEAT Gold Eco-label,,301.9 mm,170°,220 V AC 110 V AC,3 Year,Samsung,LS22C45KMSV/EN,1920 x 1080,,1.0,24 W,S22C450M Widescreen LCD MonitorD-Sub CableDVI CableAudio CablePower Cable Length: (1.5m)E-manualCD-ROMQuick Setup Guide,,PC,S22C450M Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",Yes,100 mW,,,,,160°,Yes,,3.05 kg,504.3 mm,Yes,Yes,55.5 mm,Yes,425.35 mm,Wall Mountable,S22C450M,,,100 x 100,Yes,4.50 kg,"UL: UL 60950-1CSA: CSA C22.2 No. 60950-1TUV: EN60950-1NEMKO: EN60950-1KC: K60950-1PSB: IEC60950-1GOST: IEC60950-1, EN55022SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NOM-019-SCFI-1993IRAM:IEC60950-1SASO: IEC60950-1FCC: FCC Part 15 Subpart B classACE: EN55022, EN55024VCCI: V-3 (CISPR22)KCC: KN22, KN24C-Tick: AS/NZS3548 (CISPR22)CCC:GB 9254-2008, GB 17625.1-2003, GB 4943-2001",Matte Black,No,,No,,,,,450,,,2.0,Yes,Plastic,504.30 mm,,,,,,,,,,,,,,,
"274E5QHSB/00, 2711318, Philips, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,LED,Philips,250 cd/m²,,,"20,000,000:1",,Mobile High-Definition Link (MHL),,,,,178°,,,Philips Electronics,274E5QHSB/00,1920 x 1080,,1.0,,,In-plane Switching (IPS) Technology,,274E5QHSB Widescreen LCD Monitor,LCD Monitor,7 ms,Full HD,"68.6 cm (27"")",,,,,,,178°,,,,,,,,No,,,274E5QHSB,,,,,,,Glossy Black,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
"170S6FB/05, PHITFT170S6FB05, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,,,Philips,250 cd/m²,,16.2 Million Colours,500:1,,Sync on Green Security Lock,,RoHS TCO '99 ENERGY STAR,,390 mm,160°,110 V AC 220 V AC,1 Year,Philips Electronics,170S6FB/05,1280 x 1024,,1.0,30 W,"LCD Monitor 17"" SXGA AC Power Cord VGA cable",,PC,"LCD Monitor 17"" SXGA",LCD Monitor,12 ms,SXGA,"43.2 cm (17"")",,,,,,,155°,Yes,,3.90 kg,375 mm,,,200 mm,,,,170S6FB,Anti-glare,60 Hz,100 x 100,Yes,,CE Mark E2000 EMC FCC-B UL CSA SEMKO TÜV/GS TÜV Ergo,Black,,,,,,,1 W,,,,,,,,,,,,,,,,,,,,,,
"L-W24, AGLW24, AG Neovo, LCD Monitor, Kingsfield Computer Products Ltd",Yes,,LED,AG Neovo,250 cd/m²,Speaker,16.7 Million Colours,"20,000,000:1",,,,,,395 mm,170°,,,AG Neovo Technology Corporation,L-W24,1920 x 1080,,1.0,33 W,,,,L-W24 Widescreen LCD Monitor,LCD Monitor,3 ms,Full HD,"61 cm (24"")",Yes,500 mW,,,,,160°,Yes,,4.30 kg,566 mm,,,190 mm,Yes,,Arm-mountable Wall Mountable,L-W24,Anti-glare,,100 x 100,Yes,,,,,,Yes,,,,500 mW,L,,,2.0,,,,,,,,,,,,,,,,,,
"DS32SDI, VIGDS32SDI, Vigilant Vision, Ltd, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,LED,Vigilant,450 cd/m²,Speaker,16.7 Million Colours,"6,000:1",,Picture on Picture Picture in Picture Sleep Timer,,ENERGY STAR RoHS WEEE,Yes,,176°,220 V AC 110 V AC,,"Vigilant Vision, Ltd",DS32SDI,1920 x 1080,,1.0,75 W,"32"" (16:9 ) LED Monitor Power Supply Kettle Lead VGA Cable Audio Cable User Manual Remote Control",,,"32"" (16:9 ) LED Monitor",LCD Monitor,6.50 ms,Full HD,"81.3 cm (32"")",Yes,,,,,,176°,Yes,,19.10 kg,,,,,,,Desk Mountable,DS32SDI,,75 Hz,200 x 200,Yes,,CE FCC,Black,,,Yes,,,,,,,,2.0,,,,Yes,HDSDI,Yes,,,,,,,,,,,,
"LS24D300HS/XU, 3172337, Samsung, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Samsung,250 cd/m²,,16.7 Million Colours,"1,000:1",197 mm,Off Timer Game Mode MagicAngle Eco Saving Magic Upscale,,RoHS ENERGY STAR 6.0,Yes,342.1 mm,170°,230 V AC 120 V AC,2 Year,Samsung,LS24D300HS/XU,1920 x 1080,,1.0,23 W,"24"" S24D300H Series 3 LED Monitor D-sub Cable Install CD-ROM (Manual) Quick Setup Guide",Twisted Nematic Film (TN Film),PC Mac,"24"" S24D300H Series 3 LED Monitor",LCD Monitor,2 ms,Full HD,"61 cm (24"")",No,300 mW,,,No,,160°,,,2.80 kg,569 mm,,,53.9 mm,No,417.20 mm,,S24D300H,,,,Yes,3.15 kg,,High Glossy Black,No,,Yes,No,,,,300,,-1°to20°,,,,569 mm,,,,,,,,,,,,,,,
