3d compatibility,<page title>,ac power in,aspect ratio,audio input,backlight type,bluetooth,builtin camera,builtin speakers,builtin subwoofer,cable lock slot,cables included,card reader integrated,certification,colour of product,contrast ratio dynamic,contrast ratio typical,depth,display,display brightness,display diagonal,display number of colours,display resolution,display technology,dvid ports quantity,energy efficiency class,energy star certified,ethernet lan,hd type,hdcp,hdmi ports quantity,height,height adjustment,horizontal scan range,input frequency,input voltage,manual,number of loudspeakers,number of osd languages,on screen display osd,on screen display osd languages,operating relative humidity hh,operating temperature tt,pivot,pivot angle,pixel pitch,plug and play,power consumption standby,power consumption typical,power led,quick start guide,response time,separate hv sync,storage relative humidity hh,storage temperature tt,supported graphics resolutions,supported video modes,swivel angle range,swivelling,thin client installed,tilt adjustment,tilt angle,tv tuner integrated,vertical scan range,vesa mounting interfaces compatibility,vga dsub ports quantity,viewable size horizontal,viewable size vertical,viewing angle horizontal,viewing angle vertical,wall mountable,weight,width,compatible memory cards,ethernet lan rj45 ports,full hd,headphone outputs,led backlight,microphone in,package weight,packaging depth,packaging height,packaging width,product type,rms rated power,touch sensitive screen,usb 20 ports quantity,wifi,depth with stand,dimensions w x d x h with stand,display diagonal metric,display srgb,dvi port,effective viewing area,epeat compliance,headphone out,height with stand,mac operating systems supported,mean time between failures mtbf,mobile highdefinition link mhl,nonoperating altitude,onoff switch,operating altitude,package dimensions wxdxh,pc audio in,power consumption active,power consumption max,power consumption off,syncongreen sog,weight with stand,width with stand,windows operating systems supported,digital horizontal frequency,digital vertical frequency,displayports quantity,feet colour,user guide on cdrom,viewable size diagonal,power consumption powersave,standby led,display type,display viewable area hxv,power supply type,touch screen type,touchscreen technology,compliance industry standards,led indicators,quantity,relative humidity,ac adapter included,dcin jack,usb 30 ports quantity,active display area w x h,component video ypbprycbcr in,composite video in,rohs compliance,vga dsub input ports,power consumption average,display surface,compatibility,maximum screen size compatibility,minimum screen size compatibility,number of displays supported,audio output,rotating,usb version,power cord included,dimensions wxdxh,hdmi,headphone connectivity,number of products included,color gamut,omnitapps multitouch compatibility,pictureinpicture,bezel width bottom,bezel width side,bezel width top,power requirements,camera included,linux operating systems supported,ethernet lan data rates,electromagnetic compatibility,megapixel,safety,screen format adjustments,maximum resolution,placement supported,screen saving functions,height adjustment range,maximum weight capacity,pan range,rotation,glass thickness,number of colours,rs232 ports,voltage tolerance,child lock,swivel angle,mini displayport quantity,audio system,usb required,depth max,height max,mounting interface,screen size compatibility,handheld remote control,speakers,swivel webcam,input current,volume control,builtin microphone,current rating,picture enhancement,recyclable material,hdready,connection to pc,video dot rate,native resolution,composite sync,compatible operating systems,security features,viewing angle,glossy display,common interface ci,common interface plus ci,number of simultaneous touchpoints windows 7,usb powered,maximum analog resolution,cable length,interface type,annual energy consumption
No,Iiyama ProLite B2480HS - MBE,Yes,16:9,Yes,Edge-lit LED,No,No No No,Yes Yes Yes,No No No,Kensington Kensington,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",No No,"CE, CU, TUV-GS, TCO",White White,5000000:1,1000:1,24.45 cm,LED,300 cd/mÂ²,"59.94 cm (23.6"")",16.77M,1920 x 1080 pixels,TN+Film,1.0,Unspecified,Yes,No,Full HD,Yes,1.0,55.7 cm,13 cm Yes,24 - 80 kHz,50/60 Hz,100 - 240V,Yes Yes,2 2 2,9 9,Yes Yes,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS",10 - 80%,41 - 95 Â°F 5 - 35 Â°C,Yes,0 - 90Â°,0.2715 x 0.2715 mm,Yes Yes,1W,22W,Yes Yes,Yes Yes,2 ms,Yes,5 - 85%,-20 - 60 Â°C,1920 x 1080 (HD 1080),1080p,-160 - 160Â°,Yes,No,Yes,-5 - 22Â°,No No,56 - 75 Hz,100 x 100 mm,1.0,52.128 cm,29.322 cm,170Â°,160Â°,Yes,6.1 kg,57.15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Philips Smart All-in-One S221C4AFD - MBE,,16:9,,,No,Yes Yes,Yes,,,,Yes,,Black Black,,,7.8 cm,,250 cd/mÂ²,"54.61 cm (21.5"")",,1920 x 1080 pixels,,,,,Yes,,,1.0,37.3 cm,,,,,,,,,,20 - 80%,0 - 40 Â°C,,,,,,,,,,,,-20 - 60 Â°C,,,,,,,12 - 54Â°,,,,,,,,,Yes Yes,4.76 kg,52.4 cm,SDHC,1.0,Yes,1.0,Yes,Yes,6.4 kg 6.4 kg,13.7 cm,44.6 cm,58 cm,PC PC,4W,Yes,2.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Philips LCD monitor with SmartImage lite 284E5QHAD - MBE,,16:9,,W-LED,,No No No,Yes Yes Yes,,Kensington Kensington,,,"RoHS, Lead-free, Mercury Free","Black, Cherry Black, Cherry",20000000:1,3000:1,5.4 cm,LCD,300 cd/mÂ²,"71.12 cm (28"")",16.77M,1920 x 1080 pixels,MVA,,Unspecified,Yes,,Full HD,Yes,1.0,39 cm,No,30 - 83 kHz,50/60 Hz,100 - 240V,Yes Yes,2 2 2,,Yes Yes,"CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",20 - 80%,0 - 40 Â°C,,,0.32 x 0.32 mm,Yes Yes,0.5W,,,,6.5 ms,Yes,,-20 - 60 Â°C,1920 x 1080 (HD 1080),1080p,,,No,Yes,-5 - 20Â°,No No,56 - 75 Hz,100 x 100 mm,1.0,,,176Â°,176Â°,Yes,4.21 kg,66.3 cm,,,,,,,6.6 kg 6.6 kg,11.6 cm 11.6 cm,54.2 cm 54.2 cm,71.1 cm 71.1 cm,,14W 14W 14W,,,,23.7 cm,663 x 485 x 237 mm,71.1 cm,Yes,No,619.8 x 348.6 mm 619.8 x 348.6 mm,Silver,Yes,48.5 cm,Yes Yes,30.000h 30.000h,Yes,12192m,Yes Yes,3658m,711 x 542 x 116 mm,Yes,23.18W 23.18W,23.18W,0.3W,Yes,4.73 kg,66.3 cm,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LG 22MB65PY - MBE,,16:10,,,,No No No,Yes Yes Yes,,,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",,,Black Black,5000000:1,1000:1,,LED,250 cd/mÂ²,"55.88 cm (22"")",16.77M,1680 x 1050 pixels,TN,1.0,Unspecified,Yes,,,Yes,,,Yes,,47-63 Hz,90 - 264V,Yes Yes,2 2 2,14 14,Yes Yes,,,,Yes,,0.282 x 0.282 mm,,0.4W,21W,,,5 ms,,,,,,,,No,,,No No,,,1.0,47.386 cm,29.616 cm,170Â°,160Â°,Yes,,,,,,,,,,,,,,2W 2W 2W,,1.0,,23.9 cm,,55.88 cm,,Yes,,,,37.9 cm,,,,,,,,Yes,,,0.3W,,4.7 kg,50.6 cm,,30 - 83 kHz,56 - 75 Hz,1.0,Black Black,Yes Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Iiyama ProLite XU2390HS - MBE,Yes,16:9,,,,No No No,Yes Yes Yes,,Kensington Kensington,"AC, Audio (3.5mm), DVI AC, Audio (3.5mm), DVI",,"TCO, CE, TÃœV-Bauart, VCCI-B, EAC",Black Black,5000000:1,1000:1,18 cm,LED,250 cd/mÂ²,"58.42 cm (23"")",16.77M,1920 x 1080 pixels,IPS,1.0,Unspecified,Yes,,Full HD,Yes,1.0,38.75 cm,No,,50/60 Hz,100 - 240V,,2 2 2,9 9,Yes Yes,"CHI (SIMPL), ENG, ESP, FRE, ITA, JPN, POR, RUS CHI (SIMPL), ENG, ESP, FRE, ITA, JPN, POR, RUS",,,No,,0.265 x 0.265 mm,,0.5W,24W,,Yes Yes,5 ms,Yes,,,1920 x 1080 (HD 1080),1080p,,No,No,Yes,-4 - 20Â°,No No,,100 x 100 mm,1.0,50.92 cm,28.64 cm,178Â°,178Â°,Yes,4 kg,53.25 cm,,,,,,,,,,,,4W 4W 4W,,,,,,58.42 cm,,Yes,,,,,,,,,Yes Yes,,,,,,,,,,"Windows 2000, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 95, Windows 98, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64 Windows 2000, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 95, Windows 98, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64",24 - 80 kHz,56 - 75 Hz,,,,58.42 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,HP ProDisplay P17A - MBE,,5:4,,,,No No No,No No No,,,,,,Black Black,,1000:1,5.7 cm,LCD,250 cd/mÂ²,"43.18 cm (17"")",16.77M,1280 x 1024 pixels,TN+Film,,Unspecified,Yes,,No,No,,31.66 cm,,24 - 83 kHz,50/60 Hz,100 - 240V,,,,,,,,,,0.264 x 0.264 mm,,,15.2W,,,5 ms,,,,,,,,No,Yes,-5 - 25Â°,No No,50 - 76 Hz,100 x 100 mm,1.0,33.79 cm,27.03 cm,170Â°,160Â°,Yes,3.23 kg,37.72 cm,,,,,,,,,,,,,,,,20.63 cm,,43.2 cm,,No,,,,38.72 cm,,,,,,,,,,,,,3.72 kg,37.72 cm,,,,,,,,0.5W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,AOC E970SWN LED display - MBE,Yes,16:9,,W-LED,,No No No,No No No,,Kensington Kensington,"AC, VGA AC, VGA",,"CE, FCC, GOST, RoHS, TÃœV-GS, ISO 9241-307, EuP, NRTL",Black Black,20000000:1,700:1,15.6 cm,LED,200 cd/mÂ²,"46.99 cm (18.5"")",16.77M,1366 x 768 pixels,,,Unspecified,Yes,,,No,,33.68 cm,No,30 - 60 kHz,50/60 Hz,90 - 240V,,,,,,,,No,,0.3 x 0.3 mm,,0.5W,15W,Yes Yes,,5 ms,,,,1366 x 768,,,No,No,Yes,-5 - 15Â°,No No,50 - 76 Hz,100 x 100 mm,1.0,41 cm,23 cm,90Â°,50Â°,Yes,2.15 kg,43.74 cm,,,,,,,2.8 kg 2.8 kg,,,,,,,,,,,47 cm,,No,,Silver,,,,,,,,,,,,,0.3W,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Promethean ActivTable - MBE,,16:9,,,,No,Yes Yes,,,,,"NRTL, CE, FCC, GOST, SABS NRTL, CE, FCC, GOST, SABS",,,,75.2 cm,,,"116.84 cm (46"")",,1920 x 1080 pixels,,,,,,,,,72.5 cm,,,,100 - 240V,,2 2,,,,,5 - 30 Â°C,,,,,36W,288W,,,,,,-20 - 60 Â°C,,,,,,,,,,,,,,,,No,69500g,120 cm,,1.0,Yes,4.0,,,,,,,,20W 20W,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LCD,1020 x 572 mm,AC AC,Table Table,Infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Philips LCD monitor 247E4LHAB - MBE,Yes,16:9,,W-LED,,,Yes Yes Yes,,Kensington Kensington,,,"RoHS, Lead-free, Mercury Free",Black Black,20000000:1,1000:1,3.9 cm,LED,250 cd/mÂ²,"59.94 cm (23.6"")",16.77M,1920 x 1080 pixels,LCD/TFT,,Unspecified,Yes,,Full HD,,2.0,34.8 cm,,30 - 83 kHz,50/60 Hz,100 - 240V,,2 2 2,,Yes Yes,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR",,0 - 40 Â°C,,,0.272 x 0.272 mm,Yes Yes,0.5W,17.2W,,,5 ms,Yes,,-20 - 60 Â°C,,,,,,,,,56 - 75 Hz,No,1.0,52.128 cm,29.322 cm,178Â°,170Â°,,3.16 kg,55.7 cm,,,,1.0,,,560g 560g,10.4 cm 10.4 cm,50.5 cm 50.5 cm,60.5 cm 60.5 cm,,4W 4W 4W,,,,19.3 cm,,60 cm,Yes,,,Silver,,43.4 cm,,30.000h 30.000h,,,Yes Yes,,,Yes,,,0.3W,Yes,3.44 kg,55.7 cm,,,,,,,,,,,,,,,"BSMI, CE Mark, FCC Class B, GOST, PSB, SASO, SEMKO, TCO 6.0, TUV/ISO9241-307, UL/cUL, WEEE","Operation, Stand-by Operation, Stand-by",1 1,20 - 80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,AOC i2369VM 23 Full IPS HD Backlit Monitor - MBE,,16:9,,,No,No No No,Yes Yes Yes,,Kensington Kensington,"AC, HDMI, VGA AC, HDMI, VGA",No No,"TCO Ì06
EnergyStar 6
TÃœV
ISO 9024-307
FCC
CE
NRTL
EuP
RoHS
GOST",Black Black,50000000:1,1000:1,20.4 cm,LED,250 cd/mÂ²,"58.42 cm (23"")",16.77M,1920 x 1080 pixels,IPS,,,Yes,No,Full HD,Yes,2.0,39.8 cm,No,30 - 83 kHz,50/60 Hz,90 - 240V,,,,,,,,No,,0.265 x 0.265 mm,,0.5W,25W,,,6 ms,,,,1920 x 1080 (HD 1080),,,No,No,Yes,-5 - 15Â°,No No,50 - 76 Hz,75 x 75 mm,1.0,50.976 cm,28.674 cm,178Â°,178Â°,Yes,4.98 kg,53.14 cm,,,,,,,6.65 kg 6.65 kg,,,,,,,,No,,,58.4 cm,,No,,,,,,,Yes,,,,,,,,0.5W,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
