<page title>,ac power in,aspect ratio,audio input,builtin camera,builtin speakers,cables included,certification,colour of product,contrast ratio dynamic,depth,depth with stand,display,display brightness,display diagonal,display diagonal metric,display number of colours,display resolution,display technology,dvi port,energy efficiency class,energy star certified,hd type,hdcp,height,height adjustment,height with stand,input frequency,input voltage,manual,pivot,pixel pitch,plug and play,power consumption standby,power consumption typical,power cord included,power led,response time,standby led,supported graphics resolutions,supported video modes,thin client installed,tilt angle,tv tuner integrated,vesa mounting interfaces compatibility,vga dsub ports quantity,viewing angle horizontal,viewing angle vertical,wall mountable,weight,weight with stand,width,width with stand,3d compatibility,cable lock slot,contrast ratio typical,headphone out,microphone in,package weight,rs232 ports,source datasheet,displayports quantity,dvid ports quantity,hdmi ports quantity,tilt adjustment,ac adapter included,audio output,dcin jack,mac operating systems supported,on screen display osd,packaging depth,packaging height,packaging width,quick start guide,windows operating systems supported,power consumption max,power consumption off,power consumption powersave,digital horizontal frequency,digital vertical frequency,bluetooth,epeat compliance,ethernet lan,horizontal scan range,onoff switch,quantity,screen format adjustments,swivelling,vertical scan range,wifi,hdmi,led indicators,linux operating systems supported,mean time between failures mtbf,number of products included,operating relative humidity hh,operating temperature tt,placement supported,storage relative humidity hh,storage temperature tt,viewable size horizontal,viewable size vertical,svideo inputs quantity,video dot rate,on screen display osd languages,power requirements,builtin subwoofer,headphone connectivity,number of loudspeakers,number of osd languages,pivot angle,rms rated power,separate hv sync,swivel angle range,usb 20 ports quantity,dvii ports quantity,viewable size diagonal,safety,backlight type,compliance industry standards,display srgb,feet colour,nonoperating altitude,operating altitude,pictureinpicture,usb 30 ports quantity,display viewable area hxv,pc audio in,syncongreen sog,dimensions w x d x h with stand,effective viewing area,package dimensions wxdxh,picture enhancement,volume control,maximum resolution,screen saving functions,display surface,composite video in,product type,bezel width side,analog signal format system,dimensions wxdxh,builtin microphone,card reader integrated,compatible memory cards,composite sync,mobile highdefinition link mhl,relative humidity,common interface ci,component video ypbprycbcr in,handheld remote control,common interface plus ci
Wortmann AG Terra 2212W DVI Greenline Plus - MediaShopUK,Yes,16:9,Yes,No No,Yes Yes,"Audio (3.5mm), DVI Audio (3.5mm), DVI","CE, EN 60950",Black Black,20000000:1,44 mm,220 mm,LCD,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,TN+Film,Yes,Unspecified,Yes,Full HD,Yes,314 mm,No,374 mm,50/60 Hz,100 - 240 V,Yes Yes,No,0.248 x 0.248 mm,Yes Yes,0.5 W,16 W,Yes Yes,Yes Yes,5 ms,Yes Yes,1920 x 1080 (HD 1080),"1080i, 1080p",No,0 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,2.7 kg,3 kg,508 mm,508 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung NS190 Thin Client Monitor - MediaShopUK,,16:10,,No No No,No No No,,,Black Black,,49.5 mm,227 mm,LED,250 cd/m²,"482.6 mm (19 "")",,16.77 M,1440 x 900 pixels,,,,,No,No,301.9 mm,,416.8 mm,50/60 Hz,100 - 240 V,,,,,2.7 W,35 W,,,5 ms,,1440 x 900 (WXGA+),,Yes,,No No,100 x 100 mm,1.0,170 °,160 °,Yes,4.42 kg,,443 mm,443 mm,No,No No,1000:1,1,Yes,6.22 kg,1.0,. .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wortmann AG TERRA LED 2770W - MediaShopUK,,16:9,,No No,Yes Yes,"AC, Audio (3.5mm), DVI AC, Audio (3.5mm), DVI","CE, EN 60950",Black Black,50000000:1,48 mm,200 mm,LCD,400 cd/m²,"685.8 mm (27 "")",68.6 cm,1070 M,2560 x 1440 pixels,IPS,Yes,Unspecified,Yes,Full HD,Yes,413 mm,No,475 mm,50/60 Hz,100 - 240 V,Yes Yes,No,0.2331 x 0.2331 mm,Yes Yes,0.5 W,52 W,,,6 ms,,"2048 x 1152, 2560 x 1440, 1920 x 1080 (HD 1080)",,No,0 - 20 °,No,100 x 100 mm,1.0,178 °,178 °,Yes,7.3 kg,,650 mm,650 mm,No,,,1,Yes,,,,1.0,1.0,1.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung S27C590H - MediaShopUK,,16:9,,No No No,No No No,VGA VGA,,Black Black,Mega Contrast,48 mm,190 mm,LED,300 cd/m²,"685.8 mm (27 "")",,16.77 M,1920 x 1080 pixels,,No,B,Yes,Full HD,,368.4 mm,No,461.9 mm,50/60 Hz,100 - 240 V,,,,,0.35 W,35 W,,,5 ms,,1920 x 1080 (HD 1080),,No,,No No,No,1.0,178 °,178 °,No,4.5 kg,4.9 kg,626.2 mm,626.2 mm,No,Kensington Kensington,1000:1,,,6.6 kg 6.6 kg,,. .,,,1.0,Yes,Yes Yes,Yes,Yes,Yes Yes,Yes Yes,145 mm 145 mm,443 mm 443 mm,701 mm 701 mm,Yes Yes,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS VS207DE LED display - MediaShopUK,,16:9,,No No,No No,VGA VGA,,Black Black,80000000:1,185 mm,,LED,200 cd/m²,"495.3 mm (19.5 "")",49.5 cm,16.77 M,1600 x 900 pixels,,No,Unspecified,Yes,,,355.5 mm,No,,,,Yes Yes,,0.270 x 0.270 mm,,0.5 W,16.4 W,,,5 ms,,,,No,-5 - 20 °,No,75 x 75 mm,1.0,90 °,65 °,Yes,2.59 kg,,468 mm,,No,Kensington Kensington,,,,3.99 kg,,. .,,,,Yes,,,,,,115 mm,412 mm,530 mm,Yes Yes,,16.4 W,0.5 W,0.5 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wortmann AG Terra 2230W, Greenline Plus - MediaShopUK",Yes,16:10,,No No,Yes Yes,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA","CE, CB, TUV GS, ISO 9241-307, TCO Displays 6.0","Black, Silver Black, Silver",15000000:1,52 mm,213 mm,LED,250 cd/m²,"558.8 mm (22 "")",55.9 cm,16.77 M,1680 x 1050 pixels,TN+Film,Yes,Unspecified,Yes,,Yes,343 mm,No,408 mm,50/60 Hz,100 - 240 V,Yes Yes,,0.282 x 0.282 mm,Yes Yes,0.5 W,16 W,,,5 ms,,1680 x 1050 (WSXGA+),,No,-5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,3.9 kg,,518 mm,518 mm,No,Yes Yes,,,,,,,,,,Yes,,,,,Yes Yes,,,,,Yes Yes,,,,30 - 82 kHz,56 - 76 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS VS228DE - MediaShopUK,Yes,16:9,Yes,No No,No No,"AC, VGA AC, VGA","BSMI, CB, CCC, CE, C-Tick, EK, ErP, FCC, Gost-R, J-MOSS, PSB, PSE, RoHS, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7)",Black Black,50000000:1,200 mm,,LED,200 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,,No,Unspecified,Yes,Full HD,No,386.3 mm,No,,,,,No,0.248 x 0.248 mm,Yes Yes,0.5 W,21.1 W,,,5 ms,,1920 x 1080 (HD 1080),,No,-5 - 20 °,No,100 x 100 mm,1.0,90 °,65 °,Yes,3.8 kg,,514.1 mm,,No,Yes Yes,,,,5.9 kg,,. .,,,,Yes,,No,,,,130 mm,443 mm,556 mm,Yes Yes,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64 Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64",,0.5 W,,,,No,Gold,No,30 - 80 kHz,Yes Yes,1 1,"4:3, 16:9 4:3, 16:9",No,55 - 75 Hz,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer G G236HLBbid - MediaShopUK,Yes,16:9,,No No,No No,AC AC,MPR II,Black Black,100000000:1,169.2 mm,,LED,200 cd/m²,"584.2 mm (23 "")",58.5 cm,16.77 M,1920 x 1080 pixels,TN+Film,,,Yes,Full HD,Yes,383.7 mm,No,,50/60 Hz,100 - 240 V,Yes Yes,No,0.265 x 0.265 mm,Yes Yes,0.53 W,23.9 W,,Yes Yes,5 ms,Yes Yes,1920 x 1080 (HD 1080),"1080p, 720p",No,-5 - 15 °,No,No,1.0,100 °,90 °,,2.4 kg,,548 mm,,No,,,,,,,. .,,1.0,1.0,Yes,,,,Yes Yes,,,,,Yes Yes,Yes Yes,,,,,,No,,No,30 - 80 kHz,Yes Yes,,,No,55 - 75 Hz,No,Yes Yes,Yes Yes,Yes Yes,30000 h 30000 h,1 pcs 1 pcs,0 - 40 %,10 - 80 °C,Horizontal Horizontal,5 - 90 %,-20 - 60 °C,509.8 mm,286.8 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG Neovo X-15 - MediaShopUK,,,,No No,No No,,,Black Black,,155 mm,,LCD,320 cd/m²,"381 mm (15 "")",,,1024 x 768 pixels,,,,,,,359 mm,,,,,,,0.297 x 0.297 mm,,,,,,4 ms,,,,,,No,100 x 100 mm,1.0,140 °,125 °,,4.8 kg,,380 mm,,,Kensington Kensington,3000:1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,30 - 60 kHz,,,,,56 - 75 Hz,,,,,,,,,,,,,,1.0,80 MHz 80 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wortmann AG TERRA LED 2450W - MediaShopUK,Yes,16:9,,No No,Yes Yes,,"CE, EN 60950",Black Black,15000000:1,190 mm,,,250 cd/m²,"609.6 mm (24 "")",,,1920 x 1080 pixels,,,,,Full HD,Yes,393 mm,,,,,,,0.277 x 0.277 mm,Yes Yes,1 W,20 W,,,5 ms,,,,,5 - 20 °,No,,1.0,170 °,160 °,,3.6 kg,,578 mm,,,,,1,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,30 - 80 kHz,,,"4:3, 16:9 4:3, 16:9",,55 - 75 Hz,,,,,,,,,,,,,,,,"DEU, ENG, ESP, FRE, ITA, RUS DEU, ENG, ESP, FRE, ITA, RUS","100 - 240 V, 50 - 60 Hz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
