3d compatibility,<page title>,aspect ratio,backlight type,bluetooth,builtin camera,builtin speakers,cable lock slot,certification,colour of product,compliance industry standards,contrast ratio dynamic,contrast ratio typical,depth,depth with stand,display,display brightness,display diagonal,display diagonal metric,display number of colours,display resolution,display srgb,display technology,energy efficiency class,energy star certified,epeat compliance,hd type,height,height adjustment,height with stand,horizontal scan range,input frequency,input voltage,led indicators,mac operating systems supported,mean time between failures mtbf,nonoperating altitude,number of loudspeakers,on screen display osd,on screen display osd languages,onoff switch,operating altitude,operating relative humidity hh,operating temperature tt,package weight,packaging depth,packaging height,packaging width,pivot,pivot angle,pixel pitch,plug and play,power consumption powersave,power consumption standby,power consumption typical,response time,rms rated power,separate hv sync,source datasheet,storage temperature tt,supported graphics resolutions,swivel angle range,swivelling,syncongreen sog,thin client installed,tilt adjustment,tilt angle,tv tuner integrated,usb 20 ports quantity,usb 30 ports quantity,vertical scan range,vesa mounting interfaces compatibility,vga dsub ports quantity,viewable size horizontal,viewable size vertical,viewing angle horizontal,viewing angle vertical,wall mountable,weight,weight with stand,width,width with stand,wifi,windows operating systems supported,dvid ports quantity,hdcp,relative humidity,ac power in,dvii ports quantity,headphone out,manual,standby led,storage relative humidity hh,audio input,hdmi,hdmi ports quantity,supported video modes,builtin subwoofer,cables included,card reader integrated,digital horizontal frequency,digital vertical frequency,displayports quantity,placement supported,power consumption max,power led,video dot rate,viewable size diagonal,pc audio in,power consumption off,quick start guide,number of osd languages,component video ypbprycbcr in,svideo inputs quantity,headphone connectivity,microphone in,package dimensions wxdxh,rs232 ports,dvi port,ethernet lan,pictureinpicture,dimensions w x d x h with stand,dimensions wxdxh,handheld remote control,composite sync,composite video in,power requirements,common interface ci,safety,display surface,screen format adjustments,power cord included,quantity,audio output,linux operating systems supported,dcin jack,display viewable area hxv,number of products included,screen saving functions,bezel width side,builtin microphone,feet colour,mobile highdefinition link mhl,maximum resolution,volume control,effective viewing area,compatible memory cards,analog signal format system,common interface plus ci,product type,picture enhancement,ac adapter included
No,Philips 231P4UPES - MrHighTech Shop,16:9,W-LED,No,No No,Yes Yes,Kensington Kensington,"TCO edge, RoHS","Black, Silver Black, Silver","BSMI, CE Mark, FCC Class B, GOST, PSB, SASO, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, UL/cUL, WEEE",20000000:1,1000:1,60 mm,220 mm,LED,250 cd/m²,"584.2 mm (23 "")",58.4 cm,16.77 M,1920 x 1080 pixels,Yes,LCD,Unspecified,Yes,Gold,Full HD,343 mm,Yes,515 mm,30 - 83 kHz,50/60 Hz,100 - 240 V,Yes Yes,Yes Yes,30000 h 30000 h,0 - 12192 m,2 2,Yes Yes,"CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",Yes Yes,0 - 3658 m,20 - 80 %,0 - 40 °C,7.6 kg,263 mm,400 mm,600 mm,Yes,0 - 90 °,0.265 x 0.265 mm,Yes Yes,15.3 W,0.1 W,24.2 W,5 ms,3 W 3 W,Yes,. .,-20 - 60 °C,1920 x 1080 (HD 1080),-65 - 65 °,Yes,Yes,No,Yes,-5 - 20 °,No,1.0,2.0,56 - 75 Hz,100 x 100 mm,1.0,509.18 mm,286.41 mm,170 °,160 °,Yes,3.1 kg,5.3 kg,547 mm,547 mm,No,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Viewsonic LED LCD VA1948M-LED - MrHighTech Shop,16:9,,,No No,Yes Yes,,"UL, CUL, FCC-B (ICES), CB, CE, ICES-003B, REACH SVHC List, Nemko ERGO, GOST-R + HYGIENIC, UkrSEPRO, ErP, CCC, CEL Level 1, BSMI, PSB, C-TICK, WEEE, RoHS, SASO, Ukraine, TCO 5.1, ENERGY STAR 5.0, EPEAT-Silver, Windows XP/Vista Premium, Windows 7",Black Black,,10000000:1,1000:1,38.5 mm,220 mm,,250 cd/m²,"482.6 mm (19 "")",,16.77 M,1440 x 900 pixels,,,,Yes,,No,326.6 mm,,378 mm,24 - 82 kHz,50/60 Hz,100 - 240 V,,,,,2 2,Yes Yes,,,,,0 - 40 °C,4.68 kg,453 mm,127 mm,519 mm,,,,,,,18 W,5 ms,2 W 2 W,,. .,,,,,,No,,5 - 20 °,No,,,56 - 75 Hz,100 x 100 mm,1.0,,,170 °,160 °,Yes,2.9 kg,3.2 kg,456.4 mm,256.4 mm,,,1.0,No,20 - 90 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AG Neovo SC-17 - MrHighTech Shop,4:3,,,No No,,,"UL/CUL, CB, FCC, CE, BSMI, WEEE, RoHS",Black Black,,,1000:1,164 mm,,,250 cd/m²,"431.8 mm (17 "")",,,1280 x 1024 pixels,,,,,,,372 mm,,,31 - 80 kHz,,,,,,,,,,,,10 - 85 %,0 - 40 °C,,,,,,,0.264 x 0.264 mm,,,,26 W,3 ms,2 W 2 W,,,-20 - 60 °C,,,,,,,,No,,,50 - 75 Hz,100 x 100 mm,1.0,,,160 °,160 °,,3.6 kg,,360 mm,,,,,No,,Yes,1.0,1,Yes Yes,Yes Yes,10 - 95 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Wortmann AG 55cm (21,5"")TERRA 2255W (LED,FullHD,5ms,HDMI,PV) - MrHighTech Shop",16:9,,,No No,No No,No No,,Black Black,,15000000:1,,53 mm,,LED,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,Yes,TN+Film,Unspecified,Yes,,Full HD,313 mm,No,,30 - 82 kHz,50/60 Hz,100 - 240 V,,,,,,,,Yes Yes,,,,,,,,,,0.248 x 0.248 mm,Yes Yes,,0.5 W,18 W,5 ms,,,,,1920 x 1080 (HD 1080),,,,No,,,No,,,55 - 76 Hz,100 x 100 mm,1.0,,,170 °,160 °,Yes,5 kg,,513 mm,,,,1.0,Yes,,,,,,,,Yes,Yes Yes,1.0,"1080i, 1080p, 480i, 480p, 576i, 576p, 720p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Eizo EV2336WFS-BK - MrHighTech Shop,16:9,,No,,Yes Yes,,,Black Black,,,1000:1,56 mm,245.5 mm,LED,250 cd/m²,"584.2 mm (23 "")",58 cm,16.77 M,1920 x 1080 pixels,,IPS,Unspecified,Yes,Gold,Full HD,317.5 mm,Yes,360 mm,,50/60 Hz,100 - 240 V,,,,,2 2,Yes Yes,,,,,,,,,,,,0.265 x 0.265 mm,Yes Yes,,0.3 W,160.3 W,6 ms,2 W 2 W,,,,"720 x 400, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)",-172 - 172 °,Yes,,,Yes,,,3.0,,,,1.0,510 mm,287 mm,178 °,178 °,,3.7 kg,6.3 kg,540 mm,540 mm,,,1.0,Yes,,,,1,Yes Yes,,,Yes,No No,,1080p,No No,"AC, DisplayPort, DVI AC, DisplayPort, DVI",No No,31 - 81 kHz,55 - 76 Hz,1.0,Horizontal/Vertical Horizontal/Vertical,47 W,Yes Yes,148.5 MHz 148.5 MHz,584 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS VB198TL - MrHighTech Shop,5:4,,,No No,Yes Yes,Kensington Kensington,"BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, ISO-9241-307, J-MOSS, PSB, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL",Black Black,,50000000:1,,,214 mm,LED,250 cd/m²,"482.6 mm (19 "")",48.3 cm,16.77 M,1280 x 1024 pixels,,,,Yes,,,,Yes,413 mm,53 - 80 kHz,,,,,,,2 2,,,,,,,6.4 kg,410 mm,210 mm,565 mm,Yes,,0.294 x 0.294 mm,,0.3 W,,27 W,5 ms,2 W 2 W,,. .,,1280 x 1024 (SXGA),,Yes,,No,Yes,-5 - 15 °,,,,50 - 76 Hz,100 x 100 mm,1.0,,,170 °,160 °,Yes,,4.7 kg,,466 mm,,,1.0,Yes,,,,,,,,,,,,,"DVI, VGA DVI, VGA",No No,53 - 80 kHz,50 - 76 Hz,,,,,,,Yes,0.2 W,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Benq GL955A - MrHighTech Shop,16:9,,,No No,No No,Yes Yes,,Black Black,,12000000:1,600:1,164 mm,,,200 cd/m²,"469.9 mm (18.5 "")",46.9 cm,16.77 M,1366 x 768 pixels,,TN+Film,,Yes,,No,362 mm,No,,,,,,,,,,Yes Yes,,,,,,,,,,,,0.3 x 0.3 mm,,,11 W,,5 ms,,,,,1366 ? 768,,,,No,Yes,-5 - 15 °,No,,,,100 x 100 mm,1.0,,,90 °,50 °,Yes,2.8 kg,,459 mm,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,17 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,AG Neovo X-19 - MrHighTech Shop,,,,No No,No No,Kensington Kensington,"TUV/Bauart, CB, FCC, CE, BSMI, GOST-R, WEEE, RoHS, Vista/Basic, REACH",Black Black,,,3000:1,419 mm,,LCD,250 cd/m²,"482.6 mm (19 "")",,16.77 M,1280 x 1024 pixels,,,,,,No,175 mm,,,,50/60 Hz,100 - 240 V,,,,,,,,,,10 - 90 %,0 - 40 °C,10.7 kg,520 mm,226 mm,538 mm,,,,,,2 W,48 W,3 ms,,,,-20 - 60 °C,1280 x 1024 (SXGA),,,,No,,0 - 15 °,No,,,,,1.0,,,170 °,160 °,Yes,7.9 kg,,444 mm,,,,1.0,No,,,,,Yes Yes,,5 - 95 %,,,,,,"AC, DVI, VGA AC, DVI, VGA",,30 - 80 kHz,56 - 75 Hz,,,,,,,,1 W,Yes Yes,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,ASUS VE248H - MrHighTech Shop,16:9,,,No No,Yes Yes,Kensington Kensington,"CEL, UL/cUL, CB, CE, EuP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS, WEEE, Windows Vista & Windows 7 WHQL, RoHS",Black Black,,10000000:1,1000:1,201 mm,,,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1080 pixels,,,,Yes,,Full HD,409.7 mm,,,30 - 83 kHz,,,,,,,,,,,,,,7.1 kg,175 mm,480 mm,638 mm,,,0.277 x 0.277 mm,,1 W,,35 W,2 ms,2 W 2 W,,. .,,1920 x 1080 (HD 1080),,,,No,,-5 - 20 °,No,,,50 - 76 Hz,100 x 100 mm,1.0,,,170 °,160 °,Yes,4.4 kg,,569.4 mm,,,,1.0,Yes,,,,1,,,,,,1.0,,,,,30 - 83 kHz,50 - 76 Hz,,,,,,610 mm,,,,,,,3.5 mm,Yes,638 x 175 x 480 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Samsung NS190 Thin Client Monitor - MrHighTech Shop,16:10,,,No No No,No No No,No No,,Black Black,,,1000:1,49.5 mm,227 mm,LED,250 cd/m²,"482.6 mm (19 "")",,16.77 M,1440 x 900 pixels,,,,,,No,301.9 mm,,416.8 mm,,50/60 Hz,100 - 240 V,,,,,,,,,,,,6.22 kg,,,,,,,,,2.7 W,35 W,5 ms,,,. .,,1440 x 900 (WXGA+),,,,Yes,,,No No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,4.42 kg,,443 mm,443 mm,,,,No,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
