<page title>,aspect ratio,audio,backlight,brightness,click image to enlarge,colours,contrast ratio,displayports,dvid ports,dynamic contrast ratio,ean,gross weight,hdmi ports,headphone jacks,height adjustment,horizontal viewing angle,input connector,input power source,keywords,line in jacks,manufacturer,model number,normal power consumption,package contents,package height,package length,package type,package width,pivot,pixel pitch,product code,product group,product height,product height without stand,product length,product length without stand,product name,product width,product width without stand,recommend resolution,response time,royal mail compliance,screen size,screen type,speakers,special features,standby power consumption,swivel lr,tilt angle,unit colour front,unit colour rear,unit colour stand,usb 20 downstream ports,usb 20 upstream ports,usb 30 downstream ports,usb 30 upstream ports,vertical viewing angle,vga ports,wall mount,warranty direct with manufacturer,web address,compliance,max resolution,net weight,screen features,upc,horizontal frequency range,vertical frequency range,view angle,energy star,viewable display area,unit colour,web camera,product weight,product weight without stand,audio outputs,operation environment,displayports out
"BENQ BL3200PT 32"" Wide IPS Glossy Black Multimedia Monitor (2560x1440/4ms/VGA/DVI/HDMI/DP/USB) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,2 x 5W,LED,300 cd/mÂ²,"Â£460.21
Â£552.25 inc VAT
0 Available
Due: 10/11/00",1.07 billion,3000:1,1.0,1.0,"20, 000, 000:1",4718755051326.0,15.50Kg,1.0,1.0,150mm,178Â°,USB for OSD controller,Power Lead,"Monitor, 32, 16:9, 2560x1440, 4ms, HDMI, DisplayPort, USB, Speakers, OSD, Senseye, Low Blue Light, Flicker-free, HDCP, VESA, Tilt, Pivot, High Adjustment, K Locker, CAD, CAM",1.0,BENQ,BL3200PT,97W,"Monitor, VGA lead, DVI lead, DisplayPort lead, HDMI lead, USB 3.0 lead, UK Power lead",18.5cm,84cm,Retail,68cm,90Â°,0.276mm,NEX-110566,Monitors,640.16mm,436.4mm,232.48mm,232.48mm,"BENQ BL3200PT 32"" Wide IPS Glossy Black Multimedia Monitor (2560x1440/4ms/VGA/DVI/HDMI/DP/USB)",740.28mm,740.28mm,2560 x 1440,4ms (GTG),Not Compliant,"32""",IPS,Integrated,"Large Screen Resolution, CAD/CAM Mode for Precision design, Animation Mode, OSD Controller - Viewing Adjustments in an Instant, Sleek Ergo-design, Slim Bezel for Dual monitor setup",0.5W,+45Â°/-45Â°,-5Â°/20Â°,Glossy Black,Black,Glossy Black and Silver,2.0,1.0,2.0,1.0,178Â°,1.0,VESA 100mm x 100mm,2 years on-site SWAP,www.benq.co.uk,,,,,,,,,,,,,,,,,
"ASUS PQ321QE 31.5"" Wide IGZO LED Black Multimedia UHD Monitor (3840x2160/8ms/2xHDMI/DP/RS-232C) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,2 x 2W,LED,350 cd/mÂ²,"Â£1,817.26
Â£2,180.71 inc VAT
7 Available
Available for next day delivery if ordered before 5pm",1073.7M (10bit),800:1,1.0,,,4716659486213.0,17.0Kg,2.0,,150mm,176Â°,RS-232C,Power Adapter,"Monitors, Multimedia, 4K, 31.5"", UHD, 3840x2160, IGZO, Stereo, HDMI, DisplayPort, RS-232C, Speakers, VESA, Wall Mounting, 200x200mm, Kensington lock",,ASUS,PQ321QE,93W,"Monitor, Cable Clamp, UK Power cord, Power adapter, DisplayPort cable, RS-232C conversion cable, Manual",23cm,99cm,Retail,55.8cm,,0.182mm,NEX-108753,Monitors,489mm,,256mm,,"ASUS PQ321QE 31.5"" Wide IGZO LED Black Multimedia UHD Monitor (3840x2160/8ms/2xHDMI/DP/RS-232C)",750mm,,3840 x 2160,8ms (GTG),Not Compliant,"31.5""",IGZO,Integrated,"31.5-inch 4K display with ultra-high definition (UHD) 3840 x 2160 resolution and 140 pixels per inch (PPI), Trace Free Technology, Picture-by-Picture, Anti-glare, LED-backlit IGZO display, The thinnest 4K monitor available",6W,-45Â°/45Â°,-5Â°/25Â°,Black,Black,Black and Silver,,,,,176Â°,,VESA 200mm x 200mm,3 Years On Site,www.asus.com,"FCC, ICES, RoHS, UL/cUL, WEEE, WHQL (Windows 8, Windows 7)",3840 x 2160,13.0Kg,True 4K UHD,886227486212.0,,,,,,,,,,,,
"ASUS PA238Q 23"" Wide IPS Black Monitor (1920x1080/6ms/VGA/DVI/HDMI/DisplayPort/ProArt) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,250 cd/mÂ²,"Â£205.21
Â£246.25 inc VAT
11 Available
Available for next day delivery if ordered before 5pm",16.7 Million,,1.0,1.0,"50, 000, 000:1",,8.4Kg,1.0,1.0,Yes,,,Power Lead,"Monitors, 23"", 6ms, DisplayPort, HDMI, LCD, LED, LED Backlight, IPS, Wall, Wall Mount, Widescreen, ProArt",,ASUS,PA238Q,33W,"Monitor, Quick Start Guide, Support Disk, UK Power Lead, Euro Power Lead, DisplayPort Lead, DVI Lead, VGA Lead, USB Lead",,,Retail,,Yes,0.2652mm,NEX-105054,Monitors,495.7mm,,201mm,,"ASUS PA238Q 23"" Wide IPS Black Monitor (1920x1080/6ms/VGA/DVI/HDMI/DisplayPort/ProArt)",548.8mm,,1920 x 1080,6ms (GTG),,"23""",IPS,,"IPS panel with 100% sRGB coverage and 178 wide viewing angle, Every unit is factory-calibrated for superior colour fidelity, QuickFit Virtual Scale instantly boosts design efficiency by providing real-size document, photo and grid on screen",1W,Yes,-5Â°/20Â°,Black,Black,Black,4.0,1.0,,,,1.0,VESA 100mm x 100mm,3 Years On Site,www.asus.com,"Energy Star, UL/cUL, CB, CE, ErP, FCC (Class B), CCC, BSMI, Gost-R, C-Tick, VCCI, TCO5.2, TUV-GS, TUV-Ergo, ISO-9241-307, PSB, J-MOSS, RoHS, WEEE, Windows 7 WHQL, Mac Compliance",,5.5Kg,,,24KHz - 83KHz,50Hz - 75Hz,"Horizontal: 178Â° , Vertical: 178Â°",,,,,,,,,
"ASUS VX239H-W 23"" Widescreen AH-IPS LED Black Multimedia Monitor (1920x1080/5ms/2 x HDMI/VGA) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,2 x 1W,LED,250 cd/mÂ²,"Â£137.63
Â£165.15 inc VAT
3 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,,,"80, 000, 000:1",4716659584520.0,5.70Kg,2.0,1.0,,178Â°,,Power Lead,"Monitors, AH-IPS, IPS, 1920 x 1080, 1080p, Speakers, HDMI, MHL, Ultra-slim, Edge-to-edge, Frameless",1.0,ASUS,VX239H-W,22W,"Monitor, VGA lead, Audio cable, UK Power lead, Power Adapter, Quick start guide",12.5cm,60cm,Retail,49.3cm,,0.2652mm,NEX-109300,Monitors,389.8mm,,210.1mm,,"ASUS VX239H-W 23"" Widescreen AH-IPS LED Black Multimedia Monitor (1920x1080/5ms/2 x HDMI/VGA)",532.9mm,,1920 x 1080,5ms (GTG),Not Compliant,"23""",AH-IPS,Integrated,"Superior Image Quality Meets Frameless Elegant Design, Dual HDMI/MHL ports, Built-in Stereo Speaker for Multimedia Enjoyment, ASUS exclusive VividPixel Technology, Splendid Video Intelligence Technology",0.5W,,-5Â°/20Â°,White,White,White,,,,,178Â°,1.0,,3 Years On Site,www.asus.com,"BSMI, CB, CCC, CE, CEL level 1, C-Tick, CU, ErP, FCC, RoHS, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7)",1920 x 1080,3.80Kg,,886227584529.0,30Hz - 80Hz,56Hz - 76Hz,,6.0,,,,,,,,
"AOC e2460Pq/BK 24"" Widescreen TN LED Black Multimedia Monitor (1920x1080/2ms/VGA/DVI-D/DP) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,250 cd/mÂ²,"Â£152.51
Â£183.01 inc VAT
17 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,1.0,1.0,"50, 000, 000:1",4038986144780.0,8.23Kg,,,130mm,170Â°,,Power Lead,"Monitor, 24, TN, LED, 16:9, 1920 x 1080, DVI, DisplayPort, Speaker, VESA, Height Adjustment, Pivot, Swivel, Eco, e-Saver, i-Menu, Kensington, Screen+",,AOC,E2460PQ/BK,22W,"Monitor, UK Power lead, VGA lead, DVI-D lead, Audio lead, Support Disk",18cm,69cm,Retail,42cm,Yes,0.276mm,NEX-110908,Monitors,393.6mm - 523.6mm,,243.5mm,,"AOC e2460Pq/BK 24"" Widescreen TN LED Black Multimedia Monitor (1920x1080/2ms/VGA/DVI-D/DP)",565.4mm,,1920 x 1080,2ms (GTG),Not Compliant,"24""",TN,Integrated,"-5/22 Tilt, 130 mm Height Adjustment, Display Port Input, Eco Mode, e-Saver, i-Menu, Kensington Security Lock, screen+, VESA 100 mm",0.5W,Yes,-5Â°/22Â°,Black,Black,Black,,,,,160Â°,1.0,VESA 100mm x 100mm,3 Years on site swap (UK and Ireland),www.aoc-europe.com,"CE, CU, EPEAT Gold, EuP, ISO 9241-307, RoHS, TCO 6.0, TÃV-GS, Ukrain Safety",1920 x 1080,6.38Kg,,,30KHz - 83KHz,50Hz - 76Hz,,6.0,,,,,,,,
"AOC e2250Swdnk 21.5"" Wide LED Black (1920x1080/5ms/VGA/DVI) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,200 cd/mÂ²,"Â£74.21
Â£89.05 inc VAT
180 Available
Available for next day delivery if ordered before 5pm",16.7 Million,700:1,,1.0,"20, 000, 000:1",4038986121798.0,4.06Kg,,,,90Â°,,Power Lead,"Monitors, LED, LCD, LED Backlight, 21.5"", 16:9, 5ms, Energy Star, VESA, VESA Wall Mounting, Widescreen",,AOC,E2250SWDNK,21W,"Monitor, UK Power Lead, VGA Lead, DVI Lead, Support Disk",,,Retail,,,0.248mm,NEX-106669,Monitors,379.95mm,,190mm,,"AOC e2250Swdnk 21.5"" Wide LED Black (1920x1080/5ms/VGA/DVI)",511.18mm,,1920 x 1080,5ms,Not Compliant,"21.5""",LCD,,"DCB, Eco Mode, e-Saver, i-Menu, Kensington Security Lock, Low-Power, Off Timer, Screen+",0.5W,,-5Â°/15Â°,Black,Black,Black,,,,,65Â°,1.0,VESA 75mm x 75mm,3 Years on site swap (UK and Ireland),www.aoc-europe.com,"CB, CE, FCC, GOST, ISO 9241-307, RoHS, TÃV-GS, Ukraine Safety, Win7, EPEAT Silver",1920 x 1080,3.28Kg,,,30KHz - 83KHz,50Hz - 76Hz,,5.0,,,,,,,,
"AOC e2460Sd 24"" Widescreen TN LED Black Monitor (1920 x 1080/5ms/VGA/DVI) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,250 cd/mÂ²,"Â£98.51
Â£118.21 inc VAT
27 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,,1.0,"20, 000, 000:1",4038986144742.0,5.70Kg,,,,170Â°,,Power Lead,"Monitors, 24"", LCD, LED, 16:9, 5ms, 1920x1080, DVI, Tilt, Eco, e-Saver, i-Menu, Kensington, VESA",,AOC,E2460SD,28W,"Monitor, Manual, UK Power lead, VGA lead",13cm,62cm,Retail,47cm,,0.276mm,NEX-110145,Monitors,403.05mm,,219.3mm,,"AOC e2460Sd 24"" Widescreen TN LED Black Monitor (1920 x 1080/5ms/VGA/DVI)",565.4mm,,1920 x 1080,5ms,Not Compliant,"24""",TN,,"Eco Mode, e-Saver, i-Menu, Kensington Security Lock, screen+",0.3W,,-5Â°/20Â°,Black,Black,Black,,,,,160Â°,1.0,VESA 100mm x 100mm,3 Years on site swap (UK and Ireland),www.aoc-europe.com,"CE, EPEAT Gold, EuP, GOST, ISO 9241-307, RoHS, TCO 6.0, Ukrain Safety",1920 x 1080,4.64Kg,,,30KHz - 83KHz,50Hz - 75Hz,,6.0,531.36mm x 298.89mm,,,,,,,
"ASUS VE228TR 21.5"" Widescreen LED Black Multimedia Monitor (1920x1080/5ms/VGA/DVI) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,2 x 1W,LED,250 cd/mÂ²,"Â£99.25
Â£119.10 inc VAT
32 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,,1.0,"80, 000, 000:1",4716659192367.0,5.5Kg,,,,170Â°,,Power Lead,"Monitors, LCD, LED, LED Backlight, 21.5"", 80.000.000:1, 5ms, Energy Star, Speakers, Tilt, VESA, VESA Wall Mounting, Widescreen",1.0,ASUS,VE228TR,35W,"Monitor, DVI cable, VGA cable, Audio cable, UK Power cord, Quick start guide",14.5cm,57.5cm,Retail,47cm,,0.248mm,NEX-107150,Monitors,385.96mm,305.51mm,201.82mm,56.9mm,"ASUS VE228TR 21.5"" Widescreen LED Black Multimedia Monitor (1920x1080/5ms/VGA/DVI)",512.84mm,512.84mm,1920 x 1080,5ms,Not Compliant,"21.5""",LCD,Integrated,"Full HD 1080p Support, Advanced Video Technologies for Exceptional Visuals, Splendid Video Intelligence Technology",1W,,-5Â°/20Â°,Black,Black,Black,,,,,160Â°,1.0,VESA 100mm x 100mm,3 Years On Site,www.asus.com,"CEL, UL/cUL, CB, CE, EuP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS, RoHS, WEEE, Windows Vista, Windows 7 WHQL",1920 x 1080,3.5Kg,Full HD,886227192366.0,30kHz - 83kHz,50Hz - 76Hz,,5.0,,,,,,,,
"ASUS VK278Q 27"" Wide LED Black Multimedia Monitor (1920x1080/2ms/VGA/DVI-D/HDMI/Display Port/Webcam) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,2 x 3W,LED,300 cd/mÂ²,"Â£214.80
Â£257.76 inc VAT
112 Available
Available for next day delivery if ordered before 5pm",16.7 Million,,1.0,1.0,"10, 000, 000:1",,9.8Kg,1.0,1.0,,170Â°,USB (Webcam),Power Lead,,1.0,ASUS,VK278Q,45W,"Quick Start Guide, Support CD, Power Lead, VGA Lead, DVI Lead, USB Lead",,,Retail,,,0.311mm,NEX-102854,Monitors,460mm,,220mm,,"ASUS VK278Q 27"" Wide LED Black Multimedia Monitor (1920x1080/2ms/VGA/DVI-D/HDMI/Display Port/Webcam)",643mm,,1920 x 1080,2ms (GTG),,"27""",LCD,Integrated,"Built-in 2.0M pixel webcam (rotatable), True-to-life Pictures Powered by LED, Picture in Picture - Display 2 Different Signals Simultaneously, Full HD with HDMI",2W,,-5Â°/+20Â°,Black,Black,Black,,,,,160Â°,1.0,VESA 100mm x 100mm,3 Years On Site,www.asus.com,"UL/cUL, CB, CE, EuP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, EK, J-MOSS, Taiwan Green Mark, RoHS, WEEE, Windows 7 and Vista WHQL",,6.5Kg,,,24kHz - 92kHz,50Hz - 85Hz,,,,Front: Black,2.0MP,,,,,
"AOC g2770Pqu 27"" Widescreen TN Black Monitor (1920x1080/1ms/144Hz/VGA/DVI-D/HDMI/DP) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,300 cd/mÂ²,"Â£286.09
Â£343.31 inc VAT
77 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,1.0,1.0,"80, 000, 000:1",4038986184540.0,10.29Kg,1.0,,130mm,170Â°,,Power Lead,"Monitor, 27, LED, 1ms, VGA, DVI-D, HDMI, DisplayPort, Height Adjustment, Kensington, Pivot, VESA, USB, 144Hz",,AOC,G2770PQU,,"Monitor, UK Power lead, VGA lead, DVI-D lead, Audio lead, USB lead, DisplayPort lead, Support Disk",22cm,75cm,Retail,49cm,Yes,0.311mm,NEX-110604,Monitors,556mm,,244mm,,"AOC g2770Pqu 27"" Widescreen TN Black Monitor (1920x1080/1ms/144Hz/VGA/DVI-D/HDMI/DP)",642.4mm,,1920 x 1080,1ms (GTG),Not Compliant,"27""",TN,Integrated,"130mm Height Adjustment, Ultra-smooth 144Hz refresh rate, Display Port Input, Eco Mode, e-Saver, i-Menu, Kensington Security Lock, Pivot, screen+, USB, VESA",,Yes,-5Â°/25Â°,Black,Black,Black,2.0,1.0,2.0,1.0,160Â°,1.0,VESA 100mm x 100mm,3 Years on site swap (UK and Ireland),www.aoc-europe.com,"CE, EPEAT Gold, GOST, RoHS, TCO 6.0, TÃV-GS, Ukrain Safety",1920 x 1080,,Full HD,,,,,6.0,597.89mm x 336.31mm,,,10.6Kg,,,,
