<page title>,aspect ratio,backlight technology,brightness,cables included,colour,colour support,compliant standards,contrast ratio,description technical detail,diagonal size,dimensions weight details,dimensions wxdxh,display position adjustments,display type,energy star qualified,features,flat panel mount interface,horizontal viewing angle,interfaces,localisation,manufacturer,manufacturer part,native resolution,panel type,power consumption operational,power consumption sleep,power consumption stand by,response time,tilt angle,vertical viewing angle,voltage required,weight,device type,environmental standards,height adjustment,horizontal refresh rate,humidity range operating,image colour disclaimer,input connectors,manufacturer warranty,max operating temperature,min operating temperature,pixel per inch,pixel pitch,product description,service support,service support details,vertical refresh rate,viewable size,backlight life,builtin devices,controls adjustments,included software,power supply,rotation angle,screen coating,swivel angle,colour temperature,included accessories,os required,output power channel,type,active screen area,backlight type,brightness maximum,brightness typical,contrast ratio typical,displayable colors,net with stand,net without stand,orientation,panel technology,pixels per inch,refresh rate,response timegray to gray,viewable image size,viewing angle,connector type,depth,diagonal size cm,dimensions,display format,enclosure colour,energy star version,hdmi ports qty,height,image aspect ratio,image contrast ratio,input video formats,lcd backlight technology,lcd display technology,output power total,pc interface,product type,remote control,resolution,speaker system,speakers,supported computer resolutions,supported pictures formats,targeting,technology,tv tuner,usb port,video interface,viewing angle vertical,width,compatible with windows 7,epeat compliant,movement detection technology,energy class,colour depth,dimensions w x h x d,dot pitch,horizontal frequency,native maximum resolution,power consumption,vertical frequency,viewable area,viewing angle leftright updown,power consumption stand by sleep,analogue video signal,display positions adjustments,dot pitch pixel pitch,form factor,image brightness,image max hview angle,image max vview angle,max sync rate v x h,osd languages,signal input,video bandwidth,microsoft certification,mounting kit,mtbf,expansion slots,external speakers amplifier power total,max hsync rate,max vsync rate,nominal voltage,power,sound output mode,stand,analogue video input signals,hdcp compatible,power device,series,max resolution,certified for windows vista,video wall components qty,connectivity,lan protocol,combined with,colour temperature control,motion enhancement technology,brightness wtouchscreen,supported windows 7 features,depth shipping,height shipping,weight shipping,width shipping
V246HLbd 24  VGA DVI UM.FV6EE.001 ACER,Widescreen - 16:9 Widescreen,LED backlight,250 cd/m2,1 x VGA cable,Black,16.7 million colours,TCO Displays 6.0,100000000:1 (dynamic),"Acer V246HLbd 24 LED VGA DVI Monitor
Everyday series monitors give you the beauty you appreciate and the value you need. They showcase captivating widescreen visuals as well as eco-conscious features, making them perfect for enjoying marvelous multimedia at home or in your office, studio or study.","24""",Without stand - width: 56.7 cm - depth: 5.2 cm - height: 33.59 cm - weight: 3.5 kg,56.7 cm x 20.68 cm x 42.22 cm - with stand,Tilt,LED-backlit LCD monitor / TFT active matrix,Yes,"HDCP, Acer EcoDisplay",100 x 100 mm,170,VGA Â¦ DVI,"United Kingdom, Europe, EMEA",ACER,UM.FV6EE.001,FullHD 1920 x 1080 1920 x 1080,TN,20.9 Watt,350 mW,450 mW,5 ms,-5/+25,160,AC 120/230 V,3.9 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEC-60003682-NEC MultiSync E243WMI-WH - 23.8"" - LED-Backlit LCD Monitor",Widescreen - 16:9 Widescreen - 16:9,WLED,250 cd/m2 250 cd/m2,1 x VGA cable ¦ 1 x DVI cable ¦ 1 x audio cable,White White,16.7 million colours 16.7 million colours,"DDC-2B, VESA DPMS, DDC/CI, RoHS, ISO 9241-307, TCO Displays 6.0 DDC-2B, VESA DPMS, DDC/CI, RoHS, ISO 9241-307, TCO Displays 6.0",1000:1 / 25000:1 (dynamic) 1000:1 / 25000:1 (dynamic),"NEC MultiSync E243WMI-WH - 23.8"" - LED-backlit LCD Monitor
The 24"" NEC MultiSync E243WMi is an LED-backlit desktop monitor ideal for corporate environments. Designed to enhance work performance, this widescreen model features AH-IPS panel technology with wide viewing angles and full ergonomic adjustability. The LED backlighting of the E243WMi allows for a slimmer profile, lighter weight and increased power savings compared to previous generation models. This 16:9, Full HD display also features a comprehensive input panel, including DisplayPort, DVI-D and VGA connecting users to the latest peripherals and future-proofs the investment. Integrated multimedia speakers enhance the user's experience.","23.8""",Without stand - width: 55.78 cm - depth: 5.85 cm - height: 33.14 cm - weight: 4.3 kg ¦ With stand - width: 55.78 cm - depth: 21.39 cm - height: 37.96 cm - weight: 6.3 kg,55.78 cm x 21.39 cm x 37.96 cm - with stand 55.78 cm x 21.39 cm x 37.96 cm - with stand,"Height, pivot (rotation), swivel, tilt Height, pivot (rotation), swivel, tilt",LED-backlit LCD monitor / TFT active matrix,Yes,"Cable organizer Ambient light sensor, XtraView, AccuColor Control Systems, Rapid Response, No Touch Auto Adjust, Ambix, Intelligent Power Manager (IPM), HDCP, Eco-Mode, Dynamic Visual Mode, OSD lock, Touch-sensitive OSD, Carbon Footprint Meter, NaViSet Administrator 2",100 x 100 mm,178,DisplayPort ¦ DVI-D ¦ VGA ( HD-15 ) ¦ Headphones ¦ Audio line-in,,NEC,60003682,FullHD 1920 x 1080 FullHD 1920 x 1080,IPS IPS,19 Watt,,0.4 Watt,6 ms 6 ms,,178,,6.3 kg 6.3 kg,"LED-backlit LCD monitor - 23.8""",ENERGY STAR Qualified,110 mm,31.5 - 81.1 kHz,20 - 80%,The image of the product displayed may be of a different colour,"DVI-D, VGA, DisplayPort",3 years warranty,35 °C,5 °C,93 ppi,0.28 mm 0.28 mm,"NEC MultiSync E243WMI-WH - LED monitor - 23.8""",3 years warranty,Limited warranty - parts and labour - 3 years ¦ Limited warranty - backlight - 3 years,56 - 76 Hz,"23.8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ViewSonic VP2772 27"" 2560x1440 6ms DVI-D HDMI Display Port LED Monitor",Widescreen - 16:9 Widescreen,WLED,350 cd/m2,1 x DisplayPort cable Â¦ 1 x HDMI cable Â¦ 1 x DVI cable Â¦ 1 x SuperSpeed USB cable,Black,,"FCC Class B certified, UL, C-Tick, BSMI, cUL, ICES-003, NOM, TUV S, CB, CCC, PSB, RoHS, WEEE, GOST-R, REACH, UkrSEPRO, ERP, CECP, CEL, TCO Displays 6.0",1000:1 / 20000000:1 (dynamic),"ViewSonic VP2772 27"" DVI-D HDMI Display Port Ultra-High Resolution LED Monitor
ViewSonics VP2772 is a 27"" ultra-high resolution display with 2560 x 1440 QHD resolution and 10-bit color. Covering 99% of the Adobe RGB color space, the VP2772 meets the high color standards of photographers, graphic designers, video editors, print departments, and other design professionals. With its advanced 12-bit color engine and 14-bit LUT, the VP2772 smoothly processes, grades, and renders 68.7 billion colors to create stunning images with rich depth and detail. Equipped with dual DisplayPort inputs and one DisplayPort output, it allows one image source to be shown simultaneously on multiple daisy-chained displays without any difference in color. In addition, HDMI and DVI inputs, and four USB 3.0 ports let users connect with multimedia and storage devices. The VP2772 is also ergonomically designed with tilt, pivot, swivel and height adjustments to create a more comfortable and efficient working environment. The ViewSonic VP2772 is the ultimate professional grade display for the most demanding color-critical applications.","27""",Without stand - width: 64.26 cm - depth: 5.6 cm - height: 38.1 cm - weight: 5.5 kg Â¦ With stand - width: 64.26 cm - depth: 34.8 cm - height: 46.48 cm - weight: 8.5 kg,64.26 cm x 34.8 cm x 46.48 cm - with stand - with stand,"Height, pivot (rotation), swivel, tilt",LED-backlit LCD monitor / TFT active matrix,Yes,"HDCP, SuperClear, Eco-Mode, 14-bit gamma, 99% Adobe RGB colour gamut",100 x 100 mm,178,HDMI ( HDCP ) Â¦ DVI-D (dual link) ( HDCP ) Â¦ DisplayPort Â¦ Mini DisplayPort Â¦ 4 x USB 3.0 downstream Â¦ USB 3.0 upstream Â¦ Audio line-in Â¦ Headphones Â¦ DisplayPort output,,Viewsonic,VP2772,QHD 2560 x 1440 2560 x 1440,IPS,65 Watt,,,6 ms 12 ms,-5/+23,178,AC 120/230 V AC 120/230 V ( 50 - 60 Hz ),8.5 kg,,,150 mm,24 - 92 kHz,,,,,40 Â°C,0 Â°C,,,,3 years warranty,Limited warranty - parts and labour - 3 years Â¦ Limited warranty - backlight - 3 years,50 - 75 Hz,,"30,000 hours",USB Hub,"Brightness, contrast, colour balance, input select",ViewSonic Wizard,External,90.0,"Anti-glare, 3H Hard Coating",120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VG2437MC-LED 24 webcam h/a dvi VG2437MC-LED Viewsonic,Widescreen - 16:9,WLED,300 cd/m2,1 x VGA cable Â¦ 1 x DVI cable Â¦ 1 x audio cable Â¦ 1 x USB cable Â¦ 1 x microphone cable,,,"FCC Class B certified, UL, cUL, RoHS, WEEE",1000:1 / 20000000:1 (dynamic),"Viewsonic VG2437MC-LED 23.6 Full HD DVI Display Port Height Adjust Monitor
The ViewSonicVG2437mc-LED Full HD ergonomic display is the ideal video conferencing solution with integrated 2-megapixel webcam, MIC and speakers. The 1080p LED panel provides an incredibly sharp picture and stunning video playback in full HD with a 20000000: 1 MEGA Dynamic contrast ratio. It is easy and flexible connectivity with DisplayPort, DVI, VGA, and 2-port USB hub for transferring files and attaching peripherals. The VG2437mc-LED is perfect for any workplace or classroom environment, with a highly ergonomic design engineered to maximize comfort and productivity.","24""",With stand - 55.68 cm x 23.96 cm x 45.09 cm x 5.2 kg Â¦ Without stand - 55.68 cm x 6.05 cm x 34.03 cm x 3.7 kg With stand - width: 55.68 cm - depth: 23.96 cm - height: 45.09 cm - weight: 5.2 kg Â¦ Without stand - width: 55.68 cm - depth: 6.05 cm - height: 34.03 cm - weight: 3.7 kg,55.68 cm x 23.96 cm x 45.09 cm - with stand,"Height, pivot (rotation), swivel, tilt",LED-backlit LCD monitor / TFT active matrix,Yes,"sRGB colour management, Eco-Mode Security lock slot (cable lock sold separately)",100 x 100 mm,170,VGA Â¦ DVI-D ( HDCP ) Â¦ DisplayPort Â¦ USB 2.0 upstream Â¦ 2 x USB 2.0 downstream Â¦ Audio line-in Â¦ Microphone Â¦ Headphones Â¦ Audio line-out,,Viewsonic,VG2437MC-LED,FullHD 1920 x 1080 at 60 Hz,,24.5 Watt,,,5 ms,-5/+20,160,AC 120/230 V ( 50/60 Hz ),5.2 kg,,,135 mm,24 - 82 kHz,10 - 90% (non-condensing),,,,40 Â°C,0 Â°C,,,,3 years warranty,Limited warranty - parts and labour - 3 years Â¦ Limited warranty - backlight - 3 years,50 - 75 Hz,"23.6""","50,000 hours","USB Hub, 2.0 megapixel camera","Mute, volume, brightness, contrast, H/V position, sharpness, input select, colour temperature, H-size, aspect control",ViewSonic Wizard,Internal,90.0,"Anti-glare, hard coating",360,"9300K, 5000K, 6500K, 7500K",Stand,"Apple MacOS X, Microsoft Windows Vista / 7 / 8",2 Watt,Camera Speakers - stereo - integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Competitive Priced NEC V422 MultiSync 42 inch LCD Public Display Panel,16:09,,,,,,,,,,,,,,,,,,,,NEC,V422,1920 x 1080,,,,,,,,,,,,,,,,,,,,,0.48mm,,,,,,,,,,,,,,,,,,,36.6 x 20.6 in. / 930.2 x 523.3mm,CCFL,500cd/m2,370cd/m2,1300:01:00,More than 16.7 million,52.5 lbs. / 23.8 kg 40.3 x 25.6 x 13 / 1022.9 x 651.2 x 330mm,48.5 lbs. / 22 kg 40.3 x 24.2 x 4.2 in. / 1022.9 x 613.5 x 105.6mm,Landscape/Portrait,S-IPS,52@ native resolution,60Hz,10ms,"42""","178° Vert., 178° Hor. (89U/89D/89L/89R) @ CR>10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Purchase the E424, NEC E424 Display Solutions, NEC Displays MultiSync E424 (42 inch) Edge LED Backlit LCD Display here at odsi.co.uk",,,350 cd/m2,VGA cable,Black,,"FCC Class B certified, CSA, UL, C-Tick, cUL, VESA DPMS, VESA FDMI, PSB, RoHS",,"NEC LCD E424 42 Inch PC Monitor Display
NEC LCD E424 42 Inch Display Monitor is best product with smart panel and simplified controls, delivers all required for digital signage.
Product Overview
The NEC LCD E424 42 Inch LED Edge Lit TV Display Monitor is reliable commercial grade and ideal for education, business, public display, video conferencing and boardroom with a brilliant resolution. This is most advanced and reliable LCD product compared to prior generation displays that combined with innovative technologies like Edge-Lit LED backlighting that facilitates for decreased power spending, a classy thinner depth, a smaller bezel and very light weight. The NEC LCD E424 TV 42 Inch PC Monitor is full HD resolution transports spectacular image class for a variety of satisfied, and the incorporated tuner and speakers facilitates customers to take pleasure in high definition broadcast abilities. This highly admired display can be observed remotely with the RS-232C networking attribute that also offers users the capability to synchronize manifold displays, remotely power on and off and lock out outer buttons to avoid unnecessary changes in the display setting.
Key Features
LED Backlighting Technology
IPM (Intelligent Power Manager) system capability
Enhanced Thinner Bezel
Compact Packaging helps reduce waste and shipping cost
USB Media Player (allow users to view JPG images)
Built in NTSC/ATSC Digital Tuner
Carbon Footprint Meter Capability (Environment Friendly)
Included DisplayNote NEC Edition Licences
NaViSetAdministrotor2 Capability with software solution
Resolution (native) 1920x1080","42"" 42""",,95.7 cm x 6.3 cm x 57.3 cm - without stand,,,Yes,,400 x 400 mm,,,,NEC,E424,,,86 Watt 86 Watt,,0.5 Watt,6.5 ms,,,,12.1 kg 12.1 kg,,ENERGY STAR Qualified,,,10 - 80%,,,3 years warranty,40 °C,0 °C,,,"NEC MultiSync E424 - 42"" LED-backlit LCD flat panel display",3 years warranty,Limited warranty - 3 years ¦ Limited warranty - backlight - 3 years,,,,,,,,,,,,,,,Remote control,,,,,,,,,,,,,,,176 degrees,1 x VGA input ( 15 PIN HD D-Sub (HD-15) ) ¦ 3 x HDMI ( 19 pin HDMI Type A ) ¦ 1 x digital audio output (optical) ( TOS Link ) ¦ 1 x serial ( 9 PIN D-Sub ) ¦ 1 x USB ( 4 PIN USB Type A ) ¦ 1 x composite video / component video input ( RCA phono x 3 ) ¦ 1 x audio input ( mini-phone stereo 3.5 mm ) ¦ 1 x audio input ( RCA phono x 2 ),6.3 cm,107 cm 107 cm,Without stand,1080p (FullHD) 1080p (FullHD),Black,6.0,3 port(s) 3 port(s),57.3 cm,16:9 16:9,3000:1,"1080/24p, 1080/60i, 480/60p, 720/60p, 1080/60p, 1080/30p, 480/60i 1080/24p, 1080/60i, 480/60p, 720/60p, 1080/60p, 1080/30p, 480/60i",LED backlight - edge-lit LED backlight - edge-lit,S-PVA,20 Watt,VGA (HD-15) VGA (HD-15),LED-backlit LCD flat panel display LED-backlit LCD flat panel display,Remote control,1920 x 1080 1920 x 1080,2 speakers 2 speakers,2 x main channel speaker - built-in - 10 Watt,"1366 x 768, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 720, 720 x 400, 1920 x 1080, 1280 x 800",JPG,Commercial usage Commercial usage,S-PVA,No tuner No tuner,"Yes , 1 port(s) Yes , 1 port(s)","Component, composite, HDMI Component, composite, HDMI",176 degrees,95.7 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TD2340 23 TOUCH MM IPS HD DP TD2340 Viewsonic,Widescreen,WLED,250 cd/m2,1 x audio cable Â¦ 1 x VGA cable Â¦ 1 x HDMI cable Â¦ 1 x DisplayPort cable Â¦ 1 x USB cable,,,"FCC Class B certified, UL, C-Tick, BSMI, cUL, ICES-003, SASO, CB, CCC, DOC, PSB, RoHS, WEEE, GOST-R, REACH, UkrSEPRO, TCO Displays 5.2, KC, TUV Nord, ERP, CEL FCC Class B certified, UL, C-Tick, BSMI, cUL, ICES-003, SASO, CB, CCC, PSB, RoHS, WEEE, GOST-R, UkrSEPRO, TCO Displays 5.2, KC, ERP, CEL",1000:1 / 20000000:1 (dynamic),"ViewSonic TD2340 23 inch 10 Point Widescreen Multi Touch IPS Monitor
Exceptional interactivity comes standard in the ViewSonic TD2340, the 23"" 10-point multi-touch monitor with 1920 x 1080 Full HD resolution, and projected capacitive touch technology delivering seamless and accurate touch response. Experience stunning color performance with IPS technology and a 20,000,000:1 MEGA dynamic contrast ratio. Integrated speakers with SRS premium sound provide a complete multimedia package. DisplayPort, HDMI, VGA inputs provide flexible and convenient connectivity. Advanced dual hinge stand design ensures outstanding ergonomic comfort and productivity. The TD2340 is fully USB HID compliant. It is the gateway to the new world of interactivity.","23""",With stand - width: 57.66 cm - depth: 32.45 cm - height: 45.38 cm - weight: 9.2 kg Â¦ Without stand - width: 57.66 cm - depth: 6.65 cm - height: 45.38 cm - weight: 6.6 kg With stand - 57.66 cm x 32.45 cm x 45.38 cm x 9.2 kg Â¦ Without stand - 57.66 cm x 6.65 cm x 45.38 cm x 6.6 kg,57.66 cm x 32.45 cm x 45.38 cm - with stand,"Pivot (rotation), tilt",LED-backlit LCD monitor / TFT active matrix,Yes,"sRGB colour management, Eco-Mode, SRS Premium Sound, Mega Dynamic Contrast Ratio, 10-point multi-touch Security lock slot (cable lock sold separately), multi-position stand sRGB colour management, Eco-Mode, SRS Premium Sound, Mega Dynamic Contrast Ratio, 10-point multi-touch, Projected Capacitive Touch (PCT) technology",100 x 100 mm,178,HDMI Â¦ VGA Â¦ DisplayPort Â¦ USB upstream ( Type B ) Â¦ 2 x USB downstream ( Type A ) Â¦ Audio line-in Â¦ Headphones,,Viewsonic,TD2340,FullHD 1920 x 1080,IPS,45 Watt,,,7 ms,-5/+50,178,AC 120/230 V ( 50/60 Hz ),9.2 kg,,,,24 - 83 kHz,20 - 90% (non-condensing),,,,40 Â°C,0 Â°C,,,,3 years warranty,Limited warranty - parts and labour - 3 years Â¦ Limited warranty - backlight - 3 years,50 - 76 Hz,"23""","30,000 hours",USB Hub,"Mute, volume, brightness, contrast, H/V position, sharpness, colour balance, input select, colour temperature, H-size, aspect control",ViewSonic Wizard,Internal,90.0,"7H Hard Coating Anti-glare, 7H Hard Coating",,,,"Microsoft Windows 7, Windows 8 Windows 8",2 Watt,Speakers - stereo - integrated Touch-screen - Multi-Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Compatible with Windows 7"" software and devices carry Microsoftâ€™s assurance that these products have passed tests for compatibility and reliability with 32-bit and 64-bit Windows 7.",EPEAT Gold,Projected capacitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEC 60003419 MultiSync P242W-BK - 24"" - LCD Monitor",Widescreen Widescreen,WLED,350 cd/m2 350 cd/m2,1 x DisplayPort cable ¦ 1 x VGA cable ¦ 1 x DVI cable - DVI-D to DVI-D,Black Black,16.8 million colours 16.8 million colours,"FCC Class B certified, MPR II, CSA, UL, TUV GS, C-Tick, GOST, cUL, DDC-2B, MPR III, PCBC, PCT, VESA EDID, CCC, TUV Ergo, PSB, DDC/CI, RoHS, ISO 9241-307, WEEE, ERP, TCO Displays 6.0 FCC Class B certified, MPR II, CSA, UL, TUV GS, C-Tick, GOST, cUL, DDC-2B, MPR III, PCBC, PCT, VESA EDID, CCC, TUV Ergo, PSB, DDC/CI, RoHS, ISO 9241-307, WEEE, ERP, TCO Displays 6.0",1000:1 1000:1,"NEC MultiSync P242W-BK - 24"" - LCD Monitor
Tackle your graphics projects with confidence using the LED-backlit P242W, a 24Â widescreen monitor that is ideal for web, high-end desktop and photography applications. This model utilizes an AH-IPS panel for great imaging performance.
Offering 99.6% coverage of sRGB color gamut and 75.2% of NTSC, the P242W provides professional-grade benefits, such as an internal 14-bit 3D programmable lookup tables (LUTs), DisplayPort connectivity and built-in USB hub, at a budget-friendly price.
AH-IPS LCD panel with 99.6% coverage of sRGB color space
Superior screen performance (1000:1 contrast ratio, 1920 x 1200 native resolution, 350 cd/mÂ² brightness)
Supports internal programmable 14-bit 3D lookup tables (LUTs) for calibration
3-port USB hub with DisplaySync ProTM controls two computers with only one keyboard and mouse
Five programmable Picture Mode profiles for quick access to multiple color spaces
Picture in Picture and Picture by Picturemodes increase productivity by displaying two sources simultaneously
Wide connectivity includes DisplayPort, VGA, HDMI and DVI-D inputs
NaViSet Administrator 2: Free software solution that greatly eases administration and management of larger display device installations","24.1""",Without stand - width: 55.68 cm - depth: 8.5 cm - height: 36.24 cm - weight: 7.4 kg ¦ With stand - width: 55.68 cm - depth: 22.76 cm - height: 37.8 cm - weight: 10.1 kg,55.68 cm x 22.76 cm x 37.8 cm - with stand 55.68 cm x 22.76 cm x 37.8 cm - with stand,"Height, pivot (rotation), swivel, tilt Height, pivot (rotation), swivel, tilt",LED-backlit LCD monitor / TFT active matrix,,"Security lock slot (cable lock sold separately), cable organizer Ambient light sensor, OmniColor, CableComp, Rapid Response, Advanced No Touch Auto Adjust, Intelligent Power Manager (IPM), sRGB colour management, TileMatrix, NaViSet, ColorComp, AmbiBright, Eco-Mode, Overdrive technology, DICOM calibrated, TileComp, RapidMotion, OSD lock, 75% Adobe RGB colour gamut, NaViSet Administrator, automatic black level adjustment, Carbon Footprint Meter, TORO Design","100 x 100 mm, 200 x 100 mm",178,DVI-D ¦ HDMI ¦ DisplayPort ¦ VGA ¦ 2 x USB 2.0 upstream ¦ 3 x USB 2.0 downstream,,NEC,60003419,1920 x 1200 at 60 Hz 1920 x 1200 at 60 Hz,IPS IPS,,,1 Watt,16 ms (tr - tf); 8 ms (grey-to-grey) 16 ms (tr - tf); 8 ms (grey-to-grey),-5/+35,178,AC 120/230 V,10.1 kg 10.1 kg,"LED-backlit LCD monitor - 24.1""",,150 mm,31.5 - 118.4 kHz,30 - 80%,,"HDMI, DVI-D, VGA, DisplayPort",3 years warranty,35 °C,5 °C,,0.27 mm 0.27 mm,"NEC MultiSync P242W - LED monitor - 24.1""",3 years warranty,Limited warranty - 3 years ¦ Limited warranty - backlight - 3 years,50 - 85 Hz,,,USB Hub USB Hub,"Brightness, contrast, sharpness, colour temperature, black level",,Internal,90.0,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp LL-S201A - 20-inch-class touchscreen LCD Monitor,Widescreen - 16:9,Edge-lit,250 cd/m2,1 x USB cable,,16.7 million colours,DDC-2B,3000:1,"Sharp 20-inch-class touchscreen LCD Monitor
This 20-inch-class touchscreen LCD panel delivers Full HD resolution with performance-enhancing UV2A technology. Its touch screen provides extremely quick response for writing and touch gestures. When connected to a device running Windows 8, the monitor serves as a beautifully intuitive interface.","20""",Without stand - width: 46.38 cm - depth: 2.52 cm - height: 27.48 cm - weight: 2.3 kg Â¦ With stand - weight: 2.9 kg,46.38 cm x 2.52 cm x 27.48 cm - without stand,,LED-backlit LCD monitor / TFT active matrix,,"Portrait / landscape mode HDCP, Mobile High-Definition Link (MHL), 10-point multi-touch, UV 2 A technology",100 x 100 mm,178,DisplayPort Â¦ HDMI Â¦ USB Â¦ Headphones,,Sharp,LL-S201A,FullHD 1920 x 1080,,35 Watt,,0.5 Watt,5 ms (grey-to-grey),,178,AC 120/230 V ( 50/60 Hz ),2.3 kg,,,,,,,,,35 Â°C,0 Â°C,,0.225 mm,,,,,"19.5""",,Stereo speakers,,Drivers & Utilities,External,,,,,"Digital pen, stand","Microsoft Windows XP, Microsoft Windows 7, Microsoft Windows Vista, Windows 8",1 Watt,Speakers - stereo - integrated Multi-Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Widescreen - 16:9 Widescreen - 16:9,GB-r LED,350 cd/m2 350 cd/m2,1 x DisplayPort cable ¦ 1 x DVI cable,,1.07 billion colours 1.07 billion colours,"Plug and Play, FCC Class B certified, MPR II, CSA, UL, TUV GS, C-Tick, cUL, DDC-2B, DDC-2Bi, MPR III, PCBC, VESA EDID, CCC, TUV Ergo, PSB, DDC/CI, RoHS, ISO 9241-307, ERP, EAC Plug and Play, FCC Class B certified, MPR II, CSA, UL, TUV GS, C-Tick, cUL, DDC-2B, DDC-2Bi, MPR III, PCBC, VESA EDID, CCC, TUV Ergo, PSB, DDC/CI, RoHS, ISO 9241-307, ERP, EAC",1000:1 1000:1,"NEC SpectraView Reference 272 - 27"" - LED-backlit LCD Monitor
The NEC SpectraView Reference 272 is a high-end professional performance LCD monitor using latest 10-bit AH-IPS with GB-R LED backlight for color critical applications with many features and benefits for obtaining best picture quality and colour accuracy, whilst maintaining attractive value for money. The ideal display for all creative professionals, designers, photographers, precision engineers and anyone who cannot accept compromise on colour accuracy.","27""",,64.04 cm x 23.55 cm x 39.62 cm 64.04 cm x 23.55 cm x 39.62 cm,"Height, swivel, tilt Height, swivel, tilt",LED-backlit LCD monitor / TFT active matrix,,"Picture in picture, ambient light sensor, OmniColor, CableComp, Rapid Response, AutoBright, ErgoDesign, Intelligent Power Manager (IPM), TileMatrix, ColorComp, AmbiBright, Eco-Mode, Overdrive technology, Auto Brightness Control, 14-bit gamma, TileComp, RapidMotion, Auto Contrast, Digital Uniformity Control (DUC), integrated cable management, automatic black level adjustment, Carbon Footprint Meter, Carbon Savings Meter, TORO Design, 14-bit lookup table, 108.6% Adobe RGB colour gamut, 99.3% Adobe RGB colour gamut, adjustable LED power indicator, Backlight Ageing Correction, Direct Brightness and Contrast, GammaComp, NaViSet Administrator 2, 3D LUT Security lock slot (cable lock sold separately)","100 x 100 mm, 200 x 100 mm",178,DVI-D ¦ DisplayPort ¦ HDMI ¦ Mini DisplayPort ¦ 2 x USB upstream ¦ 3 x USB downstream,,NEC,60003545,2560 x 1440 at 60 Hz 2560 x 1440 at 60 Hz,AH-IPS AH-IPS,73 Watt,,,7 ms (grey-to-grey) 7 ms (grey-to-grey),-5/+30,178,AC 120/230 V,12.9 kg 12.9 kg,"LED-backlit LCD monitor - 27""",,150 mm,31.5 - 96.5 kHz,20 - 80%,,"HDMI, DVI-D, DisplayPort, Mini DisplayPort",5 years warranty,35 °C,5 °C,,0.233 mm 0.233 mm,"NEC SpectraView Reference 272 - LED monitor - 27""",5 years warranty,Limited warranty - 5 years ¦ Limited warranty - LCD panel - 6 months,50 - 85 Hz,"27""",,USB Hub USB Hub,"Brightness, contrast, sharpness, colour temperature, black level","Drivers & Utilities, SpectraView Profiler software",Internal,,,90,,Detachable hood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
