<page title>,brand name,contrast ratio,diagonal screen size,dimensions,ecolabel,hd compatible,horizontal viewable angle,integrated speakers,item,manufacturer,manufacturer,maximum resolution,model name,monitor brightness,monitor color,native resolution,pixel pitch,signal input type,tv tuner,typical response time,viewable image size,wall mountable,warranty length,aspect ratio,backlight technology,brightness,depth,display orientation,height,input voltage,number of screens,platform supported,product line,product name,product type,screen size,vesa mount compatible,vesa mount standard,vga,weight,width,postconsumer recycled content,screen type,total recycled content,touchscreen type,builtin devices,color,color supported,depth with stand,dvi,height with stand,mount type,response time,screen mode,speakers,standard refresh rate,vertical viewing angle,viewing angle,weight with stand approximate,width with stand,features,offmode power consumption,operating power consumption,standby power consumption,touchscreen,usb,adjustable display angle,adjustable display height,adjustable display pivot,assembly required,country of origin,displayport,product series,quantity,recycled,certifications standards,hdcp supported,hdmi,multitouch screen,number of speakers,headphone jack,screen surface,panel technology,usb standard,webcam,antiglare,network rj45,compatibility,be comfortable,customizable color,full hd resolution,stay versatile,superb performance,ultrawide viewing angle,versatile connections,work with ease stay entertained for hours,component video,composite video,svideo,tilt angle
Acer S230HL 23 Widescreen LED Monitor by Office Depot,Acer,"1000:1 (native); 100,000,000:1 (max)",23 inches,"15.11""H x 21.58""W x 6.6""D",ENERGY STAR,yes,170 degrees,no,124774,"Acer, Inc.",S230HL ABD,1920 x 1080,S230HL,250 cd/m2,Black,1000:1,0.265 mm,VGA 15-pin D-sub; DVI-D (digital) with HDCP,No,5 ms,23 inches,no,3-yr limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewsonic Extreme Wide EW1930 19 Edge LED LCD Monitor 163 by Office Depot,Viewsonic,"1,600:1",,,,,,,589756,Viewsonic Corporation,KB8781,1680 x 350,EW1930,,,,,,,,,,3-year limited,16:3,Edge LED,1000 Nit,"1.5""",Landscape/Portrait,"6.9""",110 V AC; 220 V AC,1.0,PC,Extreme Wide,Extreme Wide EW1930 Widescreen LCD Monitor,LCD Monitor,"19""",Yes,100 x 100,Yes,5.07 lb,"15.7""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newline Interactive TruTouch 460 46 Full HD LCD Multi Touch Monitor Black by Office Depot,Newline Interactive,,46 inches,"32.31""H x 42.13""W x 4.25""D",UL Environment,yes,,Yes,844292,Newline Interactive,EPR8A00046,1920 x 1080,TruTouch 460,,Black,,1 mm,,No,,46 inches,yes,3-yr limited,,,,,,,,,,,,,,,,,,,0%,flat panel LCD,0%,infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEC Display MultiSync LCD175M BK LCD Monitor with VUKUNET free CMS by Office Depot,NEC Display,"1,000:1",,,ENERGY STAR; TCO Displays 5.0; RoHS,,,,753165,NEC Display Solutions,CE9760,1280 x 1024,LCD175M-BK,,,,,,,,,,,,,250 Nit,"2.4""",,"12.6""",110 V AC; 220 V AC,1.0,PC,MultiSync,MultiSync LCD175M-BK LCD Monitor,LCD Monitor,"17""",,,Yes,8.80 lb,"14.5""",,,,,Speaker,Black,16.7 Million Colors (24-bit),"9.10""",Yes,"16.10""",Wall Mountable,5 ms,SXGA,Yes,75 Hz,170°,170°,14.30 lb,"14.50""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elo 3243L 32 LED Open frame LCD Touchscreen Monitor 169 650 ms by Office Depot,Elo,"3,000:1",,,,,,,642565,"Elo Touch Solutions, Inc",QC6374,1920 x 1080,3243L,,,,,,,,,,,16:9,LED,350 Nit,,,,,,PC,,3243L Multifunction 32-Inch Desktop Touchmonitor,Open-frame LCD Touchscreen Monitor,"32""",Yes,400 x 200,Yes,27.12 lb,,,,,IntelliTouch Plus,,Black,16.7 Million Colors,"2.28""",,"17.44""",,6.50 ms,Full HD,,,178°,178°,,"28.95""",Water Proof,300 mW,55 W,1.40 W,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung S22C150N 215 LED Monitor Black by Office Depot,Samsung,1000:1 (static),21.5 inches,"20.15"" x 12.24"" x 2.08""",,no,90 degrees,no,361577,Samsung,S22C150N/S22D300NY,1920 x 1080,S22C150N,200 cd/m2,Black,1920 x 1080,0.248 mm,VGA 15-pin D-sub,No,5 ms (gray-to-gray),21.5 inches,no,1-yr limited,16:9,,,,,,,,,,,,,,,,,,0%,flat panel LCD,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung S24C450DL 236 LED LCD Monitor 169 5 ms by Office Depot,Samsung,"1,000:1",,,ENERGY STAR,,,,894989,Samsung,QV9014,1920 x 1080,S24C450DL,,,,,,,,,,3-year limited,16:9,LED,250 Nit,,,,,1.0,,,S24C450DL Widescreen LCD Monitor,LCD Monitor,"23.6""",Yes,100 x 100,Yes,,,0%,,0%,,,Black,,,Yes,,Wall Mountable,5 ms,Full HD,,,160°,170°,,,Eco Saving; Off Timer; MagicAngle; MagicBright 3,,,,,,Yes,Yes,Yes,No,Mexico,Yes,450,1.0,No,,,,,,,,,,,,,,,,,,,,,,,,,
Planar PXL2230MW 22 Edge LED LCD Touchscreen Monitor 169 5 ms by Office Depot,Planar,"1,000:1",,,RoHS,,,,656182,"Planar Systems, Inc",QX6147,1920 x 1080,PXL2230MW,,,,,,,,,,3-year limited,16:9,Edge LED,250 Nit,"2.8""",,"12.9""",110 V AC; 220 V AC,,PC,,PXL2230MW Touchscreen LCD Monitor,LCD Touchscreen Monitor,"22""",Yes,100 x 100,Yes,,"20.3""",,,,Optical,Speaker,,16.7 Million Colors,"4.90""",Yes,"14.70""",,5 ms,Full HD,Yes,,160°,170°,,"20.30""",,,,,Yes,Yes,Yes,,,,,,,,,UL/cUL; FCC-B; CE,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,
Asus VB198T P 19 LED LCD Monitor 43 5 ms by Office Depot,Asus,,,,RoHS; TCO Certified Displays 5.2; ENERGY STAR; ErP; J-Moss (Japanese RoHS); WEEE,,,,623368,ASUS Computer International,QV7786,1280 x 1024,VB198T-P,,,,,,,,,,3-year limited,4:3,LED,250 Nit,"8.3""",,"15.9""",,1.0,PC,,VB198T-P LCD Monitor,LCD Monitor,"19""",Yes,100 x 100,Yes,7.05 lb,"16.3""",,,,,Speaker,Black,16.7 Million Colors,,Yes,,Wall Mountable,5 ms,SXGA,Yes,76 Hz,160°,170°,,,Splendid Video Intelligence Technology; Security Lock; Cable Management,200 mW,27 W,300 mW,,,Yes,,,,,,VB,,,C-tick; BSMI; CB; CCC; CE; FCC; Gost-R; ISO-9241-307; PSB; TUV-ERGO; TUV-GS; UL/cUL; VCCI; WHQL,Yes,,,2.0,,,,,,,,,,,,,,,,,,,,
BenQ GW2255 215 LED LCD Monitor 169 6 ms by Office Depot,BenQ,"3,000:1",,,TCO Certified Displays 5.2; ENERGY STAR 5.2,,,,475947,BenQ Corporation,QV9863,1920 x 1080,GW2255,,,,,,,,,,,16:9,LED,250 Nit,"6.9""",,"15.7""",110 V AC; 220 V AC,1.0,PC,,GW2255 Widescreen LCD Monitor,LCD Monitor,"21.5""",Yes,100 x 100,Yes,8.16 lb,"20.7""",,,,,,Glossy Black,16.7 Million Colors,,Yes,,Wall Mountable,6 ms,Full HD,,,178°,178°,,,Senseye 3; Eco Mode; Security Lock,,21 W,300 mW,,,Yes,,,,,,GW,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
Viewsonic VX2703mh LED 27 LED LCD Monitor 169 3 ms by Office Depot,Viewsonic,"1,200:1",,,ENERGY STAR; ErP; EPEAT Silver; WEEE; RoHS,,,,695837,Viewsonic Corporation,3332452,1920 x 1080,VX2703mh-LED,,,,,,,,,,3-year limited,16:9,LED,300 Nit,"2.2""",,"15.4""",110 V AC; 220 V AC,1.0,PC; Mac,,"27"" Widescreen LED with Full 1080p Resolution Versatile Monitor That Performs",LCD Monitor,"27""",,,Yes,10.80 lb,"25.4""",,,,,Speaker,Black,,"6.90""",Yes,"17.20""",,3 ms,Full HD,Yes,,160°,170°,11.90 lb,"25.40""",Auto-off; ClearMotiv II,,39 W,,,,Yes,,,,,,VX,,,CE; CB; BSMI; PSB; SASO; C-tick; e-Standby; KC; UL/cUL; FCC-B (including ICES003); UL CoC; Mexico Energy; Gost-R/Hygienic; UkrSEPRO; CCC; China Energy; SVHC,Yes,Yes,,,Yes,Anti-glare,,,,,,,,,,,,,,,,,,
