<page title>,brightness,colour,compliant standards,device type,dimensions wxdxh,product description,weight,aspect ratio,colour support,contrast ratio,display position adjustments,environmental standards,input connectors,manufacturer warranty,native resolution,panel type,pixel pitch,response time,builtin devices,localisation,screen coating,speakers,microsoft certification,height rack units,kvm switch,designed for,manufacturer selling program,bundled with,3d capable,energy class,energy consumption per year,diagonal size,diagonal size cm,display format,features,hdcp compatible,hdmi ports qty,image aspect ratio,lcd backlight technology,pc interface,power,power consumption operational,product type,remote control,resolution,speaker system,targeting,technology,tv tuner,video interface,video wall components qty,character resolution,digital tv tuner,usb port
OHC24 Shop : Monitor > Monitor search help > Epson A61B133111,690 cd/m2,Cool white,"FCC Class A certified, CSA, UL, TUV, VCCI Class A ITE",Customer display,16.5 cm x 5.1 cm x 6.9 cm,Epson DMD110 - customer display,0.6 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Philips 242G5DJEB/24"" LED 1920x1080 2ms 242G5DJEB/00",350 cd/m2,Textured black,"Plug and Play, FCC Class B certified, TUV GS, BSMI, GOST, SASO, SEMKO, TUV Ergo, PSB, DDC/CI, RoHS, Lead-Free, WEEE, TCO Certified Edge","LED-backlit LCD monitor - 24""",56.5 cm x 22 cm x 51.7 cm - with stand,"Philips Brilliance 242G5DJEB - LED monitor - 24""",6.27 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 80000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"2xHDMI, DVI-D, VGA, DisplayPort",3 years warranty,1920 x 1080 at 60 Hz,TN,0.277 mm,5 ms (typical); 1 ms (grey-to-grey),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > EIZO CX270 27IN LCD BLACK 68.6 cm (27 "")/ 1.920 21374",320 cd/m2,Black,,"LCD monitor - 27""",- with stand,"EIZO ColorEdge CX270 - LCD monitor - 27""",13.6 kg,Widescreen - 16:9,1.07 billion colours,1000:1,"Height, pivot (rotation), swivel, tilt",,"HDMI, DVI-I, DisplayPort",5 years warranty,2560 x 1440,,0.2331 mm,6 ms (grey-to-grey),USB Hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Open-Frame Touchmonitors - 1739L CarrollTouch E964551,276 cd/m2,"Black, steel","MPR II, UL, VCCI, C-Tick, BSMI, cUL, CCC, MIC, FCC, RoHS","LCD monitor - 17""",36.8 cm x 4.9 cm x 30.6 cm,"Elo Open-Frame Touchmonitors 1739L CarrollTouch - LCD monitor - 17""",4 kg,,16.7 million colours,1000:1,,,VGA,3 years warranty,1280 x 1024 at 75 Hz,,,30 ms,Touch-screen,Worldwide,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > LG Electronics FLATRON 24MB35PM-B LED 60CM24I 61 cm,250 cd/m2,Anthracite dark,"Plug and Play, FCC Class B certified, CSA, UL, TUV GS, EN 61000-3-3, EN55024, EN55022 Class B, TUV Ergo, DDC/CI, ISO 9241-307, EN 61000-3-2:2006, TCO Displays 6.0, EN 60950-1:2006","LED-backlit LCD monitor - 24""",56.9 cm x 27.1 cm x 43.2 cm - with stand,"LG 24MB35PM-B - LED monitor - 24""",5.1 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 5000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1920 x 1080 at 60 Hz,AH-IPS,0.274 mm,5 ms (grey-to-grey),,,"Anti-glare, 3H Hard Coating",Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Philips 234E5QHAW LED >  23"" Wide >  234E5QHAW/00",250 cd/m2,Glossy white,"Plug and Play, FCC Class B certified, TUV, BSMI, GOST, SASO, SEMKO, DDC/CI, RoHS, Lead-Free, ISO 9241-307, WEEE","LED-backlit LCD monitor - 23""",53.2 cm x 21.3 cm x 41.4 cm - with stand,"Philips 234E5QHAW - LED monitor - 23""",3.46 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"2xHDMI, VGA",3 years warranty,FullHD 1920 x 1080 at 60 Hz,AH-IPS,0.265 mm,5 ms (grey-to-grey),,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > BenQ - EW2440L 9H.LAGLB.QBE,250 cd/m2,,,LED-backlit LCD monitor,54.566 cm x 19.132 cm x 42.16 cm,BenQ EW2440L - LED monitor,3.74 kg,Widescreen - 16:9,16.7 million colours,3000:1 / 20000000:1 (dynamic),Tilt,,"2xHDMI, VGA",,FullHD 1920 x 1080,VA,0.276 mm,12 ms (typical); 4 ms (grey-to-grey),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Hewlett-Packard EliteDisplay E190i 18.9IN LED HP E4U30AA#UUZ,250 cd/m2,Black,"Plug and Play, CSA, UL, TUV, VCCI, GS, CCC, FCC, ISO 9241-307, KCC, CISPR, MEPS, KC, CECP, EuP, TCO Displays","LED-backlit LCD monitor - 18.9""",41.7 cm x 4.7 cm x 34.7 cm - without stand,"HP EliteDisplay E190i - LED monitor - 18.9""",3 kg,5:4,16.7 million colours,1000:1 / 3000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt","ENERGY STAR Qualified , EPEAT Gold","DVI-D, VGA, DisplayPort",3 years warranty,1280 x 1024 at 60 Hz,IPS,0.2928 mm,14 ms (grey-to-grey),USB Hub,"German, French, Italian / Switzerland","Anti-glare, anti-static",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > NEC SPECTRAVIEW 242 61 > 1CM 24IN 61 cm (24"")/ 1.920 x 60003544",340 cd/m2,Black,"FCC Class B certified, MPR II, CSA, UL, TUV, TUV GS, C-Tick, GOST, cUL, DDC-2B, MPR III, PCBC, PCT, VESA EDID, CCC, PSB, DDC/CI, RoHS, ISO 9241-307, ErP Ready","LED-backlit LCD monitor - 24.1""",55.68 cm x 22.76 cm x 52.8 cm,"NEC SpectraView 242 - LED monitor - 24.1""",10.6 kg,Widescreen,1.07 billion colours,1000:1,"Height, pivot (rotation), tilt",,"HDMI, DVI-D, VGA, DisplayPort",5 years warranty,1920 x 1200 at 60 Hz,AH-IPS,0.27 mm,16 ms (On/Off); 8 ms (grey-to-grey),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Desktop Touchmonitors - 1517L AccuTouch Zero-Bezel E144246,250 cd/m2,Black,"UL, VCCI, C-Tick, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE, S Mark, China RoHS","LED-backlit LCD monitor - 15""",35.8 cm x 19.7 cm x 31.9 cm - with stand,"Elo Desktop Touchmonitors 1517L AccuTouch Zero-Bezel - LED monitor - 15""",4.3 kg,4:3,16.2 million colours,700:1,,,VGA,3 years warranty,1024 x 768 at 75 Hz,,,16 ms,Touch-screen,Worldwide,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
