<page title>,adjustable display angle,aspect ratio,backlight technology,brand name,brightness,builtin devices,color,contrast ratio,depth,depth with stand,dvi,features,green compliance certificateauthority,green compliant,hdcp supported,height,height with stand,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,manufacturer website address,maximum resolution,number of screens,operating power consumption,package contents,pccanadacom,product line,product model,product name,product type,response time,screen mode,screen size,screen surface,speakers,standby power consumption,vertical viewing angle,vga,weight approximate,width,width with stand,color supported,country of origin,displayport,hdmi,mount type,number of speakers,panel technology,platform supported,product series,tilt angle,vesa mount compatible,vesa mount standard,adjustable display height,adjustable display pivot,offmode power consumption,standard refresh rate,weight with stand approximate,certifications standards,display orientation,maximum adjustable height,swivel angle,usb,usb standard,webcam,headphone,full product specifications,recycled,recycled content,svideo
C9E49AA#ABA - Hp Prodisplay P221 21.5-inch Led Backlit Monitor - PC-Canada.com,Yes,16:9,LED,HP,250 cd/mÂ²,Speaker,Black,"1,000:1","1.9"" (47.5 mm)","6.3"" (160 mm)",Yes,Security Lock,"TCO Certified Displays, ENERGY STAR, EPEAT Gold",Yes,Yes,"12.4"" (315.2 mm)","14.9"" (379 mm)",170Â°,"110 V AC, 220 V AC",3 Year,Hewlett-Packard,C9E49AA#ABA,http://www.hp.com/ca,1920 x 1080,1.0,28 W,ProDisplay P221 21.5-Inch LED Backlit MonitorVGA CableDVI CableAC Power CablePrinted Documentation and CD,does not accept phone orders.,Essential,P221,ProDisplay P221 21.5-Inch LED Backlit Monitor,LCD Monitor,5 ms,Full HD,"21.5""",Anti-glare,Yes,500 mW,160Â°,Yes,4 kg,"20.4"" (518 mm)","20.4"" (518 mm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VX2880ML - Viewsonic Vx2880ml Widescreen Lcd Monitor - PC-Canada.com,Yes,,LED,Viewsonic,300 cd/mÂ²,,Black,"50,000,000:1","2"" (52 mm)","9.4"" (240 mm)",Yes,"Mobile High-Definition Link (MHL), Flicker-free",,,,"16.2"" (412.5 mm)","20.1"" (510.6 mm)",170Â°,"120 V AC, 230 V AC",,Viewsonic Corporation,VX2880ML,http://www.viewsonic.com,3840 x 2160,1.0,,,does not accept phone orders.,,VX2880ml,VX2880ml Widescreen LCD Monitor,LCD Monitor,5 ms,QFHD,"28""",Anti-glare,Yes,,160Â°,,,"26"" (660 mm)","26"" (660 mm)",1.07 Billion Colors,China,Yes,Yes,Wall Mountable,2.0,Twisted Nematic Film (TN Film),PC,VX,-5Â°to20Â°,Yes,100 x 100,,,,,,,,,,,,,,,,,
UM.BV6AA.002 - Acer V176l Lcd Monitor - PC-Canada.com,Yes,5:4,LED,Acer,250 cd/mÂ²,,Black,"100,000,000:1","2.2"" (55 mm)","7.5"" (191 mm)",,,"EPEAT Gold, TCO Certified Displays 6.0",Yes,,"12.2"" (308.7 mm)","15.5"" (394.5 mm)",170Â°,"110 V AC, 220 V AC",,"Acer, Inc",UM.BV6AA.002,http://www.acer.ca,1280 x 1024,1.0,13 W,V176L LCD Monitor1 x VGA CablePower Cord,does not accept phone orders.,,V176L,V176L LCD Monitor,LCD Monitor,5 ms,SXGA,"17""",Anti-glare,,450 mW,160Â°,Yes,2.20 kg,"14.5"" (369 mm)","14.5"" (369 mm)",16.7 Million Colors,,,,,,Twisted Nematic Film (TN Film),,V,,,,No,No,350 mW,75 Hz,2.60 kg,,,,,,,,,,,,
"C3Z94AA#ABA - Hp Pavilion 23xi 58.4 Cm (23"") Diagonal Ips Led Backlit Monitor - PC-Canada.com",Yes,16:9,LED,HP,250 cd/mÂ²,,,"1,000:1",,,Yes,Security Lock,,,Yes,,,178Â°,,,Hewlett-Packard,C3Z94AA#ABA,http://www.hp.com/ca,1920 x 1080,1.0,,,does not accept phone orders.,Pavilion,23xi,"Pavilion 23xi 58.4 cm (23"") Diagonal IPS LED Backlit Monitor",LCD Monitor,7 ms,Full HD,"23""",Anti-glare,,,178Â°,Yes,,,,,,,Yes,,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,,,,,,
UM.WV6AA.A03 - Acer V226hql Widescreen Lcd Monitor - PC-Canada.com,,16:9,LED,Acer,250 cd/mÂ²,,Black,"100,000,000:1","8.1"" (206.8 mm)",,Yes,,"TCO '06, ENERGY STAR",Yes,Yes,"15.4"" (390.4 mm)",,178Â°,"110 V AC, 220 V AC",,"Acer, Inc",UM.WV6AA.A03,http://www.acer.ca,1920 x 1080,1.0,19.50 W,V226HQL Widescreen LCD Monitor1 x VGA Cable1 x DisplayPort Cable1 x DVI CablePower Cord,does not accept phone orders.,,V226HQL,V226HQL Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"21.5""",Anti-glare,Yes,350 mW,178Â°,Yes,3.24 kg,"20"" (508 mm)",,16.7 Million Colors,,Yes,,,,Vertical Alignment (VA),,V,,,,,,250 mW,60 Hz,3.66 kg,,,,,,,,,,,,
24MP55HQ-P - Lg 24mp55hq-p Widescreen Lcd Monitor - PC-Canada.com,,16:9,LED,LG,,,,,"2.2"" (55 mm)","7.4"" (188 mm)",,,,,,"13.1"" (332 mm)","17.3"" (440 mm)",,,,LG Electronics,24MP55HQ-P,http://www.lg.com/ca,1920 x 1080,1.0,22 W,,does not accept phone orders.,,24MP55HQ-P,24MP55HQ-P Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"23.8""",Anti-glare,,300 mW,,Yes,3.10 kg,"21.4"" (544 mm)","21.4"" (544 mm)",,,,Yes,Wall Mountable,,In-plane Switching (IPS) Technology,,,-3Â°to20Â°,Yes,100 x 100,,,300 mW,,,,,,,,,,,,,,
D7R00A8#ABA - Hp Business Z27x Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,HP,300 cd/mÂ²,USB Hub,,"1,000:1","9.5"" (242.5 mm)","14.9"" (379.2 mm)",,Security Lock,"TCO Certified Displays, China Energy Label (CEL), EPA, REACH, ENERGY STAR",Yes,Yes,"9.5"" (242.5 mm)","25.8"" (655 mm)",178Â°,"120 V AC, 230 V AC",3 Year,Hewlett-Packard,D7R00A8#ABA,http://www.hp.com/ca,2560 x 1440,1.0,110 W,Business Z27x Widescreen LCD Monitor CD and Printed Documentation DisplayPort Cable AC Power Cord HP Display Assistant Software,does not accept phone orders.,Business,Z27x,Business Z27x Widescreen LCD Monitor,LCD Monitor,12 ms,WQHD,"27""",Anti-glare,No,,178Â°,,8.80 kg,"25.2"" (641 mm)","25.2"" (641 mm)",1.07 Billion Colors,,Yes,Yes,,,In-plane Switching (IPS) Technology,,Z,-5Â°to20Â°,,,Yes,Yes,,,,EC CB KC KCC NOM PSB ICE TUV-S CCC SEPA ISC VCCI FCC BSMI,Portrait,"4.7"" (120 mm)",45Â°,Yes,USB 3.0,,,,,,
60B3HAR2US - Lenovo Thinkvision Lt1713p 17-inch Square Lcd Monitor - PC-Canada.com,Yes,5:4,,Lenovo,250 cd/mÂ²,,Business Black,"1,000:1","6.5"" (165.2 mm)",,Yes,Security Lock,"ENERGY STAR 6.0, EPEAT Gold, CECP, China RoHS, WEEE, Ukraine RoHS, TCO Certified Displays 6.0, TCO Certified Edge Displays 1.2, ULE Gold, China Energy Label (CEL), RoHS, MEPS",Yes,,"14.6"" (370 mm)",,170Â°,,3 Year,Lenovo Group Limited,60B3HAR2US,http://www.lenovo.com/ca/en,1280 x 1024,1.0,,"ThinkVision LT1713p 17-Inch Square LCD Monitor VGA Cable DVI Cable Power Cord CD (multilingual user's guide, setup test pattern, and Windows installation file) Quick start and safety poster",does not accept phone orders.,ThinkVision,LT1713p,ThinkVision LT1713p 17-Inch Square LCD Monitor,LCD Monitor,5 ms,SXGA,"17""",,,,160Â°,Yes,3.60 kg,"16"" (405.7 mm)",,16.7 Million Colors,,,,,,Twisted Nematic Film (TN Film),PC,,-3Â°to22Â°,Yes,100 x 100,Yes,Yes,,,,KC (Korea) cTUVus NEMKO Green Guard(USA VOC) SDO C(Korea) PC Green Label(Japan) TUV Green Mark TUV-Ergo ISO9241-307 KCC FCC B (USA) IC (Canada) CE (Europe) VCCI (Japan) BSMI (Taiwan) CCC (China) SABS-CoC AAA-RSO (Serbia) cTUVus IEC950 CB Report NEMKO TUV-GS (Germany) CCC (China) BSMI NOM (Mexico) ICCP (Saudi Arab) EAC (Russia) PSB (Singapore) ISC (Cambodia) AAA-S(Serbia) JEITA (Japan) SABS-LoA KC E-Standby,,"4.3"" (110 mm)",,,,,,,,,
C4M77AA - Hp U160 15.6-inch Led Backlit Monitor - PC-Canada.com,Yes,16:9,LED,HP,180 cd/mÂ²,,Black,500:1,"0.6"" (14.5 mm)",,,,"ENERGY STAR, EPEAT Silver",Yes,No,"10.7"" (271.3 mm)",,90Â°,,3 Year,Hewlett-Packard,C4M77AA,http://www.hp.com/ca,1366 x 768,1.0,5 W,U160 15.6-inch LED Backlit Monitor USB Y CablePrinted Documentation and CD,does not accept phone orders.,Business,U160,U160 15.6-inch LED Backlit Monitor,LCD Monitor,12 ms,HD,"15.6""",Anti-glare,No,500 mW,65Â°,,1.54 kg,"14.8"" (374.9 mm)",,,,,,,,,,,,No,,No,,,,,,,,,Yes,USB 2.0,No,,,,,
VS248H-P - Asus Vs248h-p Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Asus,250 cd/mÂ²,,Glossy Black,"50,000,000:1","8.1"" (205.5 mm)",,Yes,,"ENERGY STAR, RoHS, WEEE",Yes,Yes,"16.2"" (412.3 mm)",,170Â°,,3 Year,ASUS Computer International,VS248H-P,http://www.asus.com,1920 x 1080,1.0,32 W,VS248H-P Widescreen LCD MonitorDVI CableVGA CablePower CordQuick Start GuideWarranty Card,does not accept phone orders.,,VS248H-P,VS248H-P Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"24""",,,500 mW,160Â°,Yes,4.10 kg,"22.6"" (573.2 mm)",,16.7 Million Colors,,,Yes,Wall Mountable,,,PC,VS,,Yes,100 x 100,,,500 mW,76 Hz,,CELUL/cULCBCEErPFCCCCCBSMIGost-RC-TickVCCIPSBJ-MOSS,,,,,,,Yes,,,,
