<page title>,compliant standards,display position adjustments,display size,dot pitch,energy star qualified,image brightness,returns policy,warranty labor,warranty parts,color,compatibility notes,contents,product type,target use,actual weight,physical dimensions,warranty details,diagonal size,speakers included,weight,brightness nitscdm2,color support,connector,connector type,contrast ratio,display technology,display type,internal resolution max,portsconnectors,power notes,response timerate,viewing angle hv degrees,attributes,form factor,image aspect ratio,image size max,image size min,native resolution,projector type,resolution modes,screen distance min,energy star version,brightness lumens,lamp type,digital video standard,refurbished type,system requirements,horizontal frequency khz,vertical frequency hz,os notes
"Buy LG 24"" MB35DM-B Full HD LED-LCD Monitor, Black Monitors - LED-LCD 24MB35DM-B today at PC Connection",TUV GS TUV Ergo Plug and Play CUL TCO Displays 6.0 ISO 13406-2 DDC/CI ISO 9241-307,Tilt,24 in,0.275 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Fellowes 19"" LCD Screen Protector Glare Filters & Privacy Screens 9689401 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Clear,For use with 19-inch LCD screens (measured diagonally),"Protector, documentation",Screen protector(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy ELO Touch Solutions Wall Mounting Kit for 5501L Stands & Mounts - AV E000802 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,,,"brackets, mounting hardware, documentation",Wall mount,Flat panel display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Ergotron 200 Series Single Extension Wall Mount Arm Extension, Stands & Mounts - AV 45-233-200 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,,"Wall mount arm, bracket, extension, screws, documentation",Wall mount arm,Flat panel display,0.00 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Dell Dell. All-in-One Stand for OptiPlex 790, 790 N-Series Stands & Mounts - AV 469-1487 today at PC Connection",,,,,,,"Due to manufacturer restrictions, all sales on this item are final.",Call for Warranty,Call for Warranty,Black,"Compatible with the OptiPlex 790, 790 N-Series.","Stand, documentation",Monitor stand,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy 3M 20-20.1"" Widescreen LCD Privacy Filter Glare Filters & Privacy Screens PF320W today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,,"This Lightweight Privacy Filter is designed for widescreen formatted desktop LCD monitors with a 20-20.1"" diagonal widescreen viewing area.
Actual filter viewing area dimensions excluding the frame are 17.75"" wide x 10.9"" high.
This filter is designed for widescreen desktop monitors with screens that appear more rectangular than square.
Lightweight framed filter will not change monitor position.","Framed filter, adhesive strips, hanger arms, documentation",Display privacy filter,,9.70 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy 3M Privacy Filter for Compaq Pro 6300 Glare Filters & Privacy Screens 98-0440-5612-9 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Tinted clear,Custom made for HP Compaq Pro 6300 All-in-One PC.,"filter, documentation",Display privacy filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Ergotron Notebook Tray Stands & Mounts - AV 50-193-200 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,"Creates an ergonomic workstation for your notebook computer.
Adjustable, open-sided mounting plate accommodates the size of virtually all notebooks.
Can be used with or without docking stations.
Easy attachment
Weight Capacity: When combined with the LX LCD Arm, the arm will hold notebooks weighing 2.5–12 lbs (1.1–5.4 kg); when combined with other arms, contact Ergotron regarding load limitations","Tray, documentation",Tray,Notebook,3.00 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Siig 1x2 Dual-Link DVI Splitter, Black Video Extenders & Splitters CE-D20211-S1 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,,"Splitter, documentation",Video splitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Elite VMax Series Electric Projector Screen, 16:9, 120in Projector Screens VMAX120UWH2 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,White,Mounting brackets sold separately.,"Screen in black case, IR and RF remote control, wall switch, 12v trigger adapter, IR sensor, documentation",Projection screen (motorized),,,"72.3""h x 108.6""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy LG 19.5"" 20M35D-B LED-LCD Monitor, Black Monitors - LCD 20M35D-B today at PC Connection",TUV DDC/CI CUL Plug and Play,Tilt,20 in,,Yes,200 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Elite Economy Electric Projection Screen, Black Case, 100in Projector Screens ELECTRIC100H today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,Black,,"Screen, IR remote control, 12v trigger adapter, documentation",Projection screen (motorized),,,"67.2""h x 98.8""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy LG 42"" LY540S Full HD LED-LCD Supersign TV Televisions - LED-LCD Commercial 42LY540S today at PC Connection",,,,,Yes,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,,,,,,,,,42 in,2 speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy ELO Touch Solutions L Mounting Bracket Set for 1739L and 1939L Stands & Mounts - AV E147211 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,,Compatible with Elo 1537L touchmonitor.,"(2) Mounting brackets, documentation",Mounting bracket,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Chief Manufacturing Fusion Universal Micro-Adjustable Fixed Wall Stands & Mounts - AV MSMU today at PC Connection,UL,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,10 Years,10 Years,Black,"ControlZone Leveling for post-installation fine tuning of height and leveling.
Centerless Shift provides up to 14.5"" (368 mm) of post-installation lateral shift - 7.25"" (184 mm) left/right of uprights - for limitless centering.
ClickConnect offers an audible click when the screen safely engages with the mount.
Built-in cable stand provides easy access under the screen.
A full line of accessories can be installed with the mount and the entire unit can be adjusted together.
Multiple installation options, including single or dual stud mounting on 16"" centers.
Provides integrated security, just add a padlock.
Ships with a custom hardware kit.
Steel stud mounting possible with series PAC115 and using 2 studs only.
Mounting Pattern Compatibility (Universal Versions): 100 x 100mm - 650 x 400mm
For 26""-47"" Displays.
Max weight capacity of 125 pounds.","Mount, documentation",Wall mount,Flat panel display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Asus 31.5"" PQ321Q LED-LCD Monitor, Black Monitors - LED-LCD PQ321Q today at PC Connection",FCC WHQL CUL ICES WEEE RoHS,Swivel Height Tilt,31.5 in,0.182 mm,,350 cd/m2,,3 Years,3 Years,Black,,,,,,,,,,28.700 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Elite Slow-Retract Manual Projection Screen, MaxWhite, 1:1, 85"" Projector Screens M85XWS1-SRM today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,,,,,,,,"Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Samsung 23.6"" S24D590PL Full HD LED-LCD Monitor, Black Monitors - LED-LCD S24D590PL today at PC Connection",,,23.6 in,,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Black,"Be Entertained from Every Angle:
Experience superior picture quality as the PLS panel's wide viewing angle offers a consistent natural color and contrast ratio from any angle within 178 degrees, vertically and horizontally
Enhanced Gaming Experience:
The perfect viewing settings for games with one touch of a button. The Game Mode option optimizes the settings for game play, which reduces screen lag, enhances the color and alters the screens contrast to provide the ultimate picture for gaming.
Upscaled Quality and Picture:
Magic Upscale Technology enhances the image quality no matter what the original picture quality was. Magic Upscale prevents image degradation when scaling up and gives only the most brilliant and pristine colors and images.
Handles Multiple Devices and Content:
All the connections you need to make the most of your entertainment and other content. The monitor provides a D-Sub connection and HDMI input. You can easily connect your devices and use the monitor for working, gaming, viewing content and more.
Dimensions and weight with stand:
16.6""h x 21.3""w x 6.7""d
9.2 lbs.","monitor, HDMI cable, CD, documentation",,,7.80 lb(s),"16.6""h x 21.3""w x 2.3""d",,,,,250 cd/m2,16.7 million colors,HDDB15 Power 3.5mm audio HDMI,HDMI Audio VGA Power,1000:1,LED display,Widescreen,1920 x 1080,"(1) HDDB15 VGA
(2) HDMI
(1) 3.5mm audio
(1) Power in","Supply: 100-240VAC, 50/60Hz
Consumption: 21W (typ.); 0.3W (standby)",5 ms,178/178,,,,,,,,,,,,,,,,,,
"Buy ViewSonic PJD6543W DLP WXGA Projector, 3000 Lumens, Black Projectors PJD6543W today at PC Connection",CE C-Tick CB FCC RoHS UL CUL WEEE PSB NOM CCC,,,,,3000 ANSI lumens,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,,"Projector, power cable, VGA cable, remote with batteries, DVD, documentation",,,4.60 lb(s),"3.3""h x 10.6""w x 8.7""d",1 year on lamp; 1st year free Express Exchange service,,,4.6 lb(s),,1.07 billion colors,HDDB15 Power 3.5mm audio RCA Composite HDMI USB Type B Mini S-Video DB9,Power Audio line-in S-Video Composite video VGA USB HDMI Audio line-out Serial (RS-232),15000:1,Digital Light Processing (DLP),,1600 x 1200,"(3) HDDB15 VGA (2 in, 1 out)
(1) RCA composite
(2) 3.5mm audio (in, out)
(1) 4-pin S-video
(1) HDMI
(1) USB Mini-B
(1) DB9 RS-232
(1) Power in","Supply: 100-240VAC (Auto Switching), 50/60Hz (universal)
Consumption: 240W (typ.);",,,Speaker Included Single speaker Remote control Keystone correction,Desktop Tabletop,16:10,25 ft,2.3 ft,1280 x 800,DLP projector,Multiscan,3 ft,,,,,,,,,
Buy DoubleSight Quad-Monitor Flex Stand Stands & Mounts - AV DS-424STA today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"Weight capacity of 22 pounds per monitor.
LCD Capacity:(4) 24"" LCD Monitors or smaller.
VESA: 75mm x 75mm; 100mm x 100mm (100mm x 200mm is an available accessory)
Tilt: 45º forward or back, monitors tilt independently.
Swivel: Up to 90º, monitors swivel independently.
Pivot: 90º, Monitors pivot independently - note some monitors may be too large to pivot on top tier.
Special Viewing Feature: Monitors adjust individually. Stand adjusts for Height on each Tier.","Stand, documentation",Desk mount,Flat panel display,27.50 lb(s),"28.5""h x 31.5""w x 10""d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy LG 32"" WL30MS-B Full HD LED-LCD Monitor Monitors - Large-Format LED-LCD 32WL30MS-B today at PC Connection",,,32 in,,Yes,,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,
"Buy Tripp Lite 2-Port High Speed HDMI Splitter for Video with Audio, Video Extenders & Splitters B118-002 today at PC Connection",RoHS,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Black,"Display HD video resolutions up to 1080p, and computer video resolutions up to 1920 x 1200.
Supports up to 36-bit Deep Color (12-bits per channel).
High Speed HDMI and 3D compliant.
Supports DTS-HD, Dolby True HD and 7.1 Channel Surround Sound audio.
HDCP and EDID compliant.
Plug and play; No software or drivers required.","splitter, external power supply, documentation",Video splitter,,,,,,,,,,,,,,,,(3) HDMI (F),,,,,,,,,,,,,,,,,,,,,
"Buy Kensington Privacy Screen for 22"" Widescreen Displays Glare Filters & Privacy Screens K55786WW today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,Limited Lifetime,Limited Lifetime,Tinted,"Limits viewing angle +/- 30° while also protecting the screen from scratches and damage.
Easy to attach use included plastic tabs to stick the screen to your widescreen flat panel (TFT) or LCD monitor.
Screen cleaning cloth included.
Monitor screen proportions: 16:10.","filter, cleaning cloth, documentation",Display privacy filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Kensington Flat Panel Monitor Cubicle Hanger Stands & Mounts - AV 60058 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,,The adapter piece is set to hold monitors weighing 20lbs or less. The actual hanger can hold up to 50lbs.,"Hanger, documentation",Wall mount,Flat panel display,,"20.1""-36""h x 7.2""w x 4.5""d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Targus 22"" Widescreen LCD Privacy Filter, 16:10 Glare Filters & Privacy Screens ASF22WUSZ today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,,,"Filter, adhesive strips, tabs, documentation",Display privacy filter,,1.40 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Elite Tripod Portable Screen, 1:1, 136"" Projector Screens T136UWS1 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,Matte White,Carrying case is sold separately.,"Tripod screen in black case, documentation",Projection screen,,0.00 lb(s),"149.5""h x 102""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Elite ez-Cinema Series Portable Projection Screen, Matte White, Projector Screens F84NWV today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,Matte White,,"Screen, aluminum case, carry bag, documentation",Projection screen,,,"94.3""h x 74.5""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Elite Manual Series Projection Screen with Black Case, Matte Projector Screens M99UWS1 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,Black,Wall mount brackets sold separately.,"Screen, hardware, case, documentation",Projection screen,,,"80.8""h x 76""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Acer P7505 DLP Projector, 5000 Lumens, Black Projectors MR.JH211.008 today at PC Connection",,,,,,,,1 Year,1 Year,Black,,"projector, power cord, VGA cable, composite video cable, remote with battery, filter, lens cap, carrying case, CDs, documentation",,,16.50 lb(s),"5.1""h x 15.7""w x 12.2""d",90 days on lamp,,,16.5 lb(s),,1.07 billion colors,HDDB15 HDMI USB,USB VGA HDMI,7500:1,Digital Light Processing (DLP),,1920 x 1200,"(1) HDMI
(1) HDDB15 VGA
(1) USB
(1) Power in",Supply: 110-220VAC,,,Remote control Keystone correction Speakers Included Dual speakers,Ceiling-mount rear projection Ceiling-mount front projection,16:9,25 ft,1.7 ft,1920 x 1080,DLP projector,Multiscan,3.3 ft,,5000 ANSI lumens,P-VIP,,,,,,
"Buy Open Box Acer 19"" V196WL BD LED-LCD Monitor, Black Monitors - LED-LCD UM.CV6AA.002 today at PC Connection",EPEAT Gold,Tilt,19 in,,Yes,250 cd/m2,,90 Days,90 Days,Black,"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Prepared:
Collaborating with others is faster and more productive when you have plenty of ports available. Professional Series monitors allow you to connect to a wide variety of useful devices including notebooks, tablets and giant screen TVs, thanks to helpful VGA, DVI, HDMI, USB and even DisplayPort connectivity options.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact.","Monitor, VGA cable, DVI cable, documentation",,,,,,,,,250 cd/m2,,DVI Power HDDB15,VGA DVI Power,"100,000,000:1",LED-backlit LCD,Widescreen,1440 x 900,"(1) DVI
(1) HDDB15 VGA
(1) Power in",,5 ms,170/160,,,,,,,,,,,,,Digital Visual Interface (DVI),Open Box,,,,
"Buy AOC 24"" E2460SD-TAA Full HD LED-LCD Monitor Monitors - LED-LCD E2460SD-TAA today at PC Connection",FCC CTUVus DDC-2B CCC EPA 5.1 DDC-2B/CI CQC TCO Displays 5.2 RoHS,Tilt,24 in,0.277 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
