<page title>,ac power in,altezza,altezza con supporto,altezza imballo,altoparlanti incorporati,angolo di visualizzazione orizzontale,angolo di visualizzazione verticale,blocco cavo,cavi inclusi,certificazione,classe efficienza energetica,colore del prodotto,colori del display,compatibile con montaggio vesa,compatibilità 3d,consumi,consumi modalità spento,consumi modalità standby,dimensioni schermo,dot pitch,formato,fotocamera integrata,guida rapida,hdcp,inclinazione,inclinazione regolabile,indicatore led alimentazione,interruttore integrato,intervallo di scansione verticale,larghezza,larghezza con supporto,larghezza imballo,led standby,luminosità schermo,manuale dellutente,modalità video supportate,montabile a parete,peso,peso incluso imballo,peso prodotto con supporto,plug play,porta dvi,profondità,profondità con supporto,profondità imballo,quantità porte vga dsub,range di scansione orizzontale,rapporto di contrasto,rapporto di contrasto dinamico,risoluzione,risoluzioni grafiche supportate,sintonizzatore tv integrato,sistema operativo windows supportato,tecnologia display,tempo di risposta,thin client installato,thin client thin client installato no,tipologia display,tipologia hd,voltaggio di ingresso,angolo di rotazione,certificazione energy star,conformità epeat,girevole,pivot angle,quantità displayports,quantità porte dvid,quantità porte usb 20,regolazione altezza,rotazione,source datasheet,thin client thin client installato n,altoparlante cuffia spinotto di uscita,area di visualizzazione effettiva,consumi modalità risparmio energetico,frequenza di ingresso,frequenza scansione orizzontale,frequenza scansione verticale,ingresso audio per pc,intervallo di temperatura,intervallo temperatura di funzionamento,lingue osd,mtbf,numero di altoparlanti,on screen display osd,potenza in uscita rms,schermo srgb,sync hv separato,syncongreen sog,umidità relativa,dimensioni schermo cm,mobile highdefinition link mhl,altre caratteristiche source datasheet,bluetooth,collegamento ethernet lan,colore del piede,dimensione visibile orizzontale,dimensione visibile verticale,guida utente su cdrom,indicatori led,lettore di schede integrato,quantità porte hdmi,range di umidità di funzionamento,wifi,cavo alimentazione incluso,dimensione visibile diagonale,thin client,tipologia di retroilluminazione,connessione wlan,dot rate video,microfono spinotto dingresso,tipi schede di memoria,alimentazione,angolo visuale,dimensioni imballo lxpxa,dimensioni lxpxa,conforme agli standard,consumi modalità attivo,consumo energetico max,ingresso audio,materiale riciclabile,connessione cuffia,quantità porte usb 30,subwoofer incorporato,uscita audio,performance,design colore del prodotto nero,altitudine di funzionamento,altitudine di nonfunzionamento,lunghezza cavo,numero di lingue osd,umidità,microfono incorporato,display surface,sistema operativo linux supportato,compatibilità sistema operativo mac,condizioni ambientali,dimensioni lxpxa con base,compatibilità elettromagnetica,sicurezza,certificati di sicurezza certificazione energy star si,numero di prodotti inclusi,quantità,hdmi,contenuto dellimballo cavi inclusi ac vga,adattatore acdc,pictureinpicture,funzione risparmio,miglioramento dellimmagine,posizionamento supportato,risoluzione massima,certificati di sicurezza,dcin jack,altre caratteristiche quantità 1 source datasheet,megapixel,interfaccia comune,cable lock slot type,capacità totale hard disk,famiglia processore,full hd,intel antitheft technology,intel hyperthreading technology,intel identity protection technology,intel my wifi technology,intel rapid start technology,intel small business advantage sba,intel smart connect technology,intel smart response technology,intel turbo boost technology,intel visual technologies,intel vpro technology,intel wireless display technology,megapixel totali,mouse incluso,numero di core del processore,processore,quantità porte ethernet lan rj45,ram installata,retroilluminazione a led,sistema operativo incluso,supporto di memoria,tecnologia touch,tipo di ram,touch screen,velocità processore,controllo del volume,consumo energia modalità economica,convenienza,dimensioni altoparlante centrale l x a x p,ingresso segnale,materiali della confezione riciclabili,peso contenzione inclusa,peso schermo con supporto,prodotto senza piedistallo kg,regulatory approvals,risoluzione consigliata,segnale ingresso sincronizz video,smartcontrast,specificazioni ambientali,supporto lingue,networking connessione wlan n collegamento ethernet lan n,tipo di prodotto,common interface plus ci,webcam girevole,altre caratteristiche,colore,connessioni audio,mhl specification,smartresponse
Lg Electronics LG 24M35A-B 24M35A-B.AEU Planet Computer.it,Si,"31,4 cm","43,8 cm","41,4 cm",No,170°,160°,Si,AC,"UL(cUL), FCC-B, CE, EPA Gold, TUV-Type",Non specificato,Nero,"16,77M",75 x 75 mm,No,19W,"0,3W","0,3W","59,94 cm (23.6"")","0,2715 x 0,2715 mm",16:9,No,Si,No,3 - 20°,Si,Si,Si,56 - 75 Hz,"55,6 cm","55,6 cm","62,5 cm",Si,200 cd/m²,Si,1080p,Si,"2,7 kg","4,2 kg",3 kg,Si,No,"9,8 cm","21,5 cm","14,3 cm",1.0,30 - 83 kHz,1000:1,5000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),No,"Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64",TN,5 ms,No,"Performance
Sistema operativo Windows supportato Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64",LED,Full HD,100 - 240V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hp Hewlett Packard HP Z24i D7P92AT ABB Planet Computer.it,,365 mm,525 mm,,N,178 °,178 °,,,,Non specificato,Nero,,,,36 W,,0.5 W,61 cm,0.27 x 0.27 mm,16:10,N,,Si,-5 - 30 °,Si,,,50 - 76 Hz,559.4 mm,559.4 mm,,,300 cd/m²,,,Si,4.73 kg,,6.96 kg,,Si,64.5 mm,237.9 mm,,1.0,24 - 94 kHz,1000:1,5000000:1,1920 x 1200 Pixels,,N,,IPS,8 ms,N,,LCD,,,-45 - 45 °,Si,Oro,Si,0 - 90 °,1.0,1.0,5.0,120 mm Si,Si,.,"Altre caratteristiche
Source data-sheet .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 241B4LPYCS Display Full HD B-line 61 cm  24   Monitor LCD,,352 mm,403 mm,405 mm,Si,170 °,160 °,Si,,"Regulatory Approvals: BSMI, CE Mark, FCC Class B, GOST, SASO, SEMKO, TCO 5.2, TUV Ergo, TUV/GS, UL/cUL, WEEE, RoHS",,,16.77 M,100 x 100 mm,N,21.44 W,,0.1 W,61 cm,0.276 x 0.276 mm,16:9,N,,Si,-5 - 20 °,,Si,,,565 mm,565 mm,624 mm,Si,250 cd/m²,,1080p,Si,4.3 kg,8.3 kg,6.3 kg,Si,,55 mm,227 mm,172 mm,1.0,,1000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,,5 ms,,,LCD,Full HD,100 - 240 V,-65 - 65 °,Si,,,,1.0,1.0,2.0,100 mm,Si,.,,1,531.4 x 298.9 mm,12 W,50/60 Hz,30 - 83 kHz,56 - 75 Hz,Si,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",30000 h,2.0,Si,3 W,Si,Si,Si,20 - 80 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC I2473PWY I2473PWY Planet Computer.it,,,,,,178°,178°,,,,,,"16,77M",,No,,,,"60,45 cm (23.8"")","0,2745 x 0,2745 mm",16:9,,,Si,,,,,,,,,,250 cd/m²,,,,,,,,,,,,,,1000:1,50000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,,5 ms,,,LED,Full HD,,,,,,,,,,,,,,,,,,30 - 83 kHz,50 - 76 Hz,,,,,,,,,,,,,"60,5 cm",Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Samsung S24C450F LS24C45UFS EN Planet Computer.it,,"33,32 cm","49,175 cm","40,7 cm",No,170°,160°,,,"TCO, UL 60950-1CSA, CSA C22.2 No. 60950-1 TUV, EN60950-1NEMKO, EN60950-1 KC, K60950-1 CCC, GB 4943-2001PSB, IEC60950-1GOST, IEC60950-1, EN55022SIQ, IEC60950-1, EN55022PCBC, IEC60590-1, EN55022NOM, NOM-019-SCFI-1993IRAM, IEC60950-1SASO, IEC60950-1",,Nero,"16,77M",100 x 100 mm,No,30W,,"0,3W",61 cm,"0,27 x 0,27 mm",16:9,No,Si,,-3 - 25°,Si,,Si,,"56,54 cm","56,54 cm","63,9 cm",,250 cd/m²,Si,1080p,Si,"3,34 kg","6,55 kg","5,04 kg",,Si,"5,67 cm","22,4 cm","18,8 cm",1.0,,,Contrasto Mega,1920 x 1080 Pixels,1920 x 1080 (HD 1080),No,Si,TN,5 ms,No,,LED,Full HD,100 - 240V,,Si,Oro,,-1 - 95°,,,1.0,Si 13 cm,Si,,,,,20W,50/60 Hz,,,,,10 - 40 °C,,,,,,,,,,,,"Thin Client
Thin client installato No",No,No,Nero,"53,136 cm","29,889 cm",Si,Si,No,1.0,10 - 80%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC E2260PWDA LED display E2260PWDA Planet Computer.it,,394.7 mm,,,Si,170 °,160 °,Kensington,"DVI, VGA","CE, EuP, FCC, GOST, ISO 9241-307, NRTL, RoHS, TCO 5.0, TÜV-GS",Non specificato,Nero,16.77 M,100 x 100 mm,N,17.7 W,0.2 W,0.3 W,54.6 cm,0.248 x 0.248 mm,16:9,N,,Si,-5 - 15 °,Si,,,55 - 75 Hz,511 mm,,,,250 cd/m²,,,Si,2.7 kg,,,Si,Si,244.5 mm,,,1.0,30 - 83 kHz,1000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,,,5 ms,N,,LED,Full HD,90 - 240 V,,Si,Oro,Si,90 °,,1.0,,Si 130 mm,Si,.,,,,,50/60 Hz,,,,,,,,1.0,Si,,,,,,,,,,,,477.5 mm,268.5 mm,,,,,,,Si,546 mm,Thin client installato N,W-LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC E2060PWDA LED display E2060PWDA Planet Computer.it,Si,377.9 mm,,,Si,170 °,160 °,Kensington,,"cCSAus, EuP, CE, FCC, GOST, ISO 9241-307, RoHS, TCO´06, TÜV-GS,",Non specificato,Nero,16.77 M,100 x 100 mm,N,26 W,0.2 W,0.3 W,49.5 cm,0.27 x 0.27 mm,16:9,N,,Si,-5 - 15 °,Si,,Si,,477.6 mm,,,,250 cd/m²,,,Si,4.7 kg,,5.95 kg,Si,,244.5 mm,,,1.0,,1000:1,20000000:1,1600 x 900 Pixels,1600 x 900,N,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64",,5 ms,N,,LED,,90 - 240 V,,Si,Oro,Si,,,1.0,,Si 130 mm,Si,.,,,,,50/60 Hz,30 - 83 kHz,55 - 75 Hz,,,,,,1.0,Si,,,,,,,,,N,N,,432 mm,239.8 mm,,,N,,,,,,,,N,148.5 MHz,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hp Hewlett Packard HP ENVY 24 23.8-inch Diagonal IPS Monitor with Beats Audio E5H53AA ABB Planet Computer.it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alimentatore esterno; Consumo energetico: 54 W massimo, 26 W tipico; Modalità standby:",178 in orizzontale; 178 in verticale,646 x 131 x 481 mm,539.4×160.7×428.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 240B4LPYCS 240B4LPYCS 00 Planet Computer.it,,388 mm,543 mm,487 mm,Si,170 °,160 °,Kensington,,,,Argento,16.77 M,100 x 100 mm,,13.4 W,,0.2 W,61 cm,0.270 x 0.270 mm,16:10,,,Si,5 - 20 °,Si,,,56 - 76 Hz,555 mm,555 mm,615 mm,,250 cd/m²,,,,3.97 kg,8.56 kg,5.83 kg,Si,Si,65 mm,227 mm,180 mm,1.0,30 - 83 kHz,1000:1,20000000:1,1920 x 1200 Pixels,1920 x 1200 (WUXGA),,,TFT,5 ms,,,LCD,Full HD,100 - 240 V,65 - 65 °,N,Oro,Si,90 - 90 °,,,2.0,Si 110 mm,Si,.,,1,518.4 x 324 mm,,50/60 Hz,,,Si,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",30.000 h,,,,Si,Si,Si,,,,,,,Nero,518.4 mm,324 mm,,,,,20 - 80 %,,,,,W-LED,,,,,,,615 x 487 x 180 mm,,"BSMI, CE Mark, FCC Class B, GOST, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, UL/cUL, WEEE",20.1 W,20.1 W,Si,25 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC I2472PWHUT I2472PWHUT BK Planet Computer.it,Si,379.37 mm,466 mm,,Si,178 °,178 °,Kensington,"AC, Audio (3.5mm), HDMI, USB, VGA","CE, EuP, GOST, ISO 9241-307, NRTL, RoHS, TÜV-Bauart",Non specificato,"Nero, Argento",16.77 M,75 x 75 mm,N,50 W,0.5 W,5 W,59.9 cm,0.2715 x 0.2715 mm,16:9,Si,,Si,15 - 57 °,Si,,Si,,606.73 mm,679 mm,,,250 cd/m²,,1080p,Si,6.4 kg,7.9 kg,,Si,N,49.4 mm,146 mm,,1.0,,1000:1,50000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,,IPS,5 ms,N,,LED,Full HD,110 - 240 V,,Si,,N,,,,2.0,N,N,.,,1,,,50/60 Hz,30 - 83 kHz,50 - 76 Hz,,,,,,2.0,,4 W,,,,,,Si,,,,,521.28 mm,293.22 mm,,,N,2.0,,,,599 mm,,W-LED,,170 MHz,,,,,,,,,,,,3.5 mm,3.0,N,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
