<page title>,aspect ratio,backlight technology,brand,brightness,category,color depth,connectors,contrast ratio,depth,diagonal size,display type,dot pitch,dynamic contrast ratio,ean,energy star compliant,features,hdmi ports,height,lowest recommended price,panel technology,power consumption operational,power consumption stand by,product name,product rating,resolution,response time,speakers power,swivel,synchronization range horizontal,upc,user controls,user reviews,viewing angle,weight,width,3d compatibility,color temperature,mtbf,synchronization range vertical,cables included,tv tuner,color gamut,security lock slot,number of speakers,usb ports,stand,touchscreen
"Compare prices for Asus PB298Q monitor, Asus PB 298Q reviews - ShopMania",21:9,LED,Asus,300,Monitors,16.7,Audio / DVI / DisplayPort / HDMI / 3.5mm Jack,1000:1,218 mm,29 inch (more than 90%),LED,0 mm,80000000:1 (more than 97%),"0886227479603, 4716659479635",Yes,Asus Smart Contrast Ratio / HDCP / Skin-Tone Selection / Trace Free Technology,1.0,37.60 cm,$499 - ABT Show all prices »,AH-IPS,31 W (less than 66%),0.5 W (less than 78%),Asus PB298Q,0 out of 5,2560x1080 (more than 98%),5 ms,3 W,Yes,83.0,886227479603,Brightness / Color Temperature / Contrast / Gamma Correction / Tilt,Write a review,178/178,18.74 lb,70 cm,,,,,,,,,,,,
"Compare prices for BenQ XL2720T monitor, BenQ XL 2720T reviews - ShopMania",16:9,LED,BenQ,300,Monitors,16.7,DVI / DisplayPort / HDMI / USB / VGA,1000:1,,27 inch (more than 84%),LED,0 mm,12000000:1 (more than 81%),4718755045110,,,2.0,,$339.99 - Buydig.com Show all prices »,,27 W (less than 75%),,BenQ XL2720T,0 out of 5,1920x1080 (more than 61%),5 ms,,Yes,,,,Write a review,170/160,16.53 lb,,Yes,,,,,,,,,,,
"Compare prices for ViewSonic VG932m monitor, ViewSonic VG 932m reviews - ShopMania",4:3,LED,ViewSonic,250,Monitors Monitors,,DVI / VGA,400:1,,19 inch,LCD,,100000:1 (more than 56%),"0001686709904, 0766907514216",Yes,,,,,,36 W (less than 54%),,ViewSonic VG932m ViewSonic VG932m,0 out of 5 0 out of 5,1280x1024,5 ms,4 W,,82.0,"001686709904, 766907514216",,Write a review Write a review,170/160,,,,5000K / 6500K / 7500K / 9300K,"40,000h",85.0,,,,,,,,
"Compare prices for Dell E2414H monitor, Dell E 2414H reviews - ShopMania",16:9,LED,Dell,250,Monitors,16.7,DVI / HDMI / USB / VGA,1000:1,46 mm,24 inch (more than 74%),LED,0 mm,2000000:1 (more than 60%),5397063347797,Yes,HDCP,,33.80 cm,$179.99 - ANT Online Show all prices »,TN,20 W (less than 91%),,Dell E2414H,0 out of 5,1920x1080 (more than 61%),5 ms,,Yes,,,Contrast / Resize,Write a review,160/170,6.61 lb,57 cm,,,,,Power Cable / VGA,Yes,,,,,,
"Compare prices for Asus VS238H monitor, Asus VS 238H reviews - ShopMania",16:9,LED,Asus,250,Monitors Monitors,16.7,Audio / DVI / HDMI / VGA / 3.5mm Jack,1000:1,200 cm,23 inch (more than 64%),LED,0 mm,50000000:1 (more than 94%),"0610839380879, 4719543367889, 4716659370413",Yes,Asus Smart Contrast Ratio / Asus Splendid / HD Ready / HDCP / Skin-Tone Selection,1.0,0 cm,,TN,27 W (less than 75%),0.5 W (less than 78%),Asus VS238H Asus VS238H,0 out of 5 0 out of 5,1920x1080 (more than 61%),2 ms (less than 89%),,Yes,80.0,610839380879,Brightness / Color Temperature / Contrast / Tilt,Write a review Write a review,170/160,7.50 lb,552 cm,,,,75.0,DVI / VGA,Yes,,,,,,
"Compare prices for Dell E2214H monitor, Dell E 2214H reviews - ShopMania",16:9,LED,Dell,250,Monitors,16.7,DVI / USB / VGA,1000:1,46 mm,21.5 inch,LED,0 mm,,5397063347803,Yes,HDCP,,30.50 cm,$179.99 - Dell Small Business Show all prices »,TN,19 W (less than 94%),,Dell E2214H,0 out of 5,1920x1080 (more than 61%),5 ms,,Yes,,,Brightness / Contrast / Tilt,Write a review,160/170,5.95 lb,51.30 cm,,,,,,Yes,84%,Yes,,,,
"Compare prices for ViewSonic VA1938WA-LED monitor, ViewSonic VA 1938WA LED reviews - ShopMania",16:9,LED,ViewSonic,200,Monitors Monitors,16.7,DVI / VGA,1000:1,,19 inch,LED,0 mm,10000000:1 (more than 76%),0766907532326,,Eco-Mode / HD Ready / HDCP,,,,,18 W (less than 95%),1 W,ViewSonic VA1938WA-LED ViewSonic VA1938WA-LED,0 out of 5 0 out of 5,1366x768,5 ms,,,82.0,766907532326,Brightness / Contrast / Tilt,Write a review Write a review,170/160,,,,,,75.0,,,,,,,,
"Compare prices for Asus VE208T monitor, Asus VE 208T reviews - ShopMania",16:9,LED,Asus,250,Monitors Monitors,16.7,DVI / HDMI / VGA,1000:1,20.07 cm,20 inch,LED,0 mm,10000000:1 (more than 76%),"0610839325764, 4719543325704",Yes,Asus Smart Contrast Ratio / Asus Splendid / HDCP / Skin-Tone Selection,,36.83 cm,,TN,30 W (less than 67%),1 W,Asus VE208T Asus VE208T,0 out of 5 0 out of 5,1600x900,5 ms,1 W,,83.0,610839325764,Brightness / Contrast / Tilt,Write a review Write a review,170/160,7.05 lb,48.01 cm,,,,76.0,,,,,2.0,,,
"Compare prices for Asus VG278HE monitor, Asus VG 278HE reviews - ShopMania",16:9,LED,Asus,300,Monitors Monitors,,Audio / DVI / HDMI / VGA / 3.5mm Jack,1000:1,385.6 mm,27 inch (more than 84%),LED,0 mm,50000000:1 (more than 94%),"0886227206193, 0886227160143, 4716659160144",Yes,Asus Smart Contrast Ratio / HDCP / Trace Free Technology,1.0,"385,6",,IPS,65 W,1 W,Asus VG278HE Asus VG278HE,0 out of 5 0 out of 5,1920x1080 (more than 61%),2 ms (less than 89%),6 W,Yes,140.0,"886227206193, 886227160143",Brightness / Contrast / Resize / Tilt,Write a review Write a review,170/160,17.64 lb,64.30 cm,Yes,,,122.0,Audio Cable,Yes,,,,,,
"Compare prices for Asus PA249Q monitor, Asus PA 249Q reviews - ShopMania",,LED,Asus,350 (more than 86%),Monitors,,DisplayPort / HDMI,,62 mm,"24.1"" (more than 85%)",LED,0.270,,"4716659384083, 0886227384099",,,1.0,36.20 cm,$499 - ABT Show all prices »,AH-IPS,72 W,,Asus PA249Q,0 out of 5,1920x1200 (more than 93%),6 ms,,,,886227384099,Resize,Write a review,,14.55 lb,55.70 cm,,,,,,,,,,5.0,,
