3d compatibility,<page title>,aspect ratio,builtin camera,builtin speakers,cable lock slot,cables included,certification,colour of product,contrast ratio dynamic,contrast ratio typical,depth,depth with stand,display,display brightness,display diagonal,display number of colours,display resolution,display technology,dvi port,dvid ports quantity,energy efficiency class,energy star certified,ethernet lan connection,hd type,hdcp,height,height adjustment,height with stand,input frequency,input voltage,led indicators,linux operating systems supported,manual,on screen display osd,onoff switch,operating relative humidity range,operating temperature range tt,pivot,pivot angle,plug and play,power consumption max,power consumption standby,power consumption typical,power led,quick start guide,response time,standby led,storage relative humidity range,storage temperature range tt,supported graphics resolutions,supported video modes,swivel angle range,swivelling,thin client installed,tilt adjustment,tilt angle,tv tuner integrated,usb 20 ports quantity,vga dsub ports quantity,viewing angle horizontal,viewing angle vertical,weight,weight with stand,width,width with stand,windows operating systems supported,wireless lan connection,colour,dimensions w x d x h with stand,display srgb,display viewable area hxv,mean time between failures mtbf,package dimensions wxdxh,pixel pitch,power consumption active,power consumption off,relative humidity,backlight type,digital horizontal frequency,digital vertical frequency,displayports quantity,hdmi ports quantity,vesa mounting interfaces compatibility,wall mountable,audio output,bluetooth,builtin subwoofer,card reader integrated,epeat compliance,full hd,hdmi,headphone out,placement supported,video dot rate,viewable size horizontal,viewable size vertical,dcin jack,display diagonal metric,feet colour,handheld remote control,ac power in,number of loudspeakers,package weight,viewable size diagonal,power consumption powersave,swivel angle,ethernet lan,headphone outputs,wifi,anschlüsse,auflösung empfohlen,bildformat,blickwinkel horizontal,blickwinkel vertikal,displaygröße,eigenschaften,farbe herstellerspezifisch,gewicht netto,helligkeitleuchtstärke,kontrastverhältnis,lcd paneltechnologie bzw tm,netzteil,prüfzeichenzertifikatezulassungen,reaktionszeit,signalart,vesa bohrung,camera included,connection to pc,dvii ports quantity,horizontal scan range,power consumption,rms rated power,safety,vertical scan range,display type,number of colours,builtin microphone,compatible memory cards,microphone in,farbe allgemein,mac operating systems supported,ac adapter included,headphone connectivity,number of osd languages,on screen display osd languages,operating temperature tt,annual energy consumption,audio input,electromagnetic compatibility,packaging depth,packaging height,packaging width,mobile highdefinition link mhl,nonoperating altitude,operating altitude,operating relative humidity hh,storage temperature tt,strahlungsnorm,display surface,pc audio in,separate hv sync,syncongreen sog,maximum resolution,number of products included,screen saving functions,volume control,composite sync,power consumption average,usb 30 ports quantity,common interface ci,common interface plus ci,usb powered,glossy display,rotating,led backlight,pictureinpicture,quantity,user guide on cdrom,compatible with vesawall mounting system,effective viewing area,picture enhancement,compliance industry standards,hdready,power cord included,storage relative humidity hh,dimensions w x d x h,composite video in,svideo in,swivel,megapixel,product type,io ports,power requirements,bezel width side,bezel width top,swivel webcam,power consumption economy mode,bezel width bottom,svideo inputs quantity
N,D7Z72AA#ABB - Hewlett Packard E271I 27IN - Xpcpro.com,16:9,N,N,Kensington,AC,"CE, CB ,KC, KCC, NOM, PSB, ICE, TUV-S, CCC, CEL Grade 1, CECP, SEPA, TCO, EPA, ISC, VCCI ,FCC, BSMI",Black,5000000:1,1000:1,52.2 mm,278.5 mm,LED,250 cd/m²,"27 "" 68.58 cm",16.77 M,1920 x 1080 pixels,IPS,Y,1,Unspecified,Y,N,Full HD,Y,387.3 mm,Y,532.1 mm,50/60 Hz,100 - 240 V,Y,Y,Y,Y,Y,20 - 80 %,5 - 35 °C,Y,0 - 90 °,Y,40 W,0.5 W,35 W,Y,Y,7 ms,Y,5 - 90 %,-20 - 60 °C,1920 x 1080 HD 1080,1080p,0 - 360 °,Y,N,Y,-5 - 30 °,N,3,1,178 °,178 °,4900 g,7700 g,642 mm,642 mm,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"247E4LHAB/00 - Philips E-line 247E4LHAB, LED - Xpcpro.com",16:9,,,,,,,,1000:1,,,,250 cd/m²,,,,,,,,,,,,,,,,,,,,,,,0 - 40 °C,,,,,0.5 W,,,,5 ms,,,-20 - 60 °C,,,,,,,,,,,,,,,,,,,N,557 x 434 x 193 mm,Y,521.28 x 293.22 mm,30.000 h,605 x 505 x 104 mm,0.272 x 0.272 mm,17.2 W,0.3 W,20 - 80 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"60003491 - NEC MultiSync PA242W LED monitor 24.1"", - Xpcpro.com",16:10,N,N,Kensington,"DVI, Mini DisplayPort",,White,,1000:1,227.6 mm,,LED,340 cd/m²,"24 "" 61.1 cm",1073.7 M,1920 x 1200 pixels,IPS,Y,1,Unspecified,,,Full HD,N,528 mm,Y,,,100 - 240 V,,,Y,,,,,,,,56 W,1 W,,,Y,6 ms,,,,"720 x 400, 720 x 480, 720 x 576, 832 x 624, 1152 x 870, 1280 x 960, 1024 x 768 XGA, 1152 x 864 XGA, 1280 x 1024 SXGA, 1280 x 720 HD 720, 1600 x 1200 UXGA, 1920 x 1080 HD 1080, 1920 x 1200 WUXGA, 640 x 480 VGA, 800 x 600 SVGA",,-45 - 45 °,Y,N,Y,-5 - 30 °,N,,1,178 °,178 °,7400 g,,556.8 mm,,,,,,Y,,,,,,,,RGB-LED,31.5 - 91.1 kHz,50 - 85 Hz,1.0,1,"100 x 100, 200 x 100 mm",Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"E2460PDA - AOC E2460PDA,  LED monitor  24"",  1920 - Xpcpro.com",16:9,,,Kensington,"AC, Audio 3.5mm, DVI, VGA",Energy Star 5.0,Black,20000000:1,1000:1,244.58 mm,,LED,250 cd/m²,"61 cm 24 """,16.77 M,1920 x 1080 pixels,,,1,Unspecified,Y,,,Y,523.6 mm,Y,,50/60 Hz,90 - 240 V,,,Y,,,,,Y,,,,0.5 W,32 W,,,5 ms,,,,1920 x 1080 HD 1080,1080p,,Y,,Y,-5 - 15 °,,,1,170 °,160 °,6540 g,,565.4 mm,,,,,,,,,,0.276 x 0.276 mm,,0.3 W,,W-LED,30 - 83 kHz,55 - 75 Hz,,,100 x 100 mm,Y,Y,N,N,N,Gold,Y,N,1,Horizontal/Vertical,148.5 MHz,531.36 mm,298.89 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"E2470SWHE - AOC E2470SWHE LED monitor 23.6"" 1920 x - Xpcpro.com",16:9,N,N,Kensington,"HDMI, VGA",,Black,20000000:1,1000:1,78.2 mm,,LED,250 cd/m²,"23.6 """,16.77 M,1920 x 1080 pixels,LCD,N,,Unspecified,Y,,Full HD,N,396.9 mm,N,,50/60 Hz,110 - 240 V,,,,Y,,,,,,,,0.5 W,26 W,,,5 ms,,,,,,,,N,,,N,,1,170 °,160 °,3580 g,,551.4 mm,,,,,,,,,,0.276 x 0.276 mm,,0.5 W,,,,,,2,100 x 100 mm,Y,,,,,Gold,,,,,,,,Y,59.9 cm,Black,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"E719SDA - AOC e719Sda LED monitor 17"" 1280 x 1024 - Xpcpro.com",5:4,N,Y,Kensington,,"CE, EuP, GOST, RoHS, TCO´06, TÜV-Bauart","Black, Silver",20000000:1,1000:1,58.9 mm,,LED,250 cd/m²,"17 """,16.77 M,1280 x 1024 pixels,,Y,1,Unspecified,,,N,Y,326.7 mm,N,,50/60 Hz,110 - 240 V,,,,Y,,,,N,,,,0.5 W,25 W,,,5 ms,,,,1280 x 1024 SXGA,,,N,N,Y,-5 - 20 °,N,,1,170 °,160 °,3060 g,,371.6 mm,,,,,,,,,,0.264 x 0.264 mm,,0.5 W,,,30 - 83 kHz,50 - 76 Hz,,,100 x 100 mm,Y,Y,,,,Silver,,,,,140 MHz,337.9 mm,270.3 mm,,43.2 cm,,,Y,1,4610 g,432 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"LS24C45KBL/EN - Samsung S24C450BL, LED monitor - Xpcpro.com",16:9,N,Y,,"AC, VGA",TCO 6 CE,Black,Mega Contrast,1000:1,45 mm,224 mm,LED,250 cd/m²,"59.94 cm 24 """,16.77 M,1920 x 1080 pixels,,,1,Unspecified,Y,,Full HD,Y,330.5 mm,Y,352.4 mm,,,,,Y,,,,,Y,-1 - 95 °,Y,,0.1 W,30 W,,Y,5 ms,,,,1920 x 1080 HD 1080,1080p,,Y,,Y,-3 - 25 °,N,,1,170 °,160 °,5400 g,6850 g,664.6 mm,554.6 mm,,,,,,,,,0.272 x 0.272 mm,,,,,,,,,100 x 100 mm,Y,,N,,N,Gold,,Y,,Horizontal/Vertical,,,,,,,,,2 pcs,,,20 W,-45 - 45 °,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"24M35H - LG  Monitor FLATRON 24M35H LED  23.6"" - Xpcpro.com",16:9,,,,,"EPA, FCC-B, CE, ULcUL, TUV-Type",Black,5000000:1,1000:1,98 mm,215 mm,LED,200 cd/m²,"23.6 """,16.77 M,1920 x 1080 pixels,TN,,,Unspecified,,,Full HD,Y,314 mm,,438 mm,50/60 Hz,100 - 240 V,Y,,,Y,Y,,,,,Y,,0.3 W,19 W,Y,,5 ms,Y,,,1920 x 1080 HD 1080,1080p,,,N,Y,-3 - 20 °,,,1,170 °,160 °,2700 g,3000 g,556 mm,556 mm,,,,,,,,,0.2715 x 0.2715 mm,,0.3 W,,,,,,1,Y mm,Y,,N,,,Gold,,,,,,,,,60 cm,,,Y,,,,,,N,1.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"UM.EB6EE.005 - Acer B226WLymdr LED monitor 22"" - Xpcpro.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DVI-D mit HDCP, D-Sub 15 pol.",1.680 x1.050,Wide 15:9/16:9/16:10,170 °,160 °,"55.9 cm 22 ""","höhenverstellbar, Pivot drehbar 90°, Speaker",darkgrey,"5,75 kg",250 cd/qm,1000 :1,TN Film,intern,"CE, TÜV-GS, ISO 9241-307",5 ms,digital/analog,100 x 100 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,PL C1911S-B3 - Iiyama ProLite C1911S-3 - LCD - Xpcpro.com,16:9,,Y,Kensington,,,Black,-,1000:1,200.5 mm,,LCD,250 cd/m²,"19 """,16.77 M,1280 x 1024 pixels,,,-,Unspecified,,,,N,431.5 mm,,,50/60 Hz,100 - 240 V,,,Y,,,,,,,,,,,Y,Y,5 ms,Y,,,1280 x 1024 SXGA,,,,-,,,N,-,1,178 °,160 °,3900 g,,407 mm,,Y,,,,,,,,,,,,,,,,-,100 x 100 mm,Y,,,,,,N,,,,,,,,,,,,2 pcs,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,-,30 - 82 kHz,19 W,1 W,"CE, TÜV/Bauart, CU",56 - 72 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
