<page title>,depth,display size,display type,green compliance,height,included devices,included network card,input devices,installed memory,interface connection,laptop type,memory technology,number of cells,processor class,processor speed,solid state drive capacity,url,warranty information,width,battery life,operating system,slots,video chipset,weight,color,hard drive capacity,included drives,maximum memory,aspect ratio,cache size,installed video memory,max resolution,number of hard drives included,number of processor cores,64bit processing,battery energy,brand name,bus speed,dimensions,drive controllers,duallayer media support,graphics memory technology,hard drive rpm,network rj45,normalizedcache size,normalizeddisplay size,normalizedhard drive capacity,normalizedheight,normalizedinstalled memory,normalizedinstalled video memory,normalizedprocessor speed,normalizedweight,number of total memory slots,number of usb 20 ports,product line,screen mode,software included,total number of usb ports,video bus,video integration,video memory,wifi manufacturer,wifi model,number of solid state drives included,parent retsku,direct media interface,headphonemicrophone combo port,hyperthreading,memory card reader,multitouch screen,number of usb 30 ports,processor model,product series,touchpad features,audio line out,frequency band,keyboard backlight,maximum power supply wattage,operating system architecture,product model,tv card,category,class,modem,modem rj11,front camera,keyboard type,operating system platform,solid state drive interface,audio codec,audio line in,near field communication,vpro technology,cd rewrite speed,cd write speed,cdrom read speed,dvdrom read speed,normalizedcd rewrite speed,normalizedcd write speed,normalizeddvdrom read speed,wwan support
"Dell Precision M3800 15.6"" Touchscreen LED Notebook - Intel Core I7 I7-4702HQ 2.20 GHz (16 GB RAM - 256 GB SSD - Bluetooth) Price Comparison at Buy.net",10 in,15.6 in,LED Backlight,ENERGY STAR|EPEAT|China RoHS|EU RoHS|WEEE|Korea RoHS|Eco-label|J-Moss ( Japanese RoHS ),0.7 in,Built-In Microphone Yes|Keyboard Backlight Yes,Ethernet|Bluetooth 4.0,TouchPad|Touch Screen Yes,16 GB,1 x USB 2.0|3 x USB 3.0|HDMI Yes|DisplayPort Yes,Notebook,DDR3 SDRAM,6-cell,Intel Core i7,2.20 GHz,256 GB,http : //www.dell.com,1 Year,14.7 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer C720-2802 Granite Gray 11.6"" Ultrabook (1.4 GHz Intel Celeron 2955, 2 GB DDR3, 16 GB SSD, Intel HD Graphics, Chrome OS, LED Backlight) Price Comparison at Buy.net",8 in,11.6 in,ComfyView LED Backlight,,0.8 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Bluetooth 4.0 + HS,TouchPad,2 GB,1 x USB 2.0|1 x USB 3.0|HDMI Yes|Audio Line Out Yes,Notebook,DDR3L SDRAM,3-cell,Intel Celeron,1.40 GHz,16 GB,http : //us.acer.com,,11.3 in,8.50 Hour,Chrome OS,Secure Digital ( SD ) Card,Intel HD Graphics,2.76 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung ATIV Book 9 NP930X5J 15.6"" LED Notebook - Intel Core I7 I7-4500U 1.80 GHz - Black (8 GB RAM - 256 GB SSD - Intel HD Graphics 4400 - Windows 7 Professional - 1920 X 1080 Display - Bluetooth) Price Comparison at Buy.net",9.8 in,15.6 in,LED Backlight,ENERGY STAR|RoHS|EPEAT,0.6 in,Built-In Webcam Yes,IEEE 802.11a/b/g/n/ac|Bluetooth 4.0,ClickPad,8 GB,2 x USB 3.0|HDMI Yes,Notebook,DDR3 SDRAM,4-cell,Intel Core i7,1.80 GHz,256 GB,http : //www.samsungusa.com,,14.7 in,,Windows 7 Professional,Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ),Intel HD Graphics 4400,3.90 lbs,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI GT70 2OKWS-1053US 17.3"" LED Notebook - Intel Core I7 I7-4800MQ 2.70 GHz - Brush Aluminum Black (16 GB RAM - 1 TB HDD - Blu-ray Writer - NVIDIA Quadro K3100M - Windows 7 Professional - 1920 X 1080 Display - Bluetooth) Price Comparison at Buy.net",11.3 in,17.3 in,LED Backlight,RoHS|WEEE|ErP,2.2 in,Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11a/b/g/n|Ethernet|Bluetooth 4.0,,16 GB,2 x USB 2.0|3 x USB 3.0|eSATA No|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes|DisplayPort Yes,Notebook,DDR3L SDRAM,9-cell,Intel Core i7,2.70 GHz,,http : //www.msicomputer.com,2 Year,16.9 in,,Windows 7 Professional,Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ),NVIDIA Quadro K3100M,8.60 lbs,Brush Aluminum Black,1 TB,BD-R/RE,32 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung ATIV Book 9 NP900X3G 13.3"" LED SuperBright Ultrabook - Intel Core I5 I5-4200U 1.60 GHz - Ash Black (8 GB RAM - 128 GB SSD - Intel HD 4400 - Windows 7 Professional - 1920 X 1080 Display - Bluetooth) Price Comparison at Buy.net",8.6 in,13.3 in,SuperBright LED Backlight,ENERGY STAR,0.5 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n/ac|Gigabit Ethernet|Bluetooth 4.0,ClickPad,8 GB,1 x USB 2.0|1 x USB 3.0|HDMI Yes|VGA Yes,Ultrabook,DDR3 SDRAM,4-cell,Intel Core i5,1.60 GHz,128 GB,http : //www.samsungusa.com,3 Year,12.4 in,10 Hour,Windows 7 Professional Upgradable to Windows 8 Pro,Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),Intel HD 4400,2.49 lbs,Ash Black,,,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire E1-731-10054G50Mnii 17.3"" LED Notebook - Intel Celeron 1005M 1.90 GHz (4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD Graphics - Windows 7 Home Premium 64-bit - 1600 X 900 Display - Bluetooth) Price Comparison at Buy.net",10.8 in,17.3 in,LED Backlight,,1.4 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam Yes,IEEE 802.11b/g/n|Gigabit Ethernet,TouchPad,4 GB,1 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes,Notebook,DDR3 SDRAM,6-cell,Intel Celeron,1.90 GHz,,http : //us.acer.com,,16.3 in,3 Hour,Windows 7 Home Premium,Secure Digital ( SD ) Card,Intel HD Graphics,7.05 lbs,,500 GB,DVD-RAM/R/RW,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) ZBook 17 17.3"" LED Notebook - Intel - Core I7 I7-4700MQ 2.4GHz - Graphite (8 GB RAM - 500 GB HDD - DVD-Writer - NVIDIA, Intel Quadro K3100M, HD 4600 - Windows 7 Professional 64-bit - 1920 X 1080 Display - Bluetooth) Price Comparison at Buy.net",10.7 in,17.3 in,LED Backlight,RoHS|ENERGY STAR|EPEAT Gold|IT Eco Declaration|WEEE|EU WEEE,1.3 in,Built-In Microphone Yes|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Pointstick,8 GB,1 x USB 2.0|3 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes|Thunderbolt Yes,Notebook,DDR3L SDRAM,8-cell,Intel Core i7,2.40 GHz,,http : //www.hp.com,3 Year,16.4 in,,Windows 7 Professional Upgradable to Windows 8 Pro,ExpressCard/54|Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),NVIDIA|Intel Quadro K3100M|HD 4600,7.62 lbs,Graphite,500 GB,DVD-RAM/R/RW,32 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CybertronPC Boss 17.3"" 2.6GHz 32GB DDR3 Intel Core I7-3720QM Quad-Core Blu-ray GeForce GTX 675M Gaming Laptop PC Black Price Comparison at Buy.net",10.87 in,17.3 in,LCD Display w/ LED Backlight,,1.79 in,Built-In Webcam|Keyboard Backlight,Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11b|Wireless Ethernet - IEEE802.11a|Gigabit Ethernet|Bluetooth,Touchpad|Keyboard,32 GB,USB - Universal Serial Bus 3.0|USB - Universal Serial Bus 2.0|Ethernet - RJ45|HDMI|FireWire 400/IEEE 1394 - 4 pin|eSATA|DVI|DisplayPort|Audio - Line Out ( 1/8 '' Mini ) |Audio - Line In ( 1/8 '' Mini ),,DDR3,8-cell,Intel Core i7,2.6 GHz,,http : //www.cybertronpc.com/,1 year ( s ),16.22 in,6 hour ( s ),Windows 8 Pro,SDXC Card|SDHC Card|SD Card|MultiMedia Card ( MMC ) |miniSD Card|Memory Stick PRO|Memory Stick Duo|Memory Stick,NVIDIA GeForce GTX 675M,8.6 lbs,Black,1 TB,BD-RE,32 GB,16 : 9,6 MB,2 GB,1920 x 1080,1,Quad-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus G750JW Black 17.3"" Notebook (2.4 GHz Intel Core I7-4700HQ, 12 GB DDR3, 1 TB HDD, DVD±RW, NVIDIA GeForce GTX 765M, Windows 8 Professional, LED Backlight) Price Comparison at Buy.net",12.5 in,17.3 in,LED Backlight,ENERGY STAR 4.0|RoHS,2 in,Built-In Microphone Yes|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11ac|Gigabit Ethernet|Bluetooth 4.0,Touch Screen No,12 GB,4 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes|DisplayPort Yes|Thunderbolt Yes,Notebook,DDR3 SDRAM,8-cell,Intel Core i7,2.40 GHz,,http : //usa.asus.com,1 Year,17.3 in,3.50 Hour,Windows 8,Secure Digital ( SD ) Card|MultiMediaCard ( MMC ) |Memory Stick,NVIDIA GeForce GTX 765M,9.90 lbs,Black,1 TB,DVDR/RW,32 GB,16 : 9,6 MB,2 GB,1920 x 1080,1,Quad-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toshiba Satellite S55T-A5161 15.6"" Touchscreen LED TruBrite Notebook - Intel Core I7 I7-4700MQ 2.40 GHz - Ice Silver In Brushed Aluminum (8 GB RAM - 750 GB HDD - DVD-Writer - NVIDIA, Intel GeForce GT 740M, HD 4600 - Windows 8.1 64-bit - 1366 X 768 Display) Price Comparison at Buy.net",9.6 in,15.6 in,TruBrite LED Backlight,RoHS|ENERGY STAR|EPEAT Gold,1 in,Built-In Microphone Yes|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11b/g/n|Gigabit Ethernet,TouchPad|Touch Screen Yes,8 GB,1 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes,Notebook,DDR3L SDRAM,4-cell,Intel Core i7,2.40 GHz,,http : //www.toshiba.com,1 Year,14.9 in,,Windows 8.1,Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ) |miniSD Card|microSD Card|MultiMediaCard ( MMC ),NVIDIA|Intel GeForce GT 740M|HD 4600,5.10 lbs,Ice Silver in Brushed Aluminum,750 GB,DVD-RAM/R/RW,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
