64bit computing,<page title>,brand,clock speed,manufacturing process,multicore technology,platform compatibility,processor quantity,product type,socket type,tdp,architecture features,bus speed,packaging type,max supported quantity
Yes,Intel Core i5-4570 3.2 GHz Quad-Core (BX80646I54570) Processor - Pricing and Details - Catalog.com,Intel,3.2 GHz,22 nm,Quad-Core,PC,1.0,Processor,LGA 1150 / Socket H3,95 W,,,,
Yes,Intel Xeon X5450 3 GHz Quad-Core (AT80574KJ080NT) Processor - Pricing and Details - Catalog.com,Intel,3 GHz,45 nm,Quad-Core,PC,1.0,Processor,LGA 771 / Socket J,120 W,"Enhanced SpeedStep technology , Demand Based Switching , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology",FSB Speed - 1333 MHz,,
Yes,Intel Pentium D 915 2.8 GHz Dual-Core (HH80553PG0724MN) Processor - Pricing and Details - Catalog.com,Intel,2.8 GHz,65 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,95 W,"Enhanced SpeedStep technology , streaming SIMD extensions 3 , Execute Disable Bit capability , Intel 64 Technology",FSB Speed - 800 MHz,,
Yes,Intel Core 2 Duo E8600 3.33 GHz Dual-Core (BX80570E8600) Processor - Pricing and Details - Catalog.com,Intel,3.33 GHz,45 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,65 W,"Enhanced SpeedStep technology , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel Trusted Execution Technology , Enhanced Halt State ( C1E ) , Intel Thermal Monitor 2",FSB Speed - 1333 MHz,,
,AMD Opteron 6376 2.3 GHz Sixteen Core (OS6376WKTGGHKWOF) Processor - Pricing and Details - Catalog.com,,2.3 GHz,,Sixteen Core,,1.0,Processor,Socket G34,115 W,,,,
Yes,Intel Core 2 Duo T7250 2 GHz Dual-Core (LF80537GG0412M) Processor - Pricing and Details - Catalog.com,Intel,2 GHz,65 nm,Dual-Core,PC,1.0,Processor,PGA478 ● Socket M ● Socket P,35 W,"Enhanced SpeedStep technology , streaming SIMD extensions 2 , streaming SIMD extensions 3 , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology",FSB Speed - 800 MHz,478-pin Micro FCPGA,
Yes,Intel Core 2 Duo E6850 3 GHz Dual-Core (HH80557PJ0804MG) Processor - Pricing and Details - Catalog.com,Intel,3 GHz,65 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,65 W,"Enhanced SpeedStep technology , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel Trusted Execution Technology",FSB Speed - 1333 MHz,,
Yes,Intel Xeon E7-8867L 2.13 GHz Ten Core (AT80615007002AB) Processor - Pricing and Details - Catalog.com,Intel,2.13 GHz,32 nm,Ten Core,PC,1.0,Processor,LGA 1567,,,,,
,HP Intel Xeon MP 2.2 GHz (346988B21) Processor - Pricing and Details - Catalog.com,HP,,,,PC,,,,,"Streaming SIMD extensions 2 , Hyper-Threading Technology",400 MHz,,
Yes,Intel Pentium 4 651 3.4 GHz (HH80552PG0962M) Processor - Pricing and Details - Catalog.com,Intel,3.4 GHz,65 nm,,PC,1.0,Processor,Socket 775,86 W,"Enhanced SpeedStep technology , Hyper-Threading Technology , streaming SIMD extensions 3 , Execute Disable Bit capability , Intel 64 Technology",FSB Speed - 800 MHz,,
Yes,AMD Opteron 8431 2.4 GHz Six Core (OS8431WJS6DGN) Processor - Pricing and Details - Catalog.com,AMD,2.4 GHz,45 nm,Six Core,PC,1.0,Processor,Socket F ( 1207 ),75 W,"PowerNow ! technology , HyperTransport technology , AMD64 technology , integrated memory controller , AMD Virtualization , AMD CoolCore Technology",,,
Yes,HP Opteron 265 1.8 GHz Dual-Core (391781B21) Processor - Pricing and Details - Catalog.com,HP,1.8 GHz,,Dual-Core,PC,1.0,Processor upgrade,Socket 940,,"HyperTransport technology , AMD64 technology , integrated memory controller",,,
Yes,Intel Core i5 670 3.46 GHz Dual-Core (BX80616I5670) Processor - Pricing and Details - Catalog.com,Intel,3.46 GHz,32 nm,Dual-Core,PC,1.0,Processor,LGA 1156 / Socket H,,,,,
Yes,Intel Xeon 5160 3 GHz Dual-Core (40K1229) Processor - Pricing and Details - Catalog.com,Intel,3 GHz,65 nm,Dual-Core,PC,1.0,Processor upgrade,LGA 771 / Socket J ● Socket 771,80 W,"Enhanced SpeedStep technology , streaming SIMD extensions 3 , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology",FSB Speed - 1000 MHz,,
Yes,Intel Xeon E5320 1.86 GHz Quad-Core (43W5822) Processor - Pricing and Details - Catalog.com,Intel,1.86 GHz,65 nm,Quad-Core,PC,1.0,Processor upgrade,LGA 771 / Socket J ● Socket 771,80 W,"Enhanced SpeedStep technology , Demand Based Switching , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel Advanced Smart Cache",FSB Speed - 1066 MHz,FC-LGA6,
