<page title>,display,hard drives,memory,networking,operating system,processors,support,video cards,optical drives
"$1299 Lenovo Y50, Lenovo Y50 UHD Laptop",15.6 '' UHD LED Glossy ( 3840x2160 ),Hybrid 1TB 5400 RPM+8GB SSHD,8.0GB PC3-12800 DDR3L SDRAM 1600 MHz,Intel® Dual Band Wireless-AC 3160,Windows 8.1 64,4th Generation Intel Core i7-4710HQ Processor ( 2.50GHz 1600MHz 6MB ),One year,NVIDIA GeForce GTX 860M 2GB,
"$449 HP 15z-j100, HP ENVY 15z-j100 CTO Notebook PC",15.6-inch diagonal HD BrightView LED-backlit Display ( 1366x768 ),750GB 5400 rpm Hard Drive,6GB DDR3 System Memory ( 2 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,AMD Quad-Core A8-5550M Accelerated Processor,1-year limited hardware warranty support,AMD Radeon HD Graphics,No Internal DVD or CD Drive
"$629 HP x360 13z, HP Pavilion x360 13z Touch Laptop",13.3-inch diagonal HD WLED-backlit Display ( 1366x768 ) Touchscreen,500GB 5400 rpm Hard Drive,4GB DDR3L System Memory ( 1 Dimm ),802.11b/g/n WLAN and Bluetooth® [ 1x1 ],Windows 8.1 64,AMD Quad-Core A8-6410 Processor + AMD Radeon™ R5 Graphics,"1-year limited hardware warranty , toll-free technical support ; 1-year free limited software support ( from date of purchase )",AMD Radeon™ R5 Graphics,No Internal DVD or CD Drive
"$499 HP 15-g063nr, HP 15-g063nr Notebook PC",15.6 '' diagonal HD BrightView LED-backlit ( 1366 x 768 ),750 GB 5400 rpm SATA,8 GB 1600 MHz DDR3L SDRAM ( 1 x 8 GB ),Integrated 10/100 BASE-T Ethernet LAN,Windows 7 Home Premium 64,"AMD Quad-Core A8-6410 APU with Radeon R5 Graphics ( 2 GHz , 2 MB cache )","1-year limited hardware warranty , toll-free technical support ; 90-days limited software technical support ( from date of purchase )",AMD Radeon R5 Graphics,SuperMulti DVD burner
"$602 Lenovo L440, Lenovo ThinkPad L440 Laptop - 20ATCTO1WW","14.0 '' HD ( 1366 x 768 ) LED Backlit Anti-Glare Display , Mobile Broadband Ready","500GB Hard Disk Drive , 7200rpm",4GB PC3-12800 DDR3L SDRAM 1600MHz SODIMM,ThinkPad b/g/n Bluetooth,Windows 8 64,"Intel Core i3-4000M Processor ( 3MB Cache , 2.40GHz )",1 Year Depot or Carry-in,Intel HD Graphics 4600,DVD Recordable 8x Max Dual Layer ( clipped ) w/ SW Royalty for Windows 8
"$854 Lenovo X240, Lenovo ThinkPad X240 Ultrabook",12.5 '' HD ( 1366 x 768 ) LED Backlit AntiGlare Display,"500GB Hard Disk Drive , 7200rpm",4GB PC3-12800 DDR3L SDRAM 1600MHz SODIMM,Intel Dual Band Wireless 7260BN with Bluetooth 4.0,Windows 8 64,"Intel Core i3-4010U Processor ( 3MB Cache , 1.70GHz )",1 Year Depot or Carry-in,Intel HD Graphics 4400,
"$824 HP 15t, HP ENVY - 15t Quad Edition Windows 7 Laptop",15.6-inch diagonal HD BrightView LED-backlit Display ( 1366x768 ),1TB 5400 rpm Hard Drive,8GB DDR3 System Memory ( 2 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 7 Home Premium 64,4th generation Intel® Core™ i7-4700MQ Processor,1-year limited hardware warranty support,NVIDIA® GeForce® GT 740M Graphics with 2048MB of dedicated video memory,No Internal DVD or CD Drive
"$349 HP 14-q070nr, HP Chromebook 14-q070nr",14 '' diagonal HD BrightView LED-backlit ( 1366 x 768 ),16 GB SATA SSD,On-board 4 GB 1600 MHz DDR3L,802.11a/b/g/n ; Bluetooth,Chrome OS,"Intel® Celeron® 2955U with Intel HD Graphics ( 1.4 GHz , 2 MB cache , 2 cores )",1-year limited hardware warranty support,Intel HD Graphics,
"$499 HP 15-d090nr, HP 15-d090nr Notebook PC",15.6 '' diagonal HD BrightView LED-backlit ( 1366 x 768 ),500GB 5400 rpm SATA,"4GB 1600 MHz DDR3L SDRAM ( 1 x 2 GB , 1 x 2 GB )",Integrated 10/100 BASE-T Ethernet LAN,Windows 7 Home Premium 64,"Intel® Core™ i3-3110M with Intel HD Graphics 4000 ( 2.4 GHz , 3 MB cache , 2 cores )",1-year limited hardware warranty with toll-free support,Intel HD Graphics 4000,SuperMulti DVD burner
"$502 Lenovo ThinkPad 11e, Lenovo ThinkPad 11e Laptop","11.6 W HD TN ( 1366 x 768 ) LED , Anti-Glare , Graphite Black , 720p HD Camera","320GB Hard Disk Drive , 7200rpm - Wireless",4GB PC3-12800 DDR3L SDRAM 1600MHz SODIMM,Intel Dual Band Wireless 7260AN with Bluetooth 4.0,Windows 8.1 64,"Intel Celeron N2920 Processor ( 2MB Cache , up to 2.00GHz )",1 Year Depot or Carry-in,,
"$109 Lenovo A7, Lenovo A7 Tablet",7.0 '' LCD IPS Multi-touch ( 1280x800 ),16GB eMMC,1.0GB LPDDR2 800 MHz,802.11.b/g/n Wifi Wireless,ANDROID 4.2,MTK 8121 Quad-core ARM Cortex-A7 ( 1.30GHz 533MHz 1MB ),One year,,
