<page title>,accessories included,battery life,battery type,card reader type,connector type,graphics card,hard drive size,laptop screen size,model no,multi media drive,network connection,operating system,platform,primary color,processor brand,processor speed,processor type,product in inches l x w x h,resolution,screen type,shipping weight in pounds,store information not available,system ram,walmart no,bus speed,maximum memory expansion,here,condition,monitor size,multi pack indicator,multimedia drive
"HP Black Laptop PC with Intel Celeron N2830 Processor, 15-f039wm - Walmart.com","Power Cord , Battery",4 hours 30 minutes,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 2 x USB 3.0",Intel HD Graphics,500 GB,15.6 inch,15-f039wm,SuperMulti DVD Burner,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Black,Intel,"2.16 GHz , with a Max Turbo Speed of 2.41 GHz",Intel Celeron N2830 Processor,10.16 x 15.18 x 0.89,1366 x 768,"LED Backlight , HD BrightView Display",6.0,Please visit your local store to see if this item is in stock .,4 GB,552887055,,,,,,,
"Lenovo Black 12.5"" ThinkPad X240 Laptop PC with Intel Core i5-4300U Processor, 4GB Memory, 500GB Hard Drive and Windows 7 Professional: Computers : Walmart.com","Power Cord , Battery",,Lithium Ion,"4-in-1 card reader 1 x ( SD ) , 1 x ( SDHC ) , 1 x ( SDXC ) , 1 x ( MMC )","1 x DC-in , 1 x DisplayPort , 1 x Ethernet , 1 x Headphone/Microphone , 2 x USB 3.0 , 1 x VGA",Intel HD Graphics 4400,500 GB,12.5 inch,20AL008YUS,,10/100/1000 Gigabit Ethernet,Windows 7 Professional 64-bit,PC,Black,Intel,"1.90 GHz , with a Max Turbo Speed of 2.90 GHz",Intel Core i5-4300U Processor,15.3 x 11.4 x 5.0,1366 x 768,"LED Backlight , HD Display",8.0,Please visit your local store to see if this item is in stock .,4 GB,552114451,2500MHz,8 GB,,,,,
"Lenovo ThinkPad Laptop, X240, 12.5"" - Walmart.com","Power Cord , Battery",,Lithium Ion,"4-in-1 card reader 1 x ( SD ) , 1 x ( SDHC ) , 1 x ( SDXC ) , 1 x ( MMC )","1 x DC-in , 1 x DisplayPort , 1 x Ethernet , 1 x Headphone/Microphone , 2 x USB 3.0 , 1 x VGA",Intel HD Graphics 4400,500 GB,12.5 inch,20AL008XUS,,10/100/1000 Gigabit Ethernet,Windows 7 Professional 64-bit,PC,Black,Intel,"1.90 GHz , with a Max Turbo Speed of 2.90 GHz",Intel Core i5-4300U Processor,15.3 x 11.4 x 5.0,1366 x 768,"LED Backlight , HD Display",8.0,Please visit your local store to see if this item is in stock .,4 GB,552114457,2500MHz,8 GB,,,,,
"Lenovo 14"" thinkpad T440S laptop PC - Walmart.com","Power Cord , Battery",8 hours 24 minutes,Lithium Ion,"4-in-1 card reader 1 x ( SD ) , 1 x ( SDHC ) , 1 x ( SDXC ) , 1 x ( MMC )","1 x DC-in , 1 x DisplayPort , 1 x Ethernet , 1 x Headphone/Microphone , 3 x USB 3.0 , 1 x VGA",Intel HD Graphics 4400,16 GB,14.0 inch,20AQ005QUS,,10/100/1000 Gigabit Ethernet & 802.11ac/a/b/g/n Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,"1.90 GHz , with a Max Turbo Speed of 2.90 GHz",Intel Core i5-4300U Processor,15.3 x 11.4 x 5.0,1600 x 900,"LED Backlight , HD+ Display",8.0,Please visit your local store to see if this item is in stock .,4 GB,552114433,2500MHz,"12 GB , SO DIMM 204-pin , 1600 MHz / PC3-12800",),,,,
"Lenovo ThinkPad Laptop, T440P - Walmart.com","Power Cord , Battery",12 hours 42 minutes,Lithium Ion,"4-in-1 card reader 1 x ( SD ) , 1 x ( SDHC ) , 1 x ( SDXC ) , 1 x ( MMC )","1 x DC-in , 1 x DisplayPort , 1 x Ethernet , 1 x Headphone/Microphone , 2 x USB 2.0 , 2 x USB 3.0 , 1 x VGA",Intel HD Graphics 4600 & NVIDIA GeForce GT 730M with 1GB of dedicated system memory,500 GB,14.0 inch,20AN006NUS,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11a/c Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,"2.60 GHz , with a Max Turbo Speed of 3.30 GHz",Intel Core i5-4300M Processor,15.3 x 11.4 x 5.0,1600 x 900,"LED Backlight , HD+ Display",8.0,Please visit your local store to see if this item is in stock .,4 GB,552114445,2500MHz,"16 GB , SO DIMM 204-pin , 1600 MHz / PC3-12800",),,,,
"Lenovo T400 Laptop PC, Refurbished Black - Walmart.com","Power Cord , Battery",,Lithium Primary,,"1 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x FireWire , 1 x Microphone , 3 x USB 2.0 , 1 x VGA",Intel 4500M HD,160 GB,14.1 inch,T400,DVD-RW Drive,10/100/1000 Gigabit Ethernet & 802.11a/g Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,2.40 GHz,Intel Core 2 Duo Processor,13.2 x 9.4 x 1.47,1280 x 800,"LCD Color , HD Display",10.0,Please visit your local store to see if this item is in stock .,4 GB,551418113,,4 GB,,Refurbished,,,
"Acer 14"" TravelMate TMP645-V-54308G12tkk Intel Core i5 Laptop - Walmart.com","Power Cord , Battery",8 hours,Lithium Ion,,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 3 x USB 2.0",Intel HD Graphics 4400,120 GB,14.0 inch,NX.V94AA.003,,10/100/1000 Gigabit Ethernet & 802.11a/b/g/n Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,1.90 GHz,Intel Core i5-4300U Processor,17.0 x 12.0 x 3.5,1366 x 768,"LED Backlight , ComfyView HD Display",8.2,Please visit your local store to see if this item is in stock .,8 GB,551956474,,12 GB,,,,,
HP DC5800 Desktop - Walmart.com,,,Lithium Primary,,,,1TB,,DC5800,,,Windows 7 Professional 32-bit,,Silver,,,Intel Core 2 Duo Processor,16.85 x 14.85 x 6.95,,,30.0,Please visit your local store to see if this item is in stock .,4 GB,551879591,,,,,N/A,No,DVD-CDRW Combo
Dell Refurbished Laptop E6410 - Walmart.com,"Power Cord , Battery",3 hours 30 minutes,Lithium Primary,,"1 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x FireWire , 1 x Microphone , 4 x USB 2.0 , 1 x VGA",Integrated Intel HD Graphics,160 GB,14.1 inch,E6410,DVD-RW Drive,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,2.40 GHz,Intel Core i5 Processor,13.2 x 9.4 x 1.2,1280 x 800,"LED Backlight , AntiGlare HD Display",10.0,Please visit your local store to see if this item is in stock .,4 GB,551418121,,4 GB,,Refurbished,,,
"Asus VivoBook Touchscreen Laptop PC, V551LA-DS71T - Walmart.com","Power Cord , Battery",5 hours,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone , 1 x USB 2.0 , 2 x USB 3.0",Intel Haswell 5000 Series,750 GB,15.6 inch,V551LA-DS71T,DL DVD±RW/CD-RW,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 8 64-bit,PC,Silver,Intel,"1.80 GHz , with a Max Turbo Speed of 3.00 GHz",Intel Core i7-4500U Haswell Processor,15.0 x 10.2 x 0.9,1366 x 768,"LED Backlight , HD Touchscreen Display",3.56,Please visit your local store to see if this item is in stock .,8 GB,552425666,,8 GB,,,,,
