<page title>,average battery life in hours,batteries,brand name,chipset brand,color,computer memory type,graphics coprocessor,hard drive,hard drive interface,hard drive rotational speed,hardware platform,item dimensions l x w x h,item model number,item weight,max screen resolution,number of usb 30 ports,operating system,optical drive type,processor,processor brand,processor count,ram,screen resolution,screen size,series,wireless type,audioout ports,battery type,memory speed,number of usb 20 ports,power source,asin,best sellers rank,buy used and save,customer reviews,date first available,graphics card ram size,heres how,shipping,shipping weight,card description,flash memory size,rear webcam resolution,voltage,manufacturer part number,number of items,product dimensions,size
"Amazon.com : HP ProBook F2R75UT 15.6-Inch Laptop (2.4 GHz Intel Core i3-4000M Processor, 4GB DDR3, 500GB HDD, Windows8 Pro) Black : Laptop Computers : Computers & Accessories",13.58 hours,1 Lithium ion batteries required . ( included ),HP,Intel,Black,SODIMM,Intel HD Graphics 4600,500 GB Serial ATA-300,Serial ATA,7200 RPM,PC,1 x 1 x 1 inches,F2R75UT # ABA,1 pounds,1366 x 768 pixels,5.0,Windows 8 Professional,DVD SuperMulti,2.4 GHz Core i3-4000M,Intel,1.0,4 GB DDR3,1366x768,15.6 inches,ProBook,802.11bgn,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : HP G4S67UA 210 G1 - Core i3 4010U / 1.7 GHz - Windows 8.1 Pro 64-bit - 4 GB RAM - 320 GB HDD - 11.6 inch touchscreen 1366 x 768 ( HD ) - Intel HD Graphics 4400 : Computers & Accessories,,,HP,,,,,320 GB,,,,10.24 x 3.15 x 17.12 inches,G4S67UA # ABA,6.5 pounds,,,Windows 8 Pro,,Intel Core i3,,,4 GB,,11.6 inches,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Dell 730-7504 LAT 3330 I3-3217U 1.8G 4GB 320GB 13.3IN W7HP 3YR NBD : Computers & Accessories,,,Dell,,,,,,,,,47.24 x 39.37 x 42.99 inches,730-7504,6.5 pounds,,,microsoft windows 7 home premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : HP Pavilion Touchsmart Sleekbook - D1G61UA#ABA : Laptop Computers : Computers & Accessories,,,,,,,Intel Integrated Graphics,500 GB,,,,,,,,,,,Core i3 3227U,,,6 GB,,14 inches,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : HP Pavilion 10-e010nr TouchSmart Notebook PC : Laptop Computers : Computers & Accessories,,1 Lithium ion batteries required . ( included ),HP,,Sparkling Black,DDR3 SDRAM,ADM Radeon HD 8180 graphics,320 GB,Serial ATA,5400 RPM,PC,7.66 x 10.74 x 0.89 inches,F3F15UA # ABA,3.2 pounds,1366x768,1.0,Windows 8.1,,1 GHz Apple A4,AMD A4,1.0,2 GB DDR3L SDRAM,1366 x 768,10.1 inches,Pavilion,802.11bgn,1.0,Lithium-Ion ( Li-Ion ),1066 MHz,2.0,,,,,,,,,,,,,,,,,,
"Amazon.com : HP Probook 4540S Laptop - 15.6"" LED Anti-glare Screen, Intel i3-3110M 2.4GHz Processor, 4 GB Memory, 500GB HDD, DVD Burner, Win 7 Home Premium : Computers & Accessories",6 hours,,HP,,Brushed Aluminum,DDR3 SDRAM,,500 GB,Serial ATA,,PC,14.80 x 10.10 x 1.10 inches,4540S,5.4 pounds,1366 x 768,,Windows 7 Home Premium,,,,,4 GB SDRAM DDR3,,15.6 inches,Probook,802.11bgn,,,,,AC,,,,,,,,,,,,,,,,,
Amazon.com : Acer Aspire NX.MHFAA.002;E1-572-6484 15.6-Inch Laptop : Computers & Accessories,,,Acer,,Red,DDR3 SDRAM,,500 GB,Serial ATA,5400 RPM,PC,15 x 10.10 x 1 inches,NX.MHFAA.002 ; E1-572-6484,5.2 pounds,1366x768,1.0,Windows 7 Home Premium 64-bit,DVD Super Multi DL,1.7 GHz Core i3-4010U,Intel Core i3,1.0,4 GB DDR3L SDRAM,1366 x 768,15.6 inches,Aspire,802.11 a/b/g/n,1.0,Lithium-Ion ( Li-Ion ),,2.0,,,,,,,,,,,,,,,,,,
"Amazon.com : Dell Inspiron i17RV Black Laptop, Intel Core i3 4010U 1.7GHz, 8GB DDR3 Ram, 17.3in Screen, 750GB HDD, DVD Burner, Windows 7 Home Premium : Computers & Accessories",,,Dell,,,DDR3 SDRAM,,,,,PC,20.20 x 13.13 x 3.58 inches,I17RV,,,,Windows 7 Home Premium,,,,,,,,Inspiron i17RV,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HEWLETT-PACKARD EliteBook 14"" LED Notebook - Intel Core i3 i3-4010U 1.70 GHz 4 GB RAM - 500 GB HDD / F2P23UT#ABA / : Computer Monitors : Computers & Accessories",,,,,,,,500 GB,,,,,,,,,,,Intel Core i3,,,4 GB,,14 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : ICI 4UJ59FAN 4U Rackmount Computer - Intel® i3/2GB/500GB/Dual LAN/DVD-RW/Win7 32-bit - 20"" Deep : Laptop Computers : Computers & Accessories",,,Industrial Computers Inc .,,,DDR3 SDRAM,,500 GB,PC Card,,PC,,4UJ59FAN,,,,Windows 7 Professional,,Intel Core i3,,,2 GB DIMM,,20 inches,4UJ59FAN,,,,,,,,,,,,,,,,,,,,,,,
