<page title>,battery,dimensions wxhxd,keyboard,operating system,pointing device,weight,power requirements,security
"ASUS Republic of Gamers G751JT-DH72 17.3"" G751JT-DH72 B&H",8-Cell Lithium-Ion Providing up to 4 Hours per Charge ( 88 Wh ),16.4 x 1.7 x 12.5 '' / 41.7 x 4.3 x 31.8 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,8.4 lb / 3.81 kg,,
"HP SlateBook 14-p010nr 14"" Touchscreen Notebook G9Z33UA#ABA",3-Cell Built-In Lithium-Polymer Providing up to 9 Hours per Charge ( 32 Wh ),13.5 x 9.5 x 0.6 '' / 34.3 x 24.1 x 1.5 cm,Type : Standard Notebook Keyboard,Android 4.3 Jelly Bean,TouchPad with Multi-Touch Control,3.71 lb / 1.68 kg,AC : - VAC Consumption : 45 W,
"Acer Aspire E5-571P-51GN 15.6"" Multi-Touch NX.MMSAA.016 B&H",6-Cell Lithium-Ion Providing up to 7 Hours per Charge ( 5000 mAh ),15.0 x 1.2 x 10.1 '' / 38.1 x 3.0 x 25.7 cm,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad,5.95 lb / 2.70 kg,,
"Dell Inspiron 17 7000 Series 17.3"" I7746-3125SLV B&H Photo",4-Cell Lithium-Ion ( 58 Wh ),16.2 x 1.0 x 10.6 '' / 41.1 x 2.5 x 26.9 cm,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad,7.3 lb / 3.31 kg,,Kensington Lock Slot
"Toshiba Satellite P55T-B5262 15.6"" Notebook PSPNVU-00U00W",4-Cell Built-In Lithium-Ion Providing up to 3.07 Hours per Charge ( 43 Wh ),14.9 x 1.1 x 9.6 '' / 37.8 x 2.8 x 24.4 cm,"Type : Standard Notebook Keyboard Features : LED Backlight , Numeric Keypad",Windows 8.1,TouchPad with Multi-Touch Control,5.1 lb / 2.31 kg,"AC : 100-240 VAC , 50-60 Hz Consumption : 120 W",Kensington Lock Slot
"ASUS Republic of Gamers G750JH-DB71 17.3"" G750JH-DB71 B&H",8-Cell Lithium-Ion Providing up to 3.5 Hours per Charge ( 5900mAh ),16.1 x 2.2 x 12.5 '' / 40.9 x 5.6 x 31.8 cm,"Type : Standard Notebook Keyboard Features : Backlight , Numeric Keypad , Chiclet Style",Windows 8 ( 64-bit ),TouchPad with Multi-Touch Control,10.5 lb / 4.76 kg,"AC : 100-240 V AC , 50/60Hz Consumption : 180W",Kensington Lock Slot
"Panasonic CF-F9KWJZZ1M 14"" Toughbook F9 Laptop CF-F9KWJZZ1M",External Lithium-Ion Providing up to 6.5 Hours per Charge,12.8 x 1.9 x 9.9 '' / 32.5 x 4.8 x 25.1 cm,Keys : 87 Type : Standard Notebook Keyboard,Windows 7 Professional,TouchPad with Circular Motion Scrolling,3.6 lb / 1.63 kg,"AC : 100-240 V AC , 50/60Hz",HDD User Password Protection
"Panasonic Toughbook 31 CF-31WALAHLM 13.1"" CF-31WALAHLM B&H",Lithium-Ion Providing up to 18 Hours per Charge ( 8550 mAh ),11.9 x 2.9 x 11.5 '' / 302.3 x 73.7 x 292.1 mm,Keys : 87,Windows 7 Professional ( 64-bit ),TouchPad/Stylus,7.9 lb / 3.58 kg,"AC : 100-240 VAC , 50/60 Hz","Infineon TPM Software Professional Package , Kensington Lock Slot"
"Toshiba Satellite P55T-B5154 15.6"" PSPNVU-04505E B&H Photo",Not Specified By Manufacturer,Not Specified By Manufacturer,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,Not Specified By Manufacturer,Not Specified By Manufacturer,Not Specified By Manufacturer
"ASUS K200MA-DS01T-BL(S) 11.6"" K200MA-DS01T-BL(S) B&H Photo",3-Cell Lithium-Ion Providing up to 5 Hours per Charge ( 34 Wh ),11.9 x 1.2 x 7.9 '' / 30.2 x 3.0 x 20.1 cm,Type : Standard Notebook Keyboard Features : Chiclet Style,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,3 lb / 1.36 kg,,Not Specified By Manufacturer
