<page title>,battery,dimensions wxdxh,display,dockable,environmental standards,graphics,memory,networking,operating system,optical drive,processor,product description,product type,security,storage,weight,category,chipset,dimensions wd,hard drive,height,price as reviewed starting price,screen size diagonal,system weight weight with ac adapter,wireless broadband wwan,colour,localisation,manufacturer warranty,mechanical design,microsoft office preloaded,keyboard,camera,hdd,model,os,warranty,wireless,system type,included service,color,cpu,lan,graphic card,hard disk,ram memory,dimensions
Other Laptops & Notebooks - Lenovo ThinkPad T540p 20BE | 20BE006VZA for sale in Johannesburg (ID:151262020),6-cell - up to 6.2 hours,37.66 cm x 24.81 cm x 2.95 cm,15.6 '' LED backlight 1920 x 1080 / Full HD,Yes,ENERGY STAR Qualified,NVIDIA GeForce GT 730M / Intel HD Graphics 4600 - 1 GB,8 GB DDR3L,"802.11n , Gigabit Ethernet",Windows 8.1 Pro 64-bit,DVD-Writer,Intel Core i7 ( 4th Gen ) 4700MQ / 2.4 GHz ( 3.4 GHz ) / 6 MB Cache,Lenovo ThinkPad T540p 20BE - 15.6 '' - Core i7 4700MQ - Windows 8.1 Pro 64-bit - 8 GB RAM - 1 TB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",1 TB HDD / 5400 rpm,2.46 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IBM, Lenovo - Lenovo ThinkPad X201 3626 /COREI5/4GIG DDR/320GIG HDD/12.1""LED was listed for R4,000.00 on 23 Oct at 09:46 by ttechsmart in Pretoria / Tshwane (ID:161699249)",,,,,,Intel Media Accelerator HD ( integrated ),"4GB , 1066MHz DDR2",,Windows 7 Home Premium ( 64-bit ),,2.53GHz Intel Core i5 M540,,,,,,Ultraportable,Intel HM55,11.6 x 10.1 inches,"320GB 7,200rpm",1.3 inches,"$ 1,464 / $ 1,999",12.1 inches,3.8 / 4.5 pounds,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad X240 20AM | 20AL00A4ZA for sale in Johannesburg (ID:149015398),3-cell,30.55 cm x 20.85 cm x 1.99 cm,12.5 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Gigabit Ethernet",Windows 8.1 Pro 64-bit,No optical drive,Intel Core i7 ( 4th Gen ) 4600U / 2.1 GHz ( 3.3 GHz ) / 4 MB Cache,Lenovo ThinkPad X240 20AL - 12.5 '' - Core i7 4600U - Windows 8.1 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 7200 rpm,1.31 kg,,,,,,,,,WWAN upgradable,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP ProBook 450 G2 | J4S11EA for sale in Johannesburg (ID:162050220),4-cell - up to 9.25 hours,37.5 cm x 26.28 cm x 2.55 cm,15.6 '' LED backlight 1366 x 768 / HD,,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i5 ( 4th Gen ) 4210U / 1.7 GHz ( 2.7 GHz ) / 3 MB Cache,HP ProBook 450 G2 - 15.6 '' - Core i5 4210U - Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - 4 GB RAM - 750 GB HDD - with HP Basic Carrying Case,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",750 GB HDD / 5400 rpm,2.26 kg,,,,,,,,,3G - no service included,,,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Lenovo ThinkPad T440s 20AQ | 20AQ003NZA was listed for R16,018.80 on 31 Oct at 00:52 by FirstShop in Johannesburg (ID:158050382)",3-cell,33.1 cm x 22.6 cm x 2.065 cm,14 '' LED backlight 1600 x 900 / HD+,Yes,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3,"802.11n , Gigabit Ethernet",Windows 8 Pro 64-bit,No optical drive,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,Lenovo ThinkPad T440s 20AQ - 14 '' - Core i5 4200U - Windows 8 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 7200 rpm,1.59 kg,,,,,,,,,WWAN upgradable,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad T540p 20BE | 20BE0014ZA for sale in Johannesburg (ID:147826843),6-cell - up to 6.2 hours,37.66 cm x 24.81 cm x 2.95 cm,15.6 '' LED backlight 1920 x 1080 / Full HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",NVIDIA GeForce GT 730M / Intel HD Graphics 4600 - 1 GB,4 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8 Pro 64-bit,DVD-Writer,Intel Core i5 ( 4th Gen ) 4300M / 2.6 GHz ( 3.3 GHz ) / 3 MB Cache,Lenovo ThinkPad T540p 20BE - 15.6 '' - Core i5 4300M - Windows 8 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 7200 rpm,2.46 kg,,,,,,,,,WWAN upgradable,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP EliteBook Folio 1040 | H5F66EA for sale in Johannesburg (ID:157704242),6-cell,33.8 cm x 23.35 cm x 1.59 cm,14 '' LED backlight Full HD UWVA eDP anti-glare 1920 x 1080 / Full HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4400,8 GB DDR3L,"802.11n , Bluetooth 4.0 EDR , Gigabit Ethernet",Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - pre-installed : Windows 7,No optical drive,Intel Core i7 ( 4th Gen ) 4600U / 2.1 GHz ( 3.3 GHz ) / 4 MB Cache,HP EliteBook Folio 1040 G1 - 14 '' - Core i7 4600U - Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - 8 GB RAM - 256 GB SSD,Ultrabook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",256 GB SSD,1.49 kg,,,,,,,,,4G,Platinum,Portuguese / Portugal,3 years warranty,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad E440 20C5 | 20C5009PZA for sale in Johannesburg (ID:151262014),6-cell,34.4 cm x 23.9 cm x 2.93 cm,14 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4600,4 GB DDR3L,"802.11n , Gigabit Ethernet",Windows 8.1 64-bit,DVD-Writer,Intel Core i3 ( 4th Gen ) 4000M / 2.4 GHz / 3 MB Cache,Lenovo ThinkPad E440 20C5 - 14 '' - Core i3 4000M - Windows 8.1 64-bit - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 7200 rpm,2.13 kg,,,,,,,,,WWAN,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad Yoga 20CD | 20CD00DLZA for sale in Johannesburg (ID:161481336),8-cell - up to 7 hours,31.6 cm x 22.1 cm x 1.88 cm,12.5 '' LED backlight touchscreen 1920 x 1080 / Full HD,,ENERGY STAR Qualified,Intel HD Graphics 4400,8 GB DDR3L,"802.11n , Bluetooth 4.0",Windows 8.1 Pro 64-bit,No optical drive,Intel Core i5 ( 4th Gen ) 4210U / 1.7 GHz ( 2.7 GHz ) / 3 MB Cache,Lenovo ThinkPad Yoga 20CD - 12.5 '' - Core i5 4210U - Windows 8.1 Pro 64-bit - 8 GB RAM - 256 GB SSD,Ultrabook,Trusted Platform Module ( TPM 1.2 ) Security Chip,256 GB SSD,1.57 kg,,,,,,,,,,Black,,,360 degree flip design,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Dell Latitude E6440 - Core | CA012LE64408WEREM for sale in Johannesburg (ID:162342759),6-cell,33.8 cm x 23.26 cm x 3.18 cm,14 '' LED backlight 1600 x 900 / HD+,Yes,ENERGY STAR Qualified,AMD Radeon HD 8690M - 2 GB GDDR5,8 GB DDR3L,"802.11n , Bluetooth 4.0 LE , Gigabit Ethernet",Windows 7 Pro ( 32/64 bits ),DVD-Writer,Intel Core i5 ( 4th Gen ) 4300M / 2.6 GHz ( 3.3 GHz ) / 3 MB Cache,Dell Latitude E6440 - 14 '' - Core i5 4300M - Windows 7 Pro ( 32/64 bits ) - 8 GB RAM - 500 GB Hybrid Drive,Notebook,,500 GB Hybrid Drive,2.12 kg,,,,,,,,,,,,3 years warranty,,,,,,,,,,,,,,,,,,
