<page title>,deal first added on,ean13,last updated,manufactured in,manufacturer,product name,product number mpn,retail price,upc,processor manufacturer,processor type,hard drive size,num of processors,processor speed,ram,ram type,computer hardware,ean14,operating system,weight,dimensions,modem,cddvd drive,floppy disk drive,hard drive,keyboard mouse,memory,processor,battery,camera,card reader,color,display,graphics,input output,storage,wireless,monitor resolution
"Asus K200MA-DS01T 11.6"" Touchscreen on sale for $290.00",5-April-2014,0886227677863,05-October-2014,Made in USA,Asus,Asus K200MA-DS01T 11.6 '' Touchscreen Laptop ( Black ),90NB04U6-M03070,$ 329.00,886227677863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkPad X1 Carbon Touch Ultrabook on sale for $1207.53,13-August-2013,0887619432923,01-November-2014,,Lenovo,"Lenovo ThinkPad X1 Carbon Touch Ultrabook with Core i7 , 8GB RAM , 240GB SSD , Windows 8 Pro ( 3444CUU )",3444CUU,$ 1999.99,887619432923.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad Yoga 2 Pro Ultrabook on sale for $869.94,3-November-2013,0887942615918,01-November-2014,,Lenovo,"Lenovo IdeaPad Yoga 2 Pro Ultrabook Convertible 13.3 '' Touch-Screen Laptop with Core i5 , 4GB RAM",,$ 1399.99,887942615918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad Y560d on sale for $1399.00,25-August-2010,,01-November-2014,,Lenovo,"Lenovo IdeaPad Y560d with Core i7 , 3D-Ready Gaming Laptop ( Y560d 06462NU )",06462NU,$ 1599.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus X401U 14"" Laptop 500GB HD, 4GB RAM, on sale for $259.00",21-November-2013,0886227478835,01-November-2014,,Asus,"Asus X401U 14 '' Laptop 500GB HD , 4GB RAM , Windows 8 ( X401U-BE20602Z )",X401U-BE20602Z,$ 399.00,886227478835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Pro MD212LL/A 13.3"" Laptop on sale for $1099.99",11-December-2012,0885909513888,01-November-2014,,Apple,Apple MacBook Pro MD212LL/A 13.3 '' Laptop with Retina Display and 128GB SSD ( June 2012 ),MD212LL/A,$ 1699.00,885909513888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Inspiron 15 Non-Touch 3000 Series on sale for $247.00,27-August-2014,0884116146186,05-October-2014,,Dell,"Dell Inspiron 15 Non-Touch 3000 Series 15.6 '' Laptop with 4GB RAM , 500GB HD , Windows 8.1 w/ Bing ( i3531-1200BK )",i3531-1200BK,$ 249.99,884116146186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo ThinkPad Edge E431 14"" Touchscreen",27-March-2014,0887942464783,01-November-2014,,Lenovo,"Lenovo ThinkPad Edge E431 14 '' Touchscreen Laptop with Core i7 , 8GB RAM , 128GB SSD , Windows 8 Professional ( 688647U )",688647U,$ 1029.00,887942464783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gateway NV57H77u 15.6"" Notebook PC on sale for $457.98",22-August-2012,0886541422309,01-November-2014,,Gateway,"Gateway NV57H77u 15.6 '' Notebook PC with 320GB HD,4GB , Webcam , WiFi , Windows 7",,,886541422309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron i15R-2105sLV 15"" Laptop on sale for $1009.11",11-December-2012,0884116082637,01-November-2014,,Delk Products,Dell Inspiron i15R-2105sLV 15 '' Laptop ( Silver ),i15R-2105sLV,$ 729.99,884116082637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
