<page title>,anzahl der kernethreads,level 2 cache,prozessorhersteller,prozessormodel,prozessortyp,taktung,tdp thermal design power,level 3 cache,besonderheiten,turboboost,level 23 cache,3x usb 2x usb 30
"HP 255 G2 15,6'' (A4-5000 4GB 500GB HD8330 Windows 8.1) (F0Z52EA) | HP | 15"" bis 16,9"" | nach DisplaygrÃ¶Ãe | Notebooks | hoh.de",4/4,2 MB,AMD,A4-5000,AMD A4,"4 x 1,50 GHz",15 Watt,,,,,
"Toshiba Notebook Tecra W50-A-104 39,6cm (15,6'') | Toshiba | 15"" bis 16,9"" | nach DisplaygrÃ¶Ãe | Notebooks | hoh.de",4/8,,Intel,i7-4800MQ,Core i7-4,"4 x 2,70 GHz",47 Watt,6 MB,,,,
"Apple Notebook MacBook Pro ME294D/A 39,11cm (15,4'') Retina | MacBook Pro | Apple | nach Hersteller-Serie | Notebooks | hoh.de",4/8,4 x 256 KB,Intel,4850HQ,Core i7-4,"2 x 2,30 GHz",47 Watt,6 MB,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost,"3,50 GHz",,
"Schenker XMG A704-3AD 43,9,6cm (17.3'') Gaming Notebook (Core i7-4710MQ, 8GB, 500GB + 128GB SSD, GTX | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Acer TravelMate P253-MG-53234G50Maks 15,6'' (i5-3230M 4GB 500GB 710M DVD Win8) | ab 38,1 cm (15"") | Travelmate | Acer | nach Hersteller-Serie | Notebooks | hoh.de",2/4,,Intel,3230M,Core i5-3,"2 x 2,60 GHz",35 Watt,3 MB,,"3,20 GHz",,
"ASUS Business K95VB YZ031H 18.4'' Notebook (CI5-3230M, 8GB, 1TB, GT740M ,Full HD, Win8) | Asus | ab 17"" | nach DisplaygrÃ¶Ãe | Notebooks | hoh.de",2/4,,Intel,3230M,Core i5,"2 x 2,60 GHz",35 Watt,,,"3,20 GHz",3 MB,
"MSI GT60WS-7287 15,6'' Workstation Notebook | ab 35,6 cm (14"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",4/8,,Intel,3630QM,Core i7-3,"4 x 2,40 GHz",45 Watt,6 MB,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost,"3,40 GHz",,
Fujitsu TS Ultrabook LIFEBOOK U7720 14'' | Ultrabooks | nach Einsatzgebiet | Notebooks | hoh.de,2/4,,Intel,i7-3687U,Core i7-3,"2 x 2,10 GHz",17 Watt,,,"3,30 GHz",4 MB,
"Schenker B713-4EF 43,9cm (17.3'') Notebook (Core i7-4710MQ, 8GB, 1000GB, Intel HD Graphics, ohne OS) | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"ASUS Notebook PRO P55VA-SO054D P2020 Notebook 15,6"" (Pentium 2020M, 2GB, 320GB, FreeDOS) | Business | Asus | nach Hersteller-Serie | Notebooks | hoh.de",2/2,,Intel,2020M,Pentium,"2 x 2,40 GHz",35 Watt,2 MB,,,,
