32bit or 64bit os,3d glasses included,3d ready,<page title>,backlit keyboard,battery cells,battery life hrs,battery life range,battery type,bluetooth version,built in speakers,color,condition,cpu brand,cpu cache mb,cpu core,cpu series,cpu speed,cpu speed range,depth in,display type,energy star compliant,esata port,fingerprint reader,gpu chipset,gpu memory,gpu video type,hard drive capacity,hard drive capacity range,hard drive interface,hard drive speed,hard drive type,hdmi outputs,hdmi ports,headphone jacks number,height in,included software bundles,item weight lbs,laptop type,lifestyle,manufacturer warranty hardware,manufacturer warranty labor,manufacturer warranty software,max resolution format,maximum memory supported,maximum screen resolution,memory range,memory type,mouse type,networking capability,numeric keypad,operating system,operating system version,optical audio port,optical drive type,package contents,pc card type,screen size by diagonal measure,screen size range,ssd boot drive,total firewire ports,total parallel ports,total serial ports,total system memory,total usb 20 ports,total usb 30 ports,touch screen,tv tuner,vga out,webcam included,widi ready intel wireless display,width in,wireless networking,general warranty,aspect ratio,audio channels,battery capacity ma,bluray read speed max,bluray rewrite speed max,bluray write speed max,cd read speed max,cdr write speed max,cdrw rewrite speed max,dvd read speed max,dvd rewrite speed max,dvd write speed max,microphone jacks,multimedia card built in,multimedia card type,power supply capacity in watts,product bundle,security lock slot,memory speed,64bit computing processor chipset,audio features audio video,capacity battery,chipset processor chipset,color miscellaneous,cpu processor chipset,depth dimensions weight,features display,features input,features miscellaneous,features processor chipset,graphics processor audio video,height dimensions weight,included accessories miscellaneous,included service general,input ac adapter,interfaces connections expansion,lcd backlight technology display,main storage storage,max turbo speed processor chipset,mechanical design general,memory card reader connections expansion,number of cores processor chipset,operating system general,output ac adapter,product type general,ram memory,resolution display,run time battery,sound audio video,speed memory,technology memory,touchscreen display,type display,type input,weight dimensions weight,widescreen display,width dimensions weight,wireless communications,camera in megapixels,caching techology storage,codec audio video,color support display,compliant standards audio video,compliant standards miscellaneous,empty slots memory,epeat compliant environmental standards,features modem,form factor memory,front side bus processor chipset,humidity range operating environmental parameters,interface storage,localization miscellaneous,manufacturer selling program miscellaneous,max transfer rate modem,memory allocation technology audio video,microsoft office preloaded software,min operating temperature environmental parameters,network interface communications,platform technology processor chipset,power efficiency processor chipset,protocols specifications modem,slots connections expansion,slots qty memory,sound emission environmental parameters,the worlds best engineering in action,wireless controller communications,optical drive storage,software included software,cool and quiet design,expansion bays connections expansion,image aspect ratio display,installed qty battery,integrated options miscellaneous,max supported qty battery,outstanding battery life,service support details manufacturer warranty,switchable graphics,system type general
64-bit,None,No,Buy  Dell Dell E6510 refurbished laptop PC I5 2.4/4GB/320GB/DVDRW/15.6/W7P64 - E6510 from MyGofer.com,No,4-cell,1.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),2.1 + EDR ( Enhanced Data Rate ),Yes,Silver/gray,Refurbished,Intel,4MB,Dual-core,Core I series,2.4,2.0 to 3 GHz,1.23,LCD,No,No,No,Intel,up to 256MB Shared Memory,Integrated Graphics,320,250GB to 499GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,Yes,None,1.0,2.0,W7 Professional 64 BITS,4.7,PC laptops,Business,"One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher","One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher",One Year from Microsoft online support,None,8GB,1600 X 900,2.1GB - 4GB,DDR3,Touchpad,Integrated Ethernet 10/100,No,Windows,W7 Professional 64 BITS,No port,DVD+/-R/RW,"PC , power cord , set up guide .",ExpressCard,15.6,15 inches to 15.9 inches,No,None,None,None,4096.0,4,0.0,No,No,Yes,No,No,9.3,802.11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-bit,None,No,"Buy  IBM T61 Refurbished 14.1 Laptop, Intel Core2Duo 2GHz, 2GB, 80GB, CDRW/DVD, Windows7 Home Premium, 1yr Warranty ENERGY STAR® - NICT61M20HEEDG from MyGofer.com",No,6-cell,2.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),No Bluetooth,Yes,Black,Refurbished,Intel,2MB,Dual-core,Intel Core 2 Duo,2000,2.0 to 3 GHz,9.4,LCD,Yes,No,No,Intel,Shared with system memory,Intergrated,80,Less than 128GB,SATA II ( 3 Gb/s ),5400 rpm,Standard,No,None,1.0,1.2,"Windows7 Home Premium , Open Office , Windows Live Essentials , Firefox , Adobe Reader X , Adobe Flash Player",5.2,PC laptops,Home & Student,1 Year Parts and Labor,1 Year Parts and Labor,1 Year Parts and Labor,None,4GB,1280 x 800,2GB or less,DDR2,None,"10/100/1000 NIC , Gigabit LAN",No,Windows,Windows 7 Home Premium,No port,CD-RW/DVD Combo Drive,"Computer System , AC Adaptor , Welcome Letter , Warranty Card , System Recovery Instructions",PCMCIA,14.1,11 inches to 14.9 inches,No,1,None,None,2.0,3,3.0,No,No,Yes,No,No,13.0,802.11G,1 year parts and labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-bit,None,No,Buy  Dell Dell E6520 refurbished laptop PC I5 2.5/4GB/500GB/DVDRW/15.6/W7P64 - E6520 from MyGofer.com,No,4-cell,1.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),2.1 + EDR ( Enhanced Data Rate ),Yes,Silver/gray,Refurbished,Intel,4MB,Dual-core,Core I series,2.5,2.0 to 3 GHz,1.23,LCD,No,No,No,Intel,up to 256MB Shared Memory,Integrated Graphics,500,500GB to 749GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,Yes,1,1.0,2.0,W7 Professional 64 BITS,4.7,PC laptops,Business,"One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher","One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher",One Year from Microsoft online support,None,8GB,1600 X 900,2.1GB - 4GB,DDR3,Touchpad,Integrated Ethernet 10/100,No,Windows,W7 Professional 64 BITS,No port,DVD+/-R/RW,"PC , power cord , set up guide .",ExpressCard,15.6,15 inches to 15.9 inches,No,None,None,None,4096.0,4,0.0,No,No,Yes,No,No,9.3,802.11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-bit,None,No,Buy  HP Refurbished: 8440P 14.1 laptop Core i5 2.4GHz 4GB Ram 250HDD DVDRW Win7Home(B grade: Scrach and Dent) ENERGY STAR® - NH8440CM24JIHEG from MyGofer.com,No,6-cell,1.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),2.1 + EDR ( Enhanced Data Rate ),Yes,Silver/gray,Refurbished,Intel,3,Dual-core,Intel Core i5,2400,2.0 to 3 GHz,9.3,LED-backlit,Yes,Yes,No,Intel,Shared with system memory,Integrated Intel HD Graphics,250,250GB to 499GB,SATA II ( 3 Gb/s ),5400 rpm,Standard,No,None,1.0,1.23,"Libre Office , AVG , Win Live Essentials ( Photo Gallery , Movie Maker , Live Mail , Live Writer , Sky Drive , Family Safety )",5.0,PC laptops,Home & Student,90 Days Hardware/Parts Depot Warranty,90 days,None,720p,8,1280 x 800,2.1GB - 4GB,DDR3,Touchpad,GLAN Ethernet 10/100/1000,No,Windows,Window 7 Home,No port,DVD+/-R/RW,"System , AC Adaptor , Welcome Letter , Warranty Card , System Recovery Instructions",ExpressCard,14.0,11 inches to 14.9 inches,No,1,None,None,4.0,3,0.0,No,No,Yes,Yes,No,13.21,802.11N,90 days Parts and Labor Depot Warranty,16 : 9 ( Widescreen ),2.1,55.0,No Drive,No Drive,No Drive,24X,8X,8X,8X,4X,8X,1.0,Yes,"SD , MMC",90.0,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-bit,None,No,Buy  HP HP 8540P refurbished laptop PC I7 2.67/4GB/500GB/DVDRW/15.6/Webcam/W7P64 - 8540P from MyGofer.com,No,4-cell,1.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),2.1 + EDR ( Enhanced Data Rate ),Yes,Silver/gray,Refurbished,Intel,4MB,Dual-core,Core I series,2.67,2.0 to 3 GHz,1.23,LCD,No,No,No,Intel,up to 256MB Shared Memory,Integrated Graphics,500,500GB to 749GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,Yes,None,1.0,2.0,W7 Professional 64 BITS,4.7,PC laptops,Business,"One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher","One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher",One Year from Microsoft online support,None,8GB,1600 X 900,2.1GB - 4GB,DDR3,Touchpad,Integrated Ethernet 10/100,No,Windows,W7 Professional 64 BITS,No port,DVD+/-R/RW,"PC , power cord , set up guide .",ExpressCard,15.6,15 inches to 15.9 inches,No,None,None,None,4096.0,4,0.0,No,No,Yes,Yes,No,9.3,802.11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-bit,None,No,Buy  Dell Dell E5420 refurbished laptop PC I5 2.5/4GB/750GB/DVDRW/14/W7P64 - E5420 from MyGofer.com,No,4-cell,1.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),2.1 + EDR ( Enhanced Data Rate ),Yes,Silver/gray,Refurbished,Intel,4MB,Dual-core,Core I series,2.5,2.0 to 3 GHz,1.23,LCD,No,No,No,Intel,up to 256MB Shared Memory,Integrated Graphics,750,750GB to 999GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,Yes,1,1.0,2.0,W7 Professional 64 BITS,4.7,PC laptops,Business,"One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher","One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher",One Year from Microsoft online support,None,8GB,1600 X 900,2.1GB - 4GB,DDR3,Touchpad,Integrated Ethernet 10/100,No,Windows,W7 Professional 64 BITS,No port,DVD+/-R/RW,"PC , power cord , set up guide .",ExpressCard,14.0,11 inches to 14.9 inches,No,None,None,None,4096.0,4,0.0,No,No,Yes,No,No,9.3,802.11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-bit,None,No,Buy  Lenovo Lenovo T510 refurbished laptop PC I5 2.4/4GB/750GB/DVDRW/15.6/Webcam/W7P64 - T510 from MyGofer.com,No,4-cell,1.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),2.1 + EDR ( Enhanced Data Rate ),Yes,Black,Refurbished,Intel,4MB,Dual-core,Core I series,2.4,2.0 to 3 GHz,1.23,LCD,No,No,No,Intel,up to 256MB Shared Memory,Integrated Graphics,750,750GB to 999GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,Yes,None,1.0,2.0,W7 Professional 64 BITS,4.7,PC laptops,Business,"One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher","One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher",One Year from Microsoft online support,None,8GB,1600 X 900,2.1GB - 4GB,DDR3,Touchpad,Integrated Ethernet 10/100,No,Windows,W7 Professional 64 BITS,No port,DVD+/-R/RW,"PC , power cord , set up guide .",ExpressCard,15.6,15 inches to 15.9 inches,No,None,None,None,4096.0,4,0.0,No,No,Yes,Yes,No,9.3,802.11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-bit,None,No,"Buy  Dell Latitude Refurbished D630 14.1"" Laptop Intel Core 2 Duo 2.2GHz 2GB Ram 80GB HDD CDRW/DVD Window 7 HP (B Grade: Scratch & Dent) ENERGY STAR® - NBDED63M22MECBG from MyGofer.com",No,6-cell,1.0,0-2.9 Hrs,Lithium polymer,No Bluetooth,Yes,Silver/gray,Refurbished,Intel,2,Dual-core,Core 2 Duo,2200,2.0 to 3 GHz,1.26,LCD,Yes,No,No,Intel,4,Integrated Intel GMA X3100,80,Less than 128GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,No,None,1.0,1.26,"Window 7 Home Premium , Libre Office , AVG , Win Live Essentials , Adobe Reader",5.0,Netbooks,"Home & Student , Business",1 Year Parts and Labor,1 Year,None,720p,4,1280 x 800,2GB or less,DDR2,Touchpad,10/100/1000 Gigabit Ethernet network interface adaptor,No,Windows,Window 7 Home Premium 64 bits,No port,CD-RW/DVD Combo Drive,"Laptop , AC Adaptor , Welcome Letter",PCMCIA,14.1,11 inches to 14.9 inches,No,None,None,1,2.0,2,0.0,No,No,Yes,No,No,13.27,"802.11G , 802.11A",1 Year,,,,No Drive,No Drive,No Drive,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-bit,None,No,Buy  HP HP 8540P refurbished laptop PC I7 2.67/4GB/750GB/DVDRW/15.6/Webcam/W7P64 - 8540P from MyGofer.com,No,4-cell,1.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),2.1 + EDR ( Enhanced Data Rate ),Yes,Silver/gray,Refurbished,Intel,4MB,Dual-core,Core I series,2.67,2.0 to 3 GHz,1.23,LCD,No,No,No,Intel,up to 256MB Shared Memory,Integrated Graphics,750,750GB to 999GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,Yes,None,1.0,2.0,W7 Professional 64 BITS,4.7,PC laptops,Business,"One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher","One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher",One Year from Microsoft online support,None,8GB,1600 X 900,2.1GB - 4GB,DDR3,Touchpad,Integrated Ethernet 10/100,No,Windows,W7 Professional 64 BITS,No port,DVD+/-R/RW,"PC , power cord , set up guide .",ExpressCard,15.6,15 inches to 15.9 inches,No,None,None,None,4096.0,4,0.0,No,No,Yes,Yes,No,9.3,802.11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-bit,None,No,Buy  HP HP 8440P refurbished laptop PC I5 2.4/4GB/750GB/DVDRW/14.1/W7P64 - 8440P from MyGofer.com,No,4-cell,1.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),2.1 + EDR ( Enhanced Data Rate ),Yes,Silver/gray,Refurbished,Intel,4MB,Dual-core,Core I series,2.4,2.0 to 3 GHz,1.23,LCD,No,No,No,Intel,up to 256MB Shared Memory,Integrated Graphics,750,750GB to 999GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,Yes,None,1.0,2.0,W7 Professional 64 BITS,4.7,PC laptops,Business,"One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher","One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher",One Year from Microsoft online support,None,8GB,1600 X 900,2.1GB - 4GB,DDR3,Touchpad,Integrated Ethernet 10/100,No,Windows,W7 Professional 64 BITS,No port,DVD+/-R/RW,"PC , power cord , set up guide .",ExpressCard,14.1,11 inches to 14.9 inches,No,None,None,None,4096.0,4,0.0,No,No,Yes,No,No,9.3,802.11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
