<page title>,computer memory,cpu type,hard drive capacity,operating system,screen size,graphics card type,graphics vram memory,hard drive memory type,multicore technology,networking capability,number of hdmi input,audio card type,installed ram,processor brand,system bus speed in mhz,hard drive power source,speaker type included,laptop weight
Lenovo ThinkPad T61 Intel Core2Duo 2.0GHz 320GB 15.4-inch Laptop | Overstock.com Shopping - The Best Deals on Laptops,2 GB,Core 2 Duo,320 GB,Windows 7 Home Premium,14 - 16 Inches,,,,,,,,,,,,,
HP EliteBook 8560P Intel Core i7 Quad Core 2.2GHz 750GB 15.6-inch Laptop Computer(Refurbished) | Overstock.com Shopping - The Best Deals on Laptops,4 GB,Intel Core i7,750 GB,Windows 7 Professional,14 - 16 Inches,,,,,,,,,,,,,
Dell E5400 Intel Core 2 Duo 2.0GHz 80GB 14-inch Laptop (Refurbished) | Overstock.com Shopping - The Best Deals on Laptops,2 GB,Core 2 Duo,80 GB,Windows 7 Home Premium,14 - 16 Inches,,,,,,,,,,,,,
Lenovo ThinkCentre M58p SDT Intel Core 2 Duo 2.33GHz 80GB Computer (Refurbished) | Overstock.com Shopping - The Best Deals on Desktops,2048 MB,Core 2 Duo,80 GB,Windows 7 Home Premier,,,,,,,,,,,,,,
Dell OptiPlex 755 3.0GHz 750GB MT Computer (Refurbished) | Overstock.com Shopping - The Best Deals on Desktops,4 GB,Core 2 Duo,750 GB,Windows 7 Professional,,,,,,,,,,,,,,
Dell OptiPlex GX620 3.2GHz 2GB 80GB Win 7 Small Form Factor Computer (Refurbished) | Overstock.com Shopping - The Best Deals on Desktops,2048 MB,Pentium 4,80 GB,Windows 7 Home Premier,,,,,,,,,,,,,,
DELL OptiPlex 390 Intel Core2Duo 2.13GHz 160GB MT Computer (Refurbished) | Overstock.com Shopping - The Best Deals on Desktops,2 GB,Core 2 Duo,160 GB,Windows 7 Home Premier,,,,,,,,,,,,,,
CyberPowerPC Gamer Xtreme GXi630 Intel i5-4690K 3.5GHz Gaming Computer | Overstock.com Shopping - The Best Deals on Desktops,Other,Intel Core i5,2 TB,,,ATI Radeon,2 GB,Hard Disk Drive ( HDD ),Quad-core,LAN,1.0,,,,,,,
Dell OptiPlex 760 3.16GHz 1TB DT Computer (Refurbished) | Overstock.com Shopping - The Best Deals on Desktops,4 GB,Core 2 Duo,1 TB,,,,,,,,,,,,,,,
Dell Latitude E6220 Intel Core i5 2.5GHz 128GB SSD 12.5-inch HDMI Laptop | Overstock.com Shopping - The Best Deals on Laptops,4 GB,Intel Core i5,100-149 GB,Windows 7 Professional,14 - 16 Inches,,,,,,,,,,,,,
Dell E5400 Intel Core 2 Duo 2.0GHz 320GB 14-inch Laptop Computer (Refurbished) | Overstock.com Shopping - The Best Deals on Laptops,2048 MB,Core 2 Duo,320 GB,Windows 7 Home Premium 64 Bit,14 - 16 Inches,,,,,,,,,,,,,
HP 6005 Pro 3.0GHz 4GB 750GB SFF Computer (Refurbished) | Overstock.com Shopping - The Best Deals on Desktops,4 GB,Athlon II X2,750 GB,Windows 7 Home Premier,,,,,,,,,,,,,,
Dell OptiPlex 755 2.33GHz 160GB Desktop Computer (Refurbished) | Overstock.com Shopping - The Best Deals on Desktops,4 GB,Core 2 Duo,160 GB,Windows 7 Professional,,Intel,,Hard Disk Drive ( HDD ),,LAN,,Onboard,4 GB,Core 2 Duo,2001 - 2500 MHz,,,
DELL OptiPlex 780 Core 2 Duo 3.0GHz 8192MB 2000GB DVD Windows 7 Pro (64t) DT Computer (Refurbished) | Overstock.com Shopping - The Best Deals on Desktops,8 GB,Core 2 Duo,2 TB,Windows 7 Professional,,Intel,,,Dual-core,,,,8 GB,,,,,
Dell GX520 3.0GHz 80GB SFF Computer (Refurbished) | Overstock.com Shopping - The Best Deals on Desktops,,,,,,Intel,,Hard Disk Drive ( HDD ),,LAN,,,,,More than 2500 MHz,,,
Dell Optiplex 755 3GHz 750GB SFF Desktop Computer (Refurbished) | Overstock.com Shopping - The Best Deals on Desktops,4 GB,Core 2 Duo,750 GB,,,,,,,,,,,,,,,
Dell Optiplex 755 2.33GHz 4GB 80GB Win 7 Desktop (Refurbished) | Overstock.com Shopping - The Best Deals on Desktops,4 GB,Core 2 Duo,80 GB,Windows 7 Professional,,,,,Dual-core,,,,,Core 2 Duo,,,,
Lenovo ThinkCentre M58P Core 2 Duo 3.0GHz 4GB 750GB Win 7 Professional 64-bit SFF Computer (Refurbished) | Overstock.com Shopping - The Best Deals on Desktops,4 GB,Core 2 Duo,750 GB,Windows 7 Professional,,,,Hard Disk Drive ( HDD ),Dual-core,,,,4 GB,Core 2 Duo,,,,
Dell E6510 Windows 7 Professional Notebook PC (Refurbished) | Overstock.com Shopping - The Best Deals on Laptops,4 GB,Intel Core i5,160 GB,Windows 7 Professional,14 - 16 Inches,,,,,,,,,,,,,
DELL OptiPlex 960 Core 2 Duo 3.16GHz 4GB 1.5TB DVDRW Windows 7 Pro 64-bit Minitower PC (Refurbished) | Overstock.com Shopping - The Best Deals on Desktops,4 GB,Core 2 Duo,,Windows 7 Professional,,,,,,,,,,,,,,
Dell Latitude E6420 Intel Corei5 2.5GHz 4GB 750GB 14 Wi-Fi DVDRW HDMI CAM Windows 7 Pro(64-bit) LT (Refurbished) | Overstock.com Shopping - The Best Deals on Laptops,4 GB,Intel Core i5,750 GB,Windows 7 Professional,14 - 16 Inches,,,,,,,,,,,,,
Dell Latitude E6420 Intel Core i7 2.7GHz 320GB 14-inch HDMI Laptop Computer (Refurbished) | Overstock.com Shopping - The Best Deals on Laptops,4 GB,Intel Core i7,320 GB,Windows 7 Professional,14 - 16 Inches,,,,,,,,,,,,,
Dell D820 Notebook PC (Refurbished) | Overstock.com Shopping - The Best Deals on Laptops,2048 MB,,80 GB,,14 - 16 Inches,,,,,,,,,,,,,
Dell Optiplex GX520 Desktop Computer (Refurbished) | Overstock.com Shopping - The Best Deals on Desktops,1 GB,Pentium 4,80 GB,,,,,,,,,,,,,,,
HP EliteBook 6550B Core i5 2.4GHz 250GB 15.6-inch Laptop (Refurbished) | Overstock.com Shopping - The Best Deals on Laptops,4 GB,Intel Core i5,250 GB,Windows 7 Professional,14 - 16 Inches,,,,,,,,,,,,,
Dell Latitude E6410 Intel Core i7 2.67GHz 4GB 750GB 14in Wi-Fi DVDRW Windows 7 Professional (64-bit)LT Computer (Refurbished) | Overstock.com Shopping - The Best Deals on Laptops,4 GB,Intel Core i7,750 GB,Windows 7 Professional,14 - 16 Inches,,,,,,,,,,,,,
Dell Optiplex 755 2GHz 500GB Desktop Computer (Refurbished) | Overstock.com Shopping - The Best Deals on Desktops,2 GB,Core 2 Duo,500 GB,Windows 7 Home Premier,,,,Hard Disk Drive ( HDD ),Dual-core,LAN,,Onboard,2 GB,Core 2 Duo,,,,
HP RP5700 2.13GHz 4GB 160GB Win 7 Small Form Factor Computer (Refurbished) | Overstock.com Shopping - The Best Deals on Desktops,4 GB,Core 2 Duo,160 GB,Windows 7 Home Premier,,,,,,,,,,,,,,
HP DC5800 MT 2.66GHz 750GB Microtower Computer (Refurbished) | Overstock.com Shopping - The Best Deals on Desktops,4 GB,Core 2 Duo,750 GB,Windows 7 Professional,,Integrated AGP,,Hard Disk Drive ( HDD ),,LAN,,,4 GB,Core 2 Duo,More than 2500 MHz,eSATA Bus,,
