<page title>,category,manufacturer,options,product
"Miniprice.ca - Lenovo ThinkPad X240 20AM004NUS 12.5"" Touchscreen LED (In-plane Switching (IPS) Technology) Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - 8 GB RAM - 256 GB SSD - Intel HD Graphics 4400 - Windows 8 Pro (20AM004NUS)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad X240 20AM004NUS 12.5 '' Touchscreen LED ( In-plane Switching ( IPS ) Technology ) Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - 8 GB RAM - 256 GB SSD - Intel HD Graphics 4400 - Windows 8 Pro
"Miniprice.ca - Lenovo ThinkPad X240 20AM009YUS 12.5"" LED Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - Black - 8 GB RAM - 180 GB SSD - Intel HD 4400 - Windows 8.1 Pro 64-bit - 1366 x 768 Display (20AM009YUS)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad X240 20AM009YUS 12.5 '' LED Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - Black - 8 GB RAM - 180 GB SSD - Intel HD 4400 - Windows 8.1 Pro 64-bit - 1366 x 768 Display
"Miniprice.ca - Lenovo ThinkPad W540 20BH001XUS 15.5"" LED Notebook - Intel Core i7 i7-4900MQ 2.80 GHz - 8 GB RAM - 256 GB SSD - DVD-Writer - Windows 8 Pro 64-bit - Bluetooth (20BH001XUS)",Computer - Laptop computers - Laptop computers,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad W540 20BH001XUS 15.5 '' LED Notebook - Intel Core i7 i7-4900MQ 2.80 GHz - 8 GB RAM - 256 GB SSD - DVD-Writer - Windows 8 Pro 64-bit - Bluetooth
"Miniprice.ca - Lenovo ThinkPad W540 20BH002PUS 15.5"" LED Notebook - Intel Core i7 i7-4800MQ 2.70 GHz - 8 GB RAM - 512 GB SSD - DVD-Writer - NVIDIA, Intel Quadro K2100M, HD Graphics 4600 - Windows 8 Pro 64-bit - 2880 (20BH002PUS)",Computer - Laptop computers - Laptop computers,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),"Lenovo ThinkPad W540 20BH002PUS 15.5 '' LED Notebook - Intel Core i7 i7-4800MQ 2.70 GHz - 8 GB RAM - 512 GB SSD - DVD-Writer - NVIDIA , Intel Quadro K2100M , HD Graphics 4600 - Windows 8 Pro 64-bit - 2880"
"Miniprice.ca - Lenovo ThinkPad T540p 20BF001DUS 15.6"" LED (In-plane Switching (IPS) Technology) Notebook - Intel Core i7 i7-4600M 2.90 GHz - Black - 4 GB RAM - 128 GB SSD - DVD-Writer - NVIDIA, Intel GeForce GT 730M (20BF001DUS)",Computer - Laptop computers - Laptop computers,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),"Lenovo ThinkPad T540p 20BF001DUS 15.6 '' LED ( In-plane Switching ( IPS ) Technology ) Notebook - Intel Core i7 i7-4600M 2.90 GHz - Black - 4 GB RAM - 128 GB SSD - DVD-Writer - NVIDIA , Intel GeForce GT 730M"
"Miniprice.ca - Lenovo ThinkPad T440p 20AW0092US 14"" LED Notebook - Intel Core i5 i5-4300M 2.60 GHz - Black - 4 GB RAM - 500 GB HDD - DVD-Writer - NVIDIA, Intel GeForce GT 730M, HD Graphics 4600 - Windows 7 Professio (20AW0092US)",Computer - Laptop computers - Laptop computers,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),"Lenovo ThinkPad T440p 20AW0092US 14 '' LED Notebook - Intel Core i5 i5-4300M 2.60 GHz - Black - 4 GB RAM - 500 GB HDD - DVD-Writer - NVIDIA , Intel GeForce GT 730M , HD Graphics 4600 - Windows 7 Professio"
"Miniprice.ca - Lenovo ThinkPad X1 Carbon 20A80042US 14"" LED Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - 8 GB RAM - 240 GB SSD - Intel HD Graphics 4400 - Windows 8.1 Pro 64-bit - 2560 x 1440 Display - Bluetooth (20A80042US)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad X1 Carbon 20A80042US 14 '' LED Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - 8 GB RAM - 240 GB SSD - Intel HD Graphics 4400 - Windows 8.1 Pro 64-bit - 2560 x 1440 Display - Bluetooth
"Miniprice.ca - Lenovo Thinkpad Twist S230u Ultrabook/tablet - 12.5"" - In-plane Switching (ips) Technology - Wireless Lan - Intel Core I3 I3-2375m 1.50 Ghz - Black - 2 Gb Ram - 320 Gb Hdd - 16 Gb Ssd - Windows 8 Pro (334784F)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo Thinkpad Twist S230u Ultrabook/tablet - 12.5 '' - In-plane Switching ( ips ) Technology - Wireless Lan - Intel Core I3 I3-2375m 1.50 Ghz - Black - 2 Gb Ram - 320 Gb Hdd - 16 Gb Ssd - Windows 8 Pro
"Miniprice.ca - Ordinateur portable Lenovo ThinkPad 782948U - 14"" LED - Core i5 i5-2520M 2,50 GHz - 1366 x 768 WXGA Affichage - 2Go RAM - 320Go HDD - Graveur DVD - Intel - Webcam - Windows 7 Professional - 7 Heure Ba (782948U)",Computer - Laptop computers - Laptop computers,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),"Ordinateur portable Lenovo ThinkPad 782948U - 14 '' LED - Core i5 i5-2520M 2,50 GHz - 1366 x 768 WXGA Affichage - 2Go RAM - 320Go HDD - Graveur DVD - Intel - Webcam - Windows 7 Professional - 7 Heure Ba"
"Miniprice.ca - Ordinateur portable Lenovo ThinkPad 78294UU - 14"" LED - Core i5 i5-2520M 2,50 GHz - 1366 x 768 WXGA Affichage - 2Go RAM - 320Go HDD - Graveur DVD - Intel - Webcam - Windows 7 Professional - 7 Heure Ba (78294UU)",Computer - Laptop computers - Laptop computers,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),"Ordinateur portable Lenovo ThinkPad 78294UU - 14 '' LED - Core i5 i5-2520M 2,50 GHz - 1366 x 768 WXGA Affichage - 2Go RAM - 320Go HDD - Graveur DVD - Intel - Webcam - Windows 7 Professional - 7 Heure Ba"
"Miniprice.ca - Lenovo ThinkPad 20CD00B0US Ultrabook/Tablet - 12.5"" - In-plane Switching (IPS) Technology - Intel Core i7 i7-4500U 1.80 GHz - Black - 8 GB RAM - 256 GB SSD - Windows 8.1 Pro 64-bit - Convertible - 192 (20CD00B0US)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad 20CD00B0US Ultrabook/Tablet - 12.5 '' - In-plane Switching ( IPS ) Technology - Intel Core i7 i7-4500U 1.80 GHz - Black - 8 GB RAM - 256 GB SSD - Windows 8.1 Pro 64-bit - Convertible - 192
