<page title>,brand name,compatibility,drive interface,drive interface standard,drive type,drive width,hot swappable,manufacturer,manufacturer part number,manufacturer website address,maximum external data transfer rate,network rj45,package type,product name,product type,rotational speed,storage capacity,wireless lan,64bit processing,audio line in,audio line out,cache,chipset manufacturer,chipset model,color,controller type,depth,displayport,esata,ethernet technology,features,firewireilink,form factor,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,green compliance certificateauthority,green compliant,hdmi,height,hybrid hard drive capacity,hybrid hard drive interface,hyperthreading,keyboard,limited warranty,maximum memory,maximum power supply wattage,memory standard,memory technology,modem,modem rj11,number of mini pci express slots,number of processors installed,number of processors supported,number of total expansion slots,number of total memory slots,number of usb 30 ports,operating system,operating system architecture,optical drive type,optical media supported,package contents,pointing device type,processor core,processor manufacturer,processor model,processor speed,processor type,product line,product model,product series,software included,ssd cache capacity,standard memory,total number of usb ports,vga,vpro technology,weight approximate,width,wireless lan standard,aspect ratio,backlight technology,battery chemistry,battery energy,bluetooth,bluetooth standard,digitizer,direct media interface,display screen technology,display screen type,expansion slot type,finger print reader,focus modes,front camerawebcam,headphonemicrophone combo port,keyboard backlight,keyboard localization,keyboard type,maximum battery run time,maximum turbo speed,memory card reader,memory card supported,microphone,multitouch screen,number of cells,operating system platform,screen mode,screen resolution,screen size,security features,sensor type,solid state drive capacity,solid state drive interface,speakers,touchpad features,touchscreen,wimax,wireless lan manufacturer,wireless lan model,wwan supported,applicationusage,maximum screen size supported,minimum screen size supported,style,error checking,length,memory size,memory speed,number of pins,plating,signal processing,thickness,adjustable display angle,adjustable display height,brightness,certifications standards,contrast ratio,dvi,hdcp supported,horizontal viewing angle,maximum resolution,mount type,number of screens,operating power consumption,platform supported,response time,screen surface,standby power consumption,vertical viewing angle,vesa mount compatible,vesa mount standard,near field communication,webcam,battery capacity,battery rechargeable,battery size,output voltage,packaged quantity,carrying options,case features,durability,hard drive configuration,hard drive interface,hard drive rpm,number of external 525 bays,number of hard drives,number of pci express x16 slots,number of pci express x8 slots,number of pci slots,quickpath interconnect,raid levels,raid supported,remote management,total hard drive capacity,buffer,bus powered,host interface,system requirements,hard drive capacity,number of usb 20 ports,duallayer media supported,memory form factor,number of 35 bays,number of pci express x1 slots,number of total expansion bays,license pricing,license quantity,license type,operating system supported,software name,average seek time,accessibility,additional information,exterior material,clock speed,input voltage,l1 cache,l2 cache,l3 cache,overclocking speed,process technology,processor socket,processor technology,thermal design power,thermal specification,sim size supported,license details,licensing program,graphics controller interface,graphics memory capacity,number of pci express x4 slots,device supported,number of modules,number of msata interfaces,expansion bay type,switchable graphics,flash memory capacity,front camera resolutionwebcam resolution,maximum standby battery time,maximum web surfing battery time,rear camera,rear camera resolution,rear camera video resolution,total number of micro usb ports,cable length,cable type,conductor,connector on first end,connector on second end,analog signal,api supported,bus width,chipset line,digital signal,dual link dvi supported,number of monitors supported,number of stream processors,number of power supplies installed,rack height,keyboardkeypad connectivity technology,keyboardkeypad depth,keyboardkeypad features,keyboardkeypad height,keyboardkeypad host interface,keyboardkeypad width,localization,number of keys,battery size supported,ergonomic fit,movement detection,movement resolution,number of batteries supported,pointing device connectivity technology,pointing device host interface,pointing device wireless technology,scroller type,number of hard drives installed,number of hard drives supported,protocols,frequency,input voltage range,maximum output power,buttons keys,charging capability,connectivity technology,powered usb,card height,ethernet aui,media type supported,network technology,number of network rj45 ports,poe rj45 port,serial port,total number of ports,usb,xjack,headphone,sata pin,output power,number of 25 bays,printed designpatterntexture,gobi supported,number of 2535 bays,number of 525 bays,number of solid state drive installed,number of solid state drive supported,power source,burst frequency,micro hdmi,horizontal frequency,panel technology,standard refresh rate,tilt angle,number of optical drives,adjustable display pivot,builtin devices,color supported,height with stand,offmode power consumption,usb standard,width with stand,depth with stand,number of speakers,number of graphic controllers,number of internal 25 bays,display size supported,display type supported,widescreen,gps,maximum video battery time,media layer supported,sas connector details,total number of sas ports,number of solid state drives,solid state drive configuration,total solid state drive capacity,language supported,keyboardkeypad cable length,flash memory,drive height,mini displayport
"Lenovo 450 Gb 3.5"" Internal Hard Drive - Sas - 15000 Rpm - Hot Swappable - Retail - (67Y2617) - SoftwareCity.ca - Canada",Lenovo,Lenovo ThinkServer Systems : RD330 Rack Servers,SAS,6Gb/s SAS,Internal,3.5 '',Yes,Lenovo Group Limited,67Y2617,http : //www.lenovo.com/ca/en,768 MBps ( 6 Gbps ),No,Retail,ThinkServer 3.5 '' 450GB 15K SAS 6Gbps Hot Swap Hard Drive,Hard Drive,15000 rpm,450 GB,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkcentre M93p 10ab000kus Desktop Computer - Intel Core I5 I5-4570t 2.90 Ghz - Tiny - Business Black - 4 Gb Ram - 500 Gb Hhd - Dvd-writer - Intel Hd 4600 - Windows 7 Professional 64-bit - Wireless Lan - (10AB000KUS) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,10AB000KUS,http : //www.lenovo.com/ca/en,,Yes,,ThinkCentre M93p 10AB000KUS Desktop Computer,Desktop Computer,,,Yes,Yes,Yes,Yes,4 MB,Intel,Q87 Express,Business Black,Serial ATA/600,7.2 '' ( 182.9 mm ),Yes,No,Gigabit Ethernet,Security Slot,No,Tiny,Intel,HD 4600,Shared,DDR3 SDRAM,"EPEAT Gold , ENERGY STAR 5.2 , ULE Gold , GREENGUARD , RoHS",Yes,Yes,2.6 '' ( 64.8 mm ),500 GB,Serial ATA/600,Yes,Yes,3 Year,16 GB,65 W,DDR3-1600/PC3-12800,DDR3 SDRAM,No,No,1.0,1.0,1.0,1.0,2.0,5.0,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,DVD-Writer,DVDÂ±R/Â±RW,ThinkCentre M93p 10AB000KUS Desktop ComputerKeyboardMouseAC/DC AdapterExternal Optical BoxVESA MountWindows 8 Professional License Media,Mouse,Dual-core ( 2 Core ),Intel,i5-4570T,2.90 GHz,Core i5,ThinkCentre,10AB000KUS,M93p,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office Preloaded ; purchase a product key to activate Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,8 GB,4 GB,5.0,Yes,Yes,2.30 kg,7.2 '' ( 182.9 mm ),IEEE 802.11b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkpad S1 Yoga 20cd00b1ca Ultrabook/tablet - 12.5"" - In-plane Switching (ips) Technology - Wireless Lan - Intel Core I7 I7-4600u 2.10 Ghz - Black - 8 Gb Ram - 256 Gb Ssd - Windows 8.1 Pro 64-bit (french) - Convertible - 1920 X 1080 Multi-touch Screen Display (led Backlight) - Bluetooth - French Keyboard - (20CD00B1CA) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,20CD00B1CA,http : //www.lenovo.com/ca/en,,No,,ThinkPad S1 Yoga 20CD00B1CA Ultrabook/Tablet,Ultrabook/Tablet,,,Yes,Yes,,,4 MB,,,Black,,8.7 '' ( 221 mm ),,,,,,Convertible,Intel,HD 4400,Shared,DDR3L SDRAM,"ENERGY STAR , RoHS",Yes,Yes,0.8 '' ( 19.4 mm ),,,Yes,Yes,1 Year,,45 W,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,,,,,2.0,Windows 8.1 Pro ( French ),64-bit,No,,ThinkPad S1 Yoga 20CD00B1CA Ultrabook/Tablet AC Adapter Stylus,"TouchPad , Trackpoint , Stylus",Dual-core ( 2 Core ),Intel,i7-4600U,2.10 GHz,Core i7,ThinkPad,20CD00B1CA,S1 Yoga,Lenovo Support Lenovo Companion Lenovo Cloud Storage Password Manager ThinkVantage System Update Norton Internet Security ( 30 days of virus definitions ) Microsoft Office Preloaded ( purchase a product key to activate ) Skype,,8 GB,2.0,,Yes,1.63 kg,12.4 '' ( 316 mm ),IEEE 802.11ac,16 : 9,LED,Lithium Polymer ( Li-Polymer ),47 Wh,Yes,Bluetooth 4.0,Yes,5 GT/s,In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,Mini PCI Express,No,Fixed Focus,Yes,Yes,Yes,French,Physical Keyboard,7 Hour,3.30 GHz,Yes,"Secure Digital ( SD ) , Secure Digital Extended Capacity ( SDXC ) , Secure Digital High Capacity ( SDHC ) , MultiMediaCard ( MMC )",Yes,Yes,8-cell,Windows,Full HD,1920 x 1080,12.5 '',"Power-on Password Hard Disk Password Supervisor Password Security Keyhole Trusted Platform Module , TCG 1.2-compliant",Ambient Light Sensor,256 GB,Serial ATA/600,Yes,Multi-touch Gesture,Yes,No,Intel,Dual Band Wireless-AC 7260,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Carrying Case (sleeve) For 14"" Ultrabook - Black - (0B95778) - SoftwareCity.ca - Canada",Lenovo,"Lenovo - ThinkPad Edge E130 , Edge E135 , Edge E330 , X1 Carbon , X230 , X230i",,,,,,Lenovo Group Limited,0B95778,http : //www.lenovo.com/ca/en,,,,ThinkPad 14W Ultrabook Standard Sleeve - Black,Carrying Case,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ultrabook,14 '',11.6 '',Sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkserver 4gb Ddr3-1600mhz - 4 Gb - Ddr3 Sdram - 1600 Mhz Ddr3-1600/pc3-12800 - Ecc - Registered - 240-pin - Dimm - Retail - (0A89481) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,0A89481,http : //www.lenovo.com/ca/en,,,Retail,ThinkServer 4GB DDR3-1600MHz,RAM Module,,,,,,,,,,,,,,,,,,DIMM,,,,,"RoHS , WEEE",Yes,,,,,,,1 Year,,,DDR3-1600/PC3-12800,DDR3 SDRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,1.2 '' ( 30.5 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECC,5.3 '' ( 133.4 mm ),4 GB,1600 MHz,240-pin,Gold Plated,Registered,0.2 '' ( 4 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkvision Lt1952p 19"" Led Lcd Monitor - 16:10 - 5 Ms - Adjustable Display Angle - 1440 X 900 - 250 Cd/mÂ² - 1,000:1 - Wxga+ - Dvi - Vga - Displayport - 26 W - Black - Energy Star, Weee, Rohs, Tco Certified Edge Displays 1.1, Tco Certified Displays 5.2, Epeat Gold, Mpr Ii - (2448MB6) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,2448MB6,http : //www.lenovo.com/ca/en,,,,ThinkVision LT1952p Widescreen LCD Monitor,LCD Monitor,,,,,,,,,,Black,,6.7 '' ( 171.3 mm ),Yes,,,,,,,,,,"ENERGY STAR , WEEE , RoHS , TCO Certified Edge Displays 1.1 , TCO Certified Displays 5.2 , EPEAT Gold , MPR II",Yes,,15.7 '' ( 397.7 mm ),,,,,3 Year,,,,,,,,,,,,,,,,,ThinkVision LT1952p Widescreen LCD MonitorAttached StandCable CoverSetup PosterSafety and Warranty InformationCD with Multilingual User 's GuideMonitor Installation FilesAnalog Signal CableDVI-D CablePower Cord,,,,,,,ThinkVision,LT1952p,,,,,,Yes,,4.30 kg,17.4 '' ( 440.9 mm ),,16 : 10,LED,,,,,,,,,,,,,,,,,,,,,,,,,WXGA+,,19 '',,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,250 cd/mÂ²,ULE GoldISO 9241-307FCC Class B,"1,000 : 1",Yes,Yes,170Â°,1440 x 900,"Wall Mountable , Desk Mountable",1.0,26 W,PC,5 ms,"Anti-glare , Anti-reflective",500 mW,160Â°,Yes,100 x 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkpad X240 20am0054us 12.5"" Led (in-plane Switching (ips) Technology) Ultrabook - Intel Core I5 I5-4300u 1.90 Ghz - Black - 8 Gb Ram - 180 Gb Ssd - Intel Hd 4400 - Windows 8 Pro 64-bit - 1366 X 768 Display - Bluetooth - (20AM0054US) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,20AM0054US,http : //www.lenovo.com/ca/en,,Yes,,ThinkPad X240 20AM0054US Ultrabook,Ultrabook,,,Yes,Yes,,,3 MB,Intel,,Black,,8.2 '' ( 208.5 mm ),Yes,,Gigabit Ethernet,,,,Intel,HD 4400,Shared,DDR3L SDRAM,"EPEAT Gold , ENERGY STAR 5.0 , GREENGUARD , RoHS",Yes,,0.8 '' ( 19.8 mm ),,,Yes,Yes,3 Year,8 GB,45 W,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,,,,1.0,2.0,Windows 8 Pro,64-bit,No,,ThinkPad X240 20AM0054US Ultrabook External Lithium Ion Battery AC Adapter,"Trackpoint , TouchPad",Dual-core ( 2 Core ),Intel,i5-4300U,1.90 GHz,Core i5,ThinkPad,20AM0054US,X240,Lenovo Solution Center Lenovo Support Lenovo Companion ThinkVantage System Update Lenovo Cloud Storage By SugarSync PC Device Stage AccuWeather Amazon Kindle Nitro Pro Rara Streaming Norton Studio Microsoft Office Preloaded ( purchase a product key to activate ) Norton Internet Security ( 30 days of virus definitions ),,8 GB,2.0,Yes,Yes,1.42 kg,12 '' ( 304.8 mm ),IEEE 802.11ac,16 : 9,LED,,23.50 Wh,Yes,Bluetooth 4.0,,5 GT/s,In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,,Yes,,,Yes,Yes,,,8.70 Hour,2.90 GHz,Yes,"Secure Digital ( SD ) , Secure Digital High Capacity ( SDHC ) , Secure Digital Extended Capacity ( SDXC ) , MultiMediaCard ( MMC )",Yes,,3-cell,,HD,1366 x 768,12.5 '',"Power-on Password Hard Disk Password Supervisor Password Security Keyhole Trusted Platform Module , TCG 1.2-Compliant",,180 GB,Serial ATA/600,Yes,Multi-touch Gesture,No,,Intel,Dual Band Wireless-AC 7260,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkpad Battery 68+ (6 Cell) - 6600 Mah - Lithium Ion (li-ion) - 10.8 V Dc - (0C52862) - SoftwareCity.ca - Canada,Lenovo,Lenovo ThinkPad Notebooks : T440S 20AQ T440S 20AR X240,,,,,,Lenovo Group Limited,0C52862,http : //www.lenovo.com/ca/en,,,,ThinkPad Battery 68+ ( 6 Cell ),Notebook Battery,,,,,,,,,,,,2.5 '' ( 64 mm ),,,,,,,,,,,,,,0.9 '' ( 23.9 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335 g,8.1 '' ( 206.7 mm ),,,,Lithium Ion ( Li-Ion ),72 Wh,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600 mAh,Yes,Proprietary Battery Size,10.8 V DC,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Carrying Case (sleeve) For 12.5"" Tablet Pc - Weather Resistant - (0A33883) - SoftwareCity.ca - Canada",Lenovo,Lenovo - ThinkPad X220/X230,,,,,,Lenovo Group Limited,0A33883,http : //www.lenovo.com/ca/en,,,,ThinkPad X220/X230 Tablet Sleeve,Carrying Case,,,,,,,,,,,,2.2 '' ( 55.9 mm ),,,,,,,,,,,,,,12.6 '' ( 320 mm ),,,,,Lifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.4 g,11 '' ( 279.4 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tablet PC,12.5 '',,Sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shoulder Strap,"Adjustable Strap , Accessory Loop",Weather Resistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkserver Td340 70b7s00600 Tower Server - Intel Xeon E5-2420 V2 2.20 Ghz - 2 Processor Support - 16 Gb Standard - 4 Tb Hdd - Serial Ata/600 Raid Supported, 6gb/s Sas Controller - Gigabit Ethernet - Raid Level: 0, 1, 1+0 - 800 W - (70B7S00600) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,70B7S00600,http : //www.lenovo.com/ca/en,,Yes,,ThinkServer TD340 ( 70B7-S00600 ),Server,,,,Yes,,,15 MB,Intel,C606,,"Serial ATA/600 , 6Gb/s SAS",23.4 '' ( 594.4 mm ),,,Gigabit Ethernet,,,Tower,ASPEED,AST2300,,,"ENERGY STAR 2.0 , RoHS",Yes,,16.9 '' ( 429.3 mm ),,,Yes,,,,800 W,,DDR3L SDRAM,,,,,2.0,6.0,12.0,,No,,DVD-Writer,DVDÂ±R/Â±RW,,,Hexa-core ( 6 Core ),Intel,E5-2420 V2,2.20 GHz,Xeon,ThinkServer,70B7S00600,TD340,,,16 GB,7.0,Yes,,26 kg,7.7 '' ( 195.1 mm ),,,,,,,,,,,,,,,,,,,,,2.70 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 x 2 TB,Serial ATA/600,7200.0,2.0,2,1.0,4.0,1.0,7.20 GT/s,"0 , 1 , 1+0",Yes,Yes,4 TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
