2in1,<page title>,hard drive capacity,laptop battery life,laptop display type,laptop hard drive capacity gb,laptop hard drive speed,laptop hard drive type,laptop memory ram gb,laptop network card,laptop operating system,laptop optical drive,laptop processor speed,laptop processor type,laptop refurbished,laptop screen size inches,laptop style,laptop use,laptop warranty,laptop weight,processor speed up to ghz,processor type,ram capacity,screen size,touch screen enabled,video graphics memory,bluetooth compatibility,cpu cache,laptop audio,laptop battery type,laptop color,laptop dimensions l x w x h,laptop memory type,laptop other ports,laptop usb slots,laptop webcam,laptop weight filter,media card reader,laptop memory expandable,laptop video graphics,color family,laptop processor type details,wireless connectivity,hard drive type,bluetooth compatibility details,laptop color details,laptop extra features,windows select pc,all in one desktop,desktop audio,desktop cpu cache,desktop dimensions l x w x h,desktop hard drive size gb,desktop includes monitor,desktop media card reader,desktop network card,desktop operating system,desktop optical drive,desktop other ports,desktop power,desktop processor,desktop refurbished,desktop usb ports,desktop use,desktop warranty,desktop weight,e desktop memory expandable,form factor,ram desktop memory gb,sp desktop hard drive speed,speed desktop processor speed,t desktop hard drive type,t desktop memory type,desktop special feature,desktop video graphics,all in one desktop details,desktop includes monitor details,desktop lan data transfer rate,desktop processor details,desktop refurbished details,desktop use details,desktop video memory,touch screen enabled details,desktop operating system details,desktop weight details,desktop hard drive size details
No,"Refurbished Lenovo ThinkPad T410 14.1"", 160GB Hard Drive, 4GB Memory, Intel Core i5, Win 7 Home | Staples®",Under 320GB,Up to 6 Hours,WXGA LCD,160.0,SATA,5400 RPM,4.0,802.11 b/g/n,Windows 7,DVD-CDRW,2.5Ghz,Intel i5,Yes,14.1,Laptop/Notebook,Business,18 Month parts and labor,1 to 2 lbs,2 to 2.9 GHz,Intel i5,4GB,13 '' to 14.9 '',No,Intel GMA 4500MHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo 15.6-Inch Laptop (Z50) | Staples®,,Up to 4 hours,HD LED backlight display,1024.0,N/A,HDD,8.0,10/100/1000M,Windows 8.1,DVDRW,1.9GHz,AMD A10,No,15.6,Laptop/Notebook,Gaming,1 Year,,,,,,No,Integrated AMD Radeon R6 graphics,Yes,N/A,Stereo speakers with Dolby® Home Theater,4 Cell Li-Cylinder battery,Black,15.12 ” x 10.43 '' x 0.98 '',DDR3,"VGA , audio combo Jack , HDMI-out","1 x USB 3.0 , 2 x USB 2.0",720p HD camera,5.29 lbs,2-in-1 ( SD/MMc ) card reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Toshiba C75D-B7360, AMD A8, 6GB RAM, 750GB SATA hard drive, Windows 8.1, 17.3"" Laptop | Staples®",,6 cell/48Wh Lithium Ion battery pack,diagonal widescreen TruBrite® TFT display,750.0,5400RPM,SATA,6.0,802.11b/g/n,Windows 8.1,DVD SuperMulti drive supporting 11 formats,2.4GHz,AMD A8,No,17.3,Laptop/Notebook,Everyday,1 Year,,,,,,No,,No,,Built-in stereo speakers,,Black,16.3 ” x10.6 ” x 1.3 ”,DDR3L,"1 x HDMI , 1 x RGB","2 x USB 2.0 , 1 x USB 3.0",HD webcam and microphone,5.9 lbs,,N/A,AMD Radeon™ R5 Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Toshiba Satellite (C55-B5170) Laptop | Staples®,1TB,,TruBrite® TFT display at 1366 x 768 native resolution ( HD ),1024.0,Serial ATA hard disk drive,5400 RPM,8.0,Wi-Fi® Wireless networking ( 802.11b/g/n ),Windows 8.1,DVD SuperMulti drive supporting 11 formats,1.90GHz,Intel i3,No,15.6 ”,Laptop/Notebook,Everyday,1 year standard limited warranty,4.1 to 5 lbs,1 to 1.9 GHz,Intel i3,8GB,15 '' to 16.9 '',No,,,3M,,4 cell/45Wh Lithium ion battery,Black,14.96 ” W x 10.2 ” D x 1.05 ” H,DDR3L,"RGB , HDMI , Microphone input/headphone out , RJ-45 LAN , Slot for Security Lock",2xUSB 2.0 + 1xUSB 3.0,HD webcam with microphone,4.85 lbs,Memory Card Reader,N/A,Mobile Intel® HD graphics with shared graphics memory,Black,Intel® Core™ i3-4025U Processor,802.11b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Toshiba, Satellite C55-B5299, 15.6"" Laptop, 2GB Memory, 500GB Hard Drive, Intel Celeron, Windows 8.1 with Bing | Make More Happen at Staples®",500GB,3.9 hours,TruBrite TFT display at 1366 x 768 native resolution ( HD ),500.0,5400RPM,Serial ATA hard disk drive,2.0,10/100 Ethernet,Windows 8.1,N/A,2.16GHz,Intel Other,No,15.6,Laptop/Notebook,Everyday,1 Year,,Less than 1 GHz,Intel,4GB,15 '' to 16 '',No,Mobile Intel HD graphics with shared graphics memory,Yes,1MB,Built in Stereo Speakers,4 cell/32Wh lithium ion battery,Black,14.96 ” x 10.2 ” x 1.05 ”,DDR3L 1333MHz,"VGA , HDMI , Microphone , RJ-45","2 x USB 2.0 , 1 x USB 3.0",Integrated,4.8 lbs .,"Secure Digital , SDHC , SDXC , miniSD , microSD , Multi Media Card",Not user upgradeable,Integrated,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Asus X550LA-RI7T27 15.6"" Touchscreen Laptop | Staples®",1TB,Up to 2 hours and 52 minutes,HD Touch Display,1024.0,5400RPM,SATA,8.0,Integrated 10/100/1000 Mbps Fast Ethernet,Windows 8,SMDVDRW,"1.8GHz , up to 3GHz",Intel i7,No,15.6,Laptop/Notebook,Everyday,1 Year,Over 6 lbs,1 to 1.9 GHz,Intel i7,8GB,,Yes,Shared,No,4MB L3,Built-in ASUS SonicMaster Stereo Speakers,4 cell lithium ion,Gray,9.88 '' ( L ) x 14.96 '' ( W ) x 1.25 '' ( D ),DDR3,"1 x VGA port/Mini D-sub 15-pin , 1 x LAN RJ-45 jack , 1 x HDMI,1x Combo Audio jack","1 x USB 3.0 , 1 x USB 2.0",1.0MP,5.07 lbs .,SD/ SDHC/ SDXC,Non expandable,UMA Intel HD Graphics 4400,Gray/Silver,,802.11/a/b/g/n,Spindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Toshiba Satellite (L75-B7150) Laptop | Staples®,500GB,,TruBrite® TFT display at 1600 x 900 native resolution ( HD+ ),500.0,Serial ATA hard disk drive,5400 RPM,6.0,Wi-Fi® Wireless networking ( 802.11b/g/n ),Windows 8.1,DVD SuperMulti drive supporting 11 formats,1.70GHz,Intel i3,No,17.3 ”,Laptop/Notebook,Everyday,1 year standard limited warranty,5.1 to 6 lbs,1 to 1.9 GHz,Intel i3,6GB,17 '' to 18.9 '',No,,Yes,3M,"Stereo speakers tuned by Skull Candy , DTS Sound",6 cell/48Wh Lithium Ion battery pack,Gold,16.3 ” W x10.6 ” D x 1.3 ” H,DDR3L,"RGB , HDMI , Microphone input port , Headphone output port , RJ-45 LAN port , Slot for Security Lock","1 USB 3.0 with USB Sleep and Charge , 1 USB 3.0 , 2 USB 2.0 port",HD webcam,5.9 lbs,Memory Card Reader,N/A,Mobile Intel® HD graphics with shared graphics memory,Gold,Intel® Core™ i3-4005U Processor,802.11b/g/n,,Bluetooth v.4.0,Satin Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HP Pavilion 15"" Touch Screen Laptop | Staples®",750GB,Up to 5 hours and 15 minutes,Diagonal HD ( 33 ) BrightView LED-backlit touchscreen display ( 1366x768 ),750.0,5400RPM,,8.0,10/100BASE-T Ethernet LAN ( RJ-45 connector ),Windows 8,SuperMulti DVD burner,1.6GHz with Turbo Boost up to 2.6GHz,Intel i5,No,15.6,Laptop/Notebook,Everyday,1-Year warranty,Over 6 lbs,1 to 1.9 GHz,Intel i5,8GB,,Yes,,No,,DTS Sound+,4-cell 41WHr 2.8Ah lithium-ion battery,Black,47.24 '' L x 39.37 '' W x 46 '' D,DDR3L SDRAM ( 1 DIMM ),"1 HDMI , 1 RJ-45 ( LAN ) , 1 Headphone-out/microphone-in combo jack","SuperSpeed USB 3.0 , 1 Universal Serial Bus ( USB ) 2.0",HP TrueVision HD Webcam : Always come off looking your best . Even in low light .,5.67 lbs .,Multi-format digital media card reader for Secure Digital cards,,Intel HD graphics 4400,Black,,,,,Black/Silver,HP CoolSense,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"HP® 355 G2 15.6"" LED Notebook, AMD E1-6010 Quad Core 1.35 GHz | Staples®",500GB,,Active Matrix TFT Color LCD With LED Backlight,500.0,5400 RPM,500GB Serial ATA/300,4.0,IEEE 802.11a/b/g/n WLAN,Windows 7 Professional,DVD-RAM/+or-R/+or-RW,1.35 GHz,AMD E1,No,,Laptop/Notebook,Business,1 Year Limited,,1 to 1.9 GHz,AMD E1,4GB,15 '' to 16.9 '',No,,Yes,1MB,Yes,Lithium Ion ( Li-Ion ),Silver,0.9 '' x 15.1 '' x 10.3 '',DDR3L SDRAM,"HDMI , VGA , Network ( RJ-45 ) , Headphone/Microphone Combo Port","1 x USB 2.0 , 2 x USB 3.0",Yes,5.07 lbs .,Yes,16GB,AMD Radeon R2,Gray/Silver,,802.11/a/b/g/n,,,,"HP 3D DriveGuard , Security Lock Slot",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HP Pro 3500 - Pentium G2030 3 GHz - 2 GB - 500 GB | Staples®,500GB,,,,,,,,,,,,,,,,,,3 to 3.9 GHz,Intel,2GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,3MB,14 1/2 '' x 6 1/2 '' x 15.3 '',500GB,No,No,Yes,Windows 8,DVD-Reader,"Interfaces/ports : 10 x USB 2.0 , Network ( RJ-45 ) , Audio Line In/Out , VGA , DVI",300 W,Intel Other,No,10 x USB 2.0,Business,1 Year Limited on Parts and Labor,15.28 lbs .,8GB,Desktop,2GB,7200 RPM,3GHz,SATA/600,DDR3 SDRAM,,,,,,,,,,,,,
No,"HP Off-Lease, Refurbished 6510B 14"", 80GB Hard Drive, 2GB Memory, Intel Core 2 Duo, Win 7 Home Premium | Staples®",Under 320GB,,WXGA,80.0,,,2.0,"Intel 802.11a/b/g/draft-n , a/b/g , b/g",Windows 7,DVDRW,2.0Ghz,,Yes,14,Laptop/Notebook,Everyday,1 Year,,2 to 2.9 GHz,Intel,2GB,13 '' to 14.9 '',No,,,,,6-cell lithium-ion battery,,13.02 '' ( W ) x 9.57 '' ( D ) x 1.33 '' ( min H ),,,,,,,,,,Intel Core 2 Duo,802.11/a/b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
