64bit processing,<page title>,aspect ratio,battery chemistry,battery energy,bluetooth,bluetooth standard,brand name,cache,certifications standards,color,connection type,depth,display screen technology,display screen type,form factor,front camera resolutionwebcam resolution,front camerawebcam,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,green compliance certificateauthority,green compliant,headphonemicrophone combo port,height,keyboard,keyboard type,manufacturer,manufacturer part number,manufacturer website address,maximum battery run time,maximum standby battery time,maximum turbo speed,memory card reader,memory card supported,memory technology,micro hdmi,microphone,multitouch screen,number of cells,number of usb 30 ports,operating system,operating system platform,optical drive type,package contents,pointing device type,processor core,processor manufacturer,processor model,processor speed,processor type,product line,product model,product name,product series,product type,screen mode,screen resolution,screen size,software included,solid state drive capacity,speakers,standard memory,total number of usb ports,touchpad features,touchscreen,weight approximate,width,wireless lan,wireless lan standard,additional information,audio line out,backlight technology,battery capacity,ethernet technology,finger print reader,hard drive capacity,hdcp supported,hdmi,height front,height rear,maximum memory,network rj45,number of total memory slots,number of usb 20 ports,operating system architecture,optical media supported,tv card,vga,webcam,wireless lan manufacturer,wireless lan model,mini hdmi,rear camera,rear camera resolution,wwan supported,direct media interface,focus modes,hard drive interface,hard drive rpm,hyperthreading,keyboard backlight,memory standard,security features,sensor type,solid state drive interface,vpro technology,wimax,chipset manufacturer,construction,mini displayport,applicationusage,carrying options,case features,compartment depth,compartment height,compartment width,durability,exterior material,maximum screen size supported,minimum screen size supported,style,chipset model,acer converter cable supported,acer converter port,displayport,checkpoint friendly,compatibility,graphics memory capacity,duallayer media supported,flash memory capacity,country of origin,input voltage,keyboard localization,maximum power supply wattage,digitizer,audio line in,esata,modem,modem rj11,printed designpatterntexture,features,memory form factor,number of mini pci express slots,number of processors installed,number of processors supported,number of total expansion slots,total hard drive capacity,near field communication,number of 35 bays,number of external 525 bays,number of total expansion bays,hard drive configuration,gps,maximum web surfing battery time,maximum video battery time,number of graphic controllers,number of internal 25 bays,number of pci express x1 slots,number of pci express x16 slots,controller type,raid levels,raid supported,expansion bay type,expansion slot type,switchable graphics,number of optical drives,cellular data connectivity technology,solid state drive configuration,number of msata interfaces,number of mxm slots,total solid state drive capacity,burst frequency,widi technology,usb host,rear camera video resolution,maximum audio battery time,accessibility,interior material,pixel density
Yes,"Asus Transformer Book T100TA-C1-RD(S) Net-tablet PC - 10.1"" - In-plane Switching (IPS) Technology - Wireless LAN - Intel Atom Z3775 1.46 GHz - Red - T100TAC1RDS - Laptops & Notebooks - ASUS Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Polymer ( Li-Polymer ),31 Wh,Yes,Bluetooth 4.0,Asus,2 MB,UL MIC CE Marking Compliance FCC Compliance BSMI Australia C-TICK / NZ A-Tick Compliance CCC GOST-R CB IDA JATE,Red,Micro USB,6.7 '',In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,Hybrid,1.2 Megapixel,Yes,Intel,HD Graphics,Shared,DDR3 SDRAM,RoHS,Yes,Yes,0.9 '',Yes,Physical Keyboard,ASUS Computer International,T100TA-C1-RD ( S ),http : //usa.asus.com,11 Hour,2 Week,2.39 GHz,Yes,microSD,DDR3 SDRAM,Yes,Yes,Yes,2-cell,1.0,Windows 8.1,Windows,No,Transformer Book T100TA-C1-RD ( S ) Net-tablet PC AC Adapter Keyboard Dock User Manual Warranty Card,TouchPad,Quad-core ( 4 Core ),Intel,Z3775,1.46 GHz,Atom,Transformer Book,T100TA-C1-RD ( S ),Transformer Book T100TA-C1-RD ( S ) Net-tablet PC,T100TA,Net-tablet PC,HD,1366 x 768,10.1 '',Microsoft Office Home and Student 2013,64 GB,Yes,2 GB,1.0,Multi-touch Gesture,Yes,2.40 lb,10.4 '',Yes,IEEE 802.11 a/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Acer Aspire E5-521-8948 15.6"" LED Notebook - AMD A-Series A8-6410 2 GHz - Black - NXMLFAA011 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),,Yes,,Acer,2 MB,ACPI 3.0,Black,,10.1 '',,Active Matrix TFT Color LCD,,,,AMD,Radeon R5 Series,Shared,DDR3 SDRAM,,,,1.2 '',Yes,,"Acer , Inc",NX.MLFAA.011,http : //us.acer.com,,,2.40 GHz,Yes,Secure Digital ( SD ) Card,DDR3L SDRAM,,Yes,,6-cell,1.0,Windows 8.1,,DVD-Writer,Aspire E5-521-8948 NotebookLithium Ion BatteryAC Adapter,TouchPad,Quad-core ( 4 Core ),AMD,A8-6410,2 GHz,A-Series,Aspire,E5-521-8948,Aspire E5-521-8948 Notebook,E5-521,Notebook,HD,1366 x 768,15.6 '',,,Yes,4 GB,3.0,Multi-touch Gesture,,5.51 lb,15 '',Yes,IEEE 802.11b/g/n,Wireless LAN : Acer Nplify 802.11b/g/n,Yes,LED,2500 mAh,Gigabit Ethernet,No,500 GB,Yes,Yes,1 '',1.19 '',16 GB,Yes,2.0,2.0,64-bit,DVD-RAM/ R/ RW,No,Yes,Yes,Atheros,WB335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Vulcan 16 GB Net-tablet PC - 8"" - In-plane Switching (IPS) Technology - Wireless LAN - 3G - Intel Atom Z3735E 1.33 GHz - TBVVTA0800IENG - Laptops & Notebooks - GENERAL PROCUREMENT INC. Laptops & Notebooks - TheNerds.net",16 : 10,,,Yes,Bluetooth 4.0,Vulcan,2 MB,,,Micro USB,5.4 '',In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,Slate,2 Megapixel,Yes,Intel,HD Graphics,Shared,DDR3 SDRAM,,,,0.3 '',,,General Procurement,TBVVTA0800IENG,http : //www.generalprocurement.com,,,1.83 GHz,Yes,microSD,DDR3 SDRAM,,Yes,Yes,,,Windows 8.1,Windows,,,,Quad-core ( 4 Core ),Intel,Z3735E,1.33 GHz,Atom,,,CHALLENGER 8 '' Windows Tablet,,Net-tablet PC,WXGA,1280 x 800,8 '',Microsoft Office 365 ( 1 Year Free Subscription ),,Yes,1 GB,,,Yes,11.29 oz,7.9 '',Yes,IEEE 802.11b/g/n,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,2 Megapixel,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Lenovo ThinkPad S1 Yoga 20CD00BYUS Ultrabook/Tablet - 12.5"" - In-plane Switching (IPS) Technology - Wireless LAN - Intel Core i7 i7-4600U 2.10 GHz - Black - 20CD00BYUS - Laptops & Notebooks - LENOVO Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Polymer ( Li-Polymer ),47 Wh,Yes,Bluetooth 4.0,Lenovo,4 MB,,Black,,8.7 '',In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,Convertible,,Yes,Intel,HD 4400,Shared,DDR3L SDRAM,RoHS,Yes,Yes,0.7 '',Yes,Physical Keyboard,Lenovo Group Limited,20CD00BYUS,http : //www.lenovo.com/us/en/,7 Hour,,3.30 GHz,Yes,Secure Digital Extended Capacity ( SDXC ),DDR3L SDRAM,,Yes,Yes,8-cell,2.0,Windows 8.1 Pro,Windows,No,ThinkPad S1 Yoga 20CD00BYUS Ultrabook/Tablet AC Adapter,Trackpoint,Dual-core ( 2 Core ),Intel,i7-4600U,2.10 GHz,Core i7,ThinkPad,20CD00BYUS,ThinkPad S1 Yoga 20CD00BYUS Ultrabook/Tablet,S1 Yoga,Ultrabook/Tablet,HD,1366 x 768,12.5 '',Skype Lenovo Support Lenovo Companion Password Manager Lenovo Cloud Storage ThinkVantage System Update Norton Internet Security ( 30 days of virus definitions ) Microsoft Office Preloaded ( purchase a product key to activate ),16 GB,Yes,8 GB,2.0,Multi-touch Gesture,Yes,3.46 lb,12.4 '',Yes,IEEE 802.11a/b/g/n/ac,,,LED,,,No,500 GB,,Yes,,,,No,,,64-bit,,,,,Intel,Dual Band Wireless-AC 7260,,,,No,5 GT/s,Fixed Focus,Serial ATA/300,7200.0,Yes,Yes,DDR3L-1600/PC3-12800,"Power-on Password Hard Disk Password Supervisor Password Security Keyhole Trusted Platform Module , TCG 1.2-compliant",Ambient Light Sensor,M.2,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Dell Latitude 14 7000 E7440 14"" LED Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - 998BFBM - Laptops & Notebooks - DELL COMPUTER Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),45 Wh,Yes,Bluetooth 4.0,Dell,4 MB,MIL-STD-810G,,,9.1 '',,Active Matrix TFT Color LCD,,,,Intel,HD Graphics 4400,Shared,DDR3L SDRAM,ENERGY STAR 5.2,Yes,Yes,0.8 '',Yes,,"Dell , Inc",998-BFBM,http : //www.dell.com,,,3.30 GHz,,,DDR3L SDRAM,,Yes,,4-cell,3.0,,,,Latitude 14 7000 E7440 Ultrabook Lithium Ion Battery AC Adapter,TouchPad,Dual-core ( 2 Core ),Intel,i7-4600U,2.10 GHz,Core i7,Latitude,E7440,Latitude 14 7000 E7440 Ultrabook,14 7000,Ultrabook,,,14 '',,,Yes,8 GB,3.0,Multi-touch Gesture,,3.60 lb,13.3 '',,,,,LED,,Gigabit Ethernet,,,,Yes,,,,Yes,1.0,,,,,,Yes,,,,,,,5 GT/s,,,,Yes,,DDR3L-1600/PC3-12800,Dell ControlVault FIPS 140-2-Certified TPM Dell Data Protection : Encryption Protected Workspace,,,,,Intel,Rugged,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Acer Aspire E1-532-35584G50Mnkk 15.6"" LED Notebook - Intel Pentium 3558U 1.70 GHz - Black - NXMFVAA005 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),,Yes,,Acer,2 MB,ACPI 3.0,Black,,10.1 '',,Active Matrix TFT Color LCD,,,,Intel,HD Graphics,Shared,DDR3 SDRAM,,,,1 '',Yes,,"Acer , Inc",NX.MFVAA.005,http : //us.acer.com,4 Hour,,,Yes,Secure Digital ( SD ),DDR3L SDRAM,,Yes,,4-cell,1.0,Windows 7 Home Premium,,DVD-Writer,Aspire E1-532-35584G50Mnkk NotebookLithium Ion BatteryAC Adapter,TouchPad,Dual-core ( 2 Core ),Intel,3558U,1.70 GHz,Pentium,Aspire,E1-532-35584G50Mnkk,Aspire E1-532-35584G50Mnkk Notebook,E1-532,Notebook,HD,1366 x 768,15.6 '',"Microsoft & reg ; Office Starter : reduced-functionality Word and Excel & reg ; only , with advertising . No PowerPoint & reg ; or Outlook & reg ; . Buy Office 2010 to use the full-featured software . Bing & trade ; Bar Windows Live & trade ; Essentials",,Yes,4 GB,3.0,Multi-touch Gesture,,5.18 lb,15 '',Yes,IEEE 802.11b/g/n,Wireless LAN : Acer Nplify 802.11b/g/n,Yes,LED,2500 mAh,Gigabit Ethernet,No,500 GB,Yes,Yes,0.48 '',1 '',8 GB,Yes,,2.0,64-bit,DVD-RAM/ R/ RW,No,Yes,Yes,Atheros,WB335,,,,,,,Serial ATA,5400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mobile Edge SlipSuit Notebook Case - MESS116 - Laptops & Notebooks - MOBILE EDGE Laptops & Notebooks - TheNerds.net,,,,,,Mobile Edge,,,Black,,2.2 '',,,,,,,,,,,,,12 '',,,Mobile Edge,MESS1-16,http : //www.mobileedge.com,,,,,,,,,,,,,,,,,,,,,,SlipSuit,,16 & quot ; SlipSuit ( Black ),,Carrying Case,,,,,,,,,,,,16.5 '',,,Accent color platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accessories,Carrying Strap,Zipper Closure,1.30 '',10.50 '',15.50 '',Water Resistant,Neoprene,16 '',15.6 '',Sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Lenovo ThinkPad Edge E540 20C6008TUS 15.6"" LED Notebook - Intel Core i5 i5-4200M 2.50 GHz - Matte Black, Silver - 20C6008TUS - Laptops & Notebooks - LENOVO Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),48 Wh,Yes,Bluetooth 4.0,Lenovo,3 MB,,Silver,,9.8 '',,Active Matrix TFT Color LCD,,,,Intel,HD 4600,Shared,DDR3L SDRAM,RoHS,Yes,Yes,1.2 '',Yes,,Lenovo Group Limited,20C6008TUS,http : //www.lenovo.com/us/en/,6.20 Hour,,3.10 GHz,Yes,Secure Digital Extended Capacity ( SDXC ),DDR3L SDRAM,,Yes,,6-cell,2.0,Windows 7 Professional Upgradable to Windows 8 Pro,,DVD-Writer,ThinkPad Edge E540 20C6008TUS Notebook Lithium Ion Battery AC Adapter Windows 8 Pro ( 64-bit ) License Media,Trackpoint,Dual-core ( 2 Core ),Intel,i5-4200M,2.50 GHz,Core i5,ThinkPad Edge,20C6008TUS,ThinkPad Edge E540 20C6008TUS Notebook,E540,Notebook,HD,1366 x 768,15.6 '',Adobe Reader ThinkVantage System Update Norton Internet Security ( 30 days of virus definitions ) Microsoft Office Preloaded ( purchase a product key to activate ),,Yes,6 GB,3.0,Multi-touch Gesture,,5.40 lb,14.8 '',Yes,IEEE 802.11b/g/n,,,LED,,Gigabit Ethernet,Yes,1 TB,Yes,Yes,,,16 GB,Yes,2.0,1.0,64-bit,,,Yes,Yes,Intel,Wireless-N 7260,,,,No,5 GT/s,,Serial ATA/300,5400.0,Yes,,DDR3L-1600/PC3-12800,Power-on Password Hard Disk Password Supervisor Password Security Keyhole,,,No,No,Intel,,,,,,,,,,,,,,HM87 Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Acer Aspire S7-392-54208G25tws 13.3"" Touchscreen LED (In-plane Switching (IPS) Technology) Ultrabook - Intel Core i5 i5-4200U 1.60 GHz - NXMBKAA023 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Polymer ( Li-Polymer ),,Yes,,Acer,3 MB,ACPI 3.0,,,8.8 '',In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,,,,Intel,HD 4400,Shared,DDR3 SDRAM,,,,0.5 '',Yes,,"Acer , Inc",NX.MBKAA.023,http : //us.acer.com,8 Hour,,,Yes,Secure Digital ( SD ),DDR3L SDRAM,,Yes,Yes,4-cell,2.0,Windows 8.1,,No,Aspire S7-392-54208G25tws UltrabookLithium Polymer BatteryAC Adapter,TouchPad,Dual-core ( 2 Core ),Intel,i5-4200U,1.60 GHz,Core i5,Aspire,S7-392-54208G25tws,Aspire S7-392-54208G25tws Ultrabook,S7-392,Ultrabook,Full HD,1920 x 1080,13.3 '',,256 GB,Yes,8 GB,2.0,,Yes,2.87 lb,12.7 '',Yes,IEEE 802.11a/b/g/n,Wireless LAN : Acer Nplify 802.11a/b/g/n,Yes,LED,6280 mAh,,No,,Yes,Yes,0.51 '',0.51 '',,,,,64-bit,,No,,Yes,Intel,Wireless-N 7260,,,,,,,,,Yes,Yes,,,Ambient Light Sensor,,,,,,,,,,,,,,,,,,,USB 2.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Toshiba Satellite S55-B5268 15.6"" LED (TruBrite) Notebook - Intel Core i7 i7-4510U 2 GHz - PSPQ6U01600T - Laptops & Notebooks - TOSHIBA Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),,,,Toshiba,4 MB,Wi-Fi Certified,,,,TruBrite,Active Matrix TFT Color LCD,,,,,,,,ENERGY STAR,Yes,,,Yes,,Toshiba,PSPQ6U-01600T,http : //www.toshiba.com,,,3.10 GHz,Yes,Secure Digital ( SD ),DDR3 SDRAM,,,,4-cell,,,,,Satellite S55-B5268 Notebook Lithium Ion Battery AC Adapter,TouchPad,Dual-core ( 2 Core ),Intel,i7-4510U,2 GHz,Core i7,Satellite,S55-B5268,Satellite S55-B5268 Notebook,S55,Notebook,HD,1366 x 768,15.6 '',,,Yes,12 GB,,Multi-touch Gesture,,,,Yes,IEEE 802.11n,,,LED,,Gigabit Ethernet,,,,,,,16 GB,,2.0,,,,,,Yes,,,,,,,5 GT/s,,,,Yes,,DDR3-1600/PC3-12800,Security Lock Slot ( Cable Lock Sold Separately ),,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
