<page title>,date added,model,weight,wifi,data di inserimento,modello,peso di spedizione,1 x power adaptor,fecha publicación,modelo,note,peso del envío,builtin rechargeable polymer battery,intel dualcore processor,1280 x 800,intel d2500 dualcore cpu,peso de transporte,referência,1 x power adapter,brand,1 x charger,cpu,artikelnummer,datum hinzugefügt,versandgewicht
13.3 WIN 7 OS Notebook CPU Intel Atom D2500 Dual Core/HD 320GB L-95579 - TinyDeal,07/12/2012 .,L-95579,2.117kg ( 74.67 oz ),module module,,,,,,,,,,,,,,,,,,,,,
7 WiFi Netbook PC Windows CE (ARM-WM8505 300MHz/2GB HD) - White L8052G07 - TinyDeal,,,,,10/05/2010 .,L8052G07,0.9kg . ( 31.75 oz ),,,,,,,,,,,,,,,,,,
13.3 Windows 7 OS Notebook (CPU Intel Atom N2500 HD 160GB) L-95578 - TinyDeal,,,,module and supports external 3G dongle module and supports external 3G dongle,,,,Note : Right plug of adapter would be sent according to your shipping country,: 07/12/2012,L-95578,Right plug of adapter would be sent according to your shipping country,2.065lbs ( 72.84 oz ),,,,,,,,,,,,,
13.3 Windows 7 Intel Atom D2500 Dual-core 250GB Laptop L-158582 - TinyDeal,03/08/2013 .,L-158582,2.25kg ( 79.37 oz ),,,,,Note : Right plug of adapter would be sent according to your shipping country,,,Right plug of adapter would be sent according to your shipping country,,11.1V 3800mAh 11.1V 3800mAh,,,,,,,,,,,,
13 Windows 8 837 Celeron Dual-core 250GB Laptop ELT-293706 - TinyDeal,,,,,,,,,: 04/01/2014,ELT-293706,,2.267lbs ( 79.96 oz ),,,,,,,,,,,,,
13.3 Windows 7 1037U Celeron Dual-core 500GB portátil L-162989 - TinyDeal,,,,module and support wireless access to get Internet anywhere covered by WiFi hotspots module and support wireless access to get Internet anywhere covered by WiFi hotspots,,,,Note : Right plug of adapter would be sent according to your shipping country,,,Right plug of adapter would be sent according to your shipping country,,7.4V 4000mAh 7.4V 4000mAh,Windows OS laptop Windows OS laptop,,,,,,,,,,,
13.3 Win 7 Ultimate OS Notebook CPU Intel Atom D2500/ HD 320GB L-122277 - TinyDeal,,,,module and supports external 3G dongle module and supports external 3G dongle,,,,,,,,,,,pixels screen resolution for high definition display pixels screen resolution for high definition display,and high performance integrated graphics card and high performance integrated graphics card,2.261kg ( 79.75 oz ),L-122277,,,,,,,
HASEE 14 Win7 Intel Pentium Dual-core 4GB 500GB Laptop ELT-337733 - TinyDeal,09/06/2014 .,ELT-337733,2.8kg ( 98.77 oz ),,,,,,,,Right plug of adapter would be sent according to your shipping country ),,,,,,,,(,HASEE,,,,,
13.3 WIN 7 OS Notebook CPU Intel Atom D2500 Dual Core/HD 320GB L-95579 - TinyDeal,,,,module module,,,,,,,,,,,,,2.117kg ( 74.67 oz ),L-95579,,,,,,,
"14,1 Windows 7 Notebook 500GB Dual core Celeron 1037U L-162991 - TinyDeal",,,,module and support wireless access to get Internet anywhere covered by WiFi hotspots module and support wireless access to get Internet anywhere covered by WiFi hotspots,,,,Note : Right plug of adapter would be sent according to your shipping country,,,Right plug of adapter would be sent according to your shipping country,,7.4V 4000mAh 7.4V 4000mAh,Windows OS laptop Windows OS laptop,,,2.535kg ( 89.42 oz ),L-162991,,,,,,,
