<page title>,battery,dimensions wxhxd,keyboard,operating system,pointing device,weight,ac adapter,brand,cpu speed,cpu type,dimensions,gpuvpu,graphics card,hard disk,hdmi,lan,memory,memory size,model,resolution,screen,screen size,series,ssd,tech description,usb,video memory,webcam,wlan,aspect ratio,audio,backlight,bluetooth,cache,display,finish,flash media slot,hard drive,native resolution,network,optical drive,ports,power requirements,processor,size,type,wifi,64bit processing,backlight technology,battery chemistry,battery energy,battery information,bluetooth standard,builtin devices,chipset manufacturer,communication,direct media interface,display graphics,display screen type,displayport,duallayer media supported,ethernet technology,graphics,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,hard drive interface,hard drive rpm,headphonemicrophone combo port,hyperthreading,input devices,interfacesports,maximum battery run time,maximum memory,maximum turbo speed,memory card reader,memory standard,memory technology,modem,network communication,network rj45,number of total memory slots,number of usb 30 ports,operating system architecture,optical drive type,optical media supported,pointing device type,processor chipset,processor core,processor model,processor speed,processor type,screen mode,screen resolution,software,speakers,storage,touchpad features,vga,vpro technology,wireless lan manufacturer,wireless lan model,wireless lan standard,audio line out,battery capacity,certifications standards,color,depth,hard drive capacity,hdcp supported,height,height front,height rear,maximum power supply wattage,memory card supported,microphone,number of cells,number of usb 20 ports,processor manufacturer,product family,product line,product model,product name,product series,product type,standard memory,width,wireless lan,part,graphic type,hdd,hdd interface,lcd features,memory speed,number of cores,wide screen support,ethernet,navigation,chipset model,manufacturer,manufacturer part number,multitouch screen,storage size,touchscreen,weight approximate,max memory supported,display type,video port,finger print reader,solid state drive capacity,solid state drive interface,total number of usb ports,brightness,security,color gamut,expansion slots,mobile broadband,viewing angle,docking connector,speaker,battery type,green compliance certificateauthority,green compliant,audio ports,battery life,cpu support,construction,expansion slot type,mini displayport,security features,display screen technology,audio line in,external resolution,gps,nfc,supported resolutions,system bus,brand name,usb ports,keyboard backlight,keyboard localization,software included,communications,general,inputoutput connectors,performance,hdd rpm,wwan supported,backlit keyboard,hhd,tv card,touchpad,upc code
"Best Asus G750JS-DS71 ROG-i7-4700MQ-16GB RAM-1TB+256GB-Win 8.1-17.3""Notebook-Black | TopEndElectronics UK",8-Cell Lithium-Ion Providing up to 3.5 Hours per Charge ( 88Wh ),16.1 x 2.0 x 12.5 '' / 40.9 x 5.1 x 31.8 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,9.9 lb / 4.49 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best HP Pavilion 10-e010nr-A-Series A4-1200-2GB-320GB HDD-Win 8.1-10.1""LED Notebook | TopEndElectronics UK",3-cell lithium ion,,,Windows 8.1,,,65-watt AC adapter,HP,A4-1200 ( 1.00GHz ),AMD A-Series AMD A4-1200 1.0GHz,10.74 '' x 7.66 '' x 0.89 '',AMD Radeon HD 8180,AMD Radeon HD 8180,320GB,1 x HDMI,10/100Mbps,2GB,2GB,10-e010nr TouchSmart,1366 x 768,10.1 '',10.1 '',Pavilion,320GB,Model Brand HP Model 10-e010nr TouchSmart Series Pavilion General CPU Type AMD A4-1200 1.0GHz Screen 10.1 '' Memory Size 2GB Hard Disk 320GB Graphics Card AMD Radeon HD 8180 Dimensions 10.74 '' x 7.66 '' x 0.89 '' Video Memory Shared memory CPU CPU Type AMD A-Series CPU Speed A4-1200 ( 1.00GHz ) Display Screen Size 10.1 '' Resolution 1366 x 768 Operating Systems Operating System Windows 8.1 Graphics GPU/VPU AMD Radeon HD 8180 Hard Drive SSD 320GB Communications WLAN 802.11b/g/n Wireless LAN LAN 10/100Mbps Memory Memory 2GB Ports USB 1 x USB 3.0 2 x USB 2.0 HDMI 1 x HDMI Supplemental Drive Webcam Yes Power AC Adapter 65-watt AC adapter Battery 3-cell lithium ion,1 x USB 3.0 2 x USB 2.0,Shared memory,Yes,802.11b/g/n Wireless LAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best ASUS V551LA-DS71T-i7-4500U-8GB-750GB HDD-Win 8-15.6""-Touchscreen Ultrabook- Silver Aluminum | TopEndElectronics UK",3-Cell Lithium-Ion Providing up to 5 Hours per Charge ( 4500mAh ),15.0 x 0.9 x 10.2 '' / 38.1 x 2.3 x 25.9 cm,Type : Standard Notebook Keyboard,Windows 8 ( 64-bit ),TouchPad,5.3 lb / 2.40 kg,,,,,,,Type : Integrated Installed : Intel HD Graphics 4400,,,,Type : 1600MHz DDR3 SDRAM Installed : 8GB,,,,,,,,Performance Processor 1.8GHz Intel Core i7-4500U Dual-Core 4th-Gen Haswell Cache L3 : 4MB Memory,,,Yes,,16 : 9,Integrated Stereo Speakers Integrated Microphone 1x 1/8 '' ( 3.5mm ) Headphone/Microphone Combo Jack,LED,Bluetooth 4.0,L3 : 4MB,1x HDMI,Glossy,1x SD,Installed : 750GB 5400rpm,1366 x 768,10/100/1000Mbps Gigabit Ethernet ( RJ-45 ),SuperMulti DVD Burner,2x USB 3.0 ( A ) 1x USB 2.0 ( A ),"AC : 100-240 V AC , 50/60Hz Consumption : 65W",1.8GHz Intel Core i7-4500U Dual-Core 4th-Gen Haswell,15.6 '',Touchscreen,802.11b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best HP ProBook 650 G1 Core i7-4610M-3GHz-8GB-500GB HDD-Win 7 Pro-15.6"" LED Notebook-Black | TopEndElectronics UK",,,,,,,,,,,,,,,,,Standard Memory 8 GB,,,,,,,,Processor & Chipset : Processor Manufacturer Intel Processor Type Core i7 Processor Model i7-4610M Processor Speed 3 GHz Maximum Turbo Speed 3.70 GHz Processor Core Dual-core ( 2 Core ) Cache 4 MB Direct Media Interface 5 GT/s 64-bit Processing Yes Hyper-Threading Yes vPro Technology Yes Chipset Manufacturer Intel,,,,,0.672916667,,,Yes,4 MB,,,,,,,,,,,,,,Yes,LED,Lithium Ion ( Li-Ion ),55 Wh,Number of Cells 6-cell,Bluetooth 4.0,Microphone Yes,Intel,Wireless LAN Yes Wireless LAN Manufacturer Intel Wireless LAN Model Centrino Advanced-N 6235 Wireless LAN Standard IEEE 802.11a/b/g/n Ethernet Technology Gigabit Ethernet Bluetooth Yes Bluetooth Standard Bluetooth 4.0 Modem Yes Built-in Devices : Microphone Yes Speakers Yes Interfaces/Ports : Total Number of USB Ports 5 Number of USB 3.0 Ports 5 VGA Yes Network ( RJ-45 ) Yes Modem ( RJ-11 ) Yes DisplayPort Yes Headphone/Microphone Combo Port Yes,5 GT/s,Screen Size 15.6 '',Active Matrix TFT Color LCD,Yes,Yes,Gigabit Ethernet,Screen Size 15.6 '' Display Screen Type Active Matrix TFT Color LCD Aspect Ratio 0.672916667 Screen Mode Full HD Screen Resolution 1920 x 1080 Backlight Technology LED Graphics Controller Manufacturer Intel Graphics Controller Model HD 4600 Graphics Memory Technology DDR3 SDRAM Graphics Memory Accessibility Shared Network &,Intel,HD 4600,Shared,DDR3 SDRAM,Serial ATA,7200.0,Yes,Yes,Keyboard Yes,Total Number of USB Ports 5,8.25 Hour,16 GB,3.70 GHz,Yes,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,Wireless LAN Yes,Yes,2.0,5.0,64-bit,DVD-Writer,DVD-RAM/±R/±RW,TouchPad,Processor Manufacturer Intel,Dual-core ( 2 Core ),i7-4610M,3 GHz,Core i7,Full HD,1920 x 1080,Operating System Windows 7 Professional 64-bit,Yes,Hard Drive Capacity 500 GB,Pointstick,Yes,Yes,Intel,Centrino Advanced-N 6235,IEEE 802.11a/b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Asus X751MA-DB01Q-Intel N2930 1.83 GHz-8GB RAM-1TB HDD-Win 8.1-17.3""Notebook-Black | TopEndElectronics UK",4-Cell Lithium-Ion Providing up to 4 Hours per Charge ( 37Wh ),16.3 x 1.4 x 10.7 '' / 41.4 x 3.6 x 27.2 cm,Type : Standard Notebook Keyboard,Windows 8.1 Pro ( 64-bit ),TouchPad with Multi-Touch Control,,,,,,,,Type : Integrated,,,,Type : DDR3 SDRAM,,,,,,,,Performance Processor 1.83GHz Intel Celeron N2930 Quad-Core Bay Trail-M Cache L2 : 2MB Memory,,,Yes,,16 : 09,Integrated Stereo Speakers,,None,L2 : 2MB,1x HDMI,Glossy,1x SD,Installed : 1TB 5400rpm,1600 x 900,10/100/1000Mbps Gigabit Ethernet ( RJ-45 ),SuperMulti DVD Burner,1x USB 3.0 ( A ),,1.83GHz Intel Celeron N2930 Quad-Core Bay Trail-M,17.3 '',Widescreen,802.11b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Acer Aspire E5-521-435W-AMD A-Series A4-6210 1.80GHz-4GB -500GB HDD-Win 8.1 64-bit-15.6"" LED Notebook -Black | TopEndElectronics UK",,,Yes,Windows 8.1,,,,,,,,,,,Yes,,,,,,,15.6 '',,,Product Name Aspire E5-521-435W A4-6210 1.8GHz 4GB 500GB DVD/RW 15.6 '' W8.1 Product Type Notebook Hard Drive Capacity 500 GB Processor Manufacturer AMD Graphics Controller Manufacturer AMD Bluetooth Yes Wireless LAN Yes Optical Drive Type DVD-Writer Graphics Memory Accessibility Shared HDMI Yes Webcam Yes Backlight Technology LED Product Family Aspire E5-521 Operating System Architecture 64-bit Processor Model A4-6210 Color Black Operating System Windows 8.1 Processor Speed 1.80 GHz Processor Type A-Series Screen Size 15.6 '' Number of Cells 6-cell Screen Resolution 1366 x 768 Standard Memory 4 GB Cache 2 MB Processor Core Quad-core ( 4 Core ) Number of Total Memory Slots Optical Media Supported DVD-RAM/±R/ ±RW Display Screen Type Active Matrix TFT Color LCD Wireless LAN Standard IEEE 802.11b/g/n Ethernet Technology Gigabit Ethernet Total Number of USB Ports Height 1.2 '' Width 15 '' Depth 10.1 '' Screen Mode HD Memory Technology DDR3L SDRAM Product Series E5-521 Product Model E5-521-435W Pointing Device Type TouchPad Product Line Aspire Aspect Ratio 0.672916667 Maximum Memory 16 GB Battery Chemistry Lithium Ion ( Li-Ion ) HDCP Supported Yes Memory Card Reader Yes Battery Capacity 2500 mAh Graphics Memory Technology DDR3 SDRAM Wireless LAN Manufacturer Atheros Wireless LAN Model WB335 VGA Yes Network ( RJ-45 ) Yes Maximum Power Supply Wattage 40 W Audio Line Out Yes Number of USB 2.0 Ports 2 Number of USB 3.0 Ports 1 TouchPad Features Multi-touch Gesture Height ( Front ) 1 '' Height ( Rear ) 1.19 '' Memory Card Supported Secure Digital ( SD ) Card Certifications & Standards ACPI 3.0 Keyboard Yes Microphone Yes Speakers Yes,,,Yes,,0.672916667,,,Yes,2 MB,,,,,,,,,,,,,,,LED,Lithium Ion ( Li-Ion ),,,,,,,,,Active Matrix TFT Color LCD,,,Gigabit Ethernet,,AMD,,Shared,DDR3 SDRAM,,,,,,,,16 GB,,Yes,,DDR3L SDRAM,,,Yes,,1.0,64-bit,DVD-Writer,DVD-RAM/±R/ ±RW,TouchPad,,Quad-core ( 4 Core ),A4-6210,1.80 GHz,A-Series,HD,1366 x 768,,Yes,,Multi-touch Gesture,Yes,,Atheros,WB335,IEEE 802.11b/g/n,Yes,2500 mAh,ACPI 3.0,Black,10.1 '',500 GB,Yes,1.2 '',1 '',1.19 '',40 W,Secure Digital ( SD ) Card,Yes,6-cell,2.0,AMD,Aspire E5-521,Aspire,E5-521-435W,Aspire E5-521-435W A4-6210 1.8GHz 4GB 500GB DVD/RW 15.6 '' W8.1,E5-521,Notebook,4 GB,15 '',Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Lenovo ThinkPad Edge E431 68864KU-i3-3110M 2.4GHz-4GB-500GB HDD-14.0"" LED Notebook | TopEndElectronics UK",6-cell lithium ion,,,Windows 8 Pro 64-bit Windows 8 Pro 64-bit,,,,Lenovo,3110M ( 2.40GHz ),Intel Core i3 Intel Core i3 3110M ( 2.40GHz ),,,Intel HD Graphics 4000,500GB,1 x HDMI,10/100/1000Mbps,,4GB DDR3,E431,1366 x 768,14 '',14.0 '',ThinkPad,,Model Brand Lenovo Series ThinkPad Model E431 Part # 68864KU General Operating System Windows 8 Pro 64-bit CPU Type Intel Core i3 3110M ( 2.40GHz ) Screen 14 '' Memory Size 4GB DDR3 Hard Disk 500GB Optical Drive DVD±R/RW Video Memory Shared memory Webcam Yes Graphics Card Intel HD Graphics 4000 CPU CPU Type Intel Core i3 CPU Speed 3110M ( 2.40GHz ) Display Screen Size 14.0 '' Resolution 1366 x 768 Operating Systems Operating System Windows 8 Pro 64-bit Communications LAN 10/100/1000Mbps WLAN 802.11b/g/n Wireless LAN Bluetooth Yes Ports HDMI 1 x HDMI Power Battery 6-cell lithium ion,,Shared memory,Yes,802.11b/g/n Wireless LAN,,,,Yes,,,,,,,,DVD±R/RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68864KU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Lenovo ThinkPad Edge E540 20C600AAUS-i3-4000M-4GB-500GB HDD-15.6""LED Notebook | TopEndElectronics UK",6-cell lithium ion,,,Windows 8 Pro 64-bit,,,,ThinkPad,4000M ( 2.4GHz ),"Intel Core i3 Intel Core i3-4000M 2.4GHz , Dual Core,3MB L3 Cache",,Intel HD Graphics 4600,Intel HD Graphics 4600,500GB,,,4GB,4GB DDR3,E540,1366 x 768,15.6 '' 1366 x 768 LED Anti-Glare,15.6 '',Edge,,"Model Brand ThinkPad Series Edge Model E540 Part # 20C600AAUS General Operating System Windows 8 Pro 64-bit CPU Type Intel Core i3-4000M 2.4GHz , Dual Core,3MB L3 Cache Screen 15.6 '' 1366 x 768 LED Anti-Glare Memory Size 4GB DDR3 Hard Disk 500GB Graphics Card Intel HD Graphics 4600 Video Memory Shared memory CPU CPU Type Intel Core i3 CPU Speed 4000M ( 2.4GHz ) Number of Cores Dual-core Processor Display Screen Size 15.6 '' Wide Screen Support Yes LCD Features LED backlight Resolution 1366 x 768 Graphics GPU/VPU Intel HD Graphics 4600 Video Memory Shared system memory Graphic Type Integrated Card Hard Drive HDD 500GB HDD Interface SATA Memory Memory 4GB Memory Speed DDR3 Communications Bluetooth Bluetooth 4.0 WLAN Intel Wireless-N 7260 802.11b/g/n Wireless Power Battery 6-cell lithium ion",,Shared system memory Shared memory,,Intel Wireless-N 7260 802.11b/g/n Wireless,,,,Bluetooth 4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20C600AAUS,Integrated Card,500GB,SATA,LED backlight,DDR3,Dual-core Processor,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Lenovo ThinkPad T440 20B6005JUS i5-4300U-8GB-180GB SSD-HD4400-Win 7-14"" LED Ultrabook-Graphite Black | TopEndElectronics UK",3Cell Li-Ion Battery,,,Windows 7 Professional,,1.81 K.g .,,,,,,,,,,,8GB,,,,,,,,,,,Yes,,,,,Bluetooth 4.0,,14 '',,,,,,,,,Intel Core i5-4300U 1.90 GHz,,,,,,,,,,,,,,,,,,,Intel HD 4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180GB SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gigabit Ethernet,TouchPad and TrackPoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Acer Gateway NV570P30u-21174G50Mnik-2117U-4GB-500GB HDD-Win 8-15.6"" Touchscreen LED Notebook | TopEndElectronics UK",,,,Windows 8.1,,,,,,,,,,,,,,,,,,15.60 ``,,,"Battery Information Battery Chemistry Lithium Ion ( Li-Ion ) Battery Capacity 2500 mAh Maximum Battery Run Time 4 Hour Display & Graphics Screen Size 15.60 `` Touchscreen Yes Display Screen Type Active Matrix TFT Color LCD Aspect Ratio 16 : 9 Screen Mode HD Screen Resolution 1366 x 768 Backlight Technology LED Multi-touch Screen Yes HDCP Supported Yes Graphics Controller Manufacturer Intel Graphics Controller Model Graphics Media Accelerator HD Graphics Memory Technology DDR3 SDRAM Graphics Memory Accessibility Shared Storage Storage Size 500 GB Optical Drive Type DVD-Writer General Information Manufacturer Acer , Inc Manufacturer Part Number NX.Y46AA.009 Memory Memory Card Supported Secure Digital ( SD ) Card Standard Memory 4 GB Maximum Memory 8 GB Memory Technology DDR3 SDRAM Memory Card Reader Yes Network & Communication Wireless LAN Yes Wireless LAN Manufacturer Atheros Wireless LAN Model WB335 Wireless LAN Standard IEEE 802.11b/g/n Ethernet Technology Gigabit Ethernet Bluetooth Yes Physical Characteristics Height 1.1 '' Width 15 '' Depth 10.1 '' Weight ( Approximate ) 93.44 oz Processor & Chipset Processor Manufacturer Intel Processor Type Pentium Processor Model 2117U Processor Speed 1.80 GHz Cache 2 MB Chipset Manufacturer Intel Chipset Model HM70 Express Software Operating System Windows 8.1 Operating System Architecture 64-bit Input Devices Pointing Device Type TouchPad TouchPad Features Multi-touch Gesture",,,,,16 : 9,,,Yes,2 MB,,,,,,,,,,,,,,,LED,Lithium Ion ( Li-Ion ),,,,,Intel,,,,Active Matrix TFT Color LCD,,,Gigabit Ethernet,,Intel,Graphics Media Accelerator HD,Shared,DDR3 SDRAM,,,,,,,4 Hour,8 GB,,Yes,,DDR3 SDRAM,,,,,,64-bit,DVD-Writer,,TouchPad,,,2117U,1.80 GHz,Pentium,HD,1366 x 768,,,,Multi-touch Gesture,,,Atheros,WB335,IEEE 802.11b/g/n,,2500 mAh,,,10.1 '',,Yes,1.1 '',,,,Secure Digital ( SD ) Card,,,,Intel,,,,,,,4 GB,15 '',Yes,,,,,,,,,,,HM70 Express,"Acer , Inc",NX.Y46AA.009,Yes,500 GB,Yes,93.44 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Lenovo IdeaPad Flex 15-Intel Core i3-4010U-4GB- 500GB HHD-Win8.1-15.6""LED Notebook | TopEndElectronics UK",4-cell lithium ion,,,Windows 8.1,,,,Lenovo,4010U 1.70 GHz,Intel Core i3,,Intel HD Graphics 4000,,,1 x HDMI,,4GB,,,,,15.6 '',IdeaPad,,Model Brand Lenovo Series IdeaPad CPU CPU Type Intel Core i3 CPU Speed 4010U 1.70 GHz Display Screen Size 15.6 '' Operating Systems Operating System Windows 8.1 Graphics GPU/VPU Intel HD Graphics 4000 Hard Drive HDD 500GB Communications WLAN 802.11b/g/n Wireless LAN Bluetooth Yes Memory Memory 4GB Max Memory Supported 8GB Ports HDMI 1 x HDMI Supplemental Drive Webcam Yes Power Battery 4-cell lithium ion,,,Yes,802.11b/g/n Wireless LAN,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500GB,,,,,,,,,,,,,,,8GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
