bktitlenm,bktitleid
Software Architectures and Component Technology,8
Proceedings OOPSLA '89 ACM SIGPLAN Notices,12
Proceedings ECOOP '96,18
Proceedings of the ECOOP'93 Workshop on    Object-Based Distributed Programming,23
Proceedings ECOOP'94,24
Proceedings ECOOP'91,27
Proceedings of ESEC '97 Workshop on Foundations of Component-Based Systems,31
Proceedings of the ECOOP'91 Workshop on Object-Based Concurrent Computing,40
Proceedings OOPSLA '93 ACM SIGPLAN Notices,54
REBOOT '91,96
Foundations of Software Science and Computational Structures,113
Second International Workshop on Mobile Object Systems,123
Proceedings POPL 80,140
Object-Oriented Technology (ECOOP'98 Workshop Reader),145
Proceedings ICALP '90,218
Logic at Botik 89,229
Proceedings of the ESEC/FSE Workshop on Object-Oriented Re-engineering,232
Proceedings Esprit 1991 Conference,335
Pascal -- The Language and its Implementation,347
IFIP WG 5.2 Workshop on User Interface Management,408
