citkey,form
Ache00a,incollection
Baeu96a,inproceedings
Ben82a,book
Bisc92a,book
Born86a,article
Bour94a,inproceedings
Brig94a,inproceedings
Card98a,incollection
Cast97a,book
Cian96c,inproceedings
Coad91a,book
Cons92a,techreport
Copl99a,book
Deme80a,inproceedings
Deme98n,inproceedings
Deme99y,techreport
Foot94a,unpublished
Garf93a,book
Geha82a,article
Gepp92b,unpublished
Goet91a,incollection
Hami97a,misc
Henn86a,article
Heue95a,book
Hoar69a,article
Hofm94b,unpublished
Hors90a,techreport
Huet89a,incollection
Kove93a,inproceedings
Kurt99a,techreport
Lars90a,inproceedings
Lowr92a,article
Lump97a,inproceedings
Lutz96a,book
Miln84a,article
More94a,inproceedings
Nier91b,inproceedings
Nori81a,incollection
Papa91a,techreport
Pavl77a,book
Pins88a,book
Pint92a,techreport
Rao91a,inproceedings
Shib92a,inproceedings
Taiv96a,article
Tann83a,inproceedings
Thur89a,inproceedings
Tich97b,inproceedings
Tsic87c,article
Wegn94b,techreport
