citkey,keywdid
Ache00a,2
Ache00a,40
Ache00a,41
Ache00a,42
Baeu96a,2
Baeu96a,79
Ben82a,14
Bisc92a,183
Bisc92a,23
Bisc92a,0
Born86a,250
Bour94a,63
Bour94a,89
Brig94a,2
Brig94a,90
Card98a,334
Cian96c,123
Coad91a,183
Coad91a,23
Coad91a,0
Cons92a,55
Cons92a,377
Deme80a,67
Deme80a,6
Deme80a,329
Deme80a,247
Deme80a,414
Deme98n,2
Deme98n,412
Deme98n,188
Deme98n,413
Deme98n,423
Deme98n,318
Deme98n,393
Deme99y,2
Deme99y,422
Deme99y,40
Deme99y,415
Deme99y,428
Deme99y,47
Foot94a,200
Foot94a,7
Garf93a,18
Garf93a,23
Garf93a,0
Geha82a,69
Geha82a,465
Gepp92b,24
Gepp92b,7
Goet91a,200
Goet91a,275
Goet91a,7
Hami97a,144
Hami97a,537
Hami97a,0
Henn86a,14
Henn86a,7
Heue95a,24
Heue95a,0
Hoar69a,65
Hofm94b,402
Hofm94b,2
Hofm94b,7
Hors90a,2
Hors90a,56
Hors90a,131
Huet89a,28
Huet89a,236
Huet89a,32
Huet89a,7
Kove93a,2
Kove93a,172
Kurt99a,238
Lars90a,28
Lars90a,236
Lars90a,547
Lars90a,405
Lowr92a,80
Lowr92a,660
Lowr92a,7
Lowr92a,8
Lump97a,188
Lump97a,527
Lump97a,58
Lump97a,666
Lump97a,26
Lump97a,100
Lump97a,138
Lump97a,299
Lump97a,392
Lutz96a,0
Miln84a,28
Miln84a,164
Miln84a,165
Miln84a,7
More94a,2
More94a,90
Nier91b,55
Nier91b,59
Nier91b,58
Nier91b,130
Nier91b,132
Nier91b,60
Nori81a,80
Nori81a,577
Nori81a,746
Papa91a,63
Papa91a,130
Papa91a,132
Pavl77a,4
Pavl77a,517
Pavl77a,23
Pins88a,2
Pint92a,2
Pint92a,56
Pint92a,133
Rao91a,2
Rao91a,94
Shib92a,63
Shib92a,112
Taiv96a,2
Taiv96a,106
Tann83a,250
Thur89a,24
Thur89a,54
Tich97b,2
Tich97b,412
Tich97b,394
Tich97b,439
Tich97b,203
Tich97b,188
Tich97b,138
Tich97b,299
Tsic87c,18
Tsic87c,343
Tsic87c,241
Tsic87c,130
Tsic87c,468
Tsic87c,199
Wegn94b,293
Wegn94b,7
Wegn94b,8
