citkey,yr
Ache00a,2000
Baeu96a,1996
Ben82a,1982
Bisc92a,1992
Born86a,1986
Bour94a,1994
Brig94a,1994
Card98a,1998
Cast97a,1997
Cian96c,1996
Coad91a,1991
Cons92a,1992
Copl99a,1999
Deme80a,1980
Deme98n,1998
Deme99y,1999
Foot94a,1994
Garf93a,1993
Geha82a,1982
Gepp92b,1992
Goet91a,1991
Hami97a,1997
Henn86a,1986
Heue95a,1995
Hoar69a,1969
Hofm94b,1994
Hors90a,1990
Huet89a,1989
Kove93a,1993
Kurt99a,1999
Lars90a,1990
Lowr92a,1992
Lump97a,1997
Lutz96a,1996
Miln84a,1984
More94a,1994
Nier91b,1991
Nori81a,1981
Papa91a,1991
Pavl77a,1977
Pins88a,1988
Pint92a,1992
Rao91a,1991
Shib92a,1992
Taiv96a,1996
Tann83a,1983
Thur89a,1989
Tich97b,1997
Tsic87c,1987
Wegn94b,1994
