authid,name
6,R. Studer
79,Horst Biller
91,P. F. Patel-Schneider
108,R. Burstall
168,B. Moss
170,"{Larson,J.}"
192,"Wright,J.M."
282,EurOnet DIANE
292,Guide International
364,T. R. Addis
403,"P. Cohen {Feigenbaum,E.F.}"
431,"Berra,Bruce(ed)"
482,"Buckingham,R.A.,"
491,Capron
514,A. Wong
575,C. J. White
577,"Davis,C.G.,"
582,"Dean,A. L.(ed)"
608,Wilfrid J. Dixon
612,B. C. M. Douque
644,"Feigenbaum,E.,"
828,"Twichell,B.C."
920,L. W. McVoy
941,R. Snodgrass
973,J. F. Allen
1020,R. Andrews
1039,S. Toueg
1070,"Astrahan,M.M.,"
1080,"Gray,P.M.D.,"
1094,R. Torlone
1098,"Austing,R.H.,"
1129,B. R. Badrinath
1149,"Balzer,R.M.,"
1231,R. H. Guting
1274,V. K. Wei
1342,John Shaw Billings
1357,"Black,J.P.,"
1382,"Blumer,J.,"
1383,"Haussler,D.,"
1396,D. G. Bobrow
1397,"DeMichiel,L.G.,"
1411,N. G. Leveson
1419,"Kish,D.E."
1466,T. Milo
1500,F. Afrati
1531,R. Ahmed
1647,J. Y. Caleca
1791,"Bates,D.,"
1822,"Hinrichs,K."
1832,"Derrett,N.,"
