authorid,name
47,George M. Reed
52,Daniel Lehmann
112,John Case
126,M. A. Taitslin
149,Franco P. Preparata
157,Henk Barendregt
186,K. K. Tzeng
220,E. M. Clarke
224,K. Salomaa
247,John Grant
265,Orna Grumberg
267,William P. de Roever
307,Mikhail J. Atallah
334,Mandayam K. Srivas
399,Y. Mansour
401,H. P. Barendregt
423,Larry E. Stanfel
512,Andr{\'e} Arnold
524,Jonathan S. Turner
564,Mark A. Fulk
637,W. F. McColl
703,Egon Wanke
719,C. Pandu Rangan
733,Anne Condon
794,P. Urzyczyn
796,Dirk Siefkes
878,James E. Burns
911,Jerry L. Trahan
919,Klaus Reinhardt
999,Abraham Lempel
1001,Paul Gastin
1046,John Shawe-Taylor
1078,Oded Maler
1079,Andreas Weber
1102,Anuj Dawar
1200,Elena A. St{\?o}hr
1344,Konstantin Skodinis
1355,U. Rotics
1361,"Meyer auf der Heide, Friedhelm"
1362,Volker Stemann
1375,Yonatan Aumann
1380,Dimitrios Thilikos
1388,Jeffrey B. Remmel
1397,Tami Tamir
1405,Javed A. Aslam
1480,Jin-Yi Cai
1490,Kyoko Imamura
1503,Robert Koch
1520,A. Pnueli
1560,Th{\'e}r{\`e}se Hardin
