aid,name,affiliations
49,Zhang-Wen-Qi,"CASC, 4th Academy, Xian, China"
149,Cooke-W-F,"CNRS, Centre des Faibles Radioactivites, Gif-sur-Yvette, France"
187,Bromage-B-J-I,"Central Lancashire, Univ., Preston, United Kingdom"
199,Papelis-Yiannis,"Iowa, Univ., Iowa City"
366,Chevreton-M,"Meudon, Observatoire, France"
380,Slob-Siefko,"Royal Museum for Central Africa, Tervuren, Belgium"
412,Croce-F,"VITROCISET S.p.A., Rome, Italy"
422,Su-P,"Computer Sciences Corp., Hampton, VA"
542,Tsikalas-Filippos,"Oslo, Univ., Norway"
557,Walpot-L,"ESTEC, Noordwijk, Netherlands"
582,Prabhu-Dinesh,"Thermosciences Inst., Sunnyvale, CA"
719,Longo-V,"CAE Electronics, Ltd., St.-Laurent, Canada"
764,Hammer-Matthias,"Daimler-Benz Aerospace AG, Munich, Germany"
797,Seaquist-J-W,"Lund Univ., Sweden"
829,Chapman-Jim,"Boeing Co., Mesa, AZ"
917,Radford-O-K-EDS,null
935,Volkova-N-A,"Department of Energy, Washington, DC United States"
1126,Jacobs-Albert,"Royal Netherlands Meteorological Inst., Applications and Modelling Div., De Bilt, Netherlands"
1239,Vicroy-Dan-D,"NASA, Langley Research Center, Hampton, VA"
1277,Maia-M-A-G,"Observatorio Nacional, Rio de Janeiro, Brazil"
1417,Arnold-David-V,"Brigham Young Univ., Provo, UT"
1519,Gilliland-Ronald-L,"Space Telescope Science Inst., Baltimore, MD"
1525,Jennings-S,"NRC of Canada, Ottawa"
1734,Stokes-Hedley,"DERA, Space Debris Group, Farnborough, United Kingdom"
1771,Sarlo-L,"Alenia Aerospazio, Div. Spazio, Turin, Italy"
1789,Stragapede-A,"Alenia Aerospazio, Turin, Italy"
1815,Nakamura-Tai,"Japan Manned Space Systems Corp., Tokyo"
1990,Chadderdon-George,"Orincon Corp., San Diego, CA"
3713,Krischke-M,"RapidEye AG, Germany"
2470,Francis-Gregory,"U.S. Army, Aeromedical Research Lab., Fort Rucker, AL"
2512,Coy-Steve,"MZA Associates Corp., Albuquerque, NM"
2566,Sharpe-Lonnie-Jr,"North Carolina A & T State Univ., Greensboro"
2570,Chu-Patrick,"Tanner Research, Inc., Pasadena, CA"
2583,Hirata-R-Jr,"Sao Paulo, Univ., Brazil"
2631,Chen-Genshe,"Braunschweig, Technische Univ., Germany"
2692,Medasani-Swarup,"Colorado School of Mines, Golden"
2795,Pinty-Bernard,"CEC, Joint Research Centre, Ispra, Italy"
2836,Caves-R,"Sheffield, Univ., United Kingdom"
2912,Hesselmans-G-H-F-M,"ARGOSS, Vollenhove, Netherlands"
2935,Savorskij-V,"Russian Academy of Sciences, Inst. of Radio Engineering and Electronics, Moscow, Russia"
3080,Alonzo-Yvette,"Ministry of Health, Belize"
3449,Luo-Xiaobing,"Old Dominion Univ., Norfolk, VA"
3711,Tobias-A,"ESTEC, Noordwijk, Netherlands"
3780,Koskinen-Jarkko,"Helsinki Univ. of Technology, Espoo, Finland"
3798,Rysev-Yu-M,"TsNII im. M.K. Tikhonravova, Yubilejnyj, Russia"
4082,Gu-Guoxiang,"Louisiana State Univ., Baton Rouge"
4139,Gomez-Richard-B,"ANSER, Arlington, VA"
4148,Miller-David-W,"MIT, Cambridge, MA"
4225,Imagawa-K,"NASDA, Tsukuba Space Center, Japan"
4230,Maekawa-Y,"Nihon Univ., Chiba, Japan"
