pid,did
18,236
18,237
18,238
18,239
18,240
18,241
18,242
18,243
18,244
52,788
52,789
52,790
52,791
52,792
52,793
52,794
52,795
52,796
52,797
52,798
52,799
52,800
52,801
52,802
52,803
52,804
52,805
52,806
52,807
52,808
52,809
52,810
52,811
52,812
52,813
52,814
52,815
52,816
52,817
52,818
66,976
66,977
66,978
66,979
66,980
66,981
66,982
66,983
66,984
66,985
66,986
66,987
66,988
71,1047
71,1048
71,1049
71,1050
71,1051
71,1052
71,1053
71,1054
71,1055
71,1056
71,1057
71,1058
71,1059
127,1915
127,1916
127,1917
127,1918
127,1919
127,1920
127,1921
127,1922
127,1923
127,1924
127,1925
127,1926
127,1927
127,1928
127,1929
127,1930
127,1931
130,1962
130,1963
130,1964
130,1965
130,1966
130,1967
130,1968
130,1969
130,1970
130,1971
130,1972
130,1973
130,1974
130,1975
130,1976
130,1977
130,1978
130,1979
130,1980
140,2164
140,2165
140,2166
140,2167
140,2168
140,2169
140,2170
140,2171
140,2172
140,2173
140,2174
140,2175
140,2176
143,2201
143,2202
143,2203
143,2204
143,2205
143,2206
143,2207
143,2208
143,2209
143,2210
143,2211
186,2868
186,2869
186,2870
186,2871
186,2872
186,2873
186,2874
186,2875
186,2876
186,2877
186,2878
186,2879
186,2880
186,2881
186,2882
186,2883
186,2884
186,2885
186,2886
193,2991
193,2992
193,2993
193,2994
193,2995
193,2996
193,2997
193,2998
193,2999
193,3000
193,3001
193,3002
193,3003
193,3004
193,3005
203,3135
203,3136
203,3137
203,3138
203,3139
203,3140
203,3141
203,3142
203,3143
203,3144
203,3145
203,3146
203,3147
207,3185
207,3186
207,3187
207,3188
207,3189
207,3190
207,3191
207,3192
207,3193
260,4030
260,4031
260,4032
260,4033
260,4034
260,4035
260,4036
260,4037
260,4038
260,4039
260,4040
260,4041
260,4042
260,4043
260,4044
260,4045
260,4046
279,4287
279,4288
279,4289
279,4290
279,4291
279,4292
279,4293
279,4294
279,4295
279,4296
279,4297
291,4463
291,4464
291,4465
291,4466
291,4467
291,4468
291,4469
291,4470
291,4471
291,4472
291,4473
306,4674
306,4675
306,4676
306,4677
306,4678
306,4679
306,4680
306,4681
306,4682
306,4683
306,4684
306,4685
306,4686
306,4687
306,4688
306,4689
306,4690
344,5382
344,5383
344,5384
344,5385
344,5386
344,5387
344,5388
344,5389
344,5390
344,5391
344,5392
344,5393
344,5394
344,5395
344,5396
350,5498
350,5499
350,5500
350,5501
350,5502
350,5503
350,5504
350,5505
350,5506
350,5507
350,5508
350,5509
350,5510
350,5511
350,5512
350,5513
350,5514
377,6103
377,6104
377,6105
377,6106
377,6107
377,6108
377,6109
377,6110
377,6111
377,6112
377,6113
377,6114
377,6115
377,6116
377,6117
436,7392
436,7393
436,7394
436,7395
436,7396
436,7397
436,7398
436,7399
436,7400
436,7401
436,7402
436,7403
436,7404
436,7405
436,7406
436,7407
436,7408
436,7409
436,7410
436,7411
436,7412
436,7413
436,7414
500,8554
500,8555
500,8556
500,8557
500,8558
500,8559
500,8560
500,8561
500,8562
500,8563
500,8564
500,8565
500,8566
552,9286
552,9287
552,9288
552,9289
552,9290
552,9291
552,9292
561,9387
561,9388
561,9389
561,9390
561,9391
561,9392
561,9393
561,9394
561,9395
561,9396
561,9397
561,9398
561,9399
561,9400
561,9401
582,9660
582,9661
582,9662
582,9663
582,9664
582,9665
582,9666
582,9667
582,9668
585,9717
585,9718
585,9719
585,9720
585,9721
585,9722
585,9723
585,9724
585,9725
585,9726
585,9727
585,9728
585,9729
658,10926
658,10927
658,10928
658,10929
658,10930
658,10931
658,10932
658,10933
658,10934
658,10935
658,10936
658,10937
658,10938
658,10939
658,10940
667,11045
667,11046
667,11047
667,11048
667,11049
667,11050
667,11051
667,11052
667,11053
667,11054
667,11055
667,11056
667,11057
667,11058
667,11059
667,11060
667,11061
667,11062
667,11063
667,11064
667,11065
675,11171
675,11172
675,11173
675,11174
675,11175
675,11176
675,11177
675,11178
675,11179
675,11180
675,11181
675,11182
675,11183
686,11314
686,11315
686,11316
686,11317
686,11318
686,11319
686,11320
686,11321
686,11322
686,11323
686,11324
686,11325
686,11326
686,11327
686,11328
686,11329
686,11330
686,11331
686,11332
742,12182
742,12183
742,12184
742,12185
742,12186
742,12187
742,12188
742,12189
742,12190
742,12191
742,12192
742,12193
742,12194
742,12195
742,12196
742,12197
742,12198
742,12199
742,12200
874,13970
874,13971
874,13972
874,13973
874,13974
874,13975
874,13976
874,13977
874,13978
874,13979
874,13980
874,13981
874,13982
874,13983
874,13984
907,14499
907,14500
907,14501
907,14502
907,14503
907,14504
907,14505
907,14506
907,14507
907,14508
907,14509
907,14510
907,14511
907,14512
907,14513
907,14514
907,14515
907,14516
907,14517
907,14518
907,14519
907,14520
907,14521
919,14657
919,14658
919,14659
919,14660
919,14661
919,14662
919,14663
919,14664
919,14665
919,14666
919,14667
919,14668
919,14669
919,14670
919,14671
919,14672
919,14673
940,15006
940,15007
940,15008
940,15009
940,15010
940,15011
940,15012
940,15013
940,15014
940,15015
940,15016
940,15017
940,15018
940,15019
940,15020
940,15021
940,15022
942,15034
942,15035
942,15036
942,15037
942,15038
942,15039
942,15040
942,15041
942,15042
942,15043
942,15044
942,15045
942,15046
942,15047
942,15048
942,15049
942,15050
942,15051
942,15052
949,15147
949,15148
949,15149
949,15150
949,15151
949,15152
949,15153
949,15154
949,15155
949,15156
949,15157
949,15158
949,15159
949,15160
949,15161
949,15162
949,15163
949,15164
949,15165
964,15390
964,15391
964,15392
964,15393
964,15394
964,15395
964,15396
964,15397
964,15398
964,15399
964,15400
964,15401
964,15402
988,15750
988,15751
988,15752
988,15753
988,15754
988,15755
988,15756
988,15757
988,15758
988,15759
988,15760
1020,16296
1020,16297
1020,16298
1020,16299
1020,16300
1020,16301
1020,16302
1020,16303
1020,16304
1020,16305
1020,16306
1034,16458
1034,16459
1034,16460
1034,16461
1034,16462
1034,16463
1034,16464
1034,16465
1034,16466
1034,16467
1034,16468
1062,16798
1062,16799
1062,16800
1062,16801
1062,16802
1062,16803
1062,16804
1062,16805
1062,16806
1062,16807
1062,16808
1062,16809
1062,16810
1062,16811
1062,16812
1068,16882
1068,16883
1068,16884
1068,16885
1068,16886
1068,16887
1068,16888
1068,16889
1068,16890
1068,16891
1068,16892
1068,16893
1068,16894
1114,17536
1114,17537
1114,17538
1114,17539
1114,17540
1114,17541
1114,17542
1114,17543
1114,17544
1114,17545
1114,17546
1114,17547
1114,17548
1136,17816
1136,17817
1136,17818
1136,17819
1136,17820
1136,17821
1136,17822
1136,17823
1136,17824
1136,17825
1136,17826
1244,19272
1244,19273
1244,19274
1244,19275
1244,19276
1244,19277
1244,19278
1244,19279
1244,19280
1244,19281
1244,19282
1244,19283
1244,19284
1244,19285
1244,19286
1244,19287
1244,19288
1244,19289
1244,19290
1244,19291
1244,19292
1273,19715
1273,19716
1273,19717
1273,19718
1273,19719
1273,19720
1273,19721
1273,19722
1273,19723
1273,19724
1273,19725
1273,19726
1273,19727
1273,19728
1273,19729
1333,20501
1333,20502
1333,20503
1333,20504
1333,20505
1333,20506
1333,20507
1333,20508
1333,20509
1333,20510
1333,20511
1333,20512
1333,20513
1333,20514
1333,20515
1333,20516
1333,20517
1333,20518
1333,20519
1333,20520
1333,20521
1333,20522
1333,20523
1333,20524
1333,20525
1333,20526
1333,20527
1333,20528
1333,20529
1334,20530
1334,20531
1334,20532
1334,20533
1334,20534
1334,20535
1334,20536
1334,20537
1334,20538
1334,20539
1334,20540
1334,20541
1334,20542
1334,20543
1334,20544
1334,20545
1334,20546
1334,20547
1334,20548
1334,20549
1334,20550
1357,20989
1357,20990
1357,20991
1357,20992
1357,20993
1357,20994
1357,20995
1357,20996
1357,20997
1357,20998
1357,20999
1357,21000
1357,21001
1357,21002
1357,21003
1357,21004
1357,21005
1363,21073
1363,21074
1363,21075
1363,21076
1363,21077
1363,21078
1363,21079
1363,21080
1363,21081
1363,21082
1363,21083
1363,21084
1363,21085
1455,22407
1455,22408
1455,22409
1455,22410
1455,22411
1455,22412
1455,22413
1455,22414
1455,22415
1455,22416
1455,22417
1455,22418
1455,22419
1455,22420
1455,22421
1455,22422
1455,22423
1455,22424
1455,22425
1455,22426
1455,22427
1474,22648
1474,22649
1474,22650
1474,22651
1474,22652
1474,22653
1474,22654
1474,22655
1474,22656
1476,22670
1476,22671
1476,22672
1476,22673
1476,22674
1476,22675
1476,22676
1476,22677
1476,22678
1476,22679
1476,22680
1476,22681
1476,22682
1500,22928
1500,22929
1500,22930
1500,22931
1500,22932
1500,22933
1500,22934
1500,22935
1500,22936
1500,22937
1500,22938
1500,22939
1500,22940
1500,22941
1500,22942
