lid,countrypub,countryorigin
1,United-States,United-Kingdom
3,United-States,United-States
5,United-States,France
11,United-States,Netherlands
16,"People""s-Republic-of-China","People""s-Republic-of-China"
24,UNITED-STATES,INTERNATIONAL-ORGANIZATION
30,International-Organization,Japan
37,International-Organization,Germany
44,United-States,Canada
48,Japan,Japan
66,Netherlands,United-Kingdom
77,International-Organization,Italy
127,Netherlands,Spain
130,United-States,Belgium
140,NETHERLANDS,INTERNATIONAL-ORGANIZATION
141,UNITED-STATES,UNITED-STATES
170,UNITED-STATES,GERMANY
186,UNITED-STATES,NORWAY
203,UNITED-STATES,NETHERLANDS
260,UNITED-STATES,CANADA
291,NORWAY,SWEDEN
327,Netherlands,Netherlands
535,United-States,Brazil
643,International-Organization,United-Kingdom
676,International-Organization,France
963,France,Germany
1020,United-States,Norway
1039,United-States,Finland
1194,Russia,Russia
