rid,availability,updatecode,numref,contractnum,issn,isbn,notes,subfile,source,series,accessionnum
18,Aeroplus Dispatch,199912,,,1006-2793,,,AIAA,"Journal-of-Solid-Rocket-Technology. 1999 June; vol. 22, no. 2: 72-74",,A1999-45784; Reference AN: A99-45784
52,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794",199911,112,CEC-ENV4-CT,0148-0227,,,AIAA,"Journal-of-Geophysical-Research. 1999 September; vol. 104, no. D18: 22,137-22,162",,A1999-41287; Reference AN: A99-41287
66,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794",199910,10,,0038-6308,,,AIAA,"Space-Science-Reviews. 1999; vol. 87, nos. 1-2: 169-172",,A1999-37721; Reference AN: A99-37721
71,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794",199909,5,,,,,AIAA,,,A1999-36832; Reference AN: A99-36832
127,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794; E-MAIL: dispatch@aiaa.org",199906,,,,,,AIAA,,Astrophysics-and-Space-Science-Library; Vol.-215,A1999-26510; Reference AN: A99-26510
130,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794; E-MAIL: dispatch@aiaa.org",199906,19,,,,,AIAA,,SPIE-Proceedings; Vol.-3496,A1999-26283; Reference AN: A99-26283
140,"AIAA Dispatch; Voice: 800 662 1545, Fax: 816 926 8794, E-Mail: dispatch@aiaa.org",199905,,,0376-4265,,,AIAA,ESA-Bulletin. 1998 November; no. 96: 46-51,,A1999-24995; Reference AN: A99-24995
143,"AIAA Dispatch; Voice: 800 662 1545, Fax: 816 926 8794, E-Mail: dispatch@aiaa.org",199905,14,NAS1-20431,,,,AIAA,,,A1999-24715; Reference AN: A99-24715
186,"AIAA Dispatch; Voice: 800 662 1545, Fax: 816 926 8794, E-Mail: dispatch@aiaa.org",199903,65,,0148-0227,,,AIAA,"Journal-of-Geophysical-Research. 1998 October; vol. 103, no. B12: 30,469-30,483",,A1999-18467; Reference AN: A99-18467
193,"AIAA Dispatch; Voice: 800 662 1545, Fax: 816 926 8794, E-Mail: dispatch@aiaa.org",199903,6,,,,,AIAA,,,A1999-17925; Reference AN: A99-17925
203,"AIAA Dispatch; Voice: 800 662 1545, Fax: 816 926 8794, E-Mail: dispatch@aiaa.org",199903,2,,,,,AIAA,,,A1999-17916; Reference AN: A99-17916
207,"AIAA Dispatch; Voice: 800 662 1545, Fax: 816 926 8794, E-Mail: dispatch@aiaa.org",199903,15,,,,,AIAA,,,A1999-17912; Reference AN: A99-17912
260,"AIAA Dispatch; Voice: 800 662 1545, Fax: 816 926 8794, E-Mail: dispatch@aiaa.org",199903,13,,,,,AIAA,AIAA-Aerospace-Sciences-Meeting-and-Exhibit-37th-Reno-NV-Jan. 11-14-1999,,A1999-16812; Reference AN: A99-16812
279,"AIAA Dispatch; Voice: 800 662 1545, Fax: 816 926 8794, E-Mail: dispatch@aiaa.org",199902,17,,,,,AIAA,,SPIE-Proceedings; Vol.-3364,A1999-14962; Reference AN: A99-14962
291,"AIAA Dispatch; Voice: 800 662 1545, Fax: 816 926 8794, E-Mail: dispatch@aiaa.org",199902,10,,,,,AIAA,,,A1999-13378; Reference AN: A99-13378
306,"AIAA Dispatch; Voice: 800 662 1545, Fax: 816 926 8794, E-Mail: dispatch@aiaa.org",199901,,,1070-9789,,,AIAA,"Journal-of-Advanced-Materials. 1998; vol. 30, no. 2: 3-6",,A1999-11872; Reference AN: A99-11872
344,"AIAA Dispatch; Voice: 800 662 1545, Fax: 816 926 8794, E-Mail: dispatch@aiaa.org",199901,,,,,,NASA,NASA-no. 19990032082.,,N1999-17102; Reference AN: N99-17102
350,"AIAA Dispatch; Voice: 800 662 1545, Fax: 816 926 8794, E-Mail: dispatch@aiaa.org",199901,,,,,,NASA,NASA-no. 19990028534.,,N1999-16722; Reference AN: N99-16722
377,"AIAA Dispatch; Voice: 800 662 1545, Fax: 816 926 8794, E-Mail: dispatch@aiaa.org",199812,14,NAS1-20267,,,,AIAA,AIAA-and-SAE-1998-World-Aviation-Conference-Anaheim-CA-Sept. 28-30-1998,,A1998-43096; Reference AN: A98-43096
436,"AIAA Dispatch; Voice: 800 662 1545, Fax: 816 926 8794, E-Mail: dispatch@aiaa.org",199901,,,0169-1708,,,NASA,NASA-no. 19990014480.,,N1999-12470; Reference AN: N99-12470
500,"AIAA Dispatch; Voice: 800 662 1545, Fax: 816 926 8794, E-Mail: dispatch@aiaa.org",199811,28,NAGW-2166,0004-6256,,,AIAA,"Astronomical-Journal. 1998 July; vol. 116, no. 1: 1-7",,A1998-41801; Reference AN: A98-41801
552,"Aeroplus Dispatch; Voice: 1 800 1545, Fax: 1 816 926 8794, E-Mail: dispatch@aiaa.org",199913,2,,,,,AIAA,,,A1999-46922; Reference AN: A99-46922
561,"Aeroplus Dispatch; Voice: 1 800 1545, Fax: 1 816 926 8794, E-Mail: dispatch@aiaa.org",199913,4,,,,,AIAA,,,A1999-46793; Reference AN: A99-46793
582,"Aeroplus Dispatch; Voice: 1 800 1545, Fax: 1 816 926 8794, E-Mail: dispatch@aiaa.org",199913,14,,0004-6280,,,AIAA,"Astronomical-Society-of-the-Pacific,-Publications. 1998 August; vol. 110, no. 750: 978-990",,A1999-46115; Reference AN: A99-46115
585,Aeroplus Dispatch,199912,8,,,,,AIAA,AIAA-and-SAE-1999-World-Aviation-Conference-San-Francisco-CA-Oct. 19-21-1999,,A1999-45992; Reference AN: A99-45992
658,Aeroplus Dispatch,199912,12,,,,,AIAA,IAF-International-Astronautical-Congress-50th-Amsterdam-Netherlands-Oct. 4-8-1999,,A1999-44945; Reference AN: A99-44945
667,Aeroplus Dispatch,199912,7,,,,,AIAA,IAF-International-Astronautical-Congress-50th-Amsterdam-Netherlands-Oct. 4-8-1999,,A1999-44767; Reference AN: A99-44767
675,Aeroplus Dispatch,199912,5,,,,,AIAA,IAF-International-Astronautical-Congress-50th-Amsterdam-Netherlands-Oct. 4-8-1999,,A1999-44734; Reference AN: A99-44734
686,Aeroplus Dispatch,199912,2,,,,,AIAA,IAF-International-Astronautical-Congress-50th-Amsterdam-Netherlands-Oct. 4-8-1999,,A1999-44569; Reference AN: A99-44569
742,Aeroplus Dispatch,199912,13,,,,,AIAA,,,A1999-43330; Reference AN: A99-43330
874,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794",199911,3,,,,,AIAA,,,A1999-41570; Reference AN: A99-41570
907,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794",199911,22,DAAL03-91-C,0191-6319,,,AIAA,"SAFE-Journal. 1999; vol. 29, no. 2: 100-106",,A1999-40658; Reference AN: A99-40658
919,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794",199911,,,,,,AIAA,,SPIE-Proceedings; Vol.-3706,A1999-40473; Reference AN: A99-40473
940,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794",199911,5,,0893-1321,,,AIAA,"Journal-of-Aerospace-Engineering. 1999 July; vol. 12, no. 3: 92-97",,A1999-40152; Reference AN: A99-40152
942,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794",199911,12,DABT63-95-C,,,,AIAA,,SPIE-Proceedings; Vol.-3669,A1999-40038; Reference AN: A99-40038
949,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794",199910,11,,,,,AIAA,,SPIE-Proceedings; Vol.-3646,A1999-39953; Reference AN: A99-39953
964,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794",199910,,,,,,AIAA,,,A1999-39651; Reference AN: A99-39651
