aid,pid,pubyear,publisher
49,18,1999,null
149,52,1999,null
187,66,1999,null
199,71,1999,"American Institute of Aeronautics and Astronautics, Reston, VA"
366,127,1997,"Kluwer Academic Publishers, Dordrecht, Netherlands"
380,130,1998,"Society of Photo-Optical Instrumentation Engineers, Bellingham, WA"
412,140,1998,null
422,143,1999,"American Institute of Aeronautics and Astronautics, Reston, VA"
542,186,1998,null
557,193,1997,"American Institute of Aeronautics and Astronautics, Reston, VA"
557,203,1997,"American Institute of Aeronautics and Astronautics, Reston, VA"
582,207,1997,"American Institute of Aeronautics and Astronautics, Reston, VA"
719,260,1999,null
764,279,1998,"Society of Photo-Optical Instrumentation Engineers, Bellingham, WA"
797,291,1998,"Norwegian Space Centre, Tromso, Norway"
829,306,1998,null
917,344,1999,null
935,350,1998,null
1126,436,1998,null
1239,377,1998,null
1277,500,1998,null
1417,552,1998,"Institute of Electrical and Electronics Engineers, Inc., Piscataway, NJ"
1417,561,1998,"Institute of Electrical and Electronics Engineers, Inc., Piscataway, NJ"
1519,582,1998,null
1525,585,1999,null
1734,658,1999,null
1734,1273,1999,null
1771,667,1999,null
1789,675,1999,null
1815,874,1998,"21st ISTS Publications Committee, Tokyo"
1815,686,1999,null
1990,742,1999,"Institute of Electrical and Electronics Engineers, Inc., Piscataway, NJ"
2470,907,1999,null
2512,919,1999,"Society of Photo-Optical Instrumentation Engineers, Bellingham, WA"
2566,940,1999,null
2570,942,1999,"Society of Photo-Optical Instrumentation Engineers, Bellingham, WA"
2583,949,1999,"Society of Photo-Optical Instrumentation Engineers, Bellingham, WA"
2631,964,1998,"Centre National d"" Etudes Spatiales, Toulouse, France"
2692,988,1999,null
2795,1020,1998,"Institute of Electrical and Electronics Engineers, Inc., Piscataway, NJ"
2795,1136,1998,"Institute of Electrical and Electronics Engineers, Inc., Piscataway, NJ"
2836,1034,1998,"Institute of Electrical and Electronics Engineers, Inc., Piscataway, NJ"
2912,1062,1998,"Institute of Electrical and Electronics Engineers, Inc., Piscataway, NJ"
2935,1068,1998,"Institute of Electrical and Electronics Engineers, Inc., Piscataway, NJ"
3080,1114,1998,"Institute of Electrical and Electronics Engineers, Inc., Piscataway, NJ"
3449,1244,1999,"American Institute of Aeronautics and Astronautics, Reston, VA"
3711,1333,1999,null
3713,1334,1999,null
3780,1357,1999,null
3798,1363,1999,null
4082,1455,1999,null
4139,1474,1999,null
4148,1476,1999,null
4225,1500,1998,"21st ISTS Publications Committee, Tokyo"
4230,1500,1998,"21st ISTS Publications Committee, Tokyo"
