id,name,artist_count,ref_count,created
48339,Starchaser,1,157,2011-05-16 18:32:11.963929+02
5489,The John Colianni Trio,1,24,2011-05-16 18:32:11.963929+02
839572,Apollo vs. The Mackenzie,2,15,2011-07-15 22:48:08.408055+02
136847,Fermin Muguruza,1,349,2011-05-16 18:32:11.963929+02
55290,Crimson Glory,1,408,2011-05-16 18:32:11.963929+02
60661,Masterplan,1,572,2011-05-16 18:32:11.963929+02
66574,Dub Taylor,1,287,2011-05-16 18:32:11.963929+02
592846,Ramesh,1,6,2011-05-16 18:32:11.963929+02
540526,Lawrence Palmer,1,4,2011-05-16 18:32:11.963929+02
754744,Leftie,1,8,2011-05-16 18:32:11.963929+02
45601,John Norum,1,291,2011-05-16 18:32:11.963929+02
397,Sublime,1,2577,2011-05-16 18:32:11.963929+02
374915,Kleekamp & Lillberg,1,27,2011-05-16 18:32:11.963929+02
462963,Raveboy,1,22,2011-05-16 18:32:11.963929+02
60455,N-Factor,1,69,2011-05-16 18:32:11.963929+02
42477,Gus,1,88,2011-05-16 18:32:11.963929+02
79977,Necrophobic,1,326,2011-05-16 18:32:11.963929+02
102097,Klubbingman,1,402,2011-05-16 18:32:11.963929+02
645346,Puch,1,2,2011-05-16 18:32:11.963929+02
171639,Guy Forsyth,1,264,2011-05-16 18:32:11.963929+02
489,Blues Traveler,1,1591,2011-05-16 18:32:11.963929+02
471912,Rued Langgaard,1,172,2011-05-16 18:32:11.963929+02
2474,Screamin' Cheetah Wheelies,1,147,2011-05-16 18:32:11.963929+02
529441,Alai Oli,1,90,2011-05-16 18:32:11.963929+02
187812,Liva Weel,1,158,2011-05-16 18:32:11.963929+02
77940,D.Diggler,1,338,2011-05-16 18:32:11.963929+02
51778,Mike Brant,1,545,2011-05-16 18:32:11.963929+02
1104,Megadeth,1,4155,2011-05-16 18:32:11.963929+02
828703,Giuseppe Ottaviani & Marc van Linden,2,18,2011-06-12 14:12:47.663239+02
187651,DJ Sakin & Friends,1,31,2011-05-16 18:32:11.963929+02
51840,Armin van Buuren,1,5642,2011-05-16 18:32:11.963929+02
10293,Gustav Mahler,1,12897,2011-05-16 18:32:11.963929+02
203582,George DeVore,1,9,2011-05-16 18:32:11.963929+02
618948,MaxNRG,1,22,2011-05-16 18:32:11.963929+02
335106,Dream Dance Alliance,1,295,2011-05-16 18:32:11.963929+02
232365,Kino,1,61,2011-05-16 18:32:11.963929+02
645347,Music Angle,1,2,2011-05-16 18:32:11.963929+02
335589,Ferrin & Low,1,21,2011-05-16 18:32:11.963929+02
469473,Otis Jackson Jr. Trio,1,19,2011-05-16 18:32:11.963929+02
540530,Assure,1,6,2011-05-16 18:32:11.963929+02
1007607,Gustav Mahler; Neeme Järvi,2,2,2012-06-29 03:10:24.26111+02
707464,Solipsism,1,180,2011-05-16 18:32:11.963929+02
157129,Tobias Schmidt,1,245,2011-05-16 18:32:11.963929+02
455273,Future Rock,1,103,2011-05-16 18:32:11.963929+02
352987,Kalwi & Remi,1,38,2011-05-16 18:32:11.963929+02
33866,Adrian Belew,1,781,2011-05-16 18:32:11.963929+02
53232,Gov't Mule,1,1550,2011-05-16 18:32:11.963929+02
1366,Feeder,1,1558,2011-05-16 18:32:11.963929+02
14839,Widespread Panic,1,1486,2011-05-16 18:32:11.963929+02
9503,Ziggy Marley & The Melody Makers,1,564,2011-05-16 18:32:11.963929+02
2778,Asia,1,2113,2011-05-16 18:32:11.963929+02
946650,DJ Shog / Shaun Baker,2,2,2012-02-19 02:50:36.937226+01
754766,Piston,1,6,2011-05-16 18:32:11.963929+02
531515,Beam,1,14,2011-05-16 18:32:11.963929+02
951204,[no artist],1,3084,2012-02-29 15:06:52.521949+01
269907,Scrappy Jud Newcomb,1,31,2011-05-16 18:32:11.963929+02
175650,Joe Bocan,1,70,2011-05-16 18:32:11.963929+02
58589,Sonny Landreth,1,471,2011-05-16 18:32:11.963929+02
618950,Red Co,1,34,2011-05-16 18:32:11.963929+02
513168,Hisashi Ito,1,10,2011-05-16 18:32:11.963929+02
965,The Black Crowes,1,2724,2011-05-16 18:32:11.963929+02
761525,Wacholder,1,88,2011-05-16 18:32:11.963929+02
211376,The Real Booty Babes,1,359,2011-05-16 18:32:11.963929+02
260494,NISH,1,30,2011-05-16 18:32:11.963929+02
10971,Soilwork,1,953,2011-05-16 18:32:11.963929+02
814284,Brisky vs. Coleman,2,8,2011-05-16 18:32:11.963929+02
66501,Orbient,1,63,2011-05-16 18:32:11.963929+02
403795,Cesar Martinez Ensemble,1,28,2011-05-16 18:32:11.963929+02
199457,Robin Williamson,1,398,2011-05-16 18:32:11.963929+02
6103,Matt Powell,1,32,2011-05-16 18:32:11.963929+02
540528,Avilyn,1,2,2011-05-16 18:32:11.963929+02
319,Everything but the Girl,1,2561,2011-05-16 18:32:11.963929+02
3382,Ali Khan,1,70,2011-05-16 18:32:11.963929+02
181957,2 Vibez,1,142,2011-05-16 18:32:11.963929+02
325605,Tracy Conover,1,8,2011-05-16 18:32:11.963929+02
5025,Glenn Hughes,1,1013,2011-05-16 18:32:11.963929+02
77158,The Kills,1,743,2011-05-16 18:32:11.963929+02
64074,Hater,1,64,2011-05-16 18:32:11.963929+02
811436,Till West & DJ Delicious,2,213,2011-05-16 18:32:11.963929+02
46394,Drivin' N' Cryin',1,349,2011-05-16 18:32:11.963929+02
205712,Malik Flavors,1,20,2011-05-16 18:32:11.963929+02
985,Billy Idol,1,2412,2011-05-16 18:32:11.963929+02
206599,B L A Z E,1,178,2011-05-16 18:32:11.963929+02
66433,The High Fidelity,1,110,2011-05-16 18:32:11.963929+02
8436,Ian Moore,1,246,2011-05-16 18:32:11.963929+02
754748,Rolar,1,12,2011-05-16 18:32:11.963929+02
41994,Saxon,1,3083,2011-05-16 18:32:11.963929+02
246353,Filo & Peri,1,277,2011-05-16 18:32:11.963929+02
55741,2 Men Ahead,1,55,2011-05-16 18:32:11.963929+02
754768,Leftie & Sado,1,2,2011-05-16 18:32:11.963929+02
78207,Richi M,1,212,2011-05-16 18:32:11.963929+02
126834,David Peel & The 360's,1,2,2011-05-16 18:32:11.963929+02
295188,Sound Directions,1,45,2011-05-16 18:32:11.963929+02
118458,Emou,1,83,2011-05-16 18:32:11.963929+02
