artist_credit,position,artist,name,join_phrase
48339,0,48339,Starchaser,""
754767,0,754767,DJ Nevidomy,""
205712,0,205712,Malik Flavors,""
985,0,985,Billy Idol,""
5489,0,5489,The John Colianni Trio,""
43671,0,43671,Moguai,""
839572,0,455313,Apollo, vs. 
839572,1,48209,The Mackenzie,""
206599,0,206599,B L A Z E,""
1139422,0,723357,Stora Teaterns Orkester,", "
1139422,1,186889,Göteborgs Symfoniker,", "
1139422,2,45573,Neeme Järvi,""
66433,0,66433,The High Fidelity,""
136847,0,136847,Fermin Muguruza,""
55290,0,55290,Crimson Glory,""
531515,0,531515,Beam,""
60661,0,60661,Masterplan,""
8436,0,8436,Ian Moore,""
754748,0,754748,Rolar,""
951204,0,105725,[no artist],""
57588,0,57588,Kenny Wheeler,""
66574,0,66574,Dub Taylor,""
41994,0,41994,Saxon,""
269907,0,269907,Scrappy Jud Newcomb,""
246353,0,246353,Filo & Peri,""
55741,0,55741,2 Men Ahead,""
127468,0,127468,Sandra Flyn,""
592846,0,592846,Ramesh,""
132349,0,132349,Herborg Kråkevik,""
754768,0,754768,Leftie & Sado,""
175650,0,175650,Joe Bocan,""
540526,0,540526,Lawrence Palmer,""
826231,0,807984,Roll It Over,""
58589,0,58589,Sonny Landreth,""
34480,0,34480,DJ Jean,""
20422,0,20422,Julio Iglesias,""
754744,0,754744,Leftie,""
618950,0,618950,Red Co,""
78207,0,78207,Richi M,""
45601,0,45601,John Norum,""
397,0,397,Sublime,""
126834,0,126834,David Peel & The 360's,""
111355,0,111355,Shaun Baker,""
295188,0,295188,Sound Directions,""
513168,0,513168,Hisashi Ito,""
965,0,965,The Black Crowes,""
1,0,1,Various Artists,""
374915,0,374915,Kleekamp & Lillberg,""
761525,0,761525,Wacholder,""
55951,0,55951,Pedro Del Mar,""
118458,0,118458,Emou,""
462963,0,462963,Raveboy,""
211376,0,211376,The Real Booty Babes,""
314600,0,314600,Klubbdriver,""
60455,0,60455,N-Factor,""
79302,0,79302,Monte Montgomery,""
618958,0,618958,Infuzoria,""
205714,0,205714,Joe McDuphrey Experience,""
260494,0,260494,NISH,""
618957,0,618957,IBS Faction,""
1151,0,1151,Sacred Reich,""
10971,0,10971,Soilwork,""
363392,0,363392,Zirenz,""
360,0,360,311,""
818553,0,319304,Mike Foyle, vs. 
818553,1,271718,Signalrunners,""
42477,0,42477,Gus,""
11340,0,11340,Ram Jam,""
608372,0,608372,Kind of Zero,""
3214,0,3214,Merzbow,""
79977,0,79977,Necrophobic,""
102097,0,102097,Klubbingman,""
31292,0,31292,Soulwax,""
89460,0,89460,Atlas,""
204412,0,204412,Teddy Morgan,""
645346,0,645346,Puch,""
113298,0,113298,Kasabian,""
814284,0,288348,Brisky, vs. 
814284,1,399849,Coleman,""
1660,0,1660,Judas Priest,""
66501,0,66501,Orbient,""
42933,0,42933,DJ Tatana,""
171639,0,171639,Guy Forsyth,""
222898,0,222898,Frankman,""
403795,0,403795,Cesar Martinez Ensemble,""
112011,0,112011,Big Mama,""
318914,0,318914,Carolyn Wonderland,""
193232,0,193232,Soul Central,""
199457,0,199457,Robin Williamson,""
501086,0,501086,Arizona,""
2043,0,2043,Bob Sinclar,""
489,0,489,Blues Traveler,""
305679,0,305679,Mr. Sam,""
64076,0,64076,Raging Slab,""
471912,0,471912,Rued Langgaard,""
6103,0,6103,Matt Powell,""
472141,0,472141,Heart of Stone,""
2474,0,2474,Screamin' Cheetah Wheelies,""
540528,0,540528,Avilyn,""
158469,0,158469,Anagram,""
529441,0,529441,Alai Oli,""
187812,0,187812,Liva Weel,""
9811,0,9811,DJ Sakin & Friends,""
77940,0,77940,D.Diggler,""
319,0,319,Everything but the Girl,""
187353,0,187353,Monk Hughes & The Outer Realm,""
112308,0,531515,Beam,""
